"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-13","KABUL NAHIA 13","كابل - ناحيه 13","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",8662,4451,13113
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-14","KABUL NAHIA 14","كابل - ناحيه 14","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1230,691,1921
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-14","KABUL NAHIA 14","كابل - ناحيه 14","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",397,140,537
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-15","KABUL NAHIA 15","كابل - ناحيه 15","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",18968,10631,29599
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-15","KABUL NAHIA 15","كابل - ناحيه 15","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",8038,3310,11348
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-16","KABUL NAHIA 16","كابل - ناحيه 16","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6072,2731,8803
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-16","KABUL NAHIA 16","كابل - ناحيه 16","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",11305,6038,17343
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-17","KABUL NAHIA 17","كابل - ناحيه 17","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",12582,4521,17103
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-17","KABUL NAHIA 17","كابل - ناحيه 17","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",4020,1354,5374
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-18","KABUL NAHIA 18","كابل - ناحيه 18","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1550,652,2202
