"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",275681,146588,422269
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",305263,149033,454296
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",46550,27814,74364
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",7939,2817,10756
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","03","PARWAN","پروان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",84018,40269,124287
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","03","PARWAN","پروان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",15372,4672,20044
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","04","WARDAK","وردک",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",27707,21574,49281
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","04","WARDAK","وردک",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",112944,73438,186382
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","05","LOGAR","لوگر",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5931,2791,8722
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","05","LOGAR","لوگر",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",60720,25847,86567
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","06","NANGARHAR","ننگرهار",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",57771,33967,91738
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","06","NANGARHAR","ننگرهار",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",209314,109034,318348
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","07","LAGHMAN","لغمان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",10956,6030,16986
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","07","LAGHMAN","لغمان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",73657,28899,102556
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","08","PANJSHIR","پنجشیر",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",37904,22310,60214
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","08","PANJSHIR","پنجشیر",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2774,1311,4085
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","09","BAGHLAN","بغلان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",132476,79747,212223
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","09","BAGHLAN","بغلان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",107178,65139,172317
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","10","BAMIYAN","بامیان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",70931,55639,126570
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","10","BAMIYAN","بامیان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",24072,16686,40758
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","11","GHAZNI","غزنی",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",108967,72824,181791
