"pc_code","candidate_code","votes"
"0101001","100_1_1",120
"0101001","101_1_13",215
"0101002","100_1_1",798
"0101002","101_1_13",540
"0101003","100_1_1",350
"0101003","101_1_13",527
"0101004","100_1_1",652
"0101004","101_1_13",331
"0101005","100_1_1",240
"0101005","101_1_13",210
"0101006","100_1_1",293
"0101006","101_1_13",357
"0101007","100_1_1",153
"0101007","101_1_13",61
"0101008","100_1_1",682
"0101008","101_1_13",837
"0101009","100_1_1",117
"0101009","101_1_13",62
"0101010","100_1_1",334
"0101010","101_1_13",230
"0101011","100_1_1",176
"0101011","101_1_13",98
"0101012","100_1_1",212
"0101012","101_1_13",157
"0101013","100_1_1",739
"0101013","101_1_13",275
"0101014","100_1_1",601
"0101014","101_1_13",68
"0101015","100_1_1",156
"0101015","101_1_13",133
"0101016","100_1_1",310
"0101016","101_1_13",197
"0101017","100_1_1",820
"0101017","101_1_13",224
"0101018","100_1_1",202
"0101018","101_1_13",83
"0101019","100_1_1",566
"0101019","101_1_13",258
"0101020","100_1_1",254
"0101020","101_1_13",147
"0101021","100_1_1",340
"0101021","101_1_13",292
"0101022","100_1_1",371
"0101022","101_1_13",118
"0101023","100_1_1",636
"0101023","101_1_13",279
"0101024","100_1_1",932
"0101024","101_1_13",308
"0101025","100_1_1",2238
"0101025","101_1_13",670
"0101026","100_1_1",693
"0101026","101_1_13",97
"0101027","100_1_1",673
"0101027","101_1_13",223
"0101028","100_1_1",859
"0101028","101_1_13",579
"0101029","100_1_1",110
"0101029","101_1_13",99
"0101030","100_1_1",1412
"0101030","101_1_13",167
"0101032","100_1_1",773
"0101032","101_1_13",802
"0101033","100_1_1",1258
"0101033","101_1_13",1597
"0101034","100_1_1",601
"0101034","101_1_13",640
"0101035","100_1_1",892
"0101035","101_1_13",537
"0101036","100_1_1",1430
"0101036","101_1_13",869
"0101037","100_1_1",433
"0101037","101_1_13",526
"0101038","100_1_1",440
"0101038","101_1_13",448
"0101039","100_1_1",1020
"0101039","101_1_13",873
"0101040","100_1_1",525
"0101040","101_1_13",604
"0101041","100_1_1",302
"0101041","101_1_13",209
"0101042","100_1_1",398
"0101042","101_1_13",566
"0101043","100_1_1",367
"0101043","101_1_13",376
"0101044","100_1_1",640
"0101044","101_1_13",818
"0101045","100_1_1",627
"0101045","101_1_13",588
"0101046","100_1_1",130
"0101046","101_1_13",169
"0101047","100_1_1",530
"0101047","101_1_13",554
"0101048","100_1_1",1041
"0101048","101_1_13",540
"0101049","100_1_1",673
"0101049","101_1_13",570
"0101050","100_1_1",1104
"0101050","101_1_13",1637
"0101051","100_1_1",810
"0101051","101_1_13",2557
"0101052","100_1_1",604
"0101052","101_1_13",389
"0101053","100_1_1",466
"0101053","101_1_13",417
"0101054","100_1_1",1303
"0101054","101_1_13",863
"0101055","100_1_1",443
"0101055","101_1_13",106
"0101056","100_1_1",304
"0101056","101_1_13",188
"0101057","100_1_1",739
"0101057","101_1_13",359
"0101058","100_1_1",751
"0101058","101_1_13",405
"0101059","100_1_1",793
"0101059","101_1_13",386
"0101060","100_1_1",1581
"0101060","101_1_13",554
"0101061","100_1_1",393
"0101061","101_1_13",589
"0101062","100_1_1",1523
"0101062","101_1_13",1857
"0101063","100_1_1",1013
"0101063","101_1_13",411
"0101064","100_1_1",1164
"0101064","101_1_13",1267
"0101065","100_1_1",1003
"0101065","101_1_13",468
"0101066","100_1_1",1047
"0101066","101_1_13",547
"0101067","100_1_1",386
"0101067","101_1_13",323
"0101068","100_1_1",699
"0101068","101_1_13",656
"0101069","100_1_1",287
"0101069","101_1_13",301
"0101070","100_1_1",946
"0101070","101_1_13",1883
"0101071","100_1_1",1381
"0101071","101_1_13",501
"0101072","100_1_1",875
"0101072","101_1_13",431
"0101073","100_1_1",874
"0101073","101_1_13",2663
"0101074","100_1_1",1141
"0101074","101_1_13",2006
"0101075","100_1_1",703
"0101075","101_1_13",1175
"0101076","100_1_1",336
"0101076","101_1_13",1546
"0101077","100_1_1",733
"0101077","101_1_13",757
"0101078","100_1_1",549
"0101078","101_1_13",1620
"0101079","100_1_1",394
"0101079","101_1_13",1332
"0101080","100_1_1",686
"0101080","101_1_13",871
"0101081","100_1_1",181
"0101081","101_1_13",824
"0101082","100_1_1",820
"0101082","101_1_13",1793
"0101083","100_1_1",642
"0101083","101_1_13",834
"0101084","100_1_1",382
"0101084","101_1_13",871
"0101085","100_1_1",283
"0101085","101_1_13",1004
"0101086","100_1_1",620
"0101086","101_1_13",1076
"0101087","100_1_1",834
"0101087","101_1_13",1312
"0101088","100_1_1",660
"0101088","101_1_13",844
