"election_date","results_date","election_type","results_status","province_code","province_name_eng","province_name_dari","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","party_name_dari","past_winner","final_winner","male_ps_votes","fem_ps_votes","kuchi_ps_votes","votes"
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",1095147,1,"Haji Rahim Jan Shinzad","الحاج رحيم جان شيرزاد )فی سبيل الله(","M","مستقل","NO","NO",192,71,7,270
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",497,218,33,748
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",1348,498,6,1852
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",7770491,7,"Sayed Jalal Karim","سيد جلال کريم","M","مستقل","NO","NO",1311,517,53,1881
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",6359075,8,"Mirwais Yasini","ميرويس ياسينی","M","مستقل","NO","NO",1001,465,27,1493
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",3907996,9,"Bismillah Shir","بسم الله شير","M","مستقل","NO","NO",94,45,1,140
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",2287256,10,"Bashir Ahmad Bizhan","بشير احمد بيژن","M","مستقل","NO","NO",124,47,1,172
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",8894180,11,"Motasim Billah Mazhabi","معتصم با􏲽 مذھبی","M","مستقل","NO","NO",925,345,18,1288
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",6359797,12,"Ashraf Ghani Ahmadzai","اشرف غنی احمدزی","M","مستقل","NO","NO",14444,4843,541,19828
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",860263,13,"Abdul Latif Pedram","عبداللطيف ) پدرام (","M","حزب کنگره ملی افغانستان","NO","NO",741,198,8,947
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",3010205,14,"Shahnawaz Tanai","شھنواز تڼی","M","د افغانستان د سولی غورځنګ ګوند","NO","NO",1885,545,24,2454
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",6189430,16,"Mulla Abdul Salam Rakity","ملا عبد السلام ) راکتی (","M","مستقل","NO","NO",1005,256,20,1281
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",6189294,18,"Mohammad Akbar Oria","محمد اکبر )اوريا (","M","مستقل","NO","NO",112,53,6,171
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",977770,20,"Sangin Mohammad Rahmani","سنگين محمد ) رحمانی (","M","مستقل","NO","NO",37,26,0,63
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",3788581,23,"Abdul Hasib Arian","عبدالحسيب ) آرين (","M","مستقل","NO","NO",304,40,1,345
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",6178408,24,"Mulla Ghulam Mohammad Rigi","ملا غلام محمد )ريگی(","M","مستقل","NO","NO",109,34,4,147
2009-08-20,2009-11-03,"PRESIDENTIAL","FINAL","01","KABUL","کابل",997138,25,"Ramazan Bashardost","رمضان بشردوست","M","مستقل","NO","NO",41362,14929,183,56474
