"region_name_eng","province_code","province_name_eng","pc_plan_IEC","ps_plan_IEC","pc_plan_MOI","pc_plan_MOI_pct_IEC","pc_plan_2018","pc_prelim_reporting_2018","pc_plan_IEC_pct_plan_18","pc_plan_MOI_pct_plan_18","pc_plan_IEC_pct_prelim_reporting_18","pc_plan_MOI_pct_prelim_reporting_18","pc_count_09_28","pc_count_09_29","pc_count_10_01","pc_count_10_03","pc_reporting_pct_IEC_09_28","pc_reporting_pct_IEC_09_29","pc_reporting_pct_IEC_10_01","pc_reporting_pct_IEC_10_03","pc_reporting_pct_2018","pc_reporting_pct_MOI_10_01","pc_reporting_pct_MOI_10_03","pc_remaining_pct_MOI_10_01","ps_reporting_09_29","ps_reporting_pct_IEC_09_29","ps_reporting_10_03","ps_reporting_pct_IEC_10_03","bvv_reporting_ps_10_14","bvv_reporting_pct_10_14","bvv_remaining_ps_projection","partial_votes_09_28","partial_votes_09_29","partial_votes_10_01","partial_votes_10_03","partial_bvv_votes_10_14","projected_bvv_votes_10_14","net_change_pc_28_29","net_change_votes_28_29","net_change_pc_29_01","net_change_votes_29_01","net_change_votes_proj_bvv_03_14","pct_change_votes_proj_bvv_03_14","net_change_pc_01_03","net_change_votes_01_03","avg_votes_pc_09_28","avg_votes_pc_09_29","avg_votes_pc_10_01","avg_votes_pc_10_03","straight_line_projection","vr_total_2019","turnout_10_03_19","bvv_proj_turnout_10_14_19","total_prelim_votes_2018","pct_change_votes_2018_10_03_19","vr_total_2018","pct_change_vr_18_19","turnout_2018","pct_change_turnout_2018_10_03_19","total_prelim_round_one_votes_2014","pct_change_votes_2014_10_03_19","pct_natl_vote_10_03_19","pct_natl_vr_19","pct_natl_vote_2018","pct_natl_vr_18","pct_natl_vote_2014"
"South","30","Hilmand",97,937,97,1,97,95,1,1,1.02105263157895,1.02105263157895,68,61,97,97,0.701030928,0.628865979,1,1,0.979381443298969,1,1,0,775,0.827107791,937,1,827,0.882604055,0.117395945,18641,70218,115333,115333,36760,41649.48005,-7,51577,36,45115,-73683.51995,-0.638876297,0,0,274.1323529,1151.114754,1189,1189,115333,323267,0.356773193675816,0.128839257,83405,0.382806786163899,303494,0.0651512056251524,0.274815976592618,0.298225809501206,105010,0.0983049233406342,0.0427810481881679,0.0334923440993945,0.0227915517820887,0.0349943950208506,0.0157716672308881
"West","32","Hirat",300,1738,267,0.89,300,282,1,0.89,1.06382978723404,0.946808510638298,128,166,253,253,0.426666667,0.553333333,0.843333333,0.843333333,0.94,0.947565543,0.947565543,0.052434457,NA,NA,1582,0.910241657,1457,0.920986094,0.079013906,57358,104459,120056,129993,113576,123319.9945,38,47101,87,15597,-6673.005491,-0.051333576,0,9937,448.109375,629.2710843,474.5296443,513.8063241,126699.415,574055,0.226446943237146,0.214822612,339645,-0.617268029854701,539956,0.0631514419693456,0.629023475986932,-0.640002397554633,515416,-0.74779013457091,0.0482189555211822,0.0594754416379584,0.0928126204067802,0.0622596610077247,0.0774113859392005
"North","28","Jawzjan",62,322,55,0.887096774,60,53,1.03333333333333,0.916666666666667,1.16981132075472,1.0377358490566,25,51,54,53,0.403225806,0.822580645,0.870967742,0.85483871,0.883333333333333,0.981818182,0.963636364,0.018181818,NA,NA,299,0.928571429,288,0.963210702,0.036789298,18215,36910,38135,38009,36098,37476.74306,26,18695,3,1225,-532.2569444,-0.014003445,-1,-126,728.6,723.7254902,706.2037037,717.1509434,38841.2037,103386,0.367641653608806,0.362493404,55371,-0.313557638475014,94794,0.0906386480156972,0.584119248053674,-0.370605137848456,149695,-0.746090383780353,0.0140988690191365,0.0107113917815923,0.0151308796082493,0.0109302282140883,0.0224829990108352
"Kabul","01","Kabul",558,4777,558,1,558,526,1,1,1.06083650190114,1.06083650190114,516,554,557,557,0.924731183,0.992831541,0.998207885,0.998207885,0.942652329749104,0.998207885,0.998207885,0.001792115,4733,0.990789198,4762,0.996859954,4276,0.897942041,0.102057959,440808,458549,458549,459473,344427,383573.7544,38,17741,3,0,-75899.24556,-0.165187607,0,924,854.2790698,827.7057762,823.2477558,824.9066427,459372.2478,1696341,0.270861224246776,0.226118307,700945,-0.344494931842013,1567465,0.0822193796990682,0.447183828666031,-0.394295574026532,789077,-0.417708284489346,0.170434624558124,0.17575080809953,0.191542764389379,0.180736651766946,0.118513092691625
"South","27","Kandahar",174,1584,169,0.971264368,144,169,1.20833333333333,1.17361111111111,1.02958579881657,1,43,151,167,167,0.247126437,0.867816092,0.959770115,0.959770115,1.17361111111111,0.98816568,0.98816568,0.01183432,1457,0.919823232,1567,0.989267677,1166,0.744097001,0.255902999,25153,182540,193624,193741,54380,73081.86964,108,157387,16,11084,-120659.1304,-0.622785731,0,117,584.9534884,1208.874172,1159.42515,1160.125749,195942.8503,558567,0.346853645131202,0.130838144,175944,0.101151502750875,510339,0.0945018899202295,0.344759071911024,0.00607546948240581,268537,-0.278531450042266,0.071865320914429,0.057870794626629,0.0480790934206319,0.0588446709343377,0.0403321226852777
"Capital","02","Kapisa",80,481,77,0.9625,80,77,1,0.9625,1.03896103896104,1,25,77,78,77,0.3125,0.9625,0.975,0.9625,0.9625,1.012987013,1,-0.012987013,464,0.964656965,462,0.96049896,352,0.761904762,0.238095238,10140,34435,34435,34435,12596,16532.25,52,24295,1,0,-17902.75,-0.519899811,-1,0,405.6,447.2077922,441.474359,447.2077922,33993.52564,160818,0.214124040841199,0.102800992,44585,-0.227655040933049,143971,0.117016621402921,0.309680421751603,-0.308564488416546,64569,-0.466694543821338,0.0127731472723294,0.0166616814997399,0.0121834582603492,0.0166005853346257,0.00969775051358172
"Southeast","14","Khost",186,835,186,1,186,176,1,1,1.05681818181818,1.05681818181818,154,182,185,185,0.827956989,0.978494624,0.994623656,0.994623656,0.946236559139785,0.994623656,0.994623656,0.005376344,NA,NA,834,0.998802395,722,0.865707434,0.134292566,50549,93205,94485,94485,73217,84574.76177,28,42656,3,1280,-9910.238227,-0.104886895,0,0,328.2402597,512.1153846,510.7297297,510.7297297,94995.72973,258116,0.366056346758822,0.327661833,79048,0.195286408258273,228469,0.129763775391847,0.345990046789718,0.0579967549797745,111852,-0.155267675142152,0.035047794976798,0.026742321021197,0.0216009422129434,0.0263436326122385,0.0167992812409228
"East","15","Kunar",110,586,110,1,110,108,1,1,1.01851851851852,1.01851851851852,110,110,110,110,1,1,1,1,0.981818181818182,1,1,0,586,1,586,1,566,0.965870307,0.034129693,39998,67383,67383,67383,63925,66183.83392,0,27385,0,0,-1199.166078,-0.01779627,0,0,363.6181818,612.5727273,612.5727273,612.5727273,67383,190880,0.353012363788768,0.34673006,83486,-0.192882639005342,169359,0.127073258580884,0.49295283982546,-0.283882077008098,109679,-0.385634442327155,0.0249947141760235,0.0197762797987187,0.0228136861348775,0.0195279502933707,0.0164729139150231
"Northeast","19","Kunduz",98,581,91,0.928571429,98,78,1,0.928571428571429,1.25641025641026,1.16666666666667,46,46,62,61,0.469387755,0.469387755,0.632653061,0.62244898,0.795918367346939,0.681318681,0.67032967,0.318681319,NA,NA,393,0.676419966,360,0.916030534,0.083969466,11541,11541,12763,12881,12320,13449.33333,0,0,16,1222,568.3333333,0.044121833,-1,118,250.8913043,250.8913043,205.8548387,211.1639344,18732.79032,192546,0.0668982996271021,0.069849975,52251,-0.753478402327228,169674,0.13479967467025,0.307949361717175,-0.782762012383899,211026,-0.938960128135869,0.0047780139397379,0.0199488871024942,0.0142782971304588,0.0195642713884552,0.0316944276646548
"East","07","Laghman",79,513,79,1,79,68,1,1,1.16176470588235,1.16176470588235,46,59,68,66,0.582278481,0.746835443,0.860759494,0.835443038,0.860759493670886,0.860759494,0.835443038,0.139240506,438,0.85380117,461,0.898635478,441,0.956616052,0.043383948,13736,27333,27537,27537,25687,26851.94331,13,13597,9,204,-685.0566893,-0.024877681,-2,0,298.6086957,463.2711864,404.9558824,417.2272727,31991.51471,173286,0.158910702538001,0.154957373,46136,-0.403134211895266,156944,0.104126312570089,0.293964726271791,-0.459422548571094,82108,-0.664624640717104,0.0102144375326886,0.017953438920792,0.0126072901267123,0.0180964379267873,0.0123319688886179
