"province_code","province_name_eng","total_known_pcs","planned_pcs_18","prelim_results_pcs_18","final_results_pcs_18","pcs_with_vr_18","pcs_with_vr_not_planned_18","pcs_planned_but_missing_vr_18","total_prelim_votes_18","total_final_votes_18","pcs_with_vr_19","pcs_missing_from_vr_19","pcs_that_added_vr_19","prelim_total_vr_18","final_total_vr_18","final_total_vr_18_at_planned_pcs","final_male_vr_18","final_male_vr_18_at_planned_pcs","final_fem_vr_18","final_fem_vr_18_at_planned_pcs","final_kuchi_vr_18","final_kuchi_vr_18_at_planned_pcs","final_sikh_vr_18","final_sikh_vr_18_at_planned_pcs","prelim_total_vr_19","prelim_vr_male_19","prelim_vr_fem_19","prelim_vr_kuchi_19","prelim_vr_sikh_19","total_vr_net_change","total_vr_pct_change","vr_male_net_change","vr_male_pct_change","vr_fem_net_change","vr_fem_pct_change","vr_kuchi_net_change","vr_kuchi_pct_change","vr_sikh_net_change","vr_sikh_pct_change"
"01","Kabul",560,558,526,509,558,0,0,700945,432104,555,3,0,1702407,1635850,1635850,1041755,1041755,525710,525710,68062,68062,323,323,1632197,1041185,522214,68039,759,-3653,-0.00223308983097472,-570,-0.000547153601374603,-3496,-0.00665005421239847,0.999662072815962,0.0000146875212720161,436,1.34984520123839
"02","Kapisa",94,80,77,76,80,0,0,44585,43406,80,0,0,176124,156876,156876,99786,99786,44185,44185,12905,12905,0,0,156640,99572,44161,12907,0,-236,-0.0015043728804916,-214,-0.00214458942136171,-24,-0.000543170759307457,1.00015497869043,0.0000775013544122766,0,NA
"03","Parwan",172,154,154,153,154,0,0,86814,86590,154,0,0,226434,213678,213678,138962,138962,73537,73537,1179,1179,0,0,213856,139712,72958,1186,0,178,0.00083302913730005,750,0.00539715893553633,-579,-0.0078735874457756,1.00593723494487,0.000853212243379871,0,NA
"04","Wardak",157,106,81,81,99,0,7,59102,59102,99,0,0,158077,145035,145035,102068,102068,42351,42351,616,NA,0,NA,142095,100391,41090,614,0,-2940,-0.0202709690764298,-1677,-0.0164302229885958,-1261,-0.0297749757975018,0.996753246753247,0.00161810592005397,0,NA
"05","Logar",82,34,31,30,34,0,0,24637,17927,34,0,0,108694,101770,101770,67984,67984,24027,24027,9759,9759,0,0,101157,67743,23662,9752,0,-613,-0.00602338606662081,-241,-0.00354495175335373,-365,-0.0151912431847505,0.999282713392766,0.000102396015308204,0,NA
"06","Nangarhar",473,394,368,371,394,6,6,265207,273180,394,0,0,852283,807480,801026,529076,525307,265057,262500,13347,NA,0,NA,807362,528776,264893,13351,342,-118,-0.000146133650369049,-300,-0.000567026287338681,-164,-0.000618734838166885,1.00029969281486,0.0000749456576620113,342,Inf
"07","Laghman",124,79,68,68,79,0,0,46136,45946,78,1,0,172779,161668,161668,110161,110161,46783,46783,4724,4724,0,0,161557,110123,46714,4720,0,-111,-0.000686592275527625,-38,-0.000344949664581839,-69,-0.00147489472671697,0.999153259949196,0.000211505770522692,0,NA
"08","Panjsher",98,96,96,96,96,0,0,32847,31128,96,0,0,79014,73766,73766,43069,43069,30668,30668,29,29,0,0,73438,42764,30645,29,0,-328,-0.00444649296423827,-305,-0.00708165966240219,-23,-0.000749967392722056,1,0.0344827586206897,0,NA
"09","Baghlan",284,216,175,175,214,0,2,124609,124609,213,1,0,437558,414584,414584,238343,238343,170561,170561,5680,NA,0,NA,412341,237169,169551,5621,0,-2243,-0.00541024255639388,-1174,-0.00492567434327838,-1010,-0.00592163507484126,0.989612676056338,0.000174227583812736,0,NA
"10","Bamyan",220,220,219,219,220,0,0,125564,125801,220,0,0,172425,167303,167303,82787,82787,84452,84452,64,64,0,0,167320,82108,85148,64,0,17,0.000101612045211383,-679,-0.0082017708094266,696,0.00824136787761095,1,0.015625,0,NA
"11","Ghazni",406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"12","Paktika",237,166,159,150,165,0,1,37656,29920,165,0,0,241169,207515,207515,158858,158858,38629,38629,10028,NA,0,NA,207051,158406,38611,10034,0,-464,-0.00223598294099222,-452,-0.0028453083886238,-18,-0.000465971161562557,1.00059832469087,0.0000997804472168793,0,NA
"13","Paktya",214,194,132,108,194,0,0,77247,51963,193,1,0,404629,385153,385153,222953,222953,158099,158099,4082,4082,19,19,383665,222095,157485,4085,0,-1488,-0.00386339973984365,-858,-0.00384834471839356,-614,-0.00388364252778322,1.00073493385595,0.000245157994575197,-19,-1
"14","Khost",192,186,176,181,186,0,0,79048,81151,186,0,0,251240,234582,234582,172406,172406,56063,56063,6108,6108,5,5,234000,172381,55538,6081,0,-582,-0.00248100877305164,-25,-0.000145006554296254,-525,-0.00936446497690099,0.995579567779961,0.000162995999963975,-5,-1
"15","Kunar",138,110,108,108,109,0,1,83486,82657,108,1,0,174457,169647,169647,108383,108383,60976,60976,288,NA,0,NA,169641,108374,60978,289,0,-6,-0.0000353675573396523,-9,-0.0000830388529566445,2,0.0000327997900813435,1.00347222222222,0.00348427854938272,0,NA
"16","Nuristan",79,54,32,28,41,0,13,20655,13854,41,0,0,77934,67093,67093,42143,42143,24911,24911,39,NA,0,NA,67068,42124,24904,40,0,-25,-0.000372617113558792,-19,-0.000450845929335833,-7,-0.000281000361286179,1.02564102564103,0.0262984878369494,0,NA
"17","Badakhshan",323,274,267,267,275,2,1,158976,158976,275,0,0,353833,296029,296022,171777,171772,123960,123958,292,NA,0,NA,295795,171569,123939,287,0,-234,-0.000790463096520949,-208,-0.00121087223551465,-21,-0.000169409486931268,0.982876712328767,0.00336601613811222,0,NA
