"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_name_eng","district_name_dari","district_name_pashto","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101023","Isteqlal High School","ليسه استقلال","ليسه استقلال","Park e Zarnigar","پارک زرنگار","پارک زرنگار"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101024","Nayeb Salar Mosque","مسجد نایب سالار","مسجد نایب سالار","Qoul e Aab Chakan","قول آب چکان","قول آب چکان"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101025","Imam Azam Mosque","مسجد امام اعظم","مسجد امام اعظم","Gardanah e Sakhi","گردنه سخی","گردنه سخی"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101026","Zabihullah Shaheed High School","لیسه عالی ذبیح الله شهید","لیسه عالی ذبیح الله شهید","Kart e Aryana","کارته آريانا","کارته آريانا"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101027","Sa'ad bin Abi Waqas Mosque","مسجد سعد بن ابی وقاص","مسجد سعد بن ابی وقاص","Sharq e Kart e Parwan","شرق کارته پروان","شرق کارته پروان"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101028","Wazeer Mohammad Akbar Khan Secondary School","مکتب متوسطه وزير محمد اکبر خان","مکتب متوسطه وزير محمد اکبر خان","Kart e Parwan","کارته پروان","کارته پروان"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101029","Naderia High School","ليسه نادريه","ليسه نادريه","Kart e Parwan","کارته پروان","کارته پروان"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101030","Omer Farooq Mosque","مسجد عمر فاروق","مسجد عمر فاروق","Kart e Parwan","کارته پروان","کارته پروان"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101031","Ma'az ibne Jabal Mosque","مسجد معاذ ابن جبل","مسجد معاذ ابن جبل","Kart e Parwan","کارته پروان","کارته پروان"
"01","KABUL","کابل","کابل","0101","Nahia 02","ناحیه 02","ناحیه 02","0101032","Abdullah bin Masoud Mosque","مسجد عبدالله بن مسعود","مسجد عبدالله بن مسعود","Bagh e Bala","باغ بالا","باغ بالا"
