"province_code","region_name_eng","province_name_eng","pc_plan_IEC","ps_planned_IEC","pc_plan_MOI","pc_plan_MOI_pct_IEC","pc_count_09_28","pc_count_09_29","pc_count_10_01","pc_reporting_pct_IEC_09_28","pc_reporting_pct_IEC_09_29","pc_reporting_pct_IEC_10_01","pc_reporting_pct_MOI_10_01","pc_remaining_pct_MOI_10_01","ps_reporting_09_29","ps_reporting_pct_IEC_09_29","partial_votes_09_28","partial_votes_09_29","partial_votes_10_01","net_change_pc_28_29","net_change_votes_28_29","net_change_pc_29_01","net_change_votes_29_01","avg_votes_pc_09_28","avg_votes_pc_09_29","avg_votes_pc_10_01","vr_total_2019","turnout_10_01_19","total_prelim_votes_2018","pct_change_votes_2018_10_01_19","vr_total_2018","pct_change_vr_18_19","turnout_2018","pct_change_turnout_2018_10_01_19","total_prelim_round_one_votes_2014","pct_change_votes_2014_10_01_19"
11,"Southeast","Ghazni",233,828,233,1,0,101,232,0,0.433476394849785,0.995708154506438,0.995708154506438,-0.00429184549356223,326,0.393719806763285,NA,22568,39740,101,NA,131,17172,NA,223.45,171.29,235213,0.168953246631776,NA,NA,NA,NA,NA,NA,360606,-0.889796620133886
12,"Southeast","Paktika",166,773,166,1,26,131,131,0.156626506024096,0.789156626506024,0.789156626506024,0.789156626506024,-0.210843373493976,612,0.791720569210867,3068,43590,45741,105,40522,0,2151,118,332.75,349.17,235727,0.194042260750784,37656,0.214706819630338,197487,0.193632998627758,0.190675841954154,0.0176551930340458,256735,-0.821835745028921
13,"Southeast","Paktya",194,1194,194,1,47,155,159,0.242268041237113,0.798969072164949,0.819587628865979,0.819587628865979,-0.180412371134021,NA,NA,11821,161678,161678,108,149857,4,0,251.51,1043.08,1016.84,400809,0.403379165637498,77247,1.09300037541911,381052,0.0518485665998341,0.202720363624912,0.989830515418074,184208,-0.122307391644228
14,"Southeast","Khost",186,835,186,1,154,182,185,0.827956989247312,0.978494623655914,0.994623655913978,0.994623655913978,-0.00537634408602151,NA,NA,50549,93205,94485,28,42656,3,1280,328.24,512.12,510.73,258116,0.366056346758822,79048,0.195286408258273,228469,0.129763775391847,0.345990046789718,0.0579967549797745,111852,-0.155267675142152
15,"East","Kunar",110,586,110,1,110,110,110,1,1,1,1,0,586,1,39998,67383,67383,0,27385,0,0,363.62,612.57,612.57,190880,0.353012363788768,83486,-0.192882639005342,169359,0.127073258580884,0.49295283982546,-0.283882077008098,109679,-0.385634442327155
16,"East","Nuristan",54,286,34,0.62962962962963,14,25,29,0.259259259259259,0.462962962962963,0.537037037037037,0.852941176470588,-0.147058823529412,132,0.461538461538462,7736,17805,23742,11,10069,4,5937,552.57,712.2,818.69,86189,0.275464386406618,20655,0.149455337690632,67054,0.285367017627584,0.308035314820891,-0.105737643858177,60655,-0.608573077240129
17,"Northeast","Badakhshan",276,1093,260,0.942028985507246,17,17,236,0.0615942028985507,0.0615942028985507,0.855072463768116,0.907692307692308,-0.0923076923076923,NA,NA,6028,6028,68038,0,0,219,62010,354.59,354.59,288.3,325327,0.209137268041079,158976,-0.572023450080515,295737,0.100055116539358,0.537558709258564,-0.610949902886823,292029,-0.7670162894781
18,"Northeast","Takhar",229,1026,215,0.938864628820961,41,41,169,0.179039301310044,0.179039301310044,0.737991266375546,0.786046511627907,-0.213953488372093,NA,NA,14466,14466,59864,0,0,128,45398,352.83,352.83,354.22,316568,0.189103131080842,175099,-0.658113410127985,288820,0.096073679108095,0.606256491932692,-0.688080649696636,318278,-0.811912856056655
19,"Northeast","Kunduz",98,581,91,0.928571428571429,46,46,62,0.469387755102041,0.469387755102041,0.63265306122449,0.681318681318681,-0.318681318681319,NA,NA,11541,11541,12763,0,0,16,1222,250.89,250.89,205.85,192546,0.0662854590591339,52251,-0.755736732311343,169674,0.13479967467025,0.307949361717175,-0.784752081675002,211026,-0.939519300939221
20,"North","Samangan",99,457,80,0.808080808080808,19,36,76,0.191919191919192,0.363636363636364,0.767676767676768,0.95,-0.05,NA,NA,15339,20560,39255,17,5221,40,18695,807.32,571.11,516.51,141504,0.277412652645862,76927,-0.489711024737738,135303,0.0458304693909226,0.568553542789147,-0.512072950447268,140418,-0.720441823697817
21,"North","Balkh",282,1467,151,0.535460992907801,100,155,158,0.354609929078014,0.549645390070922,0.560283687943262,1.04635761589404,0.0463576158940397,972,0.662576687116564,53334,74441,74441,55,21107,3,0,533.34,480.26,471.15,471967,0.157725010435052,209009,-0.64383830361372,442384,0.0668717675141958,0.472460577236066,-0.666162600575574,395520,-0.811789542880259
22,"North","Sar-e-Pul",82,436,71,0.865853658536585,33,64,65,0.402439024390244,0.780487804878049,0.792682926829268,0.915492957746479,-0.0845070422535211,NA,NA,16395,35509,35509,31,19114,1,0,496.82,554.83,546.29,140948,0.25192978970968,80368,-0.558169918375473,134767,0.0458643436449576,0.596347770596659,-0.577545516003827,148858,-0.761457227693507
23,"West","Ghor",181,798,126,0.696132596685083,35,74,109,0.193370165745856,0.408839779005525,0.602209944751381,0.865079365079365,-0.134920634920635,301,0.37719298245614,15054,35371,60483,39,20317,35,25112,430.11,477.99,554.89,250233,0.241706729328266,108712,-0.443640076532489,238466,0.0493445606501556,0.455880502880914,-0.469802442085563,292361,-0.793122201661644
24,"Central","Daykundi",252,658,252,1,246,243,252,0.976190476190476,0.964285714285714,1,1,0,637,0.968085106382979,69870,114310,117506,-3,44440,9,3196,284.02,470.41,466.29,179851,0.653351941329211,134695,-0.127614239578307,167337,0.0747832218815922,0.804932561238698,-0.188314682755809,171397,-0.314422072731728
25,"South","Uruzgan",32,200,32,1,4,24,24,0.125,0.75,0.75,0.75,-0.25,153,0.765,436,4414,5856,20,3978,0,1442,109,183.92,244,56952,0.102823430257059,12870,-0.544988344988345,56003,0.0169455207756727,0.229809117368712,-0.552570274694168,22900,-0.744279475982533
26,"South","Zabul",43,213,43,1,6,22,35,0.13953488372093,0.511627906976744,0.813953488372093,0.813953488372093,-0.186046511627907,108,0.507042253521127,490,17579,18378,16,17089,13,799,81.67,799.05,525.09,66489,0.276406623652033,13803,0.331449684851119,60915,0.091504555528195,0.226594434868259,0.219829709466317,20553,-0.105823967304043
27,"South","Kandahar",174,1584,169,0.971264367816092,43,151,167,0.247126436781609,0.867816091954023,0.959770114942529,0.988165680473373,-0.0118343195266272,1457,0.919823232323232,25153,182540,193624,108,157387,16,11084,584.95,1208.87,1159.43,558567,0.346644180554884,175944,0.100486518437685,510339,0.0945018899202295,0.344759071911024,0.00546790149251501,268537,-0.27896714419242
28,"North","Jawzjan",62,322,55,0.887096774193548,25,51,54,0.403225806451613,0.82258064516129,0.870967741935484,0.981818181818182,-0.0181818181818182,NA,NA,18215,36910,38135,26,18695,3,1225,728.6,723.73,706.2,103386,0.36886038728648,55371,-0.311282079066659,94794,0.0906386480156972,0.584119248053674,-0.368518691148172,149695,-0.745248672300344
29,"North","Faryab",109,655,65,0.596330275229358,30,60,59,0.275229357798165,0.55045871559633,0.541284403669725,0.907692307692308,-0.0923076923076923,395,0.603053435114504,8771,31674,43464,30,22903,-1,11790,292.37,527.9,736.68,220210,0.197375232732392,70419,-0.382780215566821,189467,0.162260446410193,0.371668944987782,-0.468948817505104,266195,-0.836721200623603
30,"South","Hilmand",97,937,97,1,68,61,97,0.701030927835051,0.628865979381443,1,1,0,775,0.827107790821772,18641,70218,115333,-7,51577,36,45115,274.13,1151.11,1189,323267,0.356773193675816,83405,0.382806786163899,303494,0.0651512056251524,0.274815976592618,0.298225809501206,105010,0.0983049233406342
31,"West","Badghis",76,335,45,0.592105263157895,0,27,76,0,0.355263157894737,1,1.68888888888889,0.688888888888889,117,0.349253731343284,NA,6889,9961,27,NA,49,3072,NA,255.15,131.07,101371,0.0982628167819199,44889,-0.778097083918109,86175,0.176338845372788,0.520905134899913,-0.81136139730932,121727,-0.918169346159849
32,"West","Hirat",300,1738,267,0.89,128,166,253,0.426666666666667,0.553333333333333,0.843333333333333,0.947565543071161,-0.052434456928839,NA,NA,57358,104459,120056,38,47101,87,15597,448.11,629.27,474.53,574055,0.209136755188963,339645,-0.646525048212104,539956,0.0631514419693456,0.629023475986932,-0.66752154224319,515416,-0.767069706799944
33,"West","Farah",50,226,43,0.86,0,0,50,0,0,1,1.16279069767442,0.162790697674419,0,0,NA,NA,22975,0,NA,50,NA,NA,NA,459.5,68638,0.334727119088552,25966,-0.11518909342987,62598,0.0964887057094476,0.414805584842966,-0.193050596907296,83649,-0.725340410524932
34,"South","Nimroz",50,284,50,1,11,49,50,0.22,0.98,1,1,0,272,0.957746478873239,3705,12637,12637,38,8932,1,0,336.82,257.9,252.74,91940,0.13744833587122,32583,-0.612159715188902,91674,0.00290158605493379,0.355422475292886,-0.613281811292445,45349,-0.72133894903967
