"region_name_eng","province_code","province_name_eng","pc_plan_IEC","ps_plan_IEC","pc_plan_MOI","pc_plan_MOI_pct_IEC","pc_plan_2018","pc_prelim_reporting_2018","pc_plan_IEC_pct_plan_18","pc_plan_MOI_pct_plan_18","pc_plan_IEC_pct_prelim_reporting_18","pc_plan_MOI_pct_prelim_reporting_18","pc_count_09_28","pc_count_09_29","pc_count_10_01","pc_count_10_03","pc_reporting_pct_IEC_09_28","pc_reporting_pct_IEC_09_29","pc_reporting_pct_IEC_10_01","pc_reporting_pct_IEC_10_03","pc_reporting_pct_2018","pc_reporting_pct_MOI_10_01","pc_reporting_pct_MOI_10_03","pc_remaining_pct_MOI_10_01","ps_reporting_09_29","ps_reporting_pct_IEC_09_29","ps_reporting_10_03","ps_reporting_pct_IEC_10_03","partial_votes_09_28","partial_votes_09_29","partial_votes_10_01","partial_votes_10_03","net_change_pc_28_29","net_change_votes_28_29","net_change_pc_29_01","net_change_votes_29_01","net_change_pc_01_03","net_change_votes_01_03","avg_votes_pc_09_28","avg_votes_pc_09_29","avg_votes_pc_10_01","avg_votes_pc_10_03","vr_total_2019","turnout_10_03_19","total_prelim_votes_2018","pct_change_votes_2018_10_03_19","vr_total_2018","pct_change_vr_18_19","turnout_2018","pct_change_turnout_2018_10_03_19","total_prelim_round_one_votes_2014","pct_change_votes_2014_10_03_19","pct_natl_vote_10_03_19","pct_natl_vr_19","pct_natl_vote_2018","pct_natl_vr_18","pct_natl_vote_2014"
"South","27","Kandahar",174,1584,169,0.971264368,144,169,1.20833333333333,1.17361111111111,1.02958579881657,1,43,151,167,167,0.247126437,0.867816092,0.959770115,0.959770115,1.17361111111111,0.98816568,0.98816568,0.01183432,1457,0.919823232,1567,0.989267677,25153,182540,193624,193741,108,157387,16,11084,0,117,584.95,1208.87,1159.43,1160.13,558567,0.346853645131202,175944,0.101151502750875,510339,0.0945018899202295,0.344759071911024,0.00607546948240581,268537,-0.278531450042266,0.071865320914429,0.057870794626629,0.0480790934206319,0.0588446709343377,0.0403321226852777
"Capital","02","Kapisa",80,481,77,0.9625,80,77,1,0.9625,1.03896103896104,1,25,77,78,77,0.3125,0.9625,0.975,0.9625,0.9625,1.012987013,1,-0.012987013,464,0.964656965,462,0.96049896,10140,34435,34435,34435,52,24295,1,0,-1,0,405.6,447.21,441.47,447.21,160818,0.214124040841199,44585,-0.227655040933049,143971,0.117016621402921,0.309680421751603,-0.308564488416546,64569,-0.466694543821338,0.0127731472723294,0.0166616814997399,0.0121834582603492,0.0166005853346257,0.00969775051358172
"Southeast","14","Khost",186,835,186,1,186,176,1,1,1.05681818181818,1.05681818181818,154,182,185,185,0.827956989,0.978494624,0.994623656,0.994623656,0.946236559139785,0.994623656,0.994623656,0.005376344,NA,NA,834,0.998802395,50549,93205,94485,94485,28,42656,3,1280,0,0,328.24,512.12,510.73,510.73,258116,0.366056346758822,79048,0.195286408258273,228469,0.129763775391847,0.345990046789718,0.0579967549797745,111852,-0.155267675142152,0.035047794976798,0.026742321021197,0.0216009422129434,0.0263436326122385,0.0167992812409228
"East","15","Kunar",110,586,110,1,110,108,1,1,1.01851851851852,1.01851851851852,110,110,110,110,1,1,1,1,0.981818181818182,1,1,0,586,1,586,1,39998,67383,67383,67383,0,27385,0,0,0,0,363.62,612.57,612.57,612.57,190880,0.353012363788768,83486,-0.192882639005342,169359,0.127073258580884,0.49295283982546,-0.283882077008098,109679,-0.385634442327155,0.0249947141760235,0.0197762797987187,0.0228136861348775,0.0195279502933707,0.0164729139150231
"Northeast","19","Kunduz",98,581,91,0.928571429,98,78,1,0.928571428571429,1.25641025641026,1.16666666666667,46,46,62,61,0.469387755,0.469387755,0.632653061,0.62244898,0.795918367346939,0.681318681,0.67032967,0.318681319,NA,NA,393,0.676419966,11541,11541,12763,12881,0,0,16,1222,-1,118,250.89,250.89,205.85,211.16,192546,0.0668982996271021,52251,-0.753478402327228,169674,0.13479967467025,0.307949361717175,-0.782762012383899,211026,-0.938960128135869,0.0047780139397379,0.0199488871024942,0.0142782971304588,0.0195642713884552,0.0316944276646548
"East","07","Laghman",79,513,79,1,79,68,1,1,1.16176470588235,1.16176470588235,46,59,68,66,0.582278481,0.746835443,0.860759494,0.835443038,0.860759493670886,0.860759494,0.835443038,0.139240506,438,0.85380117,461,0.898635478,13736,27333,27537,27537,13,13597,9,204,-2,0,298.61,463.27,404.96,417.23,173286,0.158910702538001,46136,-0.403134211895266,156944,0.104126312570089,0.293964726271791,-0.459422548571094,82108,-0.664624640717104,0.0102144375326886,0.017953438920792,0.0126072901267123,0.0180964379267873,0.0123319688886179
"Capital","05","Logar",34,310,34,1,34,31,1,1,1.09677419354839,1.09677419354839,10,30,33,33,0.294117647,0.882352941,0.970588235,0.970588235,0.911764705882353,0.970588235,0.970588235,0.029411765,206,0.664516129,279,0.9,2784,19981,19981,22939,20,17197,3,0,0,2958,278.4,666.03,605.48,695.12,107559,0.21326899655073,24637,-0.0689207289848602,92011,0.168979795893969,0.267761463303301,-0.203511237503379,32866,-0.30204466622041,0.00850887832960544,0.0111437388876278,0.00673239567478351,0.0106093342216435,0.00493621193420026
"Capital","04","Maydanwardak",106,516,75,0.70754717,106,81,1,0.707547169811321,1.30864197530864,0.925925925925926,67,64,84,83,0.632075472,0.603773585,0.79245283,0.783018868,0.764150943396226,1.12,1.106666667,-0.12,265,0.513565891,392,0.759689922,4763,20560,20560,20560,-3,15797,20,0,-1,0,71.09,321.25,244.76,247.71,162244,0.126722713937033,59102,-0.652126831579304,144419,0.123425588045894,0.409239781469197,-0.690346052179751,96262,-0.786416239014357,0.00762642392679227,0.0168094234056126,0.0161504261546071,0.0166522420031903,0.0144577871724574
"East","06","Nangarhar",395,2534,395,1,394,368,1.00253807106599,1.00253807106599,1.07336956521739,1.07336956521739,309,390,394,394,0.782278481,0.987341772,0.997468354,0.997468354,0.934010152284264,0.997468354,0.997468354,0.002531646,2509,0.990134175,2529,0.998026835,22813,254871,255052,255052,81,232058,4,181,0,0,73.83,653.52,647.34,647.34,856243,0.297873384074381,265207,-0.0382908445101374,794133,0.0782110805117027,0.333957913850703,-0.108051129437985,332224,-0.232289057984974,0.0946077176739407,0.0887117620688094,0.0724714234574952,0.0915675561991116,0.0498974038102522
"South","34","Nimroz",50,284,50,1,50,50,1,1,1,1,11,49,50,50,0.22,0.98,1,1,1,1,1,0,272,NA,284,1,3705,12637,12637,12739,38,8932,1,0,0,102,336.82,257.9,252.74,254.78,91940,0.138557755057646,32583,-0.609029248381058,91674,0.00290158605493379,0.355422475292886,-0.610160401523658,45349,-0.719089726344572,0.00472534116748087,0.00952551951327641,0.00890374835700252,0.0105704764151563,0.00681105930152886
"East","16","Nuristan",54,286,34,0.62962963,54,32,1,0.62962962962963,1.6875,1.0625,14,25,29,29,0.259259259,0.462962963,0.537037037,0.537037037,0.592592592592593,0.852941176,0.852941176,0.147058824,132,0.461538462,169,0.590909091,7736,17805,23742,23742,11,10069,4,5937,0,0,552.57,712.2,818.69,818.69,86189,0.275464386406618,20655,0.149455337690632,67054,0.285367017627584,0.308035314820891,-0.105737643858177,60655,-0.608573077240129,0.00880673914736877,0.00892968241602981,0.00564425996114191,0.00773166574537921,0.00910989882763089
"Southeast","12","Paktika",166,773,166,1,166,159,1,1,1.0440251572327,1.0440251572327,26,131,131,165,0.156626506,0.789156627,0.789156627,0.993975904,0.957831325301205,0.789156627,0.993975904,0.210843373,612,0.791720569,766,0.990944373,3068,43590,45741,48852,105,40522,0,2151,34,3111,118,332.75,349.17,296.07,235727,0.207239730705435,37656,0.297323135755258,197487,0.193632998627758,0.190675841954154,0.0868693620624649,256735,-0.809718191909946,0.0181209173964813,0.0244226902143366,0.0102900146742561,0.0227712511268187,0.0385595561043907
"Southeast","13","Paktya",194,1194,194,1,194,132,1,1,1.46969696969697,1.46969696969697,47,155,159,159,0.242268041,0.798969072,0.819587629,0.819587629,0.680412371134021,0.819587629,0.819587629,0.180412371,NA,NA,983,0.823283082,11821,161678,161678,161655,108,149857,4,0,0,-23,251.51,1043.08,1016.84,1016.7,400809,0.403321781696519,77247,1.09270262922832,381052,0.0518485665998341,0.202720363624912,0.989547445972295,184208,-0.122432250499435,0.059963499994436,0.0415261469501502,0.0211087944429111,0.0439372251559674,0.0276665772523326
"Capital","08","Panjsher",96,295,96,1,96,96,1,1,1,1,96,96,96,96,1,1,1,1,1,1,1,0,295,1,295,1,10144,19205,19205,19205,0,9061,0,0,0,0,105.67,200.05,200.05,200.05,77305,0.248431537416726,32847,-0.415319511675343,73737,0.0483881904606914,0.445461572887424,-0.442305346774527,42536,-0.548500094037991,0.00712380698025513,0.00800924827032666,0.0089758899512771,0.0085022494864889,0.00638856906326119
"Capital","03","Parwan",154,704,154,1,154,154,1,1,1,1,37,153,153,153,0.24025974,0.993506494,0.993506494,0.993506494,1,0.993506494,0.993506494,0.006493506,703,0.998579545,703,0.998579545,14208,42183,42183,42257,116,27975,0,0,0,74,384,275.71,275.71,276.19,218935,0.193011624454747,86814,-0.513246711359919,212499,0.0302872013515358,0.40853839312185,-0.527555726207648,147774,-0.714043065762583,0.0156746009666567,0.0226829412077352,0.0237231074445207,0.0245022107439875,0.0221944800816804
"North","20","Samangan",99,457,80,0.808080808,100,92,0.99,0.8,1.07608695652174,0.869565217391304,19,36,76,76,0.191919192,0.363636364,0.767676768,0.767676768,0.92,0.95,0.95,0.05,NA,NA,375,0.820568928,15339,20560,39255,39255,17,5221,40,18695,0,0,807.32,571.11,516.51,516.51,141504,0.277412652645862,76927,-0.489711024737738,135303,0.0458304693909226,0.568553542789147,-0.512072950447268,140418,-0.720441823697817,0.0145610540489412,0.0146606386035095,0.0210213500862147,0.0156011210419519,0.0210896673576502
"North","22","Sar-e-Pul",82,436,71,0.865853659,82,73,1,0.865853658536585,1.12328767123288,0.972602739726027,33,64,65,65,0.402439024,0.780487805,0.792682927,0.792682927,0.890243902439024,0.915492958,0.915492958,0.084507042,NA,NA,373,0.855504587,16395,35509,35509,35509,31,19114,1,0,0,0,496.82,554.83,546.29,546.29,140948,0.25192978970968,80368,-0.558169918375473,134767,0.0458643436449576,0.596347770596659,-0.577545516003827,148858,-0.761457227693507,0.0131715314794001,0.0146030337650346,0.0219616501843163,0.0155393175277764,0.0223572882645038
"Northeast","18","Takhar",229,1026,215,0.938864629,229,214,1,0.938864628820961,1.07009345794393,1.00467289719626,41,41,169,167,0.179039301,0.179039301,0.737991266,0.729257642,0.934497816593886,0.786046512,0.776744186,0.213953488,NA,NA,791,0.770955166,14466,14466,59864,64055,0,0,128,45398,-2,4191,352.83,352.83,354.22,383.56,316568,0.202341992873569,175099,-0.634178379088401,288820,0.096073679108095,0.606256491932692,-0.666243585732961,318278,-0.798745122188778,0.0237602424431264,0.0327982886804317,0.0478481856662304,0.0333024085152328,0.0478028254729322
"South","25","Uruzgan",32,200,32,1,29,28,1.10344827586207,1.10344827586207,1.14285714285714,1.14285714285714,4,24,24,30,0.125,0.75,0.75,0.9375,0.96551724137931,0.75,0.9375,0.25,153,0.765,196,0.98,436,4414,5856,6005,20,3978,0,1442,6,149,109,183.92,244,200.17,56952,0.105439668492766,12870,-0.533411033411033,56003,0.0169455207756727,0.229809117368712,-0.541185877653429,22900,-0.737772925764192,0.00222746477044687,0.00590055892234194,0.00351690272088581,0.00645742948576478,0.00343939795816911
"South","26","Zabul",43,213,43,1,43,42,1,1,1.02380952380952,1.02380952380952,6,22,35,36,0.139534884,0.511627907,0.813953488,0.837209302,0.976744186046512,0.813953488,0.837209302,0.186046512,108,0.507042254,197,0.924882629,490,17579,18378,18378,16,17089,13,799,1,0,81.67,799.05,525.09,510.5,66489,0.276406623652033,13803,0.331449684851119,60915,0.091504555528195,0.226594434868259,0.219829709466317,20553,-0.105823967304043,0.00681704372211032,0.00688864767150572,0.00377185767337893,0.00702380795895509,0.00308689721546942
