"province_code","pc_code","ps_code","scan_filename","target_url","link_broken"
"11","1101036","1101036-01","1101036-01-M_cr_12230.png","https://edss.iec.org.af/resultssheets/11/1101/1101036/1101036-01-M_cr_12230.png","YES"
"11","1113276","1113276-03","1113276-03-M_cr_12574.png","https://edss.iec.org.af/resultssheets/11/1113/1113276/1113276-03-M_cr_12574.png","YES"
"12","1202017","1202017-04","1202017-04-F_cr_13067.png","https://edss.iec.org.af/resultssheets/12/1202/1202017/1202017-04-F_cr_13067.png","YES"
"12","1203034","1203034-05","1203034-05-M_cr_13139.png","https://edss.iec.org.af/resultssheets/12/1203/1203034/1203034-05-M_cr_13139.png","YES"
"12","1207074","1207074-04","1207074-04-M_cr_13307.png","https://edss.iec.org.af/resultssheets/12/1207/1207074/1207074-04-M_cr_13307.png","YES"
"12","1209113","1209113-04","1209113-04-M_cr_13413.png","https://edss.iec.org.af/resultssheets/12/1209/1209113/1209113-04-M_cr_13413.png","YES"
"12","1209113","1209113-06","1209113-06-M_cr_13415.png","https://edss.iec.org.af/resultssheets/12/1209/1209113/1209113-06-M_cr_13415.png","YES"
"12","1210124","1210124-01","1210124-01-M_cr_13465.png","https://edss.iec.org.af/resultssheets/12/1210/1210124/1210124-01-M_cr_13465.png","YES"
"12","1210124","1210124-03","1210124-03-M_cr_13467.png","https://edss.iec.org.af/resultssheets/12/1210/1210124/1210124-03-M_cr_13467.png","YES"
"13","1305071","1305071-01","1305071-01-M_cr_14157.png","https://edss.iec.org.af/resultssheets/13/1305/1305071/1305071-01-M_cr_14157.png","YES"
"13","1305071","1305071-02","1305071-02-M_cr_14158.png","https://edss.iec.org.af/resultssheets/13/1305/1305071/1305071-02-M_cr_14158.png","YES"
"13","1310162","1310162-01","1310162-01-M_cr_14671.png","https://edss.iec.org.af/resultssheets/13/1310/1310162/1310162-01-M_cr_14671.png","YES"
"26","2602020","2602020-01","2602020-01-M_cr_23606.png","https://edss.iec.org.af/resultssheets/26/2602/2602020/2602020-01-M_cr_23606.png","YES"
"27","2704082","2704082-07","2704082-07-F_cr_24674.png","https://edss.iec.org.af/resultssheets/27/2704/2704082/2704082-07-F_cr_24674.png","YES"
"27","2704085","2704085-02","2704085-02-M_cr_24688.png","https://edss.iec.org.af/resultssheets/27/2704/2704085/2704085-02-M_cr_24688.png","YES"
"27","2704086","2704086-02","2704086-02-M_cr_24692.png","https://edss.iec.org.af/resultssheets/27/2704/2704086/2704086-02-M_cr_24692.png","YES"
"27","2711172","2711172-07","2711172-07-M_cr_25100.png","https://edss.iec.org.af/resultssheets/27/2711/2711172/2711172-07-M_cr_25100.png","YES"
"30","3001019","3001019-20","3001019-20-F_cr_26669.png","https://edss.iec.org.af/resultssheets/30/3001/3001019/3001019-20-F_cr_26669.png","YES"
"32","3210295","3210295-01","3210295-01-M_cr_29023.png","https://edss.iec.org.af/resultssheets/32/3210/3210295/3210295-01-M_cr_29023.png","YES"
