"pc","list_position","x"
"0102298 - Qalla e Babu Training Center - 102298",1,"#pc > option:nth-child(1)"
"0102299 - Ibrahim Khil High School - 102299",2,"#pc > option:nth-child(2)"
"0102376 - Paghman District Office - 102376",3,"#pc > option:nth-child(3)"
"0102377 - Abdullah Bin Omer Secondary School - 102377",4,"#pc > option:nth-child(4)"
"0102378 - Al Taqwa High School - 102378",5,"#pc > option:nth-child(5)"
"0102379 - Khwaja Lakan High School - 102379",6,"#pc > option:nth-child(6)"
"0102380 - Pashayee Boys High School - 102380",7,"#pc > option:nth-child(7)"
"0102381 - Hassan ul Basari School - 102381",8,"#pc > option:nth-child(8)"
"0102382 - Saaha e Kochi ha (Kochis location) - 102382",9,"#pc > option:nth-child(9)"
"0102383 - Murghgeeran clinic - 102383",10,"#pc > option:nth-child(10)"
"0102384 - Omer Farouq Secondary School - 102384",11,"#pc > option:nth-child(11)"
"0102385 - Hazrat Abubaker Sedique School - 102385",12,"#pc > option:nth-child(12)"
"0102386 - Cheheltan High School - 102386",13,"#pc > option:nth-child(13)"
"0102387 - Sufi Ashqari High School - 102387",14,"#pc > option:nth-child(14)"
"0102388 - Hazrat Khalid Bin Waleed High School - 102388",15,"#pc > option:nth-child(15)"
"0102389 - Oryakhil Secondary School - 102389",16,"#pc > option:nth-child(16)"
"0102390 - Khaldari Mosque - 102390",17,"#pc > option:nth-child(17)"
"0102391 - Khwaja Musafir High School - 102391",18,"#pc > option:nth-child(18)"
"0102392 - Kashkak Primary School - 102392",19,"#pc > option:nth-child(19)"
"0102393 - Paghman e Qashang Secondary School - 102393",20,"#pc > option:nth-child(20)"
"0102394 - Alfalah Secondary School - 102394",21,"#pc > option:nth-child(21)"
"0102395 - Qalla e Malik High School - 102395",22,"#pc > option:nth-child(22)"
"0102396 - Abdullah Bin Abas High School - 102396",23,"#pc > option:nth-child(23)"
"0102397 - Samochak Primary School - 102397",24,"#pc > option:nth-child(24)"
"0102398 - Hazrat Usman Secondary School - 102398",25,"#pc > option:nth-child(25)"
"0103399 - Nawniaz Girls Primary School - 103399",1,"#pc > option:nth-child(1)"
"0103400 - Lewan Khil Mosque - 103400",2,"#pc > option:nth-child(2)"
"0103401 - Chehel Dukhtaran Mosque - 103401",3,"#pc > option:nth-child(3)"
"0103402 - Ilyas Khil Mosque - 103402",4,"#pc > option:nth-child(4)"
"0103403 - Haji Marjan Mosque - 103403",5,"#pc > option:nth-child(5)"
"0103404 - Malalai Shaheed High School - 103404",6,"#pc > option:nth-child(6)"
"0103405 - Khairabad Jame Mosque - 103405",7,"#pc > option:nth-child(7)"
"0103406 - Chahar Souq Mosque - 103406",8,"#pc > option:nth-child(8)"
"0103407 - Chahar Aasyab Boys High School - 103407",9,"#pc > option:nth-child(9)"
"0103408 - Qalla e Luqman Primary School - 103408",10,"#pc > option:nth-child(10)"
"0103409 - Reeshkhor Ulya Primary School - 103409",11,"#pc > option:nth-child(11)"
"0103410 - Tangi Sayeedan Girls High School - 103410",12,"#pc > option:nth-child(12)"
"0103411 - Lalandar clinic - 103411",13,"#pc > option:nth-child(13)"
"0104412 - Butkhak Boys High School - 104412",1,"#pc > option:nth-child(1)"
"0104413 - Wyearr Ahmadzai High School - 104413",2,"#pc > option:nth-child(2)"
"0104414 - Imam Abu Haneefa Mosque - 104414",3,"#pc > option:nth-child(3)"
"0104415 - Hussain Khil High School - 104415",4,"#pc > option:nth-child(4)"
"0104416 - Sheena Boys High School - 104416",5,"#pc > option:nth-child(5)"
"0104417 - Sheena Girls High School - 104417",6,"#pc > option:nth-child(6)"
"0104418 - Abdul Shukoor Reshad High School - 104418",7,"#pc > option:nth-child(7)"
"0104419 - Qalla e Ahmad Khan Girls High School - 104419",8,"#pc > option:nth-child(8)"
"0104420 - Qalla e Noman High School - 104420",9,"#pc > option:nth-child(9)"
"0104421 - Qalla e Wazeer Girls High School - 104421",10,"#pc > option:nth-child(10)"
"0104422 - Shaheed Mohammad Arif Zareef Secondary School - 104422",11,"#pc > option:nth-child(11)"
"0104423 - Zahoor Sahak Boys High School - 104423",12,"#pc > option:nth-child(12)"
"0104424 - Shewaki Boys High School - 104424",13,"#pc > option:nth-child(13)"
"0104425 - Qalla e Hassan Khan Jame Mosque - 104425",14,"#pc > option:nth-child(14)"
"0104426 - Shaheed Malik Gul Rahman High School - 104426",15,"#pc > option:nth-child(15)"
"0104427 - Kamari Girls High School - 104427",16,"#pc > option:nth-child(16)"
"0104428 - Karez Bakar Primary School - 104428",17,"#pc > option:nth-child(17)"
"0104557 - مسجد سفید حضرت بلال - 104557",18,"#pc > option:nth-child(18)"
"0104558 - مکتب شهید شمالی - 104558",19,"#pc > option:nth-child(19)"
"0105429 - Kakarr Jame Mosque - 105429",1,"#pc > option:nth-child(1)"
"0105430 - Qais wa Lawang Mosque - 105430",2,"#pc > option:nth-child(2)"
"0105431 - Deh Sabz Khas Secondary School - 105431",3,"#pc > option:nth-child(3)"
"0105432 - Khwaja Ghar Secondary School - 105432",4,"#pc > option:nth-child(4)"
"0105433 - Deh Sabz Khas Girls High School - 105433",5,"#pc > option:nth-child(5)"
"0105434 - Baba Qashqar vocational School - 105434",6,"#pc > option:nth-child(6)"
"0105435 - Aabdara High School - 105435",7,"#pc > option:nth-child(7)"
"0105436 - Shiekho Secondary School - 105436",8,"#pc > option:nth-child(8)"
"0105437 - Shiekh Saduddin Mohammad Ansari Secondary School - 105437",9,"#pc > option:nth-child(9)"
"0105438 - Malik Zargul Mosque - 105438",10,"#pc > option:nth-child(10)"
"0105439 - Khwaja Chesht High School - 105439",11,"#pc > option:nth-child(11)"
"0105440 - Pacha Sahib Boys School - 105440",12,"#pc > option:nth-child(12)"
"0105441 - Deh Yahya High School - 105441",13,"#pc > option:nth-child(13)"
"0105442 - Haji Ahmad Shah Mosque - 105442",14,"#pc > option:nth-child(14)"
"0105443 - Pul e Sangi Health Clinic - 105443",15,"#pc > option:nth-child(15)"
