"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5445,1979,7424
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5629,2648,8277
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",8088,3822,11910
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",11780,4751,16549
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",8780,4764,13761
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-06","KABUL NAHIA 06","كابل - ناحيه 06","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",26138,21548,48667
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-07","KABUL NAHIA 07","كابل - ناحيه 07","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",12624,6266,18902
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-08","KABUL NAHIA 08","كابل - ناحيه 08","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",9253,4253,13506
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-09","KABUL NAHIA 09","كابل - ناحيه 09","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",9072,2896,12360
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل","0101","KABUL","كابل","0101-10","KABUL NAHIA 10","كابل - ناحيه 10","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",14316,7109,21527
