"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",241870,131015,389584
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",1778,1615,3530
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",179,130,329
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",499,375,904
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",170613,73412,248220
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",430,371,838
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",38863,23733,64811
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",11316,2849,14408
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",2573,1277,3962
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",43247,13996,59107
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","01","KABUL","کابل",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",881,538,1466
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",31689,20692,52544
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",104,100,204
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",10,11,21
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",18,23,41
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2026,703,2745
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",19,15,34
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",1713,2026,3745
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",2575,779,3363
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",88,20,108
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",2805,1012,3825
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","02","KAPISA","کاپیسا",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",105,31,136
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",66548,39532,107478
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",517,461,1001
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",36,42,78
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",56,43,99
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",6205,2085,8395
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",61,62,124
