"province_code","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital"
"01","0114","BAGRAMI","بگرامی","0114","BAGRAMI","بگرامی","NO"
"01","0115","SURUBI KABUL","سروبی","0115","SURUBI KABUL","سروبی","NO"
"02","0201"," MAHMOOD RAQI","مرکز کاپيسا ‐ محمود راقی","0201"," MAHMOOD RAQI","مرکز کاپيسا ‐ محمود راقی","YES"
"02","0202","HESA DUWUM KOHISTAN","حصه دوم کوھستان","0202","HESA DUWUM KOHISTAN","حصه دوم کوھستان","NO"
"02","0203","KOHISTAN HESA AWAL","حصه اول کوھستان","0203","KOHISTAN HESA AWAL","حصه اول کوھستان","NO"
"02","0204","NAJRAB","نجراب","0204","NAJRAB","نجراب","NO"
"02","0205","KOH BAND","کوه بند","0205","KOH BAND","کوه بند","NO"
"02","0206","TAGAB","تگاب","0206","TAGAB","تگاب","NO"
"02","0207","ALASAI","اله سای","0207","ALASAI","اله سای","NO"
"03","0301"," CHARIKAR","مرکزپروان‐ چاريکار","0301"," CHARIKAR","مرکزپروان‐ چاريکار","YES"
"03","0302","SAYID KHAIL","سيد خيل","0302","SAYID KHAIL","سيد خيل","NO"
"03","0303","JABUL SARAJ","جبل السراج","0303","JABUL SARAJ","جبل السراج","NO"
"03","0304","SALANK","سالنگ","0304","SALANK","سالنگ","NO"
"03","0305","SHENWARI","شينواری","0305","SHENWARI","شينواری","NO"
"03","0306","SEYAGERD GHORBAND","سياه گرد )غوربند(","0306","SEYAGERD GHORBAND","سياه گرد )غوربند(","NO"
"03","0307","BAGRAM","بگرام","0307","BAGRAM","بگرام","NO"
"03","0308","KOHE SAFI","کوه صافی","0308","KOHE SAFI","کوه صافی","NO"
"03","0309","SHAIKH ALI","شيخ علی","0309","SHAIKH ALI","شيخ علی","NO"
"03","0310","SORKH PARSA","سرخ پارساء","0310","SORKH PARSA","سرخ پارساء","NO"
"04","0401"," MAIDAN‐SHAHR","مرکز وردک ‐ ميدان شھر","0401"," MAIDAN‐SHAHR","مرکز وردک ‐ ميدان شھر","YES"
"04","0402","JALRAIZ","جلريز","0402","JALRAIZ","جلريز","NO"
