"province_code","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital"
"22","2211","QARAM QUL","قرم قل","2211","QARAM QUL","قرم قل","NO"
"22","2212","KHAN‐E‐CHARBAGH","خان چارباغ","2212","KHAN‐E‐CHARBAGH","خان چارباغ","NO"
"22","2213","ANDKHOI","اندخوی","2213","ANDKHOI","اندخوی","NO"
"22","2214","QURGHAN","قرغان","2214","QURGHAN","قرغان","NO"
"23","2301"," QALA-I-NOW","مرکزبادغيس - قلعه نو","2301"," QALA-I-NOW","مرکزبادغيس - قلعه نو","YES"
"23","2302","MUQUR BADGHIS","مقر","2302","MUQUR BADGHIS","مقر","NO"
"23","2303","AB KAMARI","آبکمری","2303","AB KAMARI","آبکمری","NO"
"23","2304","QADIS","قادس","2304","QADIS","قادس","NO"
"23","2305","JAWAND","جوند","2305","JAWAND","جوند","NO"
"23","2306","GHORMACH","غورماچ","2306","GHORMACH","غورماچ","NO"
"23","2307","MURGHAB","بالا مرغاب","2307","MURGHAB","بالا مرغاب","NO"
"24","2401"," HERAT","مرکزولايت )ھرات(","2401"," HERAT","مرکزولايت )ھرات(","YES"
"24","2402","ENJIL","انجيل","2402","ENJIL","انجيل","NO"
"24","2403","GUZERA","نظام شھيد )گذره(","2403","GUZERA","نظام شھيد )گذره(","NO"
"24","2404","PASHTON ZARGHOON","پشتون زرغون","2404","PASHTON ZARGHOON","پشتون زرغون","NO"
"24","2405","KARUKH","کرخ","2405","KARUKH","کرخ","NO"
"24","2406","KUSHK","کشک )رباط سنگی(","2406","KUSHK","کشک )رباط سنگی(","NO"
"24","2407","GULRAN","گلران","2407","GULRAN","گلران","NO"
"24","2408","KOHSAN","کھسان","2408","KOHSAN","کھسان","NO"
"24","2409","GHORYAN","غوريان","2409","GHORYAN","غوريان","NO"
"24","2410","ZENDAJAN","زنده جان","2410","ZENDAJAN","زنده جان","NO"
"24","2411","ADRASKAN","ادرسکن","2411","ADRASKAN","ادرسکن","NO"
"24","2412","SHINDAND","شيندند","2412","SHINDAND","شيندند","NO"
"24","2413","FARSI","فرسی","2413","FARSI","فرسی","NO"
"24","2414","OBEH","اوبه","2414","OBEH","اوبه","NO"
"24","2415","CHESHTOSHARIF","چشت شريف","2415","CHESHTOSHARIF","چشت شريف","NO"
"24","2416","KISHK‐I‐KAHNA","کشک کھنه","2416","KISHK‐I‐KAHNA","کشک کھنه","NO"
"25","2501"," FARAH","مرکزفراه - فراه","2501"," FARAH","مرکزفراه - فراه","YES"
"25","2502","POSHT-I- ROOD","پشت رود","2502","POSHT-I- ROOD","پشت رود","NO"
"25","2503","KHAK-I-SAFEID","خاک سفيد","2503","KHAK-I-SAFEID","خاک سفيد","NO"
"25","2504","ANAR DARAH","انار دره","2504","ANAR DARAH","انار دره","NO"
"25","2505","QALA-I-KAH","قلعه کاه","2505","QALA-I-KAH","قلعه کاه","NO"
"25","2506","SHEIB KOH","شيب کوه","2506","SHEIB KOH","شيب کوه","NO"
"25","2507","LASH JAWEEN","لاش جوين","2507","LASH JAWEEN","لاش جوين","NO"
"25","2508","BAKWA","بکواه","2508","BAKWA","بکواه","NO"
"25","2509","BALA BLOOK","بالا بلوک","2509","BALA BLOOK","بالا بلوک","NO"
"25","2510","GULESTAN","گلستان","2510","GULESTAN","گلستان","NO"
"25","2511","PUR CHAMAN","پرچمن","2511","PUR CHAMAN","پرچمن","NO"
"26","2601"," - ZARANJ","مرکزنيمروز- زرنج","2601"," - ZARANJ","مرکزنيمروز- زرنج","YES"
"26","2602","KANG","کنگ","2602","KANG","کنگ","NO"
"26","2603","CHAR BORJAK","چار برجک","2603","CHAR BORJAK","چار برجک","NO"
"26","2604","ASEL CHAKHANSUR","اصل چخانسور","2604","ASEL CHAKHANSUR","اصل چخانسور","NO"
"26","2605","KHASHROAD","خاشرود","2605","KHASHROAD","خاشرود","NO"
"26","2606","DELARAM","دلارام","2606","DELARAM","دلارام","NO"
"27","2701"," LASHKAR GAH","مرکزھلمند‐ لشکرگاه","2701"," LASHKAR GAH","مرکزھلمند‐ لشکرگاه","YES"
"27","2702","NAHRE SARAJ","نھرسراج","2702","NAHRE SARAJ","نھرسراج","NO"
"27","2703","NAD ALI","نادعلی","2703","NAD ALI","نادعلی","NO"
"27","2704","NAWEI BARUKZAI","ناوه بارکزايی","2704","NAWEI BARUKZAI","ناوه بارکزايی","NO"
"27","2705","GARM SEIR","گرم سير","2705","GARM SEIR","گرم سير","NO"
"27","2706","SANGIN QALAH","سنگين قلعه","2706","SANGIN QALAH","سنگين قلعه","NO"
"27","2707","KAJAKI","کجکی","2707","KAJAKI","کجکی","NO"
"27","2708","BUGHRAN","باغران","2708","BUGHRAN","باغران","NO"
"27","2709","MOOSA QALAH","موسی قلعه","2709","MOOSA QALAH","موسی قلعه","NO"
"27","2710","NAWZAD","نوزاد","2710","NAWZAD","نوزاد","NO"
"27","2711","WASHEIR","واشير","2711","WASHEIR","واشير","NO"
"27","2712","REIG KHAN SHEEN","ريگ خان نشين","2712","REIG KHAN SHEEN","ريگ خان نشين","NO"
"27","2713","DESHO","ديشو","2713","DESHO","ديشو","NO"
"28","2801"," KANDAHAR","مرکزکندھار- کندھار","2801"," KANDAHAR","مرکزکندھار- کندھار","YES"
"28","2802","DAMAN","دامان","2802","DAMAN","دامان","NO"
"28","2803","SHAH WALI KOT","شاه ولي كوټ","2803","SHAH WALI KOT","شاه ولي كوټ","NO"
"28","2804","ARGHANDAB KANDAHAR","ارغنداب","2804","ARGHANDAB KANDAHAR","ارغنداب","NO"
"28","2805","KHAK REIZ","خاک ريز","2805","KHAK REIZ","خاک ريز","NO"
"28","2806","GHORAK","غورك","2806","GHORAK","غورك","NO"
"28","2807","MAIWAND","ميوند","2807","MAIWAND","ميوند","NO"
"28","2808","ZHERAI","ژری","2808","ZHERAI","ژری","NO"
"28","2809","PANJAI","پنجوائی","2809","PANJAI","پنجوائی","NO"
"28","2810","REGESTAN","ريګستان","2810","REGESTAN","ريګستان","NO"
"28","2811","SHORABAK","شورابك","2811","SHORABAK","شورابك","NO"
"28","2812","ESPEEN BOLDAK","سپين بولدک","2812","ESPEEN BOLDAK","سپين بولدک","NO"
"28","2813","ARGHESTAN","ارغستان","2813","ARGHESTAN","ارغستان","NO"
"28","2814","MAROOF","معروف","2814","MAROOF","معروف","NO"
"28","2815","MYANESHEEN","ميانشين","2815","MYANESHEEN","ميانشين","NO"
"28","2816","NISH","نيش","2816","NISH","نيش","NO"
"29","2901"," QALAT","مرکززابل ‐ قلات","2901"," QALAT","مرکززابل ‐ قلات","YES"
"29","2902","SHAH JOI","شاه جوی","2902","SHAH JOI","شاه جوی","NO"
"29","2903","ARGHANDAB ZABUL","ارغنداب","2903","ARGHANDAB ZABUL","ارغنداب","NO"
"29","2904","KAKAR","كاكړ","2904","KAKAR","كاكړ","NO"
"29","2905","DAICHOPAN","دايچوپان","2905","DAICHOPAN","دايچوپان","NO"
"29","2906","MIZAN","ميزان","2906","MIZAN","ميزان","NO"
"29","2907","TARNK‐O‐JALDAK","ترنگ و جلدک","2907","TARNK‐O‐JALDAK","ترنگ و جلدک","NO"
"29","2908","SHINKAI","شينکی","2908","SHINKAI","شينکی","NO"
"29","2909","ATGHAR","اتغر","2909","ATGHAR","اتغر","NO"
"29","2910","SHEMEL ZAYI","شمل زائی","2910","SHEMEL ZAYI","شمل زائی","NO"
"29","2911","NAW BAHAR","نوبھار","2911","NAW BAHAR","نوبھار","NO"
"30","3001"," TERINKOTT","مرکزارزگان - ترينکوت","3001"," TERINKOTT","مرکزارزگان - ترينکوت","YES"
"30","3002","CHOARAH","چوره","3002","CHOARAH","چوره","NO"
"30","3003","KHAS UROZGAN","خاص ارزگان","3003","KHAS UROZGAN","خاص ارزگان","NO"
"30","3004","SHAHID-E-HASSAS","شھيد حساس","3004","SHAHID-E-HASSAS","شھيد حساس","NO"
"30","3005","DEHRAOUD","دھراود","3005","DEHRAOUD","دھراود","NO"
"31","3101"," CHAGHCHARAN","مرکزغور‐ چغچران","3101"," CHAGHCHARAN","مرکزغور‐ چغچران","YES"
"31","3102","DOWLATYAR","دولتيار","3102","DOWLATYAR","دولتيار","NO"
"31","3103","CHAHAR SADA","چار صده","3103","CHAHAR SADA","چار صده","NO"
"31","3104","SHAHRAK","شھرک","3104","SHAHRAK","شھرک","NO"
"31","3105","DULEENA","دولينه","3105","DULEENA","دولينه","NO"
"31","3106","PASSABAND","پسابند","3106","PASSABAND","پسابند","NO"
"31","3107","LAL‐O‐SARJANGAL","لعل و سرجنگل","3107","LAL‐O‐SARJANGAL","لعل و سرجنگل","NO"
"31","3108","TOLAK","تولک","3108","TOLAK","تولک","NO"
"31","3109","SAGHAR","ساغر","3109","SAGHAR","ساغر","NO"
"31","3110","TEYORA","تيوره","3110","TEYORA","تيوره","NO"
"32","3201","PROVINCE CENTERMARKAZ‐WOLLAYAT","مرکزباميان ‐ باميان","3201","PROVINCE CENTERMARKAZ‐WOLLAYAT","مرکزباميان ‐ باميان","YES"
"32","3202","SHEBAR","شيبر","3202","SHEBAR","شيبر","NO"
"32","3203","SAIGHAN","سيغان","3203","SAIGHAN","سيغان","NO"
"32","3204","KOHMARD","کھمرد","3204","KOHMARD","کھمرد","NO"
"32","3205","YAKAWULANG","يکاولنگ","3205","YAKAWULANG","يکاولنگ","NO"
"32","3206","PANJAB","پنجاب","3206","PANJAB","پنجاب","NO"
"32","3207","WARAS","ورث","3207","WARAS","ورث","NO"
"33","3301","BAZARAK","مرکزپنجشير‐ بازارک","3301","BAZARAK","مرکزپنجشير‐ بازارک","YES"
"33","3302","ROKHA","رخه","3302","ROKHA","رخه","NO"
"33","3303","ANABA","عنابه","3303","ANABA","عنابه","NO"
"33","3304","DARAH","دره","3304","DARAH","دره","NO"
"33","3305","HESSA‐E‐AWAL","حصه اول ) خنج (","3305","HESSA‐E‐AWAL","حصه اول ) خنج (","NO"
"33","3306","SHATAL","شتل","3306","SHATAL","شتل","NO"
"33","3307","PAREYIAN","پريان","3307","PAREYIAN","پريان","NO"
"34","3401","DAIKONDI","مرکزدايکندی ‐ نيلی","3401","DAIKONDI","مرکزدايکندی ‐ نيلی","YES"
"34","3402","SHAHRESTAN","شھرستان","3402","SHAHRESTAN","شھرستان","NO"
"34","3403","MERAMOR","ميرامور","3403","MERAMOR","ميرامور","NO"
"34","3404","ISHTRALI","اشترلی","3404","ISHTRALI","اشترلی","NO"
"34","3405","SANG‐E‐TAKHTBANDER","سنگ تخت","3405","SANG‐E‐TAKHTBANDER","سنگ تخت","NO"
"34","3406","KHADEU","خدير","3406","KHADEU","خدير","NO"
"34","3407","KIJRAN","کجران","3407","KIJRAN","کجران","NO"
"34","3408","KITEE","گيتی","3408","KITEE","گيتی","NO"
"34","3409","GEZAB","گيزاب","3409","GEZAB","گيزاب","NO"
