"province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_name_dari","prelim_results_reporting","final_results_reporting","ps_planned_count","ps_prelim_reporting_count","ps_final_reporting_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","KABUL","کابل","0101","KABUL","کابل","0101-01","KABUL NAHIA 01","کابل ناحيه 01","YES","0101013","Jafaria Masjid located in chandawal","مسجد جعفريه ، چنداول","YES","YES",7,7,7,5,2,0,3800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-01","KABUL NAHIA 01","کابل ناحيه 01","YES","0101014","bala joy aahiqan arefan,khwaja safa masque","بالا جوي عاشقان و عارفان, مسجد خواجه صفا","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-01","KABUL NAHIA 01","کابل ناحيه 01","YES","0101015","baghban kocha,baghban kocha masque","باغبان کوچه, مسجد باغبان کوچه","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-01","KABUL NAHIA 01","کابل ناحيه 01","YES","0101016","Ansuri Balkhi.","انصاری بلخی","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-01","KABUL NAHIA 01","کابل ناحيه 01","YES","0101017","Imam Baqer Masjid located in Hazaraha Area.","مسجد امام باقر ، ساحه ھزاره ھا","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-01","KABUL NAHIA 01","کابل ناحيه 01","YES","0101018","bala qalaguzar,balaqala masque","بالا قلعه گذر, مسجد بالا قلعه","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101019","bagh bala, abdullah ibni masood masque","باغ بالا, مسجد عبدالله لابن مسعود","YES","YES",4,4,4,2,2,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101020","deh afghanan,rangha masque","ده افغانان, مسجد رنگه","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101021","joy shir ,ansaary high school","جوي شير, ليسه انصاري","YES","YES",8,8,8,6,2,0,4300,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101022","joy shir ,parsa primary school","جوي شير, مکتب ابتدايه پارسا","YES","YES",8,8,8,5,3,0,4300,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101023","joy shir deh afghanan,qari abdullah school","جوي شير ده افغانان, مکتب قاري عبدالله","YES","YES",7,7,7,4,3,0,3500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101024","karti parwan cinema baharistan,mir ahmad masque","کارته پروان سينما بھارستان, مسجد حاجي مير احمد","YES","YES",7,7,7,5,2,0,3500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101025","karti ariana,karti ariana sacandry school","کارته آريانا, مکتب متوسطه کارته آريانا","YES","YES",12,12,12,8,4,0,6700,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101026","karti parwan,maaz bini jabal masque","کارته پروان, مسجد معاذ ابن جبل","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101027","karti parwan,omar farooq masque","کارته پروان, مسجد عمر فاروق","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101028","istiqlal high school,istiqlal high school","ليسه استقلال, ليسه استقلال","YES","YES",13,13,13,10,3,0,6500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101029","shahdoshamshira,shahdoshamshira high school","شاه دوشمشيره, ليسه شاه دو شمشيره","YES","YES",5,5,5,3,2,0,2500,NA
