"pc_code","ps_code","ps_type","planned_ps","prelim_results_reporting","final_results_reporting","ps_status"
"0101017","0101017-03","F","YES","YES","YES","PS Validated"
"0101018","0101018-01","M","YES","YES","YES","PS Validated"
"0101018","0101018-02","M","YES","YES","YES","PS Validated"
"0101018","0101018-03","F","YES","YES","YES","PS Validated"
"0101019","0101019-01","M","YES","YES","YES","PS Validated"
"0101019","0101019-02","M","YES","YES","YES","PS Validated"
"0101019","0101019-03","F","YES","YES","YES","PS Validated"
"0101019","0101019-04","F","YES","YES","YES","PS Validated"
"0101020","0101020-01","M","YES","YES","YES","PS Validated"
"0101020","0101020-02","F","YES","YES","YES","PS Validated"
"0101021","0101021-01","M","YES","YES","YES","PS Validated"
"0101021","0101021-02","M","YES","YES","YES","PS Validated"
"0101021","0101021-03","M","YES","YES","YES","PS Validated"
"0101021","0101021-04","M","YES","YES","YES","PS Validated"
"0101021","0101021-05","M","YES","YES","YES","PS Validated"
"0101021","0101021-06","M","YES","YES","YES","PS Validated"
"0101021","0101021-07","F","YES","YES","YES","PS Validated"
"0101021","0101021-08","F","YES","YES","YES","PS Validated"
"0101022","0101022-01","M","YES","YES","YES","PS Validated"
"0101022","0101022-02","M","YES","YES","YES","PS Validated"
"0101022","0101022-03","M","YES","YES","YES","PS Validated"
"0101022","0101022-04","M","YES","YES","YES","PS Validated"
"0101022","0101022-05","M","YES","YES","YES","PS Validated"
"0101022","0101022-06","F","YES","YES","YES","PS Validated"
"0101022","0101022-07","F","YES","YES","YES","PS Validated"
"0101022","0101022-08","F","YES","YES","YES","PS Validated"
"0101023","0101023-01","M","YES","YES","YES","PS Validated"
"0101023","0101023-02","M","YES","YES","YES","PS Validated"
"0101023","0101023-03","M","YES","YES","YES","PS Validated"
"0101023","0101023-04","M","YES","YES","YES","PS Validated"
"0101023","0101023-05","F","YES","YES","YES","PS Validated"
"0101023","0101023-06","F","YES","YES","YES","PS Validated"
"0101023","0101023-07","F","YES","YES","YES","PS Validated"
"0101024","0101024-01","M","YES","YES","YES","PS Validated"
"0101024","0101024-02","M","YES","YES","YES","PS Validated"
"0101024","0101024-03","M","YES","YES","YES","PS Validated"
"0101024","0101024-04","M","YES","YES","YES","PS Validated"
"0101024","0101024-05","M","YES","YES","YES","PS Validated"
"0101024","0101024-06","F","YES","YES","YES","PS Validated"
"0101024","0101024-07","F","YES","YES","YES","PS Validated"
"0101025","0101025-01","M","YES","YES","YES","PS Validated"
"0101025","0101025-02","M","YES","YES","YES","PS Validated"
"0101025","0101025-03","M","YES","YES","YES","PS Validated"
"0101025","0101025-04","M","YES","YES","YES","PS Validated"
"0101025","0101025-05","M","YES","YES","YES","PS Validated"
"0101025","0101025-06","M","YES","YES","YES","PS Validated"
"0101025","0101025-07","M","YES","YES","YES","PS Validated"
"0101025","0101025-08","M","YES","YES","YES","PS Validated"
"0101025","0101025-09","F","YES","YES","YES","PS Validated"
"0101025","0101025-10","F","YES","YES","YES","PS Validated"
"0101025","0101025-11","F","YES","YES","YES","PS Validated"
"0101025","0101025-12","F","YES","YES","YES","PS Validated"
"0101026","0101026-01","M","YES","YES","YES","PS Validated"
"0101026","0101026-02","F","YES","YES","YES","PS Validated"
"0101027","0101027-01","M","YES","YES","YES","PS Validated"
"0101027","0101027-02","F","YES","YES","YES","PS Validated"
"0101028","0101028-01","M","YES","YES","YES","PS Validated"
"0101028","0101028-02","M","YES","YES","YES","PS Validated"
"0101028","0101028-03","M","YES","YES","YES","PS Validated"
"0101028","0101028-04","M","YES","YES","YES","PS Validated"
"0101028","0101028-05","M","YES","YES","YES","PS Validated"
"0101028","0101028-06","M","YES","YES","YES","PS Validated"
"0101028","0101028-07","M","YES","YES","YES","PS Validated"
"0101028","0101028-08","M","YES","YES","YES","PS Validated"
"0101028","0101028-09","M","YES","YES","YES","PS Validated"
"0101028","0101028-10","M","YES","YES","YES","PS Validated"
"0101028","0101028-11","F","YES","YES","YES","PS Validated"
"0101028","0101028-12","F","YES","YES","YES","PS Validated"
"0101028","0101028-13","F","YES","YES","YES","PS Validated"
"0101029","0101029-01","M","YES","YES","YES","PS Validated"
"0101029","0101029-02","M","YES","YES","YES","PS Validated"
"0101029","0101029-03","M","YES","YES","YES","PS Validated"
"0101029","0101029-04","F","YES","YES","YES","PS Validated"
"0101029","0101029-05","F","YES","YES","YES","PS Validated"
"0101030","0101030-01","M","YES","YES","YES","PS Validated"
"0101030","0101030-02","F","YES","YES","YES","PS Validated"
"0101031","0101031-01","M","YES","YES","YES","PS Validated"
"0101031","0101031-02","F","YES","YES","YES","PS Validated"
"0101032","0101032-01","M","YES","YES","YES","PS Validated"
"0101032","0101032-02","M","YES","YES","YES","PS Validated"
"0101032","0101032-03","M","YES","YES","YES","PS Validated"
"0101032","0101032-04","M","YES","YES","YES","PS Validated"
"0101032","0101032-05","M","YES","YES","YES","PS Validated"
"0101032","0101032-06","F","YES","YES","YES","PS Validated"
"0101032","0101032-07","F","YES","YES","YES","PS Validated"
"0101032","0101032-08","F","YES","YES","YES","PS Validated"
"0101033","0101033-01","M","YES","YES","YES","PS Validated"
"0101033","0101033-02","M","YES","YES","YES","PS Validated"
"0101033","0101033-03","M","YES","YES","YES","PS Validated"
"0101033","0101033-04","M","YES","YES","YES","PS Validated"
"0101033","0101033-05","M","YES","YES","YES","PS Validated"
"0101033","0101033-06","M","YES","YES","YES","PS Validated"
"0101033","0101033-07","M","YES","YES","YES","PS Validated"
"0101033","0101033-08","M","YES","YES","YES","PS Validated"
"0101033","0101033-09","F","YES","YES","YES","PS Validated"
"0101033","0101033-10","F","YES","YES","YES","PS Validated"
"0101033","0101033-11","F","YES","YES","YES","PS Validated"
"0101033","0101033-12","F","YES","YES","YES","PS Validated"
"0101034","0101034-01","M","YES","YES","YES","PS Validated"
"0101034","0101034-02","M","YES","YES","YES","PS Validated"
"0101034","0101034-03","M","YES","YES","YES","PS Validated"
"0101034","0101034-04","M","YES","YES","YES","PS Validated"
"0101034","0101034-05","M","YES","YES","YES","PS Validated"
"0101034","0101034-06","M","YES","YES","YES","PS Validated"
"0101034","0101034-07","F","YES","YES","YES","PS Validated"
"0101034","0101034-08","F","YES","YES","YES","PS Validated"
"0101034","0101034-09","F","YES","YES","YES","PS Validated"
"0101035","0101035-01","M","YES","YES","YES","PS Validated"
"0101035","0101035-02","M","YES","YES","YES","PS Validated"
"0101035","0101035-03","M","YES","YES","YES","PS Validated"
"0101035","0101035-04","M","YES","YES","YES","PS Validated"
"0101035","0101035-05","M","YES","YES","YES","PS Validated"
"0101035","0101035-06","F","YES","YES","YES","PS Validated"
"0101035","0101035-07","F","YES","YES","YES","PS Validated"
"0101035","0101035-08","F","YES","YES","YES","PS Validated"
"0101036","0101036-01","M","YES","YES","YES","PS Validated"
"0101036","0101036-02","M","YES","YES","YES","PS Validated"
"0101036","0101036-03","M","YES","YES","YES","PS Validated"
"0101036","0101036-04","M","YES","YES","YES","PS Validated"
"0101036","0101036-05","M","YES","YES","YES","PS Validated"
"0101036","0101036-06","F","YES","YES","YES","PS Validated"
"0101036","0101036-07","F","YES","YES","YES","PS Validated"
"0101036","0101036-08","F","YES","YES","YES","PS Validated"
"0101037","0101037-01","M","YES","YES","YES","PS Validated"
"0101037","0101037-02","M","YES","YES","YES","PS Validated"
"0101037","0101037-03","F","YES","YES","YES","PS Validated"
"0101037","0101037-04","F","YES","YES","YES","PS Validated"
"0101038","0101038-01","M","YES","YES","YES","PS Validated"
"0101038","0101038-02","M","YES","YES","YES","PS Validated"
"0101038","0101038-03","M","YES","YES","YES","PS Validated"
"0101038","0101038-04","F","YES","YES","YES","PS Validated"
"0101038","0101038-05","F","YES","YES","YES","PS Validated"
"0101039","0101039-01","M","YES","YES","YES","PS Validated"
"0101039","0101039-02","M","YES","YES","YES","PS Validated"
"0101039","0101039-03","M","YES","YES","YES","PS Validated"
"0101039","0101039-04","F","YES","YES","YES","PS Validated"
"0101039","0101039-05","F","YES","YES","YES","PS Validated"
"0101040","0101040-01","M","YES","YES","YES","PS Validated"
"0101040","0101040-02","M","YES","YES","YES","PS Validated"
"0101040","0101040-03","M","YES","YES","YES","PS Validated"
"0101040","0101040-04","M","YES","YES","YES","PS Validated"
"0101040","0101040-05","F","YES","YES","YES","PS Validated"
"0101040","0101040-06","F","YES","YES","YES","PS Validated"
"0101041","0101041-01","M","YES","YES","YES","PS Validated"
"0101041","0101041-02","M","YES","YES","YES","PS Validated"
"0101041","0101041-03","F","YES","YES","YES","PS Validated"
"0101041","0101041-04","F","YES","YES","YES","PS Validated"
"0101042","0101042-01","M","YES","YES","YES","PS Validated"
"0101042","0101042-02","F","YES","YES","YES","PS Validated"
"0101043","0101043-01","M","YES","YES","YES","PS Validated"
"0101043","0101043-02","M","YES","YES","YES","PS Validated"
"0101043","0101043-03","F","YES","YES","YES","PS Validated"
"0101043","0101043-04","F","YES","YES","YES","PS Validated"
"0101044","0101044-01","M","YES","YES","YES","PS Validated"
"0101044","0101044-02","M","YES","YES","YES","PS Validated"
"0101044","0101044-03","M","YES","YES","YES","PS Validated"
"0101044","0101044-04","M","YES","YES","YES","PS Validated"
"0101044","0101044-05","F","YES","YES","YES","PS Validated"
"0101044","0101044-06","F","YES","YES","YES","PS Validated"
"0101045","0101045-01","M","YES","YES","YES","PS Validated"
"0101045","0101045-02","M","YES","YES","YES","PS Validated"
"0101045","0101045-03","M","YES","YES","YES","PS Validated"
"0101045","0101045-04","M","YES","YES","YES","PS Validated"
"0101045","0101045-05","M","YES","YES","YES","PS Validated"
"0101045","0101045-06","M","YES","YES","YES","PS Validated"
"0101045","0101045-07","F","YES","YES","YES","PS Validated"
"0101045","0101045-08","F","YES","YES","YES","PS Validated"
"0101045","0101045-09","F","YES","YES","YES","PS Validated"
"0101046","0101046-01","M","YES","YES","YES","PS Validated"
"0101046","0101046-02","M","YES","YES","YES","PS Validated"
"0101046","0101046-03","F","YES","YES","YES","PS Validated"
"0101046","0101046-04","F","YES","YES","YES","PS Validated"
"0101047","0101047-01","M","YES","YES","YES","PS Validated"
"0101047","0101047-02","M","YES","YES","YES","PS Validated"
"0101047","0101047-03","M","YES","YES","YES","PS Validated"
"0101047","0101047-04","M","YES","YES","YES","PS Validated"
"0101047","0101047-05","M","YES","YES","YES","PS Validated"
"0101047","0101047-06","F","YES","YES","YES","PS Validated"
"0101047","0101047-07","F","YES","YES","YES","PS Validated"
"0101047","0101047-08","F","YES","YES","YES","PS Validated"
"0101048","0101048-01","M","YES","YES","YES","PS Validated"
"0101048","0101048-02","M","YES","YES","YES","PS Validated"
"0101048","0101048-03","M","YES","YES","YES","PS Validated"
"0101048","0101048-04","M","YES","YES","YES","PS Validated"
"0101048","0101048-05","M","YES","YES","YES","PS Validated"
"0101048","0101048-06","F","YES","YES","YES","PS Validated"
"0101048","0101048-07","F","YES","YES","YES","PS Validated"
"0101048","0101048-08","F","YES","YES","YES","PS Validated"
"0101049","0101049-01","M","YES","YES","YES","PS Validated"
"0101049","0101049-02","M","YES","YES","YES","PS Validated"
"0101049","0101049-03","M","YES","YES","YES","PS Validated"
"0101049","0101049-04","M","YES","YES","YES","PS Validated"
"0101049","0101049-05","M","YES","YES","YES","PS Validated"
"0101049","0101049-06","M","YES","YES","YES","PS Validated"
"0101049","0101049-07","F","YES","YES","YES","PS Validated"
"0101049","0101049-08","F","YES","YES","YES","PS Validated"
"0101049","0101049-09","F","YES","YES","YES","PS Validated"
"0101050","0101050-01","M","YES","YES","YES","PS Validated"
"0101050","0101050-02","M","YES","YES","YES","PS Validated"
"0101050","0101050-03","M","YES","YES","YES","PS Validated"
"0101050","0101050-04","M","YES","YES","YES","PS Validated"
"0101050","0101050-05","M","YES","YES","YES","PS Validated"
"0101050","0101050-06","M","YES","YES","YES","PS Validated"
"0101050","0101050-07","M","YES","YES","YES","PS Validated"
"0101050","0101050-08","M","YES","YES","YES","PS Validated"
"0101050","0101050-09","F","YES","YES","YES","PS Validated"
"0101050","0101050-10","F","YES","YES","YES","PS Validated"
"0101050","0101050-11","F","YES","YES","YES","PS Validated"
"0101050","0101050-12","K","YES","YES","YES","PS Validated"
"0101050","0101050-13","K","YES","YES","YES","PS Validated"
"0101051","0101051-01","M","YES","YES","YES","PS Validated"
"0101051","0101051-02","M","YES","YES","YES","PS Validated"
"0101051","0101051-03","M","YES","YES","YES","PS Validated"
"0101051","0101051-04","M","YES","YES","YES","PS Validated"
"0101051","0101051-05","M","YES","YES","YES","PS Validated"
"0101051","0101051-06","F","YES","YES","YES","PS Validated"
"0101051","0101051-07","F","YES","YES","YES","PS Validated"
"0101051","0101051-08","F","YES","YES","YES","PS Validated"
"0101052","0101052-01","M","YES","YES","YES","PS Validated"
"0101052","0101052-02","M","YES","YES","YES","PS Validated"
"0101052","0101052-03","F","YES","YES","YES","PS Validated"
"0101052","0101052-04","F","YES","YES","YES","PS Validated"
"0101053","0101053-01","M","YES","YES","YES","PS Validated"
"0101053","0101053-02","M","YES","YES","YES","PS Validated"
"0101053","0101053-03","M","YES","YES","YES","PS Validated"
"0101053","0101053-04","M","YES","YES","YES","PS Validated"
"0101053","0101053-05","M","YES","YES","YES","PS Validated"
"0101053","0101053-06","M","YES","YES","YES","PS Validated"
"0101053","0101053-07","M","YES","YES","YES","PS Validated"
"0101053","0101053-08","M","YES","YES","YES","PS Validated"
"0101053","0101053-09","F","YES","YES","YES","PS Validated"
"0101053","0101053-10","F","YES","YES","YES","PS Validated"
"0101053","0101053-11","F","YES","YES","YES","PS Validated"
"0101053","0101053-12","F","YES","YES","YES","PS Validated"
"0101054","0101054-01","M","YES","YES","YES","PS Validated"
"0101054","0101054-02","M","YES","YES","YES","PS Validated"
"0101054","0101054-03","M","YES","YES","YES","PS Validated"
"0101054","0101054-04","M","YES","YES","YES","PS Validated"
"0101054","0101054-05","M","YES","YES","YES","PS Validated"
"0101054","0101054-06","M","YES","YES","YES","PS Validated"
"0101054","0101054-07","F","YES","YES","YES","PS Validated"
"0101054","0101054-08","F","YES","YES","YES","PS Validated"
"0101054","0101054-09","F","YES","YES","YES","PS Validated"
"0101054","0101054-10","F","YES","YES","YES","PS Validated"
"0101055","0101055-01","M","YES","YES","YES","PS Validated"
"0101055","0101055-02","M","YES","YES","YES","PS Validated"
"0101055","0101055-03","M","YES","YES","YES","PS Validated"
"0101055","0101055-04","M","YES","YES","YES","PS Validated"
"0101055","0101055-05","F","YES","YES","YES","PS Validated"
"0101055","0101055-06","F","YES","YES","YES","PS Validated"
"0101055","0101055-07","F","YES","YES","YES","PS Validated"
"0101056","0101056-01","M","YES","YES","YES","PS Validated"
"0101056","0101056-02","M","YES","YES","YES","PS Validated"
"0101056","0101056-03","M","YES","YES","YES","PS Validated"
"0101056","0101056-04","M","YES","YES","YES","PS Validated"
"0101056","0101056-05","F","YES","YES","YES","PS Validated"
"0101056","0101056-06","F","YES","YES","YES","PS Validated"
"0101056","0101056-07","F","YES","YES","YES","PS Validated"
"0101057","0101057-01","M","YES","YES","YES","PS Validated"
"0101057","0101057-02","M","YES","YES","YES","PS Validated"
"0101057","0101057-03","M","YES","YES","YES","PS Validated"
"0101057","0101057-04","M","YES","YES","YES","PS Validated"
"0101057","0101057-05","M","YES","YES","YES","PS Validated"
"0101057","0101057-06","F","YES","YES","YES","PS Validated"
"0101057","0101057-07","F","YES","YES","YES","PS Validated"
"0101057","0101057-08","F","YES","YES","YES","PS Validated"
"0101058","0101058-01","M","YES","YES","YES","PS Validated"
"0101058","0101058-02","M","YES","YES","YES","PS Validated"
"0101058","0101058-03","M","YES","YES","YES","PS Validated"
"0101058","0101058-04","M","YES","YES","YES","PS Validated"
"0101058","0101058-05","M","YES","YES","YES","PS Validated"
"0101058","0101058-06","F","YES","YES","YES","PS Validated"
"0101058","0101058-07","F","YES","YES","YES","PS Validated"
"0101058","0101058-08","F","YES","YES","YES","PS Validated"
"0101059","0101059-01","M","YES","YES","YES","PS Validated"
"0101059","0101059-02","M","YES","YES","YES","PS Validated"
"0101059","0101059-03","M","YES","YES","YES","PS Validated"
"0101059","0101059-04","M","YES","YES","YES","PS Validated"
"0101059","0101059-05","M","YES","YES","YES","PS Validated"
"0101059","0101059-06","M","YES","YES","YES","PS Validated"
"0101059","0101059-07","F","YES","YES","YES","PS Validated"
"0101059","0101059-08","F","YES","YES","YES","PS Validated"
"0101059","0101059-09","F","YES","YES","YES","PS Validated"
"0101060","0101060-01","M","YES","YES","YES","PS Validated"
"0101060","0101060-02","M","YES","YES","YES","PS Validated"
"0101060","0101060-03","M","YES","YES","YES","PS Validated"
"0101060","0101060-04","M","YES","YES","YES","PS Validated"
"0101060","0101060-05","M","YES","YES","YES","PS Validated"
"0101060","0101060-06","F","YES","YES","YES","PS Validated"
"0101060","0101060-07","F","YES","YES","YES","PS Validated"
"0101060","0101060-08","F","YES","YES","YES","PS Validated"
"0101060","0101060-09","K","YES","YES","YES","PS Validated"
"0101060","0101060-10","K","YES","YES","YES","PS Validated"
"0101061","0101061-01","M","YES","YES","YES","PS Validated"
"0101061","0101061-02","M","YES","YES","YES","PS Validated"
"0101061","0101061-03","M","YES","YES","YES","PS Validated"
"0101061","0101061-04","F","YES","YES","YES","PS Validated"
"0101061","0101061-05","F","YES","YES","YES","PS Validated"
"0101062","0101062-01","M","YES","YES","YES","PS Validated"
"0101062","0101062-02","M","YES","YES","YES","PS Validated"
"0101062","0101062-03","M","YES","YES","YES","PS Validated"
"0101062","0101062-04","M","YES","YES","YES","PS Validated"
"0101062","0101062-05","M","YES","YES","YES","PS Validated"
"0101062","0101062-06","M","YES","YES","YES","PS Validated"
"0101062","0101062-07","M","YES","YES","YES","PS Validated"
"0101062","0101062-08","M","YES","YES","YES","PS Validated"
"0101062","0101062-09","F","YES","YES","YES","PS Validated"
"0101062","0101062-10","F","YES","YES","YES","PS Validated"
"0101062","0101062-11","F","YES","YES","YES","PS Validated"
"0101062","0101062-12","F","YES","YES","YES","PS Validated"
"0101063","0101063-01","M","YES","YES","YES","PS Validated"
"0101063","0101063-02","M","YES","YES","YES","PS Validated"
"0101063","0101063-03","M","YES","YES","YES","PS Validated"
"0101063","0101063-04","M","YES","YES","YES","PS Validated"
"0101063","0101063-05","F","YES","YES","YES","PS Validated"
"0101063","0101063-06","F","YES","YES","YES","PS Validated"
"0101063","0101063-07","F","YES","YES","YES","PS Validated"
"0101064","0101064-01","M","YES","YES","YES","PS Validated"
"0101064","0101064-02","M","YES","YES","YES","PS Validated"
"0101064","0101064-03","M","YES","YES","YES","PS Validated"
"0101064","0101064-04","M","YES","YES","YES","PS Validated"
"0101064","0101064-05","M","YES","YES","YES","PS Validated"
"0101064","0101064-06","M","YES","YES","YES","PS Validated"
"0101064","0101064-07","F","YES","YES","YES","PS Validated"
"0101064","0101064-08","F","YES","YES","YES","PS Validated"
"0101064","0101064-09","F","YES","YES","YES","PS Validated"
"0101064","0101064-10","F","YES","NO","NO","PS Validated"
"0101065","0101065-01","M","YES","YES","YES","PS Validated"
"0101065","0101065-02","M","YES","YES","YES","PS Validated"
"0101065","0101065-03","M","YES","YES","YES","PS Validated"
"0101065","0101065-04","M","YES","YES","YES","PS Validated"
"0101065","0101065-05","M","YES","YES","YES","PS Validated"
"0101065","0101065-06","F","YES","YES","YES","PS Validated"
"0101065","0101065-07","F","YES","YES","YES","PS Validated"
"0101065","0101065-08","F","YES","YES","YES","PS Validated"
"0101066","0101066-01","M","YES","YES","YES","PS Validated"
"0101066","0101066-02","M","YES","YES","YES","PS Validated"
"0101066","0101066-03","M","YES","YES","YES","PS Validated"
"0101066","0101066-04","M","YES","YES","YES","PS Validated"
"0101066","0101066-05","F","YES","YES","YES","PS Validated"
"0101066","0101066-06","F","YES","YES","YES","PS Validated"
"0101067","0101067-01","M","YES","YES","YES","PS Validated"
"0101067","0101067-02","M","YES","YES","YES","PS Validated"
"0101067","0101067-03","F","YES","YES","YES","PS Validated"
"0101067","0101067-04","F","YES","YES","YES","PS Validated"
"0101068","0101068-01","M","YES","YES","YES","PS Validated"
"0101068","0101068-02","M","YES","YES","YES","PS Validated"
"0101068","0101068-03","M","YES","YES","YES","PS Validated"
"0101068","0101068-04","M","YES","YES","YES","PS Validated"
"0101068","0101068-05","M","YES","YES","YES","PS Validated"
"0101068","0101068-06","F","YES","YES","YES","PS Validated"
"0101068","0101068-07","F","YES","YES","YES","PS Validated"
"0101069","0101069-01","M","YES","YES","YES","PS Validated"
"0101069","0101069-02","M","YES","YES","YES","PS Validated"
"0101069","0101069-03","F","YES","YES","YES","PS Validated"
"0101069","0101069-04","F","YES","YES","YES","PS Validated"
"0101070","0101070-01","M","YES","YES","YES","PS Validated"
"0101070","0101070-02","M","YES","YES","YES","PS Validated"
"0101070","0101070-03","M","YES","YES","YES","PS Validated"
"0101070","0101070-04","M","YES","YES","YES","PS Validated"
"0101070","0101070-05","M","YES","YES","YES","PS Validated"
"0101070","0101070-06","M","YES","YES","YES","PS Validated"
"0101070","0101070-07","M","YES","YES","YES","PS Validated"
"0101070","0101070-08","F","YES","YES","YES","PS Validated"
"0101070","0101070-09","F","YES","YES","YES","PS Validated"
"0101070","0101070-10","F","YES","YES","YES","PS Validated"
"0101070","0101070-11","F","YES","YES","YES","PS Validated"
"0101071","0101071-01","M","YES","YES","YES","PS Validated"
"0101071","0101071-02","M","YES","YES","YES","PS Validated"
"0101071","0101071-03","F","YES","YES","YES","PS Validated"
"0101071","0101071-04","F","YES","YES","YES","PS Validated"
"0101072","0101072-01","M","YES","YES","YES","PS Validated"
"0101072","0101072-02","M","YES","YES","YES","PS Validated"
"0101072","0101072-03","M","YES","YES","YES","PS Validated"
"0101072","0101072-04","F","YES","YES","YES","PS Validated"
"0101073","0101073-01","M","YES","YES","YES","PS Validated"
"0101073","0101073-02","M","YES","YES","YES","PS Validated"
"0101073","0101073-03","M","YES","YES","YES","PS Validated"
"0101073","0101073-04","M","YES","YES","YES","PS Validated"
"0101073","0101073-05","M","YES","YES","YES","PS Validated"
"0101073","0101073-06","M","YES","YES","YES","PS Validated"
"0101073","0101073-07","M","YES","YES","YES","PS Validated"
"0101073","0101073-08","F","YES","YES","YES","PS Validated"
"0101073","0101073-09","F","YES","YES","YES","PS Validated"
"0101073","0101073-10","F","YES","YES","YES","PS Validated"
"0101073","0101073-11","F","YES","NO","NO","PS Validated"
"0101074","0101074-01","M","YES","YES","YES","PS Validated"
"0101074","0101074-02","M","YES","YES","YES","PS Validated"
"0101074","0101074-03","M","YES","YES","YES","PS Validated"
"0101074","0101074-04","M","YES","YES","YES","PS Validated"
"0101074","0101074-05","M","YES","YES","YES","PS Validated"
"0101074","0101074-06","M","YES","YES","YES","PS Validated"
"0101074","0101074-07","M","YES","YES","YES","PS Validated"
"0101074","0101074-08","M","YES","YES","YES","PS Validated"
"0101074","0101074-09","F","YES","YES","YES","PS Validated"
"0101074","0101074-10","F","YES","YES","YES","PS Validated"
"0101074","0101074-11","F","YES","YES","YES","PS Validated"
"0101074","0101074-12","F","YES","YES","YES","PS Validated"
"0101075","0101075-01","M","YES","YES","YES","PS Validated"
"0101075","0101075-02","M","YES","YES","YES","PS Validated"
"0101075","0101075-03","F","YES","YES","YES","PS Validated"
"0101075","0101075-04","F","YES","YES","YES","PS Validated"
