"pc_code","ps_code","ps_type","planned_ps","prelim_results_reporting","final_results_reporting","ps_status"
"0101001","0101001-01","M","YES","YES","YES","PS Validated"
"0101001","0101001-02","M","YES","YES","YES","PS Validated"
"0101001","0101001-03","M","YES","YES","YES","PS Validated"
"0101001","0101001-04","M","YES","YES","YES","PS Validated"
"0101001","0101001-05","F","YES","YES","YES","PS Validated"
"0101001","0101001-06","F","YES","YES","YES","PS Validated"
"0101001","0101001-07","F","YES","YES","YES","PS Validated"
"0101002","0101002-01","M","YES","YES","YES","PS Validated"
"0101002","0101002-02","M","YES","YES","YES","PS Validated"
"0101002","0101002-03","F","YES","YES","YES","PS Validated"
"0101002","0101002-04","F","YES","YES","YES","PS Validated"
"0101003","0101003-01","M","YES","YES","YES","PS Validated"
"0101003","0101003-02","M","YES","YES","YES","PS Validated"
"0101003","0101003-03","F","YES","YES","YES","PS Validated"
"0101004","0101004-01","M","YES","YES","YES","PS Validated"
"0101004","0101004-02","M","YES","YES","YES","PS Validated"
"0101004","0101004-03","M","YES","YES","YES","PS Validated"
"0101004","0101004-04","M","YES","YES","YES","PS Validated"
"0101004","0101004-05","M","YES","YES","YES","PS Validated"
"0101004","0101004-06","F","YES","YES","YES","PS Validated"
"0101004","0101004-07","F","YES","YES","YES","PS Validated"
"0101005","0101005-01","M","YES","YES","YES","PS Validated"
"0101005","0101005-02","M","YES","YES","YES","PS Validated"
"0101005","0101005-03","F","YES","YES","YES","PS Validated"
"0101005","0101005-04","F","YES","YES","YES","PS Validated"
"0101006","0101006-01","M","YES","YES","YES","PS Validated"
"0101006","0101006-02","M","YES","YES","YES","PS Validated"
"0101006","0101006-03","F","YES","YES","YES","PS Validated"
"0101007","0101007-01","M","YES","YES","YES","PS Validated"
"0101007","0101007-02","M","YES","YES","YES","PS Validated"
"0101007","0101007-03","M","YES","YES","YES","PS Validated"
"0101007","0101007-04","M","YES","YES","YES","PS Validated"
"0101007","0101007-05","M","YES","YES","YES","PS Validated"
"0101007","0101007-06","F","YES","YES","YES","PS Validated"
"0101007","0101007-07","F","YES","YES","YES","PS Validated"
"0101007","0101007-08","F","YES","YES","YES","PS Validated"
"0101008","0101008-01","M","YES","YES","YES","PS Validated"
"0101008","0101008-02","M","YES","YES","YES","PS Validated"
"0101008","0101008-03","M","YES","YES","YES","PS Validated"
"0101008","0101008-04","M","YES","YES","YES","PS Validated"
"0101008","0101008-05","M","YES","YES","YES","PS Validated"
"0101008","0101008-06","M","YES","YES","YES","PS Validated"
"0101008","0101008-07","F","YES","YES","YES","PS Validated"
"0101008","0101008-08","F","YES","YES","YES","PS Validated"
"0101009","0101009-01","M","YES","YES","YES","PS Validated"
"0101009","0101009-02","M","YES","YES","YES","PS Validated"
"0101009","0101009-03","F","YES","YES","YES","PS Validated"
"0101009","0101009-04","F","YES","YES","YES","PS Validated"
"0101010","0101010-01","M","YES","YES","YES","PS Validated"
"0101010","0101010-02","M","YES","YES","YES","PS Validated"
"0101010","0101010-03","M","YES","YES","YES","PS Validated"
"0101010","0101010-04","M","YES","YES","YES","PS Validated"
"0101010","0101010-05","M","YES","YES","YES","PS Validated"
"0101010","0101010-06","F","YES","YES","YES","PS Validated"
"0101010","0101010-07","F","YES","YES","YES","PS Validated"
"0101011","0101011-01","M","YES","YES","YES","PS Validated"
"0101011","0101011-02","M","YES","YES","YES","PS Validated"
"0101011","0101011-03","F","YES","YES","YES","PS Validated"
"0101012","0101012-01","M","YES","YES","YES","PS Validated"
"0101012","0101012-02","F","YES","YES","YES","PS Validated"
"0101013","0101013-01","M","YES","YES","YES","PS Validated"
"0101013","0101013-02","M","YES","YES","YES","PS Validated"
"0101013","0101013-03","M","YES","YES","YES","PS Validated"
"0101013","0101013-04","M","YES","YES","YES","PS Validated"
"0101013","0101013-05","M","YES","YES","YES","PS Validated"
"0101013","0101013-06","F","YES","YES","YES","PS Validated"
"0101013","0101013-07","F","YES","YES","YES","PS Validated"
"0101014","0101014-01","M","YES","YES","YES","PS Validated"
"0101014","0101014-02","F","YES","YES","YES","PS Validated"
"0101015","0101015-01","M","YES","YES","YES","PS Validated"
"0101015","0101015-02","M","YES","YES","YES","PS Validated"
"0101015","0101015-03","F","YES","YES","YES","PS Validated"
"0101016","0101016-01","M","YES","YES","YES","PS Validated"
"0101016","0101016-02","M","YES","YES","YES","PS Validated"
"0101016","0101016-03","F","YES","YES","YES","PS Validated"
"0101017","0101017-01","M","YES","YES","YES","PS Validated"
"0101017","0101017-02","M","YES","YES","YES","PS Validated"
