pc_code,ps_code,ps_type,vr_final_total_19
101001,0101001-01,M,336
101001,0101001-02,F,101
101002,0101002-01,M,288
101002,0101002-02,M,288
101002,0101002-03,F,230
101003,0101003-01,M,400
101003,0101003-02,M,400
101003,0101003-03,M,400
101003,0101003-04,M,228
101003,0101003-05,M,228
101003,0101003-06,F,293
101003,0101003-07,F,292
101004,0101004-01,M,400
101004,0101004-02,M,280
101004,0101004-03,M,280
101004,0101004-04,F,313
101005,0101005-01,M,367
101005,0101005-02,M,366
101005,0101005-03,F,39
101006,0101006-01,M,391
101006,0101006-02,M,391
101006,0101006-03,F,297
101007,0101007-01,M,400
101007,0101007-02,M,307
101007,0101007-03,M,306
101007,0101007-04,F,167
101008,0101008-01,M,400
101008,0101008-02,M,400
101008,0101008-03,M,400
101008,0101008-04,M,398
101008,0101008-05,M,397
101008,0101008-06,F,270
101008,0101008-07,F,270
101009,0101009-01,M,400
101009,0101009-02,M,377
101009,0101009-03,M,376
101009,0101009-04,F,188
101010,0101010-01,M,260
101010,0101010-02,M,259
101010,0101010-03,F,89
101011,0101011-01,M,400
101011,0101011-02,M,383
101011,0101011-03,M,383
101011,0101011-04,F,275
101011,0101011-05,F,274
101012,0101012-01,M,252
101012,0101012-02,M,251
101012,0101012-03,F,202
101013,0101013-01,M,398
101013,0101013-02,M,397
101013,0101013-03,F,231
101014,0101014-01,M,246
101014,0101014-02,M,246
101014,0101014-03,F,291
101015,0101015-01,M,400
101015,0101015-02,M,400
101015,0101015-03,M,400
101015,0101015-04,M,400
101015,0101015-05,M,374
101015,0101015-06,M,373
101015,0101015-07,F,400
101015,0101015-08,F,262
101015,0101015-09,F,261
101016,0101016-01,M,400
101016,0101016-02,M,329
101016,0101016-03,M,329
101016,0101016-04,F,306
101016,0101016-05,F,305
101017,0101017-01,M,348
101017,0101017-02,F,196
101018,0101018-01,M,400
101018,0101018-02,M,400
101018,0101018-03,M,346
101018,0101018-04,M,345
101018,0101018-05,F,286
101018,0101018-06,F,286
101019,0101019-01,M,400
101019,0101019-02,M,400
101019,0101019-03,M,400
101019,0101019-04,M,400
101019,0101019-05,M,400
101019,0101019-06,M,231
101019,0101019-07,M,230
101019,0101019-08,F,400
101019,0101019-09,F,375
101019,0101019-10,F,375
101020,0101020-01,M,400
101020,0101020-02,M,277
101020,0101020-03,M,276
101020,0101020-04,F,233
101021,0101021-01,M,400
101021,0101021-02,M,400
101021,0101021-03,M,324
101021,0101021-04,M,323
101021,0101021-05,F,235
101022,0101022-01,M,400
101022,0101022-02,M,299
101022,0101022-03,M,299
101022,0101022-04,F,84
101023,0101023-01,M,400
101023,0101023-02,M,400
101023,0101023-03,M,400
101023,0101023-04,M,382
101023,0101023-05,M,382
101023,0101023-06,F,297
101024,0101024-01,M,400
101024,0101024-02,M,400
