"province_code","province_name_eng","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto","planned_2019","prelim_results_2019","planned_ps_count_2019","prelim_reporting_ps_count_2019","incomplete_ps_reporting","planned_2018","prelim_results_2018","final_results_2018","prelim_ps_count_2018","final_ps_count_2018","vr_topup_location","vr_final_total_19","vr_final_male_19","vr_final_fem_19","vr_final_kuchi_19","vr_prelim_total_19","vr_prelim_male_19","vr_prelim_fem_19","vr_prelim_kuchi_19","vr_prelim_sikh_19","vr_final_total_18","vr_final_male_18","vr_final_fem_18","vr_final_kuchi_18","vr_final_sikh_18","vr_prelim_total_18"
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101019","Ansari High School","لیسه انصاری","لیسه انصاری","Joi Sheer","جوی شیر","جوی شیر","YES","YES",10,10,"NO","YES","NO","NO",NA,NA,"NO",3611,2461,1150,1,3533,2439,1092,1,1,3514,2424,1088,1,1,3752
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101020","Ranga Mosque","مسجد رنگه","مسجد رنگه","Deh Afghanan","ده افغانان","ده افغانان","YES","YES",4,4,"NO","YES","YES","YES",2,2,"NO",1186,953,233,0,1182,946,235,0,1,1180,944,235,0,1,1252
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101021","Trade technical Institute (Institute Maslaki Teja)","انستیتیوت مسلکی تجارت","انستیتیوت مسلکی تجارت","Shah E Do Shamsherah","شاه دو شمشیره","شاه دو شمشیره","YES","YES",5,5,"NO","YES","YES","YES",2,2,"NO",1682,1447,235,4,1712,1472,237,3,0,1701,1463,235,3,0,1764
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101022","Zyarat Abul Fazal","زیارت ابوالفضل","زیارت ابوالفضل","Murad Khani","مرادخانی","مرادخانی","YES","YES",4,4,"NO","YES","YES","YES",3,4,"NO",1082,998,84,14,1088,987,85,14,2,1077,976,85,14,2,1134
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101023","Isteqlal High School","ليسه استقلال","ليسه استقلال","Park e Zarnigar","پارک زرنگار","پارک زرنگار","YES","YES",6,6,"NO","YES","YES","YES",1,2,"NO",2261,1964,297,10,2272,1960,303,8,1,2263,1951,304,8,0,2334
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101024","Nayeb Salar Mosque","مسجد نایب سالار","مسجد نایب سالار","Qoul e Aab Chakan","قول آب چکان","قول آب چکان","YES","YES",10,10,"NO","YES","YES","NO",4,0,"NO",3408,2548,860,7,3342,2508,826,4,4,3336,2504,828,4,0,3480
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101025","Imam Azam Mosque","مسجد امام اعظم","مسجد امام اعظم","Gardanah e Sakhi","گردنه سخی","گردنه سخی","YES","YES",4,4,"NO","YES","YES","YES",3,2,"NO",1342,773,569,2,1326,776,549,1,0,1297,754,542,1,0,1414
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101026","Zabihullah Shaheed High School","لیسه عالی ذبیح الله شهید","لیسه عالی ذبیح الله شهید","Kart e Aryana","کارته آريانا","کارته آريانا","YES","YES",11,11,"NO","YES","YES","YES",5,8,"NO",3794,2867,927,2,3671,2777,890,3,1,3672,2778,891,3,0,3798
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101027","Sa'ad bin Abi Waqas Mosque","مسجد سعد بن ابی وقاص","مسجد سعد بن ابی وقاص","Sharq e Kart e Parwan","شرق کارته پروان","شرق کارته پروان","YES","YES",3,3,"NO","YES","NO","NO",NA,NA,"NO",1054,678,376,0,989,621,368,0,0,1042,673,369,0,0,1110
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101028","Wazeer Mohammad Akbar Khan Secondary School","مکتب متوسطه وزير محمد اکبر خان","مکتب متوسطه وزير محمد اکبر خان","Kart e Parwan","کارته پروان","کارته پروان","YES","YES",5,5,"NO","YES","YES","YES",1,2,"NO",1544,1074,470,1,1523,1058,463,1,1,1515,1052,462,1,0,1584
