"province_code","province_name_eng","province_name_dari","province_name_pashto","UN_OCHA_region_code"
"01","Kabul","کابل","کابل","Kabul"
"02","Kapisa","کاپيسا","کاپيسا","Capital"
"03","Parwan","پروان","پروان","Capital"
"04","Wardak","وردک","وردک","Capital"
"05","Logar","لوگر","لوگر","Capital"
"06","Nangarhar","ننگرهار","ننگرهار","East"
"07","Laghman","لغمان","لغمان","East"
"08","Panjsher","پنجشیر","پنجشیر","Capital"
"09","Baghlan","بغلان","بغلان","Northeast"
"10","Bamyan","باميان","باميان","Central"
"11","Ghazni","غزنی","غزنی","Southeast"
"12","Paktika","پکتيکا","پکتيکا","Southeast"
"13","Paktya","پکتيا","پکتيا","Southeast"
"14","Khost","خوست","خوست","Southeast"
"15","Kunar","کنرها","کنرها","East"
"16","Nuristan","نورستان","نورستان","East"
"17","Badakhshan","بدخشان","بدخشان","Northeast"
"18","Takhar","تخار","تخار","Northeast"
"19","Kunduz","کندز","کندز","Northeast"
"20","Samangan","سمنگان","سمنگان","North"
"21","Balkh","بلخ","بلخ","North"
"22","Sar-e-Pul","سرپل","سرپل","North"
"23","Ghor","غور","غور","West"
"24","Daykundi","دایکندی","دایکندی","Central"
"25","Uruzgan","ارزگان","ارزگان","South"
"26","Zabul","زابل","زابل","South"
"27","Kandahar","کندهار","کندهار","South"
"28","Jawzjan","جوزجان","جوزجان","North"
"29","Faryab","فارياب","فارياب","North"
"30","Hilmand","هلمند","هلمند","South"
"31","Badghis","بادغيس","بادغيس","West"
"32","Hirat","هرات","هرات","West"
"33","Farah","فراه","فراه","West"
"34","Nimroz","نيمروز","نيمروز","South"
