"province_code","election_type","results_status","pc_count","ps_count","candidate_count","vote_count"
"01","PRESIDENTIAL","FINAL",548,2416,11,787159
"01","PRESIDENTIAL","PRELIMINARY",550,2413,11,789077
"02","PRESIDENTIAL","FINAL",77,250,11,66766
"02","PRESIDENTIAL","PRELIMINARY",77,244,11,64569
"03","PRESIDENTIAL","FINAL",136,406,11,150002
"03","PRESIDENTIAL","PRELIMINARY",136,402,11,147774
"04","PRESIDENTIAL","FINAL",111,248,11,100650
"04","PRESIDENTIAL","PRELIMINARY",110,239,11,96262
"05","PRESIDENTIAL","FINAL",65,251,11,33262
"05","PRESIDENTIAL","PRELIMINARY",65,248,11,32866
"06","PRESIDENTIAL","FINAL",330,995,11,336528
"06","PRESIDENTIAL","PRELIMINARY",327,985,11,332224
"07","PRESIDENTIAL","FINAL",77,253,11,82201
"07","PRESIDENTIAL","PRELIMINARY",78,252,11,82108
"08","PRESIDENTIAL","FINAL",107,265,11,43491
"08","PRESIDENTIAL","PRELIMINARY",107,261,11,42536
"09","PRESIDENTIAL","FINAL",258,633,11,254460
"09","PRESIDENTIAL","PRELIMINARY",260,627,11,251304
"10","PRESIDENTIAL","FINAL",186,462,11,167794
"10","PRESIDENTIAL","PRELIMINARY",186,460,11,166769
"11","PRESIDENTIAL","FINAL",299,829,11,360755
"11","PRESIDENTIAL","PRELIMINARY",299,818,11,360606
"12","PRESIDENTIAL","FINAL",217,510,11,182635
"12","PRESIDENTIAL","PRELIMINARY",221,509,11,184208
"13","PRESIDENTIAL","FINAL",197,567,11,253905
"13","PRESIDENTIAL","PRELIMINARY",198,571,11,256735
"14","PRESIDENTIAL","FINAL",178,490,11,113570
"14","PRESIDENTIAL","PRELIMINARY",177,485,11,111852
"15","PRESIDENTIAL","FINAL",90,352,11,108174
"15","PRESIDENTIAL","PRELIMINARY",91,354,11,109679
"16","PRESIDENTIAL","FINAL",30,108,11,61793
"16","PRESIDENTIAL","PRELIMINARY",29,106,11,60655
"17","PRESIDENTIAL","FINAL",273,752,11,295849
"17","PRESIDENTIAL","PRELIMINARY",273,741,11,292029
"18","PRESIDENTIAL","FINAL",215,795,11,319693
"18","PRESIDENTIAL","PRELIMINARY",215,792,11,318278
"19","PRESIDENTIAL","FINAL",203,668,11,215484
"19","PRESIDENTIAL","PRELIMINARY",203,656,11,211026
"20","PRESIDENTIAL","FINAL",100,329,11,143087
"20","PRESIDENTIAL","PRELIMINARY",100,324,11,140418
"21","PRESIDENTIAL","FINAL",316,989,11,394089
"21","PRESIDENTIAL","PRELIMINARY",318,989,11,395520
"22","PRESIDENTIAL","FINAL",109,376,11,149428
"22","PRESIDENTIAL","PRELIMINARY",109,375,11,148858
"23","PRESIDENTIAL","FINAL",187,566,11,303573
"23","PRESIDENTIAL","PRELIMINARY",185,547,11,292361
"24","PRESIDENTIAL","FINAL",178,486,11,172311
"24","PRESIDENTIAL","PRELIMINARY",178,484,11,171397
"25","PRESIDENTIAL","FINAL",48,185,11,23021
"25","PRESIDENTIAL","PRELIMINARY",48,182,11,22900
"26","PRESIDENTIAL","FINAL",44,132,11,20503
"26","PRESIDENTIAL","PRELIMINARY",45,133,11,20553
"27","PRESIDENTIAL","FINAL",209,793,11,254104
"27","PRESIDENTIAL","PRELIMINARY",224,840,11,268537
"28","PRESIDENTIAL","FINAL",117,448,11,150132
"28","PRESIDENTIAL","PRELIMINARY",117,447,11,149695
"29","PRESIDENTIAL","FINAL",174,562,11,266561
"29","PRESIDENTIAL","PRELIMINARY",175,560,11,266195
"30","PRESIDENTIAL","FINAL",147,622,11,105454
"30","PRESIDENTIAL","PRELIMINARY",146,620,11,105010
"31","PRESIDENTIAL","FINAL",120,331,11,128912
"31","PRESIDENTIAL","PRELIMINARY",116,315,11,121727
"32","PRESIDENTIAL","FINAL",395,1261,11,495179
"32","PRESIDENTIAL","PRELIMINARY",400,1299,11,515416
"33","PRESIDENTIAL","FINAL",126,327,11,57329
"33","PRESIDENTIAL","PRELIMINARY",153,382,11,83649
"34","PRESIDENTIAL","FINAL",60,165,11,47452
"34","PRESIDENTIAL","PRELIMINARY",60,161,11,45349
