ps_code,special_audit_criteria
1812180-01,recount
1813193-02,recount
1810124-01,recount
1810124-02,recount
1805245-01,recount
1705084-02,recount
1713178-03,recount
1102057-01,recount
1110206-03,recount
2201007-02,recount
2201033-05,recount
2201033-06,recount
2206136-02,recount
2207138-05,recount
2207141-04,recount
2207144-08,recount
2207145-01,recount
2207145-06,recount
2207145-07,recount
2908168-10,recount
2908168-12,recount
2908169-09,recount
2908169-17,recount
2907135-02,recount
2901006-02,recount
0101057-05,recount
0104428-07,recount
0103411-07,recount
0103411-09,recount
0101070-09,recount
0114524-08,recount
0114530-04,recount
0107460-07,recount
0107460-08,recount
0107461-06,recount
0107466-08,recount
0107466-09,recount
0101366-16,recount
0101367-13,recount
0101367-14,recount
0101115-12,recount
0102383-08,recount
0101252-02,recount
0104425-13,recount
0115546-06,recount
0101286-05,recount
2704081-04,recount
2704085-01,recount
2704085-04,recount
2704088-03,recount
2704088-06,recount
2705091-09,recount
2705091-11,recount
2701004-12,recount
2701005-13,recount
2701014-11,recount
2701017-12,recount
2701021-01,recount
2701021-02,recount
2701021-03,recount
2701021-04,recount
2701021-09,recount
2701021-11,recount
2701021-13,recount
2701021-16,recount
2701021-17,recount
2701021-21,recount
2705092-05,recount
2705093-01,recount
2705094-05,recount
2705095-03,recount
2705096-04,recount
2705097-04,recount
2705098-02,recount
2705098-05,recount
2705098-09,recount
2705099-04,recount
2705100-01,recount
2705100-10,recount
2701022-18,recount
2701023-17,recount
2701026-01,recount
2701026-03,recount
2701026-04,recount
2701027-18,recount
2701030-01,recount
2705103-03,recount
2711156-05,recount
2711159-03,recount
2711160-04,recount
2711161-01,recount
2711161-03,recount
2711161-04,recount
2711161-10,recount
2711162-03,recount
2711162-04,recount
2711162-05,recount
2711162-06,recount
2711162-09,recount
2711162-10,recount
2711163-03,recount
2711163-05,recount
2711163-07,recount
2701035-01,recount
2701033-03,recount
2701033-11,recount
2701033-30,recount
2701034-01,recount
2701034-02,recount
2701034-14,recount
2701034-22,recount
2702041-03,recount
2702042-04,recount
2702043-02,recount
2702043-05,recount
2702044-01,recount
2702044-03,recount
2702044-04,recount
2702045-01,recount
2702045-02,recount
2702045-03,recount
2702047-02,recount
2702047-03,recount
2702050-01,recount
2702051-02,recount
2702051-03,recount
2702052-01,recount
2702054-01,recount
2702054-02,recount
2702054-03,recount
2702054-04,recount
2711165-07,recount
2711166-01,recount
2711166-09,recount
2711166-11,recount
2711166-15,recount
2711166-16,recount
2711167-05,recount
2711168-02,recount
2711168-13,recount
2711168-15,recount
2711169-02,recount
2711169-03,recount
2711169-05,recount
2711169-06,recount
2711169-07,recount
2711170-01,recount
2711170-03,recount
2711171-03,recount
2711172-07,recount
2711172-08,recount
2711172-10,recount
2711172-11,recount
2711172-12,recount
2711173-02,recount
2711173-03,recount
2711174-03,recount
2711174-04,recount
2711174-09,recount
2711175-03,recount
2711175-10,recount
2711176-02,recount
2711178-09,recount
2711181-03,recount
2713189-01,recount
2713189-04,recount
2717206-03,recount
2717209-07,recount
2717213-01,recount
2717215-07,recount
2718222-02,recount
2718223-03,recount
2702056-02,recount
2703061-01,recount
2703073-03,recount
2704077-01,recount
2704077-02,recount
2704079-01,recount
2704079-02,recount
2704079-03,recount
2704080-03,recount
2704080-04,recount
2704080-05,recount
2704080-06,recount
2704080-07,recount
0618390-03,recount
0622449-01,recount
0622451-06,recount
0603090-01,recount
0603091-04,recount
0603098-08,recount
0604104-03,recount
0604104-06,recount
0604105-03,recount
0604106-04,recount
0601003-01,recount
0601003-03,recount
0601003-04,recount
0601003-05,recount
0601003-06,recount
0601003-07,recount
0604109-04,recount
0604110-06,recount
0604112-02,recount
0604121-03,recount
0608193-04,recount
0608194-07,recount
0608194-09,recount
0608196-06,recount
0608198-04,recount
0608198-07,recount
0608200-07,recount
0608200-08,recount
0608200-13,recount
0608205-03,recount
0608209-05,recount
0608211-03,recount
