ps_code,special_audit_criteria
0601013-06,recount
0611258-04,recount
0608215-04,recount
0608215-06,recount
0608217-04,recount
0608217-05,recount
0608218-05,recount
0608220-03,recount
0609235-04,recount
0609236-02,recount
0609236-05,recount
0611260-08,recount
0611264-03,recount
0611271-01,recount
0612274-04,recount
0612275-07,recount
0612281-06,recount
0612284-06,recount
0612284-07,recount
0612288-02,recount
0605145-02,recount
0606159-04,recount
0607178-02,recount
0607187-12,recount
0601023-01,recount
0603082-08,recount
0603083-04,recount
0603084-05,recount
0616368-06,recount
0616369-03,recount
0616370-09,recount
0616370-11,recount
0613296-06,recount
0614307-05,recount
0614317-04,recount
0614318-04,recount
0615329-06,recount
0615339-01,recount
0615348-06,recount
0616359-05,recount
0616360-04,recount
0616361-07,recount
0616363-02,recount
0616365-05,recount
0616365-06,recount
0616366-10,recount
0601040-06,recount
0602052-05,recount
0602056-07,recount
0602068-11,recount
0603079-02,recount
3001006-15,recount
3001010-03,recount
3001015-15,recount
3001010-14,recount
3001027-05,recount
3001027-08,recount
3002036-01,recount
3002041-03,recount
3002042-11,recount
3001018-14,recount
3001019-01,recount
3001020-19,recount
3003050-03,recount
3004092-17,recount
3004093-11,recount
3004093-12,recount
3006113-09,recount
3014217-01,recount
3005100-03,recount
3005100-06,recount
3003058-05,recount
3003064-06,recount
3003068-06,recount
3004086-04,recount
3004090-07,recount
3004090-11,recount
3004090-12,recount
3015236-01,recount
3015240-01,recount
3015240-02,recount
0501002-27,out_of_time
0501002-34,out_of_time
0501002-36,out_of_time
0501017-09,out_of_time
0501001-16,out_of_time
0505063-02,out_of_time
0501002-21,out_of_time
0504048-11,out_of_time
0501001-15,out_of_time
0501001-08,out_of_time
0504045-10,out_of_time
0507078-03,out_of_time
0507081-03,out_of_time
0507081-04,out_of_time
0501002-33,out_of_time
1116359-02,out_of_time
1114309-01,out_of_time
1101034-01,out_of_time
1114314-01,out_of_time
1114292-05,out_of_time
1114318-01,out_of_time
1114291-02,out_of_time
1116355-01,out_of_time
1101012-02,out_of_time
1101042-03,out_of_time
1101016-04,out_of_time
1114285-04,out_of_time
1114314-04,out_of_time
1108164-01,out_of_time
1116352-06,out_of_time
1110175-06,out_of_time
1116369-02,out_of_time
1114314-03,out_of_time
1715208-01,out_of_time
1704074-02,out_of_time
1710149-07,out_of_time
1715208-02,out_of_time
1709125-03,out_of_time
1704077-01,out_of_time
1723280-02,out_of_time
1713175-01,out_of_time
1715196-06,out_of_time
1712166-04,out_of_time
1701007-12,out_of_time
1705085-05,out_of_time
1701019-02,out_of_time
1722273-07,out_of_time
1707102-04,out_of_time
1707102-01,out_of_time
1709132-02,out_of_time
1515127-01,out_of_time
1507063-05,out_of_time
1503023-07,out_of_time
1502018-01,out_of_time
1501003-03,out_of_time
1515134-04,out_of_time
1510088-04,out_of_time
1501011-05,out_of_time
1504030-01,out_of_time
1502022-01,out_of_time
1515132-07,out_of_time
1504030-02,out_of_time
1510087-02,out_of_time
1507057-06,out_of_time
1501002-03,out_of_time
1510088-06,out_of_time
1505038-06,out_of_time
1507059-02,out_of_time
1501001-05,out_of_time
1504033-01,out_of_time
1510085-02,out_of_time
1510090-03,out_of_time
1505043-08,out_of_time
1502022-02,out_of_time
1510087-04,out_of_time
1506045-06,out_of_time
1506045-11,out_of_time
1507064-06,out_of_time
1515133-03,out_of_time
1510091-01,out_of_time
1608075-03,out_of_time
1606052-01,out_of_time
1606051-01,out_of_time
1601004-03,out_of_time
1601005-02,out_of_time
1608077-03,out_of_time
1601002-02,out_of_time
1601006-05,out_of_time
1602012-11,out_of_time
1606052-06,out_of_time
1608074-03,out_of_time
1310161-05,out_of_time
1310152-07,out_of_time
1301012-05,out_of_time
1307118-03,out_of_time
1301005-01,out_of_time
1301004-04,out_of_time
1305076-04,out_of_time
1301002-13,out_of_time
1303058-06,out_of_time
1302023-01,out_of_time
1311172-01,out_of_time
1301006-01,out_of_time
1301002-04,out_of_time
1301003-09,out_of_time
1302023-02,out_of_time
1301006-02,out_of_time
0701007-01,out_of_time
0702031-09,out_of_time
0702039-09,out_of_time
0702042-01,out_of_time
0701001-18,out_of_time
0701001-05,out_of_time
0702042-03,out_of_time
0702041-05,out_of_time
0701009-06,out_of_time
0701007-05,out_of_time
0702040-05,out_of_time
0701014-02,out_of_time
0701008-03,out_of_time
0701008-07,out_of_time
0701003-09,out_of_time
0701124-05,out_of_time
0701003-11,out_of_time
0701012-10,out_of_time
2201001-05,out_of_time
2201038-05,out_of_time
2206135-02,out_of_time
2201006-08,out_of_time
2207139-03,out_of_time
2201005-13,out_of_time
2207140-02,out_of_time
2201005-14,out_of_time
2201003-01,out_of_time
2205112-05,out_of_time
2201005-08,out_of_time
0801002-03,out_of_time
0807077-02,out_of_time
0808089-01,out_of_time
0802016-03,out_of_time
0804049-03,out_of_time
0805051-02,out_of_time
2501001-11,out_of_time
2502023-03,out_of_time
2503034-02,out_of_time
2501001-04,out_of_time
2501005-02,out_of_time
2503032-02,out_of_time
2901009-04,out_of_time
2902042-06,out_of_time
2901007-02,out_of_time
2901015-02,out_of_time
2901011-01,out_of_time
2914238-03,out_of_time
2901003-06,out_of_time
2913222-10,out_of_time
2913226-08,out_of_time
2913223-05,out_of_time
2901011-06,out_of_time
2913222-13,out_of_time
2901011-03,out_of_time
2901001-01,out_of_time
2901003-01,out_of_time
2901006-08,out_of_time
2901006-07,out_of_time
2901010-05,out_of_time
2901017-03,out_of_time
2308234-02,out_of_time
2307203-06,out_of_time
2301004-04,out_of_time
2307220-01,out_of_time
2307203-07,out_of_time
2308244-05,out_of_time
2301017-05,out_of_time
2301003-07,out_of_time
2308248-02,out_of_time
2308248-04,out_of_time
2308244-03,out_of_time
2309260-02,out_of_time
2301002-07,out_of_time
2301002-03,out_of_time
2307190-01,out_of_time
2307215-05,out_of_time
2307218-03,out_of_time
1005088-01,out_of_time
1008215-03,out_of_time
1001002-06,out_of_time
1005086-03,out_of_time
1006139-01,out_of_time
1001005-05,out_of_time
1001004-03,out_of_time
1001009-02,out_of_time
1001009-03,out_of_time
1008207-03,out_of_time
1001014-01,out_of_time
1001013-04,out_of_time
1005108-01,out_of_time
1006132-02,out_of_time
1001014-03,out_of_time
1001006-03,out_of_time
1005086-04,out_of_time
1001008-05,out_of_time
1004080-02,out_of_time
1006144-01,out_of_time
1005111-07,out_of_time
1001027-01,out_of_time
1801026-02,out_of_time
1813194-04,out_of_time
1801011-05,out_of_time
1810133-03,out_of_time
1805246-01,out_of_time
1801001-08,out_of_time
1810132-03,out_of_time
1801001-10,out_of_time
1810132-08,out_of_time
1806076-05,out_of_time
1801005-02,out_of_time
1801004-04,out_of_time
1814200-03,out_of_time
1801004-03,out_of_time
1814201-01,out_of_time
1801012-06,out_of_time
1810134-03,out_of_time
1801017-09,out_of_time
1801017-11,out_of_time
1903082-02,out_of_time
1901023-17,out_of_time
1903079-04,out_of_time
2005071-01,out_of_time
2001014-03,out_of_time
2001009-01,out_of_time
2007095-05,out_of_time
2001003-12,out_of_time
2001003-16,out_of_time
2004049-05,out_of_time
0911224-02,out_of_time
0904095-02,out_of_time
0901010-02,out_of_time
0905129-03,out_of_time
0906164-01,out_of_time
0913251-03,out_of_time
0906166-01,out_of_time
0911235-07,out_of_time
0913262-02,out_of_time
0908189-03,out_of_time
0907176-04,out_of_time
0915276-02,out_of_time
0907176-06,out_of_time
0915277-01,out_of_time
2801014-02,out_of_time
2801014-05,out_of_time
2801026-03,out_of_time
2801011-01,out_of_time
2801003-05,out_of_time
2801007-08,out_of_time
2801005-03,out_of_time
2801003-07,out_of_time
2801011-12,out_of_time
2802035-13,out_of_time
2801029-07,out_of_time
2801022-03,out_of_time
2801012-01,out_of_time
2801028-02,out_of_time
2801004-11,out_of_time
2801028-01,out_of_time
2801005-07,out_of_time
2801007-03,out_of_time
2801016-02,out_of_time
2801008-06,out_of_time
2801016-05,out_of_time
2802033-05,out_of_time
2801003-06,out_of_time
2602025-01,out_of_time
2603032-01,out_of_time
2602020-01,out_of_time
2601012-02,out_of_time
2601003-03,out_of_time
3102054-03,out_of_time
3101004-07,out_of_time
3102054-01,out_of_time
3101005-01,out_of_time
3401014-06,out_of_time
3404040-02,out_of_time
3401002-12,out_of_time
3401001-06,out_of_time
3402020-01,out_of_time
3401007-02,out_of_time
3401004-01,out_of_time
3403034-01,out_of_time
3402018-03,out_of_time
3401004-10,out_of_time
3403031-02,out_of_time
0204042-06,out_of_time
0201012-03,out_of_time
0202094-05,out_of_time
0202094-02,out_of_time
0204038-02,out_of_time
0204045-01,out_of_time
0201013-03,out_of_time
3301001-12,out_of_time
3301004-06,out_of_time
3301024-01,out_of_time
3301038-04,out_of_time
3301002-07,out_of_time
0301001-03,out_of_time
0302047-03,out_of_time
0302059-03,out_of_time
0305094-02,out_of_time
0301007-07,out_of_time
0307119-11,out_of_time
0302051-04,out_of_time
0301007-01,out_of_time
0301004-01,out_of_time
0304072-01,out_of_time
0301002-03,out_of_time
0302046-03,out_of_time
0304075-02,out_of_time
0301002-11,out_of_time
0301004-06,out_of_time
0302046-02,out_of_time
0304084-03,out_of_time
0306110-01,out_of_time
0302054-01,out_of_time
0305098-01,out_of_time
0409136-01,out_of_time
0406101-01,out_of_time
0407109-03,out_of_time
0409123-04,out_of_time
0401002-04,out_of_time
0409146-02,out_of_time
0409157-01,out_of_time
1208085-01,out_of_time
1201002-09,out_of_time
1202019-05,out_of_time
1208085-07,out_of_time
1201002-01,out_of_time
1201004-03,out_of_time
1202017-04,out_of_time
1217215-02,out_of_time
1208087-05,out_of_time
1218230-03,out_of_time
1203034-03,out_of_time
1211150-03,out_of_time
1218225-01,out_of_time
1203027-02,out_of_time
1201008-03,out_of_time
1402062-01,out_of_time
1402060-04,out_of_time
1401008-10,out_of_time
1401003-08,out_of_time
1413188-03,out_of_time
1401025-01,out_of_time
1404105-01,out_of_time
1402069-02,out_of_time
1413184-03,out_of_time
1413184-05,out_of_time
1402061-05,out_of_time
1401004-15,out_of_time
1403076-01,out_of_time
1402069-03,out_of_time
1402053-04,out_of_time
1403076-02,out_of_time
1402067-02,out_of_time
1408138-07,out_of_time
1401032-02,out_of_time
1402059-01,out_of_time
1402066-03,out_of_time
1401001-01,out_of_time
1402065-04,out_of_time
1401003-05,out_of_time
1401023-08,out_of_time
1401023-09,out_of_time
1401032-01,out_of_time
1401047-02,out_of_time
1401043-02,out_of_time
1401005-03,out_of_time
1401004-09,out_of_time
1413188-05,out_of_time
1401048-02,out_of_time
1413184-04,out_of_time
1408138-01,out_of_time
1401034-03,out_of_time
2405127-01,out_of_time
2408238-03,out_of_time
2401005-01,out_of_time
2406153-01,out_of_time
2402065-02,out_of_time
2409246-02,out_of_time
2407181-01,out_of_time
2401023-02,out_of_time
2401020-02,out_of_time
2404117-03,out_of_time
2401003-01,out_of_time
2405135-02,out_of_time
2401001-01,out_of_time
2407194-01,out_of_time
2402060-01,out_of_time
2401004-01,out_of_time
2401001-02,out_of_time
2408236-01,out_of_time
2407196-03,out_of_time
2401023-01,out_of_time
2404109-02,out_of_time
2407212-02,out_of_time
2407211-01,out_of_time
2408226-01,out_of_time
2406153-02,out_of_time
2401005-03,out_of_time
2409252-04,out_of_time
2402046-01,out_of_time
2404087-01,out_of_time
2407182-02,out_of_time
2408225-02,out_of_time
2407210-02,out_of_time
2404093-01,out_of_time
2402070-01,out_of_time
2406154-04,out_of_time
2409253-05,out_of_time
2407212-01,out_of_time
2406149-04,out_of_time
2701008-05,out_of_time
2701009-06,out_of_time
2701013-10,out_of_time
2701039-14,out_of_time
2701013-17,out_of_time
2701007-09,out_of_time
2701013-07,out_of_time
2701012-11,out_of_time
2701015-16,out_of_time
2701008-06,out_of_time
2701002-11,out_of_time
2705099-02,out_of_time
2701001-20,out_of_time
2701027-07,out_of_time
2701015-18,out_of_time
2701011-06,out_of_time
2701016-14,out_of_time
2701025-06,out_of_time
2701010-04,out_of_time
2701038-03,out_of_time
2701034-08,out_of_time
2701033-17,out_of_time
2701005-10,out_of_time
2701003-10,out_of_time
2701018-02,out_of_time
2701012-14,out_of_time
2701001-25,out_of_time
2701017-06,out_of_time
2701020-15,out_of_time
2701022-11,out_of_time
2701015-10,out_of_time
2701009-11,out_of_time
2718220-04,out_of_time
2701013-12,out_of_time
2701002-14,out_of_time
2701027-03,out_of_time
2701023-13,out_of_time
2703073-01,out_of_time
2705100-05,out_of_time
2701002-06,out_of_time
2717208-02,out_of_time
2701035-10,out_of_time
2701017-16,out_of_time
2703060-02,out_of_time
2701016-10,out_of_time
2701040-18,out_of_time
2701015-06,out_of_time
2701013-28,out_of_time
2701017-01,out_of_time
2701036-11,out_of_time
2701002-02,out_of_time
2701026-10,out_of_time
2701019-08,out_of_time
2701001-10,out_of_time
2701002-16,out_of_time
2701013-25,out_of_time
2704081-03,out_of_time
2710150-07,out_of_time
2701035-05,out_of_time
2701039-05,out_of_time
2711165-13,out_of_time
2701015-08,out_of_time
2701017-02,out_of_time
2701013-13,out_of_time
2701039-29,out_of_time
2701040-14,out_of_time
2701006-09,out_of_time
2701009-10,out_of_time
2701029-02,out_of_time
2701002-07,out_of_time
0101268-08,out_of_time
0101272-03,out_of_time
0101014-03,out_of_time
0101180-11,out_of_time
0101068-01,out_of_time
0101250-03,out_of_time
0101124-10,out_of_time
0101011-03,out_of_time
0101081-01,out_of_time
0101098-03,out_of_time
0101151-05,out_of_time
0101113-04,out_of_time
0103403-02,out_of_time
0101019-01,out_of_time
0101154-15,out_of_time
0102398-04,out_of_time
0101204-04,out_of_time
0112507-03,out_of_time
0103405-04,out_of_time
0101113-08,out_of_time
0101261-24,out_of_time
0101091-04,out_of_time
0101145-05,out_of_time
0101240-05,out_of_time
0101087-07,out_of_time
0101040-06,out_of_time
0112502-03,out_of_time
0101315-03,out_of_time
0102395-02,out_of_time
0102397-02,out_of_time
0101272-01,out_of_time
0101310-10,out_of_time
0101160-04,out_of_time
0101174-18,out_of_time
0101359-03,out_of_time
0101094-05,out_of_time
0101111-10,out_of_time
0101079-02,out_of_time
0108474-05,out_of_time
0101291-06,out_of_time
0101357-01,out_of_time
0101275-02,out_of_time
0101258-12,out_of_time
0101008-02,out_of_time
0105429-03,out_of_time
0101362-06,out_of_time
0101347-02,out_of_time
0101300-12,out_of_time
0101347-01,out_of_time
0101105-05,out_of_time
0101261-20,out_of_time
0101249-08,out_of_time
0101154-08,out_of_time
0112505-01,out_of_time
0101044-07,out_of_time
0101151-14,out_of_time
0101076-06,out_of_time
0101129-02,out_of_time
0101082-08,out_of_time
0103404-08,out_of_time
0101048-02,out_of_time
0101024-09,out_of_time
0101285-07,out_of_time
0101249-13,out_of_time
0101343-06,out_of_time
0101222-07,out_of_time
0101196-05,out_of_time
0101554-03,out_of_time
0101030-02,out_of_time
0104426-01,out_of_time
0104413-11,out_of_time
0104418-05,out_of_time
0101360-04,out_of_time
0101111-01,out_of_time
0101211-08,out_of_time
0101355-02,out_of_time
0101097-04,out_of_time
0101119-05,out_of_time
0101172-03,out_of_time
0101155-07,out_of_time
0101178-01,out_of_time
0101115-11,out_of_time
0101051-05,out_of_time
0112507-02,out_of_time
0101351-16,out_of_time
0101016-04,out_of_time
0101232-09,out_of_time
0105441-06,out_of_time
0101282-05,out_of_time
0101345-07,out_of_time
0101261-18,out_of_time
0101261-01,out_of_time
0101107-01,out_of_time
0101224-01,out_of_time
0101294-02,out_of_time
0101276-09,out_of_time
0101043-07,out_of_time
0101554-02,out_of_time
0101043-04,out_of_time
0101018-06,out_of_time
0103409-06,out_of_time
0101166-04,out_of_time
0101179-03,out_of_time
0101015-01,out_of_time
0101279-08,out_of_time
0101295-13,out_of_time
0108468-03,out_of_time
0101168-04,out_of_time
0101554-05,out_of_time
0103406-01,out_of_time
0101166-06,out_of_time
0101322-03,out_of_time
0101026-03,out_of_time
0101255-07,out_of_time
0101119-01,out_of_time
0101202-04,out_of_time
0101559-19,out_of_time
0102378-03,out_of_time
0101008-01,out_of_time
0101252-14,out_of_time
0101318-03,out_of_time
0101270-02,out_of_time
0101233-07,out_of_time
0101261-11,out_of_time
0101195-05,out_of_time
0101349-03,out_of_time
0101270-11,out_of_time
0101025-01,out_of_time
0101090-01,out_of_time
0101014-02,out_of_time
0102393-06,out_of_time
0105441-07,out_of_time
0101214-03,out_of_time
0101233-04,out_of_time
0113511-06,out_of_time
0101361-05,out_of_time
0101253-12,out_of_time
0102392-06,out_of_time
0101037-02,out_of_time
0101108-02,out_of_time
0101314-01,out_of_time
0101124-03,out_of_time
0101177-10,out_of_time
0103401-01,out_of_time
0101013-01,out_of_time
0102390-07,out_of_time
0104414-06,out_of_time
0101258-09,out_of_time
0102393-08,out_of_time
0101019-02,out_of_time
0108477-05,out_of_time
0101234-07,out_of_time
0101024-03,out_of_time
0101261-02,out_of_time
0101311-02,out_of_time
0101232-01,out_of_time
0105442-01,out_of_time
0112505-02,out_of_time
0101193-01,out_of_time
0101257-04,out_of_time
0112507-01,out_of_time
0101272-07,out_of_time
0101080-06,out_of_time
0101260-12,out_of_time
0101233-08,out_of_time
0112506-01,out_of_time
0101104-01,out_of_time
0101151-02,out_of_time
0101251-17,out_of_time
0102394-02,out_of_time
0105444-08,out_of_time
0101065-05,out_of_time
0101261-19,out_of_time
0101266-02,out_of_time
0101110-05,out_of_time
0101032-02,out_of_time
0101358-01,out_of_time
0101363-16,out_of_time
0104419-04,out_of_time
0101130-04,out_of_time
0101174-15,out_of_time
0101121-01,out_of_time
0101234-17,out_of_time
0101253-04,out_of_time
0101223-04,out_of_time
0101335-21,out_of_time
0101215-06,out_of_time
0101247-05,out_of_time
0101290-13,out_of_time
0101109-01,out_of_time
0101167-07,out_of_time
0101100-03,out_of_time
0101147-04,out_of_time
0101254-09,out_of_time
0101193-03,out_of_time
0101264-10,out_of_time
0101310-03,out_of_time
0101559-06,out_of_time
0101211-05,out_of_time
0101214-01,out_of_time
0101026-09,out_of_time
0101126-06,out_of_time
0101019-06,out_of_time
0101028-01,out_of_time
0101162-04,out_of_time
0101155-05,out_of_time
0110494-05,out_of_time
0101090-06,out_of_time
0101349-05,out_of_time
0101077-08,out_of_time
0101343-07,out_of_time
0101152-09,out_of_time
0101064-08,out_of_time
0101335-12,out_of_time
0101268-03,out_of_time
0101302-03,out_of_time
0101350-10,out_of_time
0101057-08,out_of_time
0101111-09,out_of_time
0101359-06,out_of_time
0101222-01,out_of_time
0101105-06,out_of_time
0101196-01,out_of_time
0101080-04,out_of_time
0101151-13,out_of_time
0101310-11,out_of_time
0101113-06,out_of_time
0101345-12,out_of_time
0101232-02,out_of_time
0102386-01,out_of_time
0101177-07,out_of_time
0101110-02,out_of_time
0101168-02,out_of_time
0101336-06,out_of_time
0113510-03,out_of_time
0101076-08,out_of_time
0101115-07,out_of_time
0101302-13,out_of_time
0101026-08,out_of_time
0101127-09,out_of_time
0101018-04,out_of_time
0101205-06,out_of_time
0101294-11,out_of_time
0103409-04,out_of_time
0101348-12,out_of_time
0101224-05,out_of_time
0101297-04,out_of_time
0101082-09,out_of_time
0101043-01,out_of_time
0101038-01,out_of_time
0101228-01,out_of_time
0101053-03,out_of_time
0101021-03,out_of_time
0101291-08,out_of_time
0105444-02,out_of_time
0101061-10,out_of_time
0103405-07,out_of_time
0101137-05,out_of_time
0101173-06,out_of_time
0114515-05,out_of_time
0101270-10,out_of_time
0101225-02,out_of_time
0101266-09,out_of_time
0101212-04,out_of_time
0103404-09,out_of_time
0102386-07,out_of_time
0101153-10,out_of_time
0101153-03,out_of_time
0101015-07,out_of_time
0101372-11,out_of_time
0101144-07,out_of_time
0101335-14,out_of_time
0104418-03,out_of_time
0101062-14,out_of_time
0101067-07,out_of_time
0101084-06,out_of_time
0101272-02,out_of_time
0101101-01,out_of_time
0101303-05,out_of_time
0105443-02,out_of_time
0101225-06,out_of_time
0101238-04,out_of_time
0101559-11,out_of_time
0101113-01,out_of_time
0101009-04,out_of_time
0101061-05,out_of_time
0101256-10,out_of_time
0101264-13,out_of_time
0103409-03,out_of_time
0101136-14,out_of_time
0104426-13,out_of_time
0101119-03,out_of_time
0112501-04,out_of_time
0101076-01,out_of_time
0101179-04,out_of_time
0601034-02,out_of_time
0601015-01,out_of_time
0603081-13,out_of_time
0601006-02,out_of_time
0601001-06,out_of_time
0606170-03,out_of_time
0607186-05,out_of_time
0603076-03,out_of_time
0609233-05,out_of_time
0618393-01,out_of_time
0601017-16,out_of_time
0601017-09,out_of_time
0614319-06,out_of_time
0601030-13,out_of_time
0610251-05,out_of_time
0605143-03,out_of_time
0601008-03,out_of_time
0601045-03,out_of_time
0605127-02,out_of_time
0601012-09,out_of_time
0602063-07,out_of_time
0602063-08,out_of_time
0603088-03,out_of_time
0602068-05,out_of_time
0602059-04,out_of_time
0602068-08,out_of_time
0612274-01,out_of_time
0613303-01,out_of_time
0613289-01,out_of_time
0609230-07,out_of_time
0605140-02,out_of_time
0602067-02,out_of_time
0603077-04,out_of_time
0607185-05,out_of_time
0611268-02,out_of_time
0603087-02,out_of_time
0607174-04,out_of_time
0601007-01,out_of_time
0601006-07,out_of_time
0601030-06,out_of_time
0602067-04,out_of_time
0605146-04,out_of_time
0602057-04,out_of_time
0603081-05,out_of_time
0612274-03,out_of_time
0602062-02,out_of_time
0602056-04,out_of_time
0605141-03,out_of_time
0602060-03,out_of_time
0602065-09,out_of_time
0603081-09,out_of_time
0617379-02,out_of_time
0601016-04,out_of_time
0605129-06,out_of_time
0601034-06,out_of_time
0602055-02,out_of_time
0601011-03,out_of_time
0601010-11,out_of_time
0601046-04,out_of_time
0603080-01,out_of_time
0602066-02,out_of_time
0602052-02,out_of_time
0601038-06,out_of_time
0605143-07,out_of_time
0605139-03,out_of_time
0601040-01,out_of_time
0602058-04,out_of_time
0607179-09,out_of_time
0602068-09,out_of_time
0613301-01,out_of_time
0601021-04,out_of_time
0613297-03,out_of_time
0601027-06,out_of_time
0603078-04,out_of_time
0603081-03,out_of_time
0603095-01,out_of_time
0606172-04,out_of_time
0602054-02,out_of_time
0617381-04,out_of_time
0622456-02,out_of_time
0602049-12,out_of_time
0602064-10,out_of_time
0602067-05,out_of_time
0601008-10,out_of_time
0615326-02,out_of_time
0602062-08,out_of_time
0601046-01,out_of_time
0617376-02,out_of_time
0617381-03,out_of_time
0601011-11,out_of_time
0601021-05,out_of_time
0601021-01,out_of_time
0602065-01,out_of_time
0603082-06,out_of_time
0602062-09,out_of_time
0601022-02,out_of_time
0602066-04,out_of_time
0602060-09,out_of_time
0617376-08,out_of_time
0618391-04,out_of_time
0603082-03,out_of_time
0605141-06,out_of_time
0618391-07,out_of_time
0601008-17,out_of_time
0601039-02,out_of_time
0602063-01,out_of_time
0602065-03,out_of_time
0602064-04,out_of_time
0606170-01,out_of_time
0601006-04,out_of_time
0601034-07,out_of_time
0617380-02,out_of_time
0618391-10,out_of_time
0603082-04,out_of_time
0601018-11,out_of_time
3201012-07,out_of_time
3203112-01,out_of_time
3201031-07,out_of_time
3201047-22,out_of_time
3211325-01,out_of_time
3211320-01,out_of_time
3201050-05,out_of_time
3201007-04,out_of_time
3201001-06,out_of_time
3201034-06,out_of_time
3202070-07,out_of_time
3201030-03,out_of_time
3201004-02,out_of_time
3201015-12,out_of_time
3202080-02,out_of_time
3202075-06,out_of_time
3201024-18,out_of_time
3201021-04,out_of_time
3202086-01,out_of_time
3201011-12,out_of_time
3207216-06,out_of_time
3201051-10,out_of_time
3201037-02,out_of_time
3201014-06,out_of_time
3205149-03,out_of_time
3201051-06,out_of_time
3201012-14,out_of_time
3201046-11,out_of_time
3202086-05,out_of_time
3201045-07,out_of_time
3201009-03,out_of_time
3202052-06,out_of_time
3201026-04,out_of_time
3204131-06,out_of_time
3201021-13,out_of_time
3201023-02,out_of_time
3201046-13,out_of_time
3202074-08,out_of_time
3201004-06,out_of_time
3202090-02,out_of_time
