"province_code","pc_code","ps_code","scan_filename","target_url","link_broken"
"01","0101059","0101059-19","0101059-19-F_cr_371.png","https://edss.iec.org.af/invalid/1/10104/0101059/0101059-19-F_cr_371.png","YES"
"01","0101141","0101141-02","0101141-02-M_cr_1093.png","https://edss.iec.org.af/invalid/1/10108/0101141/0101141-02-M_cr_1093.png","YES"
"01","0101141","0101141-05","0101141-05-M_cr_1096.png","https://edss.iec.org.af/invalid/1/10108/0101141/0101141-05-M_cr_1096.png","YES"
"01","0101141","0101141-10","0101141-10-M_cr_1101.png","https://edss.iec.org.af/invalid/1/10108/0101141/0101141-10-M_cr_1101.png","YES"
"01","0101273","0101273-04","0101273-04-F_cr_2279.png","https://edss.iec.org.af/invalid/1/10113/0101273/0101273-04-F_cr_2279.png","YES"
"01","0101369","0101369-04","0101369-04-M_cr_3224.png","https://edss.iec.org.af/invalid/1/10121/0101369/0101369-04-M_cr_3224.png","YES"
"01","0101556","0101556-15","0101556-15-F_cr_3354.png","https://edss.iec.org.af/invalid/1/10112/0101556/0101556-15-F_cr_3354.png","YES"
"01","0109480","0109480-06","0109480-06-F_cr_4287.png","https://edss.iec.org.af/invalid/1/109/0109480/0109480-06-F_cr_4287.png","YES"
"01","0109486","0109486-06","0109486-06-F_cr_4332.png","https://edss.iec.org.af/invalid/1/109/0109486/0109486-06-F_cr_4332.png","YES"
"01","0115551","0115551-04","0115551-04-M_cr_4749.png","https://edss.iec.org.af/invalid/1/115/0115551/0115551-04-M_cr_4749.png","YES"
"03","0302037","0302037-02","0302037-02-M_cr_5440.png","https://edss.iec.org.af/invalid/3/302/0302037/0302037-02-M_cr_5440.png","YES"
"03","0308145","0308145-03","0308145-03-F_cr_5886.png","https://edss.iec.org.af/invalid/3/308/0308145/0308145-03-F_cr_5886.png","YES"
"05","0503041","0503041-01","0503041-01-M_cr_6636.png","https://edss.iec.org.af/invalid/5/503/0503041/0503041-01-M_cr_6636.png","YES"
"05","0503041","0503041-02","0503041-02-F_cr_6637.png","https://edss.iec.org.af/invalid/5/503/0503041/0503041-02-F_cr_6637.png","YES"
"05","0503044","0503044-01","0503044-01-M_cr_6638.png","https://edss.iec.org.af/invalid/5/503/0503044/0503044-01-M_cr_6638.png","YES"
"05","0503044","0503044-05","0503044-05-M_cr_6642.png","https://edss.iec.org.af/invalid/5/503/0503044/0503044-05-M_cr_6642.png","YES"
"05","0503044","0503044-06","0503044-06-M_cr_6643.png","https://edss.iec.org.af/invalid/5/503/0503044/0503044-06-M_cr_6643.png","YES"
"05","0503044","0503044-07","0503044-07-F_cr_6644.png","https://edss.iec.org.af/invalid/5/503/0503044/0503044-07-F_cr_6644.png","YES"
"05","0503044","0503044-02","0503044-02-M_cr_6639.png","https://edss.iec.org.af/invalid/5/503/0503044/0503044-02-M_cr_6639.png","YES"
"06","0604106","0604106-06","0604106-06-F_cr_7739.png","https://edss.iec.org.af/invalid/6/604/0604106/0604106-06-F_cr_7739.png","YES"
"06","0608200","0608200-11","0608200-11-F_cr_8269.png","https://edss.iec.org.af/invalid/6/608/0608200/0608200-11-F_cr_8269.png","YES"
"06","0608210","0608210-06","0608210-06-F_cr_8332.png","https://edss.iec.org.af/invalid/6/608/0608210/0608210-06-F_cr_8332.png","YES"
"06","0608217","0608217-03","0608217-03-M_cr_8356.png","https://edss.iec.org.af/invalid/6/608/0608217/0608217-03-M_cr_8356.png","YES"
"11","1105087","1105087-03","1105087-03-F_cr_12336.png","https://edss.iec.org.af/invalid/11/1105/1105087/1105087-03-F_cr_12336.png","YES"
"11","1105089","1105089-03","1105089-03-F_cr_12339.png","https://edss.iec.org.af/invalid/11/1105/1105089/1105089-03-F_cr_12339.png","YES"
"11","1105090","1105090-01","1105090-01-M_cr_12340.png","https://edss.iec.org.af/invalid/11/1105/1105090/1105090-01-M_cr_12340.png","YES"
"11","1105090","1105090-02","1105090-02-M_cr_12341.png","https://edss.iec.org.af/invalid/11/1105/1105090/1105090-02-M_cr_12341.png","YES"
