"province_code","pc_code","ps_code","scan_filename","target_url"
"01","0101030","0101030-08","0101030-08-F_cr_159.png","https://edss.iec.org.af/invalid/1/10102/0101030/0101030-08-F_cr_159.png"
"01","0101041","0101041-01","0101041-01-M_cr_218.png","https://edss.iec.org.af/invalid/1/10103/0101041/0101041-01-M_cr_218.png"
"01","0101046","0101046-10","0101046-10-F_cr_266.png","https://edss.iec.org.af/invalid/1/10103/0101046/0101046-10-F_cr_266.png"
"01","0101061","0101061-08","0101061-08-M_cr_389.png","https://edss.iec.org.af/invalid/1/10104/0101061/0101061-08-M_cr_389.png"
"01","0101062","0101062-13","0101062-13-F_cr_414.png","https://edss.iec.org.af/invalid/1/10104/0101062/0101062-13-F_cr_414.png"
"01","0101081","0101081-09","0101081-09-F_cr_566.png","https://edss.iec.org.af/invalid/1/10105/0101081/0101081-09-F_cr_566.png"
"01","0101088","0101088-12","0101088-12-M_cr_641.png","https://edss.iec.org.af/invalid/1/10105/0101088/0101088-12-M_cr_641.png"
"01","0101096","0101096-01","0101096-01-M_cr_699.png","https://edss.iec.org.af/invalid/1/10106/0101096/0101096-01-M_cr_699.png"
"01","0101097","0101097-02","0101097-02-M_cr_709.png","https://edss.iec.org.af/invalid/1/10106/0101097/0101097-02-M_cr_709.png"
"01","0101101","0101101-11","0101101-11-F_cr_749.png","https://edss.iec.org.af/invalid/1/10106/0101101/0101101-11-F_cr_749.png"
"01","0101103","0101103-04","0101103-04-M_cr_765.png","https://edss.iec.org.af/invalid/1/10106/0101103/0101103-04-M_cr_765.png"
"01","0101104","0101104-05","0101104-05-F_cr_777.png","https://edss.iec.org.af/invalid/1/10106/0101104/0101104-05-F_cr_777.png"
"01","0101141","0101141-12","0101141-12-F_cr_1103.png","https://edss.iec.org.af/invalid/1/10108/0101141/0101141-12-F_cr_1103.png"
"01","0101141","0101141-13","0101141-13-F_cr_1104.png","https://edss.iec.org.af/invalid/1/10108/0101141/0101141-13-F_cr_1104.png"
"01","0101141","0101141-15","0101141-15-F_cr_1106.png","https://edss.iec.org.af/invalid/1/10108/0101141/0101141-15-F_cr_1106.png"
"01","0101141","0101141-16","0101141-16-F_cr_1107.png","https://edss.iec.org.af/invalid/1/10108/0101141/0101141-16-F_cr_1107.png"
"01","0101148","0101148-09","0101148-09-F_cr_1156.png","https://edss.iec.org.af/invalid/1/10108/0101148/0101148-09-F_cr_1156.png"
"01","0101149","0101149-07","0101149-07-F_cr_1165.png","https://edss.iec.org.af/invalid/1/10108/0101149/0101149-07-F_cr_1165.png"
"01","0101170","0101170-03","0101170-03-M_cr_1345.png","https://edss.iec.org.af/invalid/1/10108/0101170/0101170-03-M_cr_1345.png"
"01","0101170","0101170-05","0101170-05-M_cr_1347.png","https://edss.iec.org.af/invalid/1/10108/0101170/0101170-05-M_cr_1347.png"
"01","0101178","0101178-08","0101178-08-F_cr_1440.png","https://edss.iec.org.af/invalid/1/10109/0101178/0101178-08-F_cr_1440.png"
"01","0101187","0101187-04","0101187-04-M_cr_1503.png","https://edss.iec.org.af/invalid/1/10109/0101187/0101187-04-M_cr_1503.png"
"01","0101196","0101196-08","0101196-08-F_cr_1549.png","https://edss.iec.org.af/invalid/1/10110/0101196/0101196-08-F_cr_1549.png"
"01","0101205","0101205-09","0101205-09-F_cr_1605.png","https://edss.iec.org.af/invalid/1/10110/0101205/0101205-09-F_cr_1605.png"
"01","0101223","0101223-01","0101223-01-M_cr_1715.png","https://edss.iec.org.af/invalid/1/10110/0101223/0101223-01-M_cr_1715.png"
"01","0101229","0101229-16","0101229-16-F_cr_1776.png","https://edss.iec.org.af/invalid/1/10111/0101229/0101229-16-F_cr_1776.png"
"01","0101234","0101234-01","0101234-01-M_cr_1813.png","https://edss.iec.org.af/invalid/1/10111/0101234/0101234-01-M_cr_1813.png"
"01","0101238","0101238-05","0101238-05-F_cr_1859.png","https://edss.iec.org.af/invalid/1/10111/0101238/0101238-05-F_cr_1859.png"
"01","0101239","0101239-07","0101239-07-M_cr_1866.png","https://edss.iec.org.af/invalid/1/10111/0101239/0101239-07-M_cr_1866.png"
"01","0101250","0101250-09","0101250-09-M_cr_1977.png","https://edss.iec.org.af/invalid/1/10112/0101250/0101250-09-M_cr_1977.png"
"01","0101250","0101250-13","0101250-13-F_cr_1981.png","https://edss.iec.org.af/invalid/1/10112/0101250/0101250-13-F_cr_1981.png"
"01","0101250","0101250-14","0101250-14-F_cr_1982.png","https://edss.iec.org.af/invalid/1/10112/0101250/0101250-14-F_cr_1982.png"
"01","0101252","0101252-06","0101252-06-M_cr_2007.png","https://edss.iec.org.af/invalid/1/10112/0101252/0101252-06-M_cr_2007.png"
"01","0101252","0101252-07","0101252-07-M_cr_2008.png","https://edss.iec.org.af/invalid/1/10112/0101252/0101252-07-M_cr_2008.png"
"01","0101252","0101252-09","0101252-09-M_cr_2010.png","https://edss.iec.org.af/invalid/1/10112/0101252/0101252-09-M_cr_2010.png"
"01","0101263","0101263-02","0101263-02-M_cr_2188.png","https://edss.iec.org.af/invalid/1/10113/0101263/0101263-02-M_cr_2188.png"
"01","0101271","0101271-02","0101271-02-M_cr_2262.png","https://edss.iec.org.af/invalid/1/10113/0101271/0101271-02-M_cr_2262.png"
"01","0101302","0101302-07","0101302-07-M_cr_2592.png","https://edss.iec.org.af/invalid/1/10115/0101302/0101302-07-M_cr_2592.png"
"01","0101302","0101302-14","0101302-14-F_cr_2599.png","https://edss.iec.org.af/invalid/1/10115/0101302/0101302-14-F_cr_2599.png"
"01","0101304","0101304-07","0101304-07-F_cr_2616.png","https://edss.iec.org.af/invalid/1/10115/0101304/0101304-07-F_cr_2616.png"
"01","0101307","0101307-01","0101307-01-M_cr_2633.png","https://edss.iec.org.af/invalid/1/10115/0101307/0101307-01-M_cr_2633.png"
"01","0101315","0101315-12","0101315-12-F_cr_2700.png","https://edss.iec.org.af/invalid/1/10115/0101315/0101315-12-F_cr_2700.png"
"01","0101317","0101317-02","0101317-02-M_cr_2712.png","https://edss.iec.org.af/invalid/1/10115/0101317/0101317-02-M_cr_2712.png"
"01","0101351","0101351-19","0101351-19-F_cr_2997.png","https://edss.iec.org.af/invalid/1/10117/0101351/0101351-19-F_cr_2997.png"
"01","0101352","0101352-12","0101352-12-M_cr_3012.png","https://edss.iec.org.af/invalid/1/10117/0101352/0101352-12-M_cr_3012.png"
"01","0101357","0101357-08","0101357-08-F_cr_3072.png","https://edss.iec.org.af/invalid/1/10117/0101357/0101357-08-F_cr_3072.png"
"01","0101362","0101362-02","0101362-02-M_cr_3118.png","https://edss.iec.org.af/invalid/1/10119/0101362/0101362-02-M_cr_3118.png"
"01","0101366","0101366-07","0101366-07-M_cr_3180.png","https://edss.iec.org.af/invalid/1/10121/0101366/0101366-07-M_cr_3180.png"
"01","0101366","0101366-11","0101366-11-M_cr_3184.png","https://edss.iec.org.af/invalid/1/10121/0101366/0101366-11-M_cr_3184.png"
"01","0101366","0101366-14","0101366-14-F_cr_3187.png","https://edss.iec.org.af/invalid/1/10121/0101366/0101366-14-F_cr_3187.png"
"01","0101366","0101366-15","0101366-15-F_cr_3188.png","https://edss.iec.org.af/invalid/1/10121/0101366/0101366-15-F_cr_3188.png"
"01","0101367","0101367-02","0101367-02-M_cr_3191.png","https://edss.iec.org.af/invalid/1/10121/0101367/0101367-02-M_cr_3191.png"
"01","0101367","0101367-04","0101367-04-M_cr_3193.png","https://edss.iec.org.af/invalid/1/10121/0101367/0101367-04-M_cr_3193.png"
"01","0101367","0101367-06","0101367-06-M_cr_3195.png","https://edss.iec.org.af/invalid/1/10121/0101367/0101367-06-M_cr_3195.png"
"01","0101367","0101367-09","0101367-09-M_cr_3198.png","https://edss.iec.org.af/invalid/1/10121/0101367/0101367-09-M_cr_3198.png"
"01","0101367","0101367-10","0101367-10-M_cr_3199.png","https://edss.iec.org.af/invalid/1/10121/0101367/0101367-10-M_cr_3199.png"
"01","0101367","0101367-11","0101367-11-M_cr_3200.png","https://edss.iec.org.af/invalid/1/10121/0101367/0101367-11-M_cr_3200.png"
"01","0101367","0101367-12","0101367-12-F_cr_3201.png","https://edss.iec.org.af/invalid/1/10121/0101367/0101367-12-F_cr_3201.png"
"01","0101368","0101368-17","0101368-17-F_cr_3220.png","https://edss.iec.org.af/invalid/1/10121/0101368/0101368-17-F_cr_3220.png"
"01","0101369","0101369-07","0101369-07-M_cr_3227.png","https://edss.iec.org.af/invalid/1/10121/0101369/0101369-07-M_cr_3227.png"
"01","0101371","0101371-15","0101371-15-M_cr_3268.png","https://edss.iec.org.af/invalid/1/10121/0101371/0101371-15-M_cr_3268.png"
"01","0101371","0101371-16","0101371-16-M_cr_3269.png","https://edss.iec.org.af/invalid/1/10121/0101371/0101371-16-M_cr_3269.png"
"01","0101371","0101371-19","0101371-19-F_cr_3272.png","https://edss.iec.org.af/invalid/1/10121/0101371/0101371-19-F_cr_3272.png"
"01","0101372","0101372-03","0101372-03-M_cr_3276.png","https://edss.iec.org.af/invalid/1/10121/0101372/0101372-03-M_cr_3276.png"
"01","0101372","0101372-15","0101372-15-M_cr_3288.png","https://edss.iec.org.af/invalid/1/10121/0101372/0101372-15-M_cr_3288.png"
"01","0101372","0101372-16","0101372-16-M_cr_3289.png","https://edss.iec.org.af/invalid/1/10121/0101372/0101372-16-M_cr_3289.png"
