"province_code","pc_code","ps_code","ps_type","audit_or_recount","prelim_results_reporting","ps_invalidated","ps_open","commission_decision"
"04","0404048","0404048-04","M","NO","NO",NA,NA,NA
"04","0404048","0404048-05","M","NO","NO",NA,NA,NA
"04","0404048","0404048-06","F","NO","NO",NA,NA,NA
"04","0404048","0404048-07","F","NO","NO",NA,NA,NA
"04","0404055","0404055-01","M","NO","NO",NA,NA,NA
"04","0404055","0404055-02","M","NO","NO",NA,NA,NA
"04","0404055","0404055-03","M","NO","NO",NA,NA,NA
"04","0404055","0404055-04","M","NO","NO",NA,NA,NA
"04","0404055","0404055-05","M","NO","NO",NA,NA,NA
"04","0404055","0404055-06","F","NO","NO",NA,NA,NA
"04","0404055","0404055-07","F","NO","NO",NA,NA,NA
"04","0405070","0405070-01","M","NO","NO",NA,NA,NA
"04","0405070","0405070-02","M","NO","NO",NA,NA,NA
"04","0405070","0405070-03","M","NO","NO",NA,NA,NA
"04","0405070","0405070-04","F","NO","NO",NA,NA,NA
"04","0405073","0405073-01","M","NO","NO",NA,NA,NA
"04","0405073","0405073-02","M","NO","NO",NA,NA,NA
"04","0405073","0405073-03","M","NO","NO",NA,NA,NA
"04","0405073","0405073-04","M","NO","NO",NA,NA,NA
"04","0405073","0405073-05","F","NO","NO",NA,NA,NA
"04","0406098","0406098-01","M","NO","NO",NA,NA,NA
"04","0406098","0406098-02","M","NO","NO",NA,NA,NA
"04","0406098","0406098-03","F","NO","NO",NA,NA,NA
"04","0406098","0406098-04","F","NO","NO",NA,NA,NA
"04","0406099","0406099-01","M","NO","NO",NA,NA,NA
"04","0406099","0406099-02","M","NO","NO",NA,NA,NA
"04","0406099","0406099-03","F","NO","NO",NA,NA,NA
"04","0406099","0406099-04","F","NO","NO",NA,NA,NA
"04","0408119","0408119-01","M","NO","NO",NA,NA,NA
"04","0408119","0408119-02","M","NO","NO",NA,NA,NA
"04","0408119","0408119-03","M","NO","NO",NA,NA,NA
"04","0408119","0408119-04","F","NO","NO",NA,NA,NA
"04","0408119","0408119-05","F","NO","NO",NA,NA,NA
"06","0604106","0604106-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"06","0608218","0608218-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"06","0616365","0616365-06","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"06","0616369","0616369-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"06","0621431","0621431-06","F","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"09","0901016","0901016-02","M","NO","NO",NA,NA,NA
"09","0901016","0901016-03","M","NO","NO",NA,NA,NA
