"province_code","pc_code","ps_code","ps_type","audit_or_recount","prelim_results_reporting","ps_invalidated","ps_open"
"01","0101001","0101001-01","M","YES","YES","NO","YES"
"01","0101001","0101001-02","F","NO","YES",NA,"YES"
"01","0101002","0101002-01","M","NO","YES",NA,"YES"
"01","0101002","0101002-02","M","NO","YES",NA,"YES"
"01","0101002","0101002-03","F","NO","YES",NA,"YES"
"01","0101003","0101003-01","M","NO","YES",NA,"YES"
"01","0101003","0101003-02","M","NO","YES",NA,"YES"
"01","0101003","0101003-03","M","NO","YES",NA,"YES"
"01","0101003","0101003-04","M","NO","YES",NA,"YES"
"01","0101003","0101003-05","M","NO","YES",NA,"YES"
"01","0101003","0101003-06","F","NO","YES",NA,"YES"
"01","0101003","0101003-07","F","NO","YES",NA,"YES"
"01","0101004","0101004-01","M","YES","YES","NO","YES"
"01","0101004","0101004-02","M","NO","YES",NA,"YES"
"01","0101004","0101004-03","M","NO","YES",NA,"YES"
"01","0101004","0101004-04","F","NO","YES",NA,"YES"
"01","0101005","0101005-01","M","NO","YES",NA,"YES"
"01","0101005","0101005-02","M","YES","YES","NO","YES"
"01","0101005","0101005-03","F","YES","YES","NO","YES"
"01","0101006","0101006-01","M","NO","YES",NA,"YES"
"01","0101006","0101006-02","M","NO","YES",NA,"YES"
"01","0101006","0101006-03","F","NO","YES",NA,"YES"
"01","0101007","0101007-01","M","NO","YES",NA,"YES"
"01","0101007","0101007-02","M","NO","YES",NA,"YES"
"01","0101007","0101007-03","M","NO","YES",NA,"YES"
"01","0101007","0101007-04","F","NO","YES",NA,"YES"
"01","0101008","0101008-01","M","NO","YES",NA,"YES"
"01","0101008","0101008-02","M","NO","YES",NA,"YES"
"01","0101008","0101008-03","M","NO","YES",NA,"YES"
"01","0101008","0101008-04","M","NO","YES",NA,"YES"
"01","0101008","0101008-05","M","NO","YES",NA,"YES"
"01","0101008","0101008-06","F","NO","YES",NA,"YES"
"01","0101008","0101008-07","F","NO","YES",NA,"YES"
"01","0101009","0101009-01","M","NO","YES",NA,"YES"
"01","0101009","0101009-02","M","NO","YES",NA,"YES"
"01","0101009","0101009-03","M","NO","YES",NA,"YES"
"01","0101009","0101009-04","F","NO","YES",NA,"YES"
"01","0101010","0101010-01","M","NO","YES",NA,"YES"
"01","0101010","0101010-02","M","NO","YES",NA,"YES"
"01","0101010","0101010-03","F","NO","YES",NA,"YES"
"01","0101011","0101011-01","M","NO","YES",NA,"YES"
"01","0101011","0101011-02","M","NO","YES",NA,"YES"
"01","0101011","0101011-03","M","NO","YES",NA,"YES"
"01","0101011","0101011-04","F","NO","YES",NA,"YES"
"01","0101011","0101011-05","F","NO","YES",NA,"YES"
"01","0101012","0101012-01","M","NO","YES",NA,"YES"
"01","0101012","0101012-02","M","NO","YES",NA,"YES"
"01","0101012","0101012-03","F","NO","YES",NA,"YES"
"01","0101013","0101013-01","M","NO","YES",NA,"YES"
"01","0101013","0101013-02","M","NO","YES",NA,"YES"
"01","0101013","0101013-03","F","NO","YES",NA,"YES"
"01","0101014","0101014-01","M","NO","YES",NA,"YES"
"01","0101014","0101014-02","M","NO","YES",NA,"YES"
"01","0101014","0101014-03","F","NO","YES",NA,"YES"
"01","0101015","0101015-01","M","NO","YES",NA,"YES"
