"election_date","results_date","election_type","results_status","province_code","province_name_eng","province_name_dari","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","party_name_dari","past_winner","final_winner","male_ps_votes","fem_ps_votes","kuchi_ps_votes","votes"
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",1095147,1,"Haji Rahim Jan Shinzad","الحاج رحيم جان شيرزاد )فی سبيل الله(","M","مستقل","NO","NO",192,88,9,289
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",514,259,203,976
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",353,167,2,522
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",1379,528,7,1914
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",117,103,0,220
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",7770491,7,"Sayed Jalal Karim","سيد جلال کريم","M","مستقل","NO","NO",1338,572,55,1965
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6359075,8,"Mirwais Yasini","ميرويس ياسينی","M","مستقل","NO","NO",1077,516,29,1622
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",3907996,9,"Bismillah Shir","بسم الله شير","M","مستقل","NO","NO",100,47,2,149
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",2287256,10,"Bashir Ahmad Bizhan","بشير احمد بيژن","M","مستقل","NO","NO",125,49,1,175
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",8894180,11,"Motasim Billah Mazhabi","معتصم با􏲽 مذھبی","M","مستقل","NO","NO",938,360,48,1346
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6359797,12,"Ashraf Ghani Ahmadzai","اشرف غنی احمدزی","M","مستقل","NO","NO",14886,5317,606,20809
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",860263,13,"Abdul Latif Pedram","عبداللطيف ) پدرام (","M","حزب کنگره ملی افغانستان","NO","NO",784,231,12,1027
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",3010205,14,"Shahnawaz Tanai","شھنواز تڼی","M","د افغانستان د سولی غورځنګ ګوند","NO","NO",1942,616,33,2591
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6189430,16,"Mulla Abdul Salam Rakity","ملا عبد السلام ) راکتی (","M","مستقل","NO","NO",1051,310,30,1391
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6350715,17,"Zia-ul-haq Hafizi","ضيا الحق ) حافظی (","M","مستقل","NO","NO",278,56,3,337
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6189294,18,"Mohammad Akbar Oria","محمد اکبر )اوريا (","M","مستقل","NO","NO",113,66,7,186
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",977770,20,"Sangin Mohammad Rahmani","سنگين محمد ) رحمانی (","M","مستقل","NO","NO",35,33,0,68
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",3010270,21,"Mahbob-U-lah Koshani","محبوب الله ) کوشانی(","M","حزب آزادگان افغانستان","NO","NO",161,60,1,222
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",3788581,23,"Abdul Hasib Arian","عبدالحسيب ) آرين (","M","مستقل","NO","NO",307,50,2,359
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6178408,24,"Mulla Ghulam Mohammad Rigi","ملا غلام محمد )ريگی(","M","مستقل","NO","NO",114,47,25,186
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",997138,25,"Ramazan Bashardost","رمضان بشردوست","M","مستقل","NO","NO",46724,20782,447,67953
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",12223481,27,"Abdul Majid Samim","عبدالمجيد ) صميم (","M","مستقل","NO","NO",39,33,4,76
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6370916,30,"Mrs. Shahla Ata","شھلا ) عطا (","F","مستقل","NO","NO",298,164,73,535
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل",6358651,31,"Dr. Ghulam Faroq Nijrabi","پروفيسور دوکتور غلام فاروق ) نجرابی(","M","حزب استقلال افغانستان","NO","NO",288,80,17,385
