"election_date","results_date","election_type","results_status","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","party_name_dari","past_winner","final_winner","male_ps_votes","fem_ps_votes","kuchi_ps_votes","votes"
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-13","KABUL NAHIA 13","کابل ناحيه 13","YES",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",17,8,0,25
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-14","KABUL NAHIA 14","کابل ناحيه 14","YES",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",0,0,0,0
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-15","KABUL NAHIA 15","کابل ناحيه 15","YES",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",10,3,1,14
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-16","KABUL NAHIA 16","کابل ناحيه 16","YES",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",45,11,1,57
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-17","KABUL NAHIA 17","کابل ناحيه 17","YES",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",2,2,0,4
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-18","KABUL NAHIA 18","کابل ناحيه 18","YES",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",0,0,0,0
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101","KABUL","کابل","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",0,0,0,0
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-01","KABUL NAHIA 01","کابل ناحيه 01","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",5,2,0,7
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",6,1,0,7
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",15,3,0,18
