"pc_code","candidate_code","votes"
"0101001",860263,1
"0101001",977770,0
"0101001",983418,126
"0101001",997138,9
"0101001",1004871,111
"0101001",1095147,0
"0101001",2287256,0
"0101001",3010205,3
"0101001",3010270,0
"0101001",3788581,0
"0101001",3907996,0
"0101001",4657143,0
"0101001",5109208,0
"0101001",6155279,0
"0101001",6178408,0
"0101001",6189294,0
"0101001",6189430,1
"0101001",6350379,7
"0101001",6350715,0
"0101001",6358651,0
"0101001",6359075,0
"0101001",6359413,1
"0101001",6359797,8
"0101001",6370916,0
"0101001",6371180,0
"0101001",7263746,0
"0101001",7770491,3
"0101001",7822442,0
"0101001",7849401,0
"0101001",8894180,1
"0101001",11348474,0
"0101001",12223481,0
"0101002",860263,2
"0101002",977770,1
"0101002",983418,416
"0101002",997138,34
"0101002",1004871,310
"0101002",1095147,0
"0101002",2287256,2
"0101002",3010205,7
"0101002",3010270,1
"0101002",3788581,3
"0101002",3907996,0
"0101002",4657143,1
"0101002",5109208,0
"0101002",6155279,0
"0101002",6178408,0
"0101002",6189294,0
"0101002",6189430,2
"0101002",6350379,1
"0101002",6350715,0
"0101002",6358651,0
"0101002",6359075,1
"0101002",6359413,0
"0101002",6359797,10
"0101002",6370916,2
"0101002",6371180,1
"0101002",7263746,0
"0101002",7770491,9
"0101002",7822442,0
"0101002",7849401,1
"0101002",8894180,0
"0101002",11348474,0
"0101002",12223481,0
"0101003",860263,1
"0101003",977770,0
"0101003",983418,282
"0101003",997138,32
"0101003",1004871,126
"0101003",1095147,0
"0101003",2287256,0
"0101003",3010205,2
"0101003",3010270,0
"0101003",3788581,0
"0101003",3907996,0
"0101003",4657143,0
"0101003",5109208,0
"0101003",6155279,0
"0101003",6178408,1
"0101003",6189294,0
"0101003",6189430,0
"0101003",6350379,2
"0101003",6350715,0
"0101003",6358651,1
"0101003",6359075,1
"0101003",6359413,0
"0101003",6359797,7
"0101003",6370916,2
"0101003",6371180,0
"0101003",7263746,0
"0101003",7770491,2
"0101003",7822442,0
"0101003",7849401,3
"0101003",8894180,2
"0101003",11348474,1
"0101003",12223481,0
"0101004",860263,0
"0101004",977770,0
"0101004",983418,365
"0101004",997138,35
"0101004",1004871,351
"0101004",1095147,2
"0101004",2287256,1
"0101004",3010205,4
"0101004",3010270,0
"0101004",3788581,1
"0101004",3907996,0
"0101004",4657143,0
"0101004",5109208,0
"0101004",6155279,1
"0101004",6178408,0
"0101004",6189294,1
"0101004",6189430,5
"0101004",6350379,1
"0101004",6350715,0
"0101004",6358651,0
"0101004",6359075,1
"0101004",6359413,0
"0101004",6359797,18
"0101004",6370916,2
"0101004",6371180,3
"0101004",7263746,0
"0101004",7770491,5
"0101004",7822442,0
"0101004",7849401,0
"0101004",8894180,3
"0101004",11348474,0
"0101004",12223481,0
"0101005",860263,0
"0101005",977770,0
"0101005",983418,139
"0101005",997138,21
"0101005",1004871,172
"0101005",1095147,0
"0101005",2287256,0
"0101005",3010205,1
"0101005",3010270,0
"0101005",3788581,1
"0101005",3907996,0
"0101005",4657143,0
"0101005",5109208,0
"0101005",6155279,0
"0101005",6178408,0
"0101005",6189294,0
"0101005",6189430,1
"0101005",6350379,1
"0101005",6350715,0
"0101005",6358651,3
"0101005",6359075,2
"0101005",6359413,0
"0101005",6359797,8
"0101005",6370916,0
"0101005",6371180,1
"0101005",7263746,0
"0101005",7770491,1
"0101005",7822442,0
"0101005",7849401,0
"0101005",8894180,0
"0101005",11348474,0
"0101005",12223481,0
"0101006",860263,1
"0101006",977770,0
"0101006",983418,290
"0101006",997138,11
"0101006",1004871,141
"0101006",1095147,1
"0101006",2287256,0
"0101006",3010205,3
"0101006",3010270,0
"0101006",3788581,1
"0101006",3907996,0
"0101006",4657143,0
"0101006",5109208,0
"0101006",6155279,0
"0101006",6178408,0
"0101006",6189294,1
"0101006",6189430,1
"0101006",6350379,3
"0101006",6350715,0
"0101006",6358651,1
"0101006",6359075,1
"0101006",6359413,0
"0101006",6359797,14
"0101006",6370916,1
"0101006",6371180,1
"0101006",7263746,0
"0101006",7770491,3
"0101006",7822442,0
"0101006",7849401,0
"0101006",8894180,2
"0101006",11348474,0
"0101006",12223481,0
"0101007",860263,0
"0101007",977770,0
"0101007",983418,82
"0101007",997138,9
"0101007",1004871,57
"0101007",1095147,0
"0101007",2287256,0
"0101007",3010205,2
"0101007",3010270,0
"0101007",3788581,0
"0101007",3907996,0
"0101007",4657143,0
"0101007",5109208,0
"0101007",6155279,0
"0101007",6178408,0
"0101007",6189294,0
"0101007",6189430,2
"0101007",6350379,0
"0101007",6350715,0
"0101007",6358651,0
"0101007",6359075,0
"0101007",6359413,0
"0101007",6359797,5
"0101007",6370916,0
"0101007",6371180,1
"0101007",7263746,0
"0101007",7770491,1
"0101007",7822442,0
"0101007",7849401,0
"0101007",8894180,0
"0101007",11348474,0
"0101007",12223481,0
"0101008",860263,5
"0101008",977770,0
"0101008",983418,461
"0101008",997138,61
"0101008",1004871,269
"0101008",1095147,0
"0101008",2287256,2
"0101008",3010205,23
"0101008",3010270,0
"0101008",3788581,2
"0101008",3907996,1
"0101008",4657143,0
"0101008",5109208,0
"0101008",6155279,0
"0101008",6178408,0
"0101008",6189294,0
"0101008",6189430,1
"0101008",6350379,11
"0101008",6350715,0
"0101008",6358651,1
"0101008",6359075,1
"0101008",6359413,0
"0101008",6359797,51
"0101008",6370916,0
"0101008",6371180,1
"0101008",7263746,0
"0101008",7770491,1
"0101008",7822442,0
"0101008",7849401,0
"0101008",8894180,1
"0101008",11348474,0
"0101008",12223481,0
"0101009",860263,3
"0101009",977770,0
"0101009",983418,82
"0101009",997138,28
"0101009",1004871,54
"0101009",1095147,1
"0101009",2287256,1
"0101009",3010205,3
"0101009",3010270,0
"0101009",3788581,0
"0101009",3907996,0
"0101009",4657143,0
"0101009",5109208,0
"0101009",6155279,0
"0101009",6178408,0
"0101009",6189294,0
"0101009",6189430,0
"0101009",6350379,0
"0101009",6350715,0
"0101009",6358651,0
"0101009",6359075,0
"0101009",6359413,0
"0101009",6359797,5
"0101009",6370916,0
"0101009",6371180,0
"0101009",7263746,0
"0101009",7770491,1
"0101009",7822442,0
"0101009",7849401,0
"0101009",8894180,0
"0101009",11348474,0
"0101009",12223481,0
"0101010",860263,1
"0101010",977770,0
"0101010",983418,266
"0101010",997138,73
"0101010",1004871,280
"0101010",1095147,0
"0101010",2287256,1
"0101010",3010205,4
"0101010",3010270,2
"0101010",3788581,0
"0101010",3907996,0
"0101010",4657143,2
"0101010",5109208,0
"0101010",6155279,0
"0101010",6178408,0
"0101010",6189294,0
"0101010",6189430,1
"0101010",6350379,4
"0101010",6350715,0
"0101010",6358651,0
"0101010",6359075,2
"0101010",6359413,0
"0101010",6359797,30
"0101010",6370916,2
"0101010",6371180,2
"0101010",7263746,0
"0101010",7770491,2
"0101010",7822442,0
"0101010",7849401,0
"0101010",8894180,0
"0101010",11348474,0
"0101010",12223481,0
"0101011",860263,0
"0101011",977770,1
"0101011",983418,126
"0101011",997138,72
"0101011",1004871,28
"0101011",1095147,0
"0101011",2287256,0
"0101011",3010205,2
"0101011",3010270,0
"0101011",3788581,0
"0101011",3907996,0
"0101011",4657143,0
"0101011",5109208,0
"0101011",6155279,0
"0101011",6178408,0
"0101011",6189294,0
"0101011",6189430,0
"0101011",6350379,1
"0101011",6350715,0
"0101011",6358651,0
"0101011",6359075,0
"0101011",6359413,0
"0101011",6359797,11
"0101011",6370916,0
"0101011",6371180,0
"0101011",7263746,1
"0101011",7770491,1
"0101011",7822442,0
"0101011",7849401,1
"0101011",8894180,0
"0101011",11348474,0
"0101011",12223481,1
"0101012",860263,0
"0101012",977770,0
"0101012",983418,79
"0101012",997138,10
"0101012",1004871,176
"0101012",1095147,0
"0101012",2287256,0
"0101012",3010205,1
"0101012",3010270,0
"0101012",3788581,0
"0101012",3907996,0
"0101012",4657143,0
"0101012",5109208,0
"0101012",6155279,0
"0101012",6178408,0
"0101012",6189294,0
"0101012",6189430,1
"0101012",6350379,1
"0101012",6350715,0
"0101012",6358651,0
"0101012",6359075,0
"0101012",6359413,0
"0101012",6359797,4
"0101012",6370916,1
"0101012",6371180,0
"0101012",7263746,0
"0101012",7770491,1
"0101012",7822442,0
"0101012",7849401,0
"0101012",8894180,0
"0101012",11348474,0
"0101012",12223481,0
"0101013",860263,5
"0101013",977770,0
"0101013",983418,945
"0101013",997138,646
"0101013",1004871,230
"0101013",1095147,0
"0101013",2287256,0
"0101013",3010205,6
"0101013",3010270,2
"0101013",3788581,0
"0101013",3907996,0
"0101013",4657143,1
"0101013",5109208,0
"0101013",6155279,2
"0101013",6178408,0
"0101013",6189294,1
"0101013",6189430,1
"0101013",6350379,2
"0101013",6350715,3
"0101013",6358651,0
"0101013",6359075,2
"0101013",6359413,2
"0101013",6359797,35
"0101013",6370916,3
"0101013",6371180,3
"0101013",7263746,0
"0101013",7770491,9
"0101013",7822442,0
"0101013",7849401,2
"0101013",8894180,1
"0101013",11348474,0
"0101013",12223481,0
"0101014",860263,1
"0101014",977770,0
"0101014",983418,77
"0101014",997138,9
"0101014",1004871,249
"0101014",1095147,0
"0101014",2287256,0
"0101014",3010205,1
"0101014",3010270,0
"0101014",3788581,2
"0101014",3907996,0
"0101014",4657143,0
"0101014",5109208,0
"0101014",6155279,0
"0101014",6178408,0
"0101014",6189294,0
"0101014",6189430,2
"0101014",6350379,0
"0101014",6350715,0
"0101014",6358651,0
"0101014",6359075,0
"0101014",6359413,0
"0101014",6359797,4
"0101014",6370916,1
"0101014",6371180,0
"0101014",7263746,0
"0101014",7770491,1
"0101014",7822442,0
"0101014",7849401,0
"0101014",8894180,0
"0101014",11348474,0
"0101014",12223481,0
"0101015",860263,0
"0101015",977770,0
"0101015",983418,62
"0101015",997138,14
"0101015",1004871,78
"0101015",1095147,0
"0101015",2287256,0
"0101015",3010205,2
"0101015",3010270,0
"0101015",3788581,0
"0101015",3907996,0
"0101015",4657143,1
"0101015",5109208,0
"0101015",6155279,0
"0101015",6178408,0
"0101015",6189294,0
"0101015",6189430,1
"0101015",6350379,0
"0101015",6350715,0
"0101015",6358651,0
"0101015",6359075,1
"0101015",6359413,1
