province_code,province_name_eng,district_code,district_name_eng,provincial_capital,total_R114,aa_R114,aa_pct_R114,ag_R114,ag_pct_R114,other_R114,other_pct_R114,total_R214,aa_R214,aa_pct_R214,ag_R214,ag_pct_R214,aa_net_change_14,aa_pct_change_14,ag_net_change_14,total_19,aa_19,aa_pct_19,ag_19,ag_pct_19,other_19,other_pct_19,pct_natl_19,aa_net_R114_19,aa_pct_R114_19,ag_net_R114_19,ag_pct_R114_19,other_net_R114_19,other_pct_R114_19,aa_net_R214_19,aa_pct_R214_19,ag_net_R214_19,ag_pct_R214_19,total_18,winners_18,winners_pct_18,other_18,other_pct_18,total_pop_14,total_pop_18,total_pop_19,urban_pop_14,urban_pop_18,urban_pop_19,rural_pop_14,rural_pop_18,rural_pop_19,male_pop_14,male_pop_18,male_pop_19,fem_pop_14,fem_pop_18,fem_pop_19,no_votes_R114,no_votes_R214,no_votes_18,no_votes_19
01,KABUL,0101,KABUL,YES,623669,332902,0.533779937755444,188930,0.30293312638595155,101837,0.1632869358586045,673941,347858,0.5161549749903923,326083,0.4838450250096077,14956,0.7259461176096967,137153,283711,125901,0.4437649580030383,124070,0.43731120753160785,33740,0.11892383446535383,0.15550912326840427,-207001,-0.6218076190590625,-64860,-0.3433017519716297,-68097,-0.668686233883559,-221957,-0.6380678322763886,-202013,-0.6195140501038079,543184,141165,0.2598843117617603,402019,0.7401156882382397,3543700,4117414,4273156,3543700,4117414,4273156,0,0,0,1834100,2092256,2171396,1709600,2025158,2101760,NO,NO,NO,NO
01,KABUL,0102,PAGHMAN,NO,23658,4252,0.17972778764054442,3027,0.12794826274410348,16379,0.6923239496153522,21180,8275,0.3906987724268178,12905,0.6093012275731823,4023,3.2632969937231584,9878,6800,1302,0.19147058823529411,4569,0.6719117647058823,929,0.13661764705882354,0.0037272507524387455,-2950,-0.69379115710254,1542,0.5094152626362736,-15450,-0.943281030587948,-6973,-0.8426586102719034,-8336,-0.6459511817125145,19540,5437,0.27824974411463665,14103,0.7217502558853633,122200,133460,135964,21300,23751,24326,100900,109709,111638,62900,68503,69788,59300,64957,66176,NO,NO,NO,NO
01,KABUL,0103,CHAHARASYAB,NO,9490,1570,0.1654373024236038,6395,0.6738672286617492,1525,0.160695468914647,11393,1496,0.13130869832353198,9897,0.868691301676468,-74,0.5476153244722439,3502,5605,363,0.0647636039250669,4514,0.8053523639607494,728,0.12988403211418376,0.0030722412452087013,-1207,-0.7687898089171975,-1881,-0.29413604378420644,-797,-0.5226229508196721,-1133,-0.7573529411764706,-5383,-0.5439021925836112,12333,2149,0.17424795264736884,10184,0.8257520473526312,36800,40034,40738,0,0,0,36800,40034,40738,19100,20799,21165,17700,19235,19573,NO,NO,NO,NO
01,KABUL,0104,BAGRAMI,NO,22283,7006,0.31441008840820356,11480,0.5151909527442445,3797,0.17039895884755193,24106,6184,0.2565336430764125,17922,0.7434663569235875,-822,0.5611498257839721,6442,13879,1561,0.11247208012104619,11224,0.8087037971035377,1094,0.0788241227754161,0.007607428410749611,-5445,-0.7771909791607193,-256,-0.02229965156794425,-2703,-0.7118777982617857,-4623,-0.7475743855109961,-6698,-0.37373061042294387,24833,4373,0.1760963234405831,20460,0.8239036765594169,55700,60564,61628,0,0,0,55700,60564,61628,28600,31069,31615,27100,29495,30013,NO,NO,NO,NO
01,KABUL,0105,DEHSABZ,NO,14174,4555,0.32136305912233665,7476,0.5274446169041908,2143,0.15119232397347254,13102,4067,0.31041062433216304,9035,0.689589375667837,-488,0.20853397538790797,1559,4817,1193,0.24766452148640233,3048,0.6327589786173967,576,0.11957649989620095,0.0026403186580143292,-3362,-0.7380900109769484,-4428,-0.5922953451043339,-1567,-0.731217918805413,-2874,-0.706663388246865,-5987,-0.6626452684006641,12907,5272,0.4084605252963508,7635,0.5915394747036492,54300,59024,60062,0,0,0,54300,59024,60062,27900,30298,30831,26400,28726,29231,NO,NO,NO,NO
01,KABUL,0106,SHAKARDARA,NO,15518,7840,0.5052197448124758,3022,0.19474159041113545,4656,0.3000386647763887,13815,8475,0.6134636264929425,5340,0.38653637350705755,635,0.7670416942422237,2318,6067,2004,0.33031152134498104,3301,0.5440909840118675,762,0.12559749464315148,0.003325475046330275,-5836,-0.7443877551020408,279,0.09232296492389146,-3894,-0.836340206185567,-6471,-0.7635398230088496,-2039,-0.38183520599250936,19199,3956,0.20605239856242513,15243,0.7939476014375749,82700,89821,91400,0,0,0,82700,89821,91400,42100,45705,46508,40600,44116,44892,NO,NO,NO,NO
01,KABUL,0107,MUSAYI,NO,3826,172,0.04495556717198118,2471,0.6458442237323575,1183,0.30920020909566126,5517,458,0.08301613195577306,5059,0.9169838680442269,286,1.047349251315257,2588,1189,80,0.0672834314550042,1048,0.8814129520605551,61,0.051303616484440706,6.517207565661277e-4,-92,-0.5348837209302325,-1423,-0.5758802104411169,-1122,-0.94843617920541,-378,-0.8253275109170306,-4011,-0.7928444356592211,3655,599,0.16388508891928866,3056,0.8361149110807113,23500,25534,25983,0,0,0,23500,25534,25983,12000,13095,13325,11500,12439,12658,NO,NO,NO,NO
01,KABUL,0108,MIRBACHAKOT,NO,9709,8480,0.8734164177567205,510,0.05252858172829333,719,0.07405500051498609,9601,8673,0.9033434017289865,928,0.09665659827101343,193,0.8196078431372549,418,3645,2875,0.7887517146776406,430,0.11796982167352538,340,0.09327846364883402,0.0019979160283292983,-5605,-0.6609669811320755,-80,-0.1568627450980392,-379,-0.5271210013908206,-5798,-0.6685114723855644,-498,-0.5366379310344828,12308,8038,0.6530711732206694,4270,0.3469288267793305,52500,57100,58104,0,0,0,52500,57100,58104,26500,28886,29394,26000,28214,28710,NO,NO,NO,NO
01,KABUL,0109,KHAK-E- JABBAR,NO,6291,1301,0.20680336989349865,3783,0.6013352408202194,1207,0.191861389286282,9701,2221,0.22894546953922276,7480,0.7710545304607772,920,0.9772667195347607,3697,2392,342,0.14297658862876253,1873,0.7830267558528428,177,0.07399665551839466,0.001311115264681394,-959,-0.7371252882398155,-1910,-0.5048902987047317,-1030,-0.8533554266777134,-1879,-0.8460153084196308,-5607,-0.7495989304812835,3108,456,0.14671814671814673,2652,0.8532818532818532,14400,15655,15930,0,0,0,14400,15655,15930,7400,8089,8231,7000,7566,7699,NO,NO,NO,NO
01,KABUL,0110,KALAKAN,NO,6934,4778,0.6890683588116527,642,0.09258725122584367,1514,0.2183443899625036,6384,5486,0.8593358395989975,898,0.14066416040100252,708,0.3987538940809969,256,3330,2029,0.6093093093093093,918,0.2756756756756757,383,0.11501501501501502,0.0018252566184736797,-2749,-0.5753453327752197,276,0.42990654205607476,-1131,-0.7470277410832232,-3457,-0.6301494713816989,20,0.022271714922048998,7244,842,0.11623412479293208,6402,0.883765875207068,30500,33106,33688,0,0,0,30500,33106,33688,15600,16947,17245,14900,16159,16443,NO,NO,NO,NO
01,KABUL,0111,GULDARA,NO,3490,2345,0.671919770773639,476,0.13638968481375358,669,0.19169054441260744,3256,2299,0.706081081081081,957,0.2939189189189189,-46,1.0105042016806722,481,1244,538,0.432475884244373,543,0.4364951768488746,163,0.1310289389067524,6.818676376520293e-4,-1807,-0.7705756929637526,67,0.1407563025210084,-506,-0.7563527653213752,-1761,-0.7659852109612875,-414,-0.43260188087774293,4924,2005,0.4071892770105605,2919,0.5928107229894395,23000,25021,25461,0,0,0,23000,25021,25461,11800,12838,13064,11200,12183,12397,NO,NO,NO,NO
01,KABUL,0112,FARZA,NO,6136,2252,0.3670143415906128,1689,0.2752607561929596,2195,0.35772490221642766,5159,2150,0.4167474316728048,3009,0.5832525683271952,-102,0.7815275310834814,1320,2314,456,0.19706136560069146,1534,0.6629213483146067,324,0.14001728608470182,0.001268361506050479,-1796,-0.7975133214920072,-155,-0.09177027827116636,-1871,-0.8523917995444191,-1694,-0.7879069767441861,-1475,-0.49019607843137253,7311,1231,0.16837641909451512,6080,0.8316235809054849,21600,23481,23894,0,0,0,21600,23481,23894,11100,12068,12280,10500,11413,11614,NO,NO,NO,NO
01,KABUL,0113,ESTALEF,NO,5294,4013,0.758027956176804,150,0.028333962976955042,1131,0.21363808084624103,5264,4581,0.8702507598784195,683,0.12974924012158054,568,3.5533333333333332,533,2515,1660,0.6600397614314115,406,0.1614314115308151,449,0.17852882703777337,0.0013785346532916832,-2353,-0.5863443807625218,256,1.7066666666666668,-682,-0.6030061892130858,-2921,-0.6376337044313468,-277,-0.4055636896046852,5022,267,0.05316606929510155,4755,0.9468339307048984,33800,36698,37343,0,0,0,33800,36698,37343,17300,18744,19073,16500,17954,18270,NO,NO,NO,NO
01,KABUL,0114,QARABAGH,NO,16158,6889,0.426352271320708,3836,0.23740561950736477,5433,0.3362421091719272,14530,7255,0.49931176875430144,7275,0.5006882312456985,366,0.8965067778936392,3439,5616,1398,0.24893162393162394,3604,0.6417378917378918,614,0.10933048433048433,0.003078270621425882,-5491,-0.797067789229206,-232,-0.06047966631908238,-4819,-0.8869869317136021,-5857,-0.8073053066850447,-3671,-0.5046048109965636,15017,6828,0.4546846906838916,8189,0.5453153093161084,76800,83404,84870,0,0,0,76800,83404,84870,39100,42495,43242,37700,40909,41628,NO,NO,NO,NO
01,KABUL,0115,SUROBI,NO,20529,1229,0.05986653027424619,14333,0.6981830581129135,4967,0.24195041161284037,28825,4246,0.1473026886383348,24579,0.8526973113616653,3017,0.7148538338100886,10246,5958,179,0.03004363880496811,5537,0.9293387042631756,242,0.04061765693185633,0.0032657294092691244,-1050,-0.8543531326281529,-8796,-0.6136886904346612,-4725,-0.9512784376887458,-4067,-0.9578426754592557,-19042,-0.7747263924488385,10360,2063,0.19913127413127413,8297,0.8008687258687258,55700,60564,61629,0,0,0,55700,60564,61629,28300,30812,31354,27400,29752,30275,NO,NO,NO,NO
02,KAPISA,0201,MAHMUD-E- RAQI,YES,17376,12018,0.6916436464088398,1353,0.07786602209944751,4005,0.23049033149171272,13572,10647,0.7844827586206896,2925,0.21551724137931033,-1371,1.1618625277161863,1572,3675,1527,0.41551020408163264,1546,0.4206802721088435,602,0.16380952380952382,0.002014359781648881,-10491,-0.8729405891163255,193,0.1426459719142646,-3403,-0.8496878901373284,-9120,-0.8565793181177797,-1379,-0.47145299145299147,11518,7894,0.6853620420211842,3624,0.3146379579788158,64600,70206,36131,1500,1686,1726,63100,68520,69725,32700,35501,36131,31900,34705,35320,NO,NO,NO,NO
02,KAPISA,0202,HISA-E- DUWUM-E- KOHESTAN,NO,7495,5984,0.7983989326217479,58,0.007738492328218813,1453,0.19386257505003335,7930,7666,0.9667087011349307,264,0.03329129886506936,1682,3.5517241379310347,206,2343,1726,0.7366623986342297,279,0.11907810499359796,338,0.14425949637217242,0.001284257134259409,-4258,-0.7115641711229946,221,3.810344827586207,-1115,-0.7673778389538886,-5940,-0.7748499869553874,15,0.056818181818181816,7410,4546,0.6134952766531714,2864,0.3865047233468286,45200,49144,25344,0,0,0,45200,49144,50008,22900,24906,25344,22300,24238,24664,NO,NO,NO,NO
02,KAPISA,0203,KOHBAND,NO,6527,5070,0.7767734027884173,61,0.009345794392523364,1396,0.2138808028190593,8956,8179,0.9132425189816883,777,0.08675748101831175,3109,11.737704918032787,716,1017,493,0.48475909537856443,355,0.34906588003933137,169,0.16617502458210423,5.574432375338536e-4,-4577,-0.9027613412228797,294,4.819672131147541,-1227,-0.8789398280802292,-7686,-0.9397236826017851,-422,-0.5431145431145431,3644,859,0.23572996706915478,2785,0.7642700329308453,23600,25662,13064,0,0,0,23600,25662,26113,11800,12838,13064,11800,12824,13049,NO,NO,NO,NO
02,KAPISA,0204,HISA-E- AWAL-E- KOHESTAN,NO,15879,13735,0.8649789029535865,123,0.007746079727942566,2021,0.12727501731847093,19784,19052,0.9630004043671654,732,0.036999595632834614,5317,4.951219512195122,609,3101,2241,0.7226701064172848,226,0.07287971622057401,634,0.20445017736214124,0.0016997359681341986,-11494,-0.8368401892974153,103,0.8373983739837398,-1387,-0.686293913904008,-16811,-0.8823745538526139,-506,-0.6912568306010929,9604,3094,0.32215743440233235,6510,0.6778425655976676,68400,74294,38147,0,0,0,68400,74294,75600,34500,37488,38147,33900,36806,37453,NO,NO,NO,NO
02,KAPISA,0205,NEJRAB,NO,18374,15592,0.8485903994775226,499,0.027157940568194188,2283,0.12425165995428322,27006,24378,0.9026882914907798,2628,0.09731170850922018,8786,4.266533066132265,2129,1968,1023,0.5198170731707317,409,0.20782520325203252,536,0.27235772357723576,0.0010787102177646252,-14569,-0.9343894304771678,-90,-0.18036072144288579,-1747,-0.765221200175208,-23355,-0.9580359340388875,-2219,-0.8443683409436834,9229,5743,0.6222776032072814,3486,0.37772239679271863,112900,122669,63100,0,0,0,112900,122669,124825,57000,62010,63100,55900,60659,61725,NO,NO,NO,NO
