"province_code","province_name_eng","ps_planned","total_vr","ps_reporting","ps_confirmed_closed","ps_status_unknown","ps_audited","ps_invalidated","missing_bvv_ps_reporting","ps_reporting_zero_votes","ps_reporting_excess_turnout","ps_added_votes_in_audit","invalidated_ps_votes","pre_deduplication_bvv_vote_total","post_deduplication_bvv_vote_total","known_bvv_votes_under_audit","known_net_change_from_audit","missing_bvv_new_votes","other_change_pre_dedupe_post_audit","other_change_post_dedupe_post_audit","total_preliminary_votes","turnout","candidate_1","candidate_2","candidate_3","candidate_5","candidate_6","candidate_7","candidate_8","candidate_9","candidate_10","candidate_11","candidate_12","candidate_15","candidate_16","candidate_17"
"16","NOORESTAN",286,91068,169,117,0,106,8,0,11,0,18,211,13961,11687,7346,-810,0,-2282,-8,10869,0.11935037554355,31,34,32,8,2,10,6290,3516,11,932,0,0,0,1
"17","BADAKHSHAN",1093,325327,964,109,0,286,29,22,14,0,22,694,74483,71556,20197,-567,174,-3963,-1036,70127,0.215558499601939,432,436,283,292,22,123,15234,39246,300,6368,7216,7216,25,69
"18","TAKHAR",1026,316568,781,189,46,77,11,15,3,0,1,0,63577,63281,4752,-281,430,-1891,-1595,61835,0.195329281544565,303,504,220,154,39,93,8583,49516,329,1407,419,419,39,119
"19","KUNDUZ",581,192546,375,171,13,51,29,22,8,0,0,222,13012,12976,866,-54,0,-282,-246,12676,0.0658336189793608,70,114,65,79,7,27,3636,8074,89,290,191,191,9,13
"20","SAMANGAN",457,141504,362,93,0,28,4,2,2,0,1,362,39044,38470,2858,-89,0,-1562,-988,37393,0.264254014020805,264,203,90,78,24,84,7123,28392,159,687,61,61,116,52
"21","BALKH",1467,471967,969,183,304,35,17,11,7,0,1,272,75751,74345,1737,-53,0,-3353,-1947,72345,0.153284021976113,3163,1219,425,130,23,86,24073,40078,454,1448,612,612,511,70
"22","SARE PUL",436,140948,373,61,0,43,2,12,0,0,2,0,35015,34413,2610,-64,503,-1252,-650,34202,0.242656866362063,581,351,110,36,32,43,6154,26323,139,219,48,48,103,29
"23","GHOR",798,250233,462,174,144,246,26,12,28,1,19,1159,56431,53176,27965,-4289,0,-3602,-347,48540,0.193979211374998,3449,722,208,473,20,69,21553,19849,114,1127,102,102,796,25
"24","DAYKUNDI",658,173158,658,0,0,58,8,0,8,0,1,967,102053,100738,7370,-133,0,-3750,-2435,98170,0.566938865082757,3122,651,277,190,75,260,29742,62521,295,303,130,130,283,156
"25","URUZGAN",200,63645,185,2,0,24,18,13,5,1,0,180,6301,6277,466,-27,0,-840,-816,5434,0.0853798413072512,135,92,43,9,14,51,3518,936,12,525,26,26,20,39
"26","ZABUL",213,66489,168,22,0,154,26,23,18,0,12,947,11031,7028,6318,-1013,0,-4035,-32,5983,0.0899848095173638,37,20,5,8,13,16,5380,262,28,194,6,6,1,6
"27","KANDAHAR",1584,558567,1446,17,18,750,183,233,141,10,68,13250,64494,55379,25543,-925,17130,-12326,-3211,68373,0.12240787586807,373,586,187,65,88,320,59467,3667,111,3207,65,65,63,109
"28","JAWZJAN",322,103386,296,23,0,13,3,3,0,0,0,0,38708,38574,1623,-32,0,-966,-832,37710,0.364749579246707,225,260,102,53,25,75,7305,29006,239,248,48,48,28,50
"29","FARYAB",655,220210,373,159,105,234,39,18,24,0,12,0,26833,25787,6472,22,1034,-1293,-247,26596,0.120775623268698,181,171,99,57,18,17,5207,20476,116,175,52,52,3,6
"30","HELMAND",937,332166,910,1,0,590,84,56,68,6,108,9281,38233,34527,18897,1129,2826,-4051,-345,38137,0.114813075390016,279,302,84,24,46,55,31072,4878,112,1139,35,35,57,34
"31","BADGHIS",335,101371,164,170,0,5,2,1,1,1,1,8,10027,9946,301,-1,0,-362,-281,9664,0.0953329847786842,80,147,140,173,14,31,2374,6209,74,336,21,21,11,29
"32","HERAT",1738,574055,1541,130,28,177,70,39,37,0,10,1903,119270,118207,6341,447,0,-3507,-2444,116210,0.202437048714844,2968,954,12718,256,23,158,34199,56117,528,7504,175,175,372,138
"33","FARAH",226,68638,162,0,0,89,67,19,5,0,6,2568,12055,6230,2568,-80,0,-7434,-1609,4541,0.0661586876074478,21,71,62,17,12,11,3552,539,23,220,5,5,1,4
"34","NIMROZ",284,91940,269,0,0,53,26,15,13,0,0,109,10314,10265,307,-25,0,-488,-439,9801,0.106602131825103,77,135,71,23,11,32,7186,1482,56,641,13,13,21,38
"NATIONAL TOTAL","NATIONAL TOTAL",29586,9665745,25079,1799,1354,8268,2035,1660,1138,40,611,74720,1929333,1843107,410961,-16810,27641,-115763,-29537,1824401,0.18874913418469,33921,15526,18066,3942,865,3324,923868,720990,6504,70242,12608,12608,11374,1565
