"province_code","province_name_eng","district_sub_code","district_or_subdivision_name_eng","provincial_capital","ps_planned","ps_reporting","ps_audited","missing_bvv_ps_reporting","missing_bvv_new_votes","ps_reporting_zero_votes","ps_reporting_excess_turnout","ps_added_votes_in_audit","known_bvv_votes_under_audit","known_net_change_from_audit","total_vr","total_preliminary_votes","turnout","candidate_1","candidate_2","candidate_3","candidate_5","candidate_6","candidate_7","candidate_8","candidate_9","candidate_10","candidate_11","candidate_12","candidate_15","candidate_16","candidate_17"
"01","KABUL","0101-01","KABUL CITY NAHIA 01","YES",68,68,5,0,0,0,0,1,339,-6,21440,4093,0.190904850746269,57,132,16,12,2,7,1399,2196,66,144,18,4,36,4
"01","KABUL","0101-02","KABUL CITY NAHIA 02","YES",100,99,4,1,0,0,0,0,325,-11,34181,7652,0.223867060647728,116,73,34,38,0,12,2123,4939,33,200,71,4,9,0
"01","KABUL","0101-03","KABUL CITY NAHIA 03","YES",116,116,21,0,0,2,0,3,1349,-43,41305,8661,0.209684057620143,385,108,58,58,4,38,3975,3335,62,377,184,3,71,3
"01","KABUL","0101-04","KABUL CITY NAHIA 04","YES",151,150,31,1,96,2,0,2,2781,-112,53716,13041,0.242776826271502,223,119,81,32,2,17,4773,7117,138,392,106,3,33,5
"01","KABUL","0101-05","KABUL CITY NAHIA 05","YES",224,224,36,0,0,7,0,1,2945,-438,80208,17743,0.221212347895472,624,251,89,21,6,93,10751,4419,102,1223,82,1,79,2
"01","KABUL","0101-06","KABUL CITY NAHIA 06","YES",217,216,36,2,108,5,0,0,2995,-160,75823,20358,0.268493728815795,1334,558,146,16,2,12,4160,12302,132,734,160,15,773,14
"01","KABUL","0101-07","KABUL CITY NAHIA 07","YES",215,215,24,0,0,0,0,1,2277,-57,76666,18214,0.237575978921556,328,333,115,24,3,16,9768,6184,178,1034,159,10,56,6
"01","KABUL","0101-08","KABUL CITY NAHIA 08","YES",268,265,59,3,0,8,0,8,5289,-476,94772,25065,0.264476849702444,112,273,55,12,6,43,19845,3685,107,879,21,11,4,12
"01","KABUL","0101-09","KABUL CITY NAHIA 09","YES",157,157,16,0,0,2,0,1,1603,-48,56640,15925,0.281161723163842,207,156,67,25,3,17,10786,3796,94,657,91,11,5,10
"01","KABUL","0101-10","KABUL CITY NAHIA 10","YES",208,207,29,1,0,5,0,1,2149,-133,68143,18217,0.267334869318932,470,415,147,46,22,21,5979,10083,178,391,133,9,318,5
"01","KABUL","0101-11","KABUL CITY NAHIA 11","YES",231,229,39,2,0,2,0,2,2555,-46,81571,16297,0.19978914074855,196,169,95,84,1,13,3995,10754,109,625,200,32,19,5
"01","KABUL","0101-12","KABUL CITY NAHIA 12","YES",262,260,63,2,0,6,0,5,4400,-83,98473,21824,0.221624201557787,62,100,22,2,4,30,19938,752,46,847,9,4,2,6
"01","KABUL","0101-13","KABUL CITY NAHIA 13","YES",376,376,212,1,216,3,1,6,27866,-1062,136800,48570,0.355043859649123,4057,1298,225,34,7,35,3583,35714,187,164,326,31,2882,27
"01","KABUL","0101-14","KABUL CITY NAHIA 14","YES",23,23,0,0,0,0,0,0,0,0,8238,1438,0.174556931294003,22,29,3,3,0,3,578,686,10,97,6,0,0,1
