province_code,province_name_eng,UN_OCHA_region_code,total_18,total_19,vr_19,vr_18,turnout_18,turnout_19,pct_natl
01,Kabul,Kabul,700945,349082,1696341,1635850,0.4284897759574533,0.20578527548411552,0.19134060987688561
02,Kapisa,Capital,44585,14114,160818,156876,0.2842053596471098,0.08776380753398251,0.0077362378117530085
03,Parwan,Capital,86814,33211,218935,213678,0.4062842220537444,0.15169342498915203,0.018203783049888702
04,Wardak,Capital,59102,19901,162244,145035,0.40750163753576724,0.12266093045043268,0.01090823782710051
05,Logar,Capital,24637,14196,107559,101770,0.24208509383904883,0.13198337656541992,0.007781184070826534
06,Nangarhar,East,265207,204356,856243,807480,0.3284378560459702,0.23866589274306477,0.11201265511255475
07,Laghman,East,46136,25930,173286,161668,0.285374965979662,0.14963701626213313,0.014212884119225982
08,Panjsher,Capital,32847,18393,77305,73766,0.4452864463302877,0.23792768902399586,0.010081665160236154
09,Baghlan,Northeast,124609,30268,437008,414584,0.3005639387916562,0.06926188994251821,0.01659065084923764
10,Bamyan,Central,125564,82452,171475,167303,0.7505185202895346,0.4808397725615979,0.0451940116235411
11,Ghazni,Southeast,0,51923,235213,0,NaN,0.22074885316712936,0.028460300120423086
12,Paktika,Southeast,37656,31512,235727,207515,0.18146158109052357,0.13368006210574096,0.017272518486889668
13,Paktya,Southeast,77247,38386,400809,385153,0.20056185463958479,0.09577130254061161,0.021040330497516718
14,Khost,Southeast,79048,77866,258116,234582,0.3369738513611445,0.301670566721939,0.042680309866087555
15,Kunar,East,83486,64205,190880,169647,0.4921159820097025,0.33636316010058676,0.03519237272946024
16,Nuristan,East,20655,10869,91068,67093,0.30785625922227355,0.11935037554354988,0.005957571827684813
17,Badakhshan,Northeast,158976,70127,325327,296029,0.537028466805617,0.21555849960193899,0.03843836963474587
18,Takhar,Northeast,175099,61835,316568,289197,0.6054661701193305,0.19532928154456547,0.03389331621721321
19,Kunduz,Northeast,52251,12676,192546,169800,0.3077208480565371,0.06583361897936077,0.006948033902634344
20,Samangan,North,76927,37393,141504,135378,0.56823856165699,0.26425401402080506,0.02049604226263853
21,Balkh,North,209009,72345,471967,447818,0.4667275544975861,0.15328402197611274,0.03965411113017368
22,Sar-e-Pul,North,80368,34202,140948,135620,0.5925969620999852,0.2426568663620626,0.018746975034545584
23,Ghor,West,108712,48540,250233,238848,0.45515139335476956,0.1939792113749985,0.02660599287108481
24,Daykundi,Central,134695,98170,173158,167404,0.804610403574586,0.5669388650827568,0.053809442112781124
25,Uruzgan,South,12870,5434,63645,56329,0.2284791137779829,0.08537984130725115,0.00297851185128708
26,Zabul,South,13803,5983,66489,64742,0.2132000864971734,0.08998480951736378,0.0032794325370354436
27,Kandahar,South,175944,68373,558567,523539,0.33606665406015596,0.12240787586806955,0.037476958190660936
28,Jawzjan,North,55371,37710,103386,95100,0.5822397476340694,0.36474957924670653,0.020669797922715456
29,Faryab,North,70419,26596,220210,189605,0.3713984335856122,0.12077562326869806,0.014577935442920718
30,Hilmand,South,83405,38137,332166,306489,0.27213048429144276,0.11481307539001584,0.020903847344964182
31,Badghis,West,44889,9664,101371,87615,0.5123437767505564,0.09533298477868424,0.005297081069348241
32,Hirat,West,339645,116210,574055,541886,0.6267831241257387,0.2024370487148444,0.06369761910895685
33,Farah,West,25966,4541,68638,63153,0.4111601982486976,0.06615868760744777,0.0024890361274741684
34,Nimroz,South,32583,9801,91940,92599,0.3518720504541086,0.10660213182510332,0.0053721742095076686
