"pc_code","candidate_code","votes"
"0101001","100_1_1",160
"0101001","100_1_10",0
"0101001","100_1_24",56
"0101001","100_1_25",0
"0101001","100_1_28",10
"0101001","100_1_37",1
"0101001","100_1_4",10
"0101001","100_1_7",7
"0101001","101_1_13",97
"0101001","101_1_16",1
"0101001","101_1_19",2
"0101002","100_1_1",640
"0101002","100_1_10",2
"0101002","100_1_24",114
"0101002","100_1_25",8
"0101002","100_1_28",4
"0101002","100_1_37",7
"0101002","100_1_4",55
"0101002","100_1_7",13
"0101002","101_1_13",315
"0101002","101_1_16",4
"0101002","101_1_19",4
"0101003","100_1_1",355
"0101003","100_1_10",2
"0101003","100_1_24",62
"0101003","100_1_25",0
"0101003","100_1_28",5
"0101003","100_1_37",4
"0101003","100_1_4",20
"0101003","100_1_7",4
"0101003","101_1_13",382
"0101003","101_1_16",1
"0101003","101_1_19",2
"0101004","100_1_1",669
"0101004","100_1_10",2
"0101004","100_1_24",94
"0101004","100_1_25",0
"0101004","100_1_28",2
"0101004","100_1_37",1
"0101004","100_1_4",43
"0101004","100_1_7",12
"0101004","101_1_13",164
"0101004","101_1_16",0
"0101004","101_1_19",5
"0101005","100_1_1",269
"0101005","100_1_10",1
"0101005","100_1_24",36
"0101005","100_1_25",6
"0101005","100_1_28",4
"0101005","100_1_37",1
"0101005","100_1_4",37
"0101005","100_1_7",6
"0101005","101_1_13",177
"0101005","101_1_16",0
"0101005","101_1_19",0
"0101006","100_1_1",338
"0101006","100_1_10",0
"0101006","100_1_24",83
"0101006","100_1_25",3
"0101006","100_1_28",2
"0101006","100_1_37",2
"0101006","100_1_4",33
"0101006","100_1_7",6
"0101006","101_1_13",229
"0101006","101_1_16",0
"0101006","101_1_19",7
"0101007","100_1_1",199
"0101007","100_1_10",0
"0101007","100_1_24",22
"0101007","100_1_25",1
"0101007","100_1_28",1
"0101007","100_1_37",0
"0101007","100_1_4",20
"0101007","100_1_7",3
"0101007","101_1_13",72
"0101007","101_1_16",0
"0101007","101_1_19",2
"0101008","100_1_1",732
"0101008","100_1_10",3
"0101008","100_1_24",118
"0101008","100_1_25",2
"0101008","100_1_28",9
"0101008","100_1_37",0
"0101008","100_1_4",55
"0101008","100_1_7",10
"0101008","101_1_13",717
"0101008","101_1_16",2
"0101008","101_1_19",1
