"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5445,1979,7424
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5404,2648,8052
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",8088,3822,11910
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",11780,4751,16549
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",8650,4764,13631
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-06","KABUL NAHIA 06","كابل - ناحيه 06","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",23618,20955,48008
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-07","KABUL NAHIA 07","كابل - ناحيه 07","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",12624,6106,18742
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-08","KABUL NAHIA 08","كابل - ناحيه 08","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",9253,4253,13506
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-09","KABUL NAHIA 09","كابل - ناحيه 09","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",8901,2622,12161
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-10","KABUL NAHIA 10","كابل - ناحيه 10","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",14316,7109,21527
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-11","KABUL NAHIA 11","كابل - ناحيه 11","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",22505,12868,35693
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-12","KABUL NAHIA 12","كابل - ناحيه 12","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",2129,1251,3380
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-13","KABUL NAHIA 13","كابل - ناحيه 13","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",31636,23892,69668
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-14","KABUL NAHIA 14","كابل - ناحيه 14","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",478,344,947
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-15","KABUL NAHIA 15","كابل - ناحيه 15","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",17633,9458,29654
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-16","KABUL NAHIA 16","كابل - ناحيه 16","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5587,2383,7970
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-17","KABUL NAHIA 17","كابل - ناحيه 17","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5881,3302,12521
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-18","KABUL NAHIA 18","كابل - ناحيه 18","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1768,767,2535
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-21","KABUL NAHIA 21","كابل - ناحيه 21","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",341,329,670
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",31,34,65
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",45,15,60
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",68,47,115
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",79,63,143
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",82,68,152
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-06","KABUL NAHIA 06","كابل - ناحيه 06","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",184,269,488
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-07","KABUL NAHIA 07","كابل - ناحيه 07","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",130,93,224
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-08","KABUL NAHIA 08","كابل - ناحيه 08","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",106,71,177
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-09","KABUL NAHIA 09","كابل - ناحيه 09","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",76,44,130
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-10","KABUL NAHIA 10","كابل - ناحيه 10","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",171,121,293
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-11","KABUL NAHIA 11","كابل - ناحيه 11","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",114,88,204
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-12","KABUL NAHIA 12","كابل - ناحيه 12","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",25,21,46
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-13","KABUL NAHIA 13","كابل - ناحيه 13","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",172,237,514
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-14","KABUL NAHIA 14","كابل - ناحيه 14","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",1,0,1
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-15","KABUL NAHIA 15","كابل - ناحيه 15","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",123,80,237
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-16","KABUL NAHIA 16","كابل - ناحيه 16","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",60,44,104
"PRESIDENTIAL","2014-04-05","PRELIMINARY","2014-04-26","01","KABUL","کابل","0101","KABUL","كابل","0101-17","KABUL NAHIA 17","كابل - ناحيه 17","YES",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",21,29,64
