"election_type","election_date","results_status","province_code","province_name_eng","province_name_dari","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_valid_votes","fem_ps_valid_votes","male_ps_invalid_votes","fem_ps_invalid_votes","votes","total_invalid_votes"
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","13","PAKTIA","پکتیا",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",160791,103633,7650,5314,264424,12964
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","14","KHOST","خوست",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6810,3988,461,83,10798,544
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","14","KHOST","خوست",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",226721,115058,7060,6102,341779,13162
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","15","KUNAR","کنرها",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",17258,7361,228,320,24619,548
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","15","KUNAR","کنرها",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",113852,59118,1558,2088,172970,3646
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","16","NOORISTAN","نورستان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",24841,14606,3801,2359,39447,6160
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","16","NOORISTAN","نورستان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",11925,7208,943,631,19133,1574
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","17","BADAKHSHAN","بدخشان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",134974,83340,2831,5554,218314,8385
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","17","BADAKHSHAN","بدخشان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",38510,25102,160,521,63612,681
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","18","TAKHAR","تخار",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",85144,68396,1700,1747,153540,3447
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","18","TAKHAR","تخار",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",85495,56177,2331,1968,141672,4299
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","19","KUNDUZ","کندز",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",48876,31602,83,589,80478,672
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","19","KUNDUZ","کندز",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",67110,39498,324,684,106608,1008
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","20","SAMANGAN","سمنگان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",49114,37145,47,156,86259,203
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","20","SAMANGAN","سمنگان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",28258,23303,267,100,51561,367
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","21","BALKH","بلخ",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",126038,92939,4082,1005,218977,5087
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","21","BALKH","بلخ",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",81574,46138,2258,839,127712,3097
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","22","SAR-I-PUL","سرپل",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",35002,25357,772,55,60359,827
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","22","SAR-I-PUL","سرپل",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",39433,28645,1358,348,68078,1706
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","23","GHOR","غور",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",114555,77156,8387,6344,191711,14731
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","23","GHOR","غور",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",45727,29644,4521,2102,75371,6623
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","24","DAIKUNDI","دایکندی",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",71660,61013,534,282,132673,816
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","24","DAIKUNDI","دایکندی",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",23791,15847,36,37,39638,73
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","25","UROZGAN","ارزگان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5817,454,237,1,6271,238
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","25","UROZGAN","ارزگان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",11838,1084,337,4,12922,341
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","26","ZABUL","زابل",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3360,188,393,351,3548,744
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","26","ZABUL","زابل",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",14796,1856,10100,9031,16652,19131
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","27","KANDAHAR","کندهار",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",35691,10215,1547,835,45906,2382
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","27","KANDAHAR","کندهار",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",176309,47655,10913,6732,223964,17645
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","28","JOWZJAN","جوزجان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",17632,7151,11,368,24783,379
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","28","JOWZJAN","جوزجان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",57883,44196,338,1129,102079,1467
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","29","FARYAB","فاریاب",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",54499,44585,2619,1075,99084,3694
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","29","FARYAB","فاریاب",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",111841,85277,4805,1695,197118,6500
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","30","HELMAND","هلمند",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",14000,3330,698,322,17330,1020
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","30","HELMAND","هلمند",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",36279,3940,594,153,40219,747
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","31","BADGHIS","بادغیس",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",45775,28210,5629,4275,73985,9904
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","31","BADGHIS","بادغیس",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",23287,12270,4676,4831,35557,9507
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","32","HERAT","هرات",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",168955,144727,5974,4686,313682,10660
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","32","HERAT","هرات",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",99937,64121,4792,2020,164058,6812
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","33","FARAH","فراه",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",20726,12907,2894,2796,33633,5690
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","33","FARAH","فراه",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",20501,11092,1856,702,31593,2558
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","34","NIMROZ","نیمروز",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6667,4190,83,19,10857,102
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","34","NIMROZ","نیمروز",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",13020,6009,1068,542,19029,1610
