"election_type","election_date","results_status","province_code","province_name_eng","province_name_dari","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_valid_votes","fem_ps_valid_votes","male_ps_invalid_votes","fem_ps_invalid_votes","votes","total_invalid_votes"
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",269500,144224,5314,2510,413724,7824
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",293469,138581,5587,6316,432050,11903
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",44504,25966,705,907,70470,1612
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",7184,2739,557,80,9923,637
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","03","PARWAN","پروان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",81591,38916,704,425,120507,1129
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","03","PARWAN","پروان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",15350,4808,241,11,20158,252
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","04","WARDAK","وردک",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",24063,18675,2527,1516,42738,4043
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","04","WARDAK","وردک",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",84742,51632,11970,9497,136374,21467
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","05","LOGAR","لوگر",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",4810,1997,362,632,6807,994
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","05","LOGAR","لوگر",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",54506,21343,3457,1158,75849,4615
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","06","NANGARHAR","ننگرهار",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",53702,29034,346,71,82736,417
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","06","NANGARHAR","ننگرهار",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",196057,99873,2425,831,295930,3256
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","07","LAGHMAN","لغمان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",10849,5328,16,191,16177,207
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","07","LAGHMAN","لغمان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",72104,28526,1144,424,100630,1568
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","08","PANJSHIR","پنجشیر",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",36204,21531,1074,0,57735,1074
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","08","PANJSHIR","پنجشیر",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2705,1317,98,0,4022,98
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","09","BAGHLAN","بغلان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",120493,69133,7201,3945,189626,11146
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","09","BAGHLAN","بغلان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",89337,53035,6048,3327,142372,9375
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","10","BAMIYAN","بامیان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",68715,52893,831,855,121608,1686
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","10","BAMIYAN","بامیان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",23397,16175,225,170,39572,395
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","11","GHAZNI","غزنی",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",99657,66204,2522,1841,165861,4363
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","11","GHAZNI","غزنی",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",74132,35739,5599,3728,109871,9327
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","12","PAKTIKA","پکتیکا",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",18199,11570,5087,5097,29769,10184
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","12","PAKTIKA","پکتیکا",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",148494,104573,36399,24479,253067,60878
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","13","PAKTIA","پکتیا",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",13309,7697,2109,837,21006,2946
