"ps_code","post_audit_status","candidate_code","votes"
"0101051-04","Recounted","100_1_1",142
"0101051-04","Recounted","101_1_13",443
"0101051-05","Validated","100_1_1",74
"0101051-05","Validated","101_1_13",302
"0101051-06","Validated","100_1_1",93
"0101051-06","Validated","101_1_13",312
"0101051-07","Validated","100_1_1",92
"0101051-07","Validated","101_1_13",336
"0101052-01","Validated","100_1_1",255
"0101052-01","Validated","101_1_13",151
"0101052-02","Validated","100_1_1",182
"0101052-02","Validated","101_1_13",111
"0101052-03","Validated","100_1_1",44
"0101052-03","Validated","101_1_13",32
"0101052-04","Validated","100_1_1",62
"0101052-04","Validated","101_1_13",51
"0101052-05","Validated","100_1_1",61
"0101052-05","Validated","101_1_13",44
"0101053-01","Validated","100_1_1",62
"0101053-01","Validated","101_1_13",38
"0101053-02","Validated","100_1_1",109
"0101053-02","Validated","101_1_13",69
"0101053-03","Validated","100_1_1",112
"0101053-03","Validated","101_1_13",89
"0101053-04","Validated","100_1_1",100
"0101053-04","Validated","101_1_13",84
"0101053-05","Validated","100_1_1",20
"0101053-05","Validated","101_1_13",28
"0101053-06","Invalidated","100_1_1",18
"0101053-06","Invalidated","101_1_13",36
"0101053-07","Validated","100_1_1",12
"0101053-07","Validated","101_1_13",39
"0101053-08","Validated","100_1_1",21
"0101053-08","Validated","101_1_13",19
"0101053-09","Validated","100_1_1",12
"0101053-09","Validated","101_1_13",15
"0101054-01","Validated","100_1_1",167
"0101054-01","Validated","101_1_13",149
"0101054-02","Validated","100_1_1",262
"0101054-02","Validated","101_1_13",197
"0101054-03","Recounted","100_1_1",171
"0101054-03","Recounted","101_1_13",115
"0101054-04","Validated","100_1_1",172
"0101054-04","Validated","101_1_13",115
"0101054-05","Validated","100_1_1",178
"0101054-05","Validated","101_1_13",83
"0101054-06","Validated","100_1_1",143
"0101054-06","Validated","101_1_13",68
"0101054-07","Validated","100_1_1",109
"0101054-07","Validated","101_1_13",66
"0101054-08","Validated","100_1_1",100
"0101054-08","Validated","101_1_13",69
"0101055-01","Validated","100_1_1",158
"0101055-01","Validated","101_1_13",24
"0101055-02","Validated","100_1_1",90
"0101055-02","Validated","101_1_13",22
"0101055-03","Validated","100_1_1",101
"0101055-03","Validated","101_1_13",18
"0101055-04","Validated","100_1_1",48
"0101055-04","Validated","101_1_13",17
"0101055-05","Validated","100_1_1",27
"0101055-05","Validated","101_1_13",13
"0101055-06","Validated","100_1_1",19
"0101055-06","Validated","101_1_13",12
"0101056-01","Validated","100_1_1",120
"0101056-01","Validated","101_1_13",78
"0101056-02","Validated","100_1_1",16
"0101056-02","Validated","101_1_13",13
"0101056-03","Validated","100_1_1",80
"0101056-03","Validated","101_1_13",28
"0101056-04","Validated","100_1_1",29
"0101056-04","Validated","101_1_13",32
"0101056-05","Validated","100_1_1",21
"0101056-05","Validated","101_1_13",13
"0101056-06","Validated","100_1_1",38
"0101056-06","Validated","101_1_13",24
"0101057-01","Validated","100_1_1",115
"0101057-01","Validated","101_1_13",65
"0101057-02","Validated","100_1_1",136
"0101057-02","Validated","101_1_13",67
"0101057-03","Validated","100_1_1",170
"0101057-03","Validated","101_1_13",113
"0101057-04","Validated","100_1_1",141
"0101057-04","Validated","101_1_13",59
"0101057-05","Validated","100_1_1",22
"0101057-05","Validated","101_1_13",8
"0101057-06","Validated","100_1_1",68
"0101057-06","Validated","101_1_13",26
"0101057-07","Validated","100_1_1",87
"0101057-07","Validated","101_1_13",21
"0101058-01","Validated","100_1_1",204
"0101058-01","Validated","101_1_13",84
"0101058-02","Validated","100_1_1",132
"0101058-02","Validated","101_1_13",81
"0101058-03","Validated","100_1_1",167
"0101058-03","Validated","101_1_13",61
"0101058-04","Validated","100_1_1",128
"0101058-04","Validated","101_1_13",82
"0101058-05","Validated","100_1_1",49
"0101058-05","Validated","101_1_13",49
"0101058-06","Validated","100_1_1",42
"0101058-06","Validated","101_1_13",25
"0101058-07","Validated","100_1_1",29
"0101058-07","Validated","101_1_13",23
"0101059-01","Validated","100_1_1",250
"0101059-01","Validated","101_1_13",140
"0101059-02","Validated","100_1_1",167
"0101059-02","Validated","101_1_13",85
"0101059-03","Validated","100_1_1",88
"0101059-03","Validated","101_1_13",58
"0101059-04","Recounted","100_1_1",148
"0101059-04","Recounted","101_1_13",50
"0101059-05","Validated","100_1_1",74
"0101059-05","Validated","101_1_13",33
"0101059-06","Validated","100_1_1",67
"0101059-06","Validated","101_1_13",20
"0101060-01","Validated","100_1_1",427
"0101060-01","Validated","101_1_13",148
"0101060-02","Validated","100_1_1",248
"0101060-02","Validated","101_1_13",96
"0101060-03","Validated","100_1_1",356
"0101060-03","Validated","101_1_13",97
"0101060-04","Validated","100_1_1",122
"0101060-04","Validated","101_1_13",51
"0101060-05","Validated","100_1_1",94
"0101060-05","Validated","101_1_13",42
"0101060-06","Validated","100_1_1",108
"0101060-06","Validated","101_1_13",55
"0101060-07","Validated","100_1_1",152
"0101060-07","Validated","101_1_13",42
"0101060-08","Validated","100_1_1",74
"0101060-08","Validated","101_1_13",23
"0101061-01","Validated","100_1_1",138
"0101061-01","Validated","101_1_13",221
"0101061-02","Validated","100_1_1",96
"0101061-02","Validated","101_1_13",170
"0101061-03","Validated","100_1_1",64
"0101061-03","Validated","101_1_13",96
"0101061-04","Validated","100_1_1",95
"0101061-04","Validated","101_1_13",102
"0101062-01","Validated","100_1_1",280
"0101062-01","Validated","101_1_13",313
"0101062-02","Validated","100_1_1",215
"0101062-02","Validated","101_1_13",214
"0101062-03","Validated","100_1_1",183
"0101062-03","Validated","101_1_13",237
"0101062-04","Recounted","100_1_1",119
"0101062-04","Recounted","101_1_13",134
"0101062-05","Validated","100_1_1",126
"0101062-05","Validated","101_1_13",133
"0101062-06","Recounted","100_1_1",185
"0101062-06","Recounted","101_1_13",240
"0101062-07","Validated","100_1_1",247
"0101062-07","Validated","101_1_13",346
"0101062-08","Validated","100_1_1",81
"0101062-08","Validated","101_1_13",128
"0101062-09","Validated","100_1_1",86
"0101062-09","Validated","101_1_13",111
"0101063-01","Validated","100_1_1",196
"0101063-01","Validated","101_1_13",78
"0101063-02","Validated","100_1_1",191
"0101063-02","Validated","101_1_13",82
"0101063-03","Validated","100_1_1",168
"0101063-03","Validated","101_1_13",93
"0101063-04","Validated","100_1_1",180
"0101063-04","Validated","101_1_13",68
"0101063-05","Validated","100_1_1",113
"0101063-05","Validated","101_1_13",39
"0101063-06","Validated","100_1_1",78
"0101063-06","Validated","101_1_13",24
"0101063-07","Validated","100_1_1",87
"0101063-07","Validated","101_1_13",27
"0101064-01","Validated","100_1_1",292
"0101064-01","Validated","101_1_13",300
"0101064-02","Recounted","100_1_1",231
"0101064-02","Recounted","101_1_13",272
"0101064-03","Validated","100_1_1",151
"0101064-03","Validated","101_1_13",175
"0101064-04","Validated","100_1_1",173
"0101064-04","Validated","101_1_13",149
"0101064-05","Validated","100_1_1",129
"0101064-05","Validated","101_1_13",147
"0101064-06","Validated","100_1_1",99
"0101064-06","Validated","101_1_13",110
"0101064-07","Validated","100_1_1",89
"0101064-07","Validated","101_1_13",118
"0101065-01","Validated","100_1_1",159
"0101065-01","Validated","101_1_13",79
"0101065-02","Validated","100_1_1",179
"0101065-02","Validated","101_1_13",101
"0101065-03","Validated","100_1_1",236
"0101065-03","Validated","101_1_13",138
"0101065-04","Validated","100_1_1",167
"0101065-04","Validated","101_1_13",62
"0101065-05","Validated","100_1_1",108
"0101065-05","Validated","101_1_13",30
"0101065-06","Validated","100_1_1",101
"0101065-06","Validated","101_1_13",38
"0101065-07","Validated","100_1_1",53
"0101065-07","Validated","101_1_13",20
"0101066-01","Validated","100_1_1",261
"0101066-01","Validated","101_1_13",128
"0101066-02","Validated","100_1_1",229
"0101066-02","Validated","101_1_13",148
"0101066-03","Validated","100_1_1",271
"0101066-03","Validated","101_1_13",119
"0101066-04","Validated","100_1_1",159
"0101066-04","Validated","101_1_13",83
"0101066-05","Validated","100_1_1",127
