"ps_code","post_audit_status","candidate_code","votes"
"0101001-01","Validated","100_1_1",38
"0101001-01","Validated","101_1_13",45
"0101001-02","Recounted","100_1_1",26
"0101001-02","Recounted","101_1_13",35
"0101001-03","Validated","100_1_1",14
"0101001-03","Validated","101_1_13",43
"0101001-04","Validated","100_1_1",17
"0101001-04","Validated","101_1_13",20
"0101001-05","Validated","100_1_1",16
"0101001-05","Validated","101_1_13",7
"0101001-06","Validated","100_1_1",10
"0101001-06","Validated","101_1_13",66
"0101002-01","Validated","100_1_1",221
"0101002-01","Validated","101_1_13",166
"0101002-02","Validated","100_1_1",204
"0101002-02","Validated","101_1_13",158
"0101002-03","Validated","100_1_1",138
"0101002-03","Validated","101_1_13",112
"0101002-04","Validated","100_1_1",106
"0101002-04","Validated","101_1_13",47
"0101002-05","Validated","100_1_1",84
"0101002-05","Validated","101_1_13",38
"0101002-06","Recounted","100_1_1",45
"0101002-06","Recounted","101_1_13",19
"0101003-01","Validated","100_1_1",175
"0101003-01","Validated","101_1_13",271
"0101003-02","Recounted","100_1_1",129
"0101003-02","Recounted","101_1_13",208
"0101003-03","Validated","100_1_1",20
"0101003-03","Validated","101_1_13",29
"0101003-04","Validated","100_1_1",25
"0101003-04","Validated","101_1_13",25
"0101004-01","Validated","100_1_1",172
"0101004-01","Validated","101_1_13",71
"0101004-02","Validated","100_1_1",138
"0101004-02","Validated","101_1_13",81
"0101004-03","Validated","100_1_1",141
"0101004-03","Validated","101_1_13",78
"0101004-04","Recounted","100_1_1",57
"0101004-04","Recounted","101_1_13",42
"0101004-05","Validated","100_1_1",70
"0101004-05","Validated","101_1_13",29
"0101004-06","Validated","100_1_1",73
"0101004-06","Validated","101_1_13",28
"0101005-01","Validated","100_1_1",125
"0101005-01","Validated","101_1_13",106
"0101005-02","Validated","100_1_1",96
"0101005-02","Validated","101_1_13",96
"0101005-03","Validated","100_1_1",9
"0101005-03","Validated","101_1_13",4
"0101005-04","Validated","100_1_1",5
"0101005-04","Validated","101_1_13",1
"0101005-05","Validated","100_1_1",5
"0101005-05","Validated","101_1_13",3
"0101006-01","Validated","100_1_1",111
"0101006-01","Validated","101_1_13",139
"0101006-02","Validated","100_1_1",51
"0101006-02","Validated","101_1_13",67
"0101006-03","Recounted","100_1_1",53
"0101006-03","Recounted","101_1_13",63
"0101006-04","Validated","100_1_1",8
"0101006-04","Validated","101_1_13",16
"0101006-05","Validated","100_1_1",17
"0101006-05","Validated","101_1_13",27
"0101006-06","Recounted","100_1_1",49
"0101006-06","Recounted","101_1_13",42
"0101007-01","Validated","100_1_1",46
"0101007-01","Validated","101_1_13",12
"0101007-02","Validated","100_1_1",32
"0101007-02","Validated","101_1_13",22
"0101007-03","Validated","100_1_1",22
"0101007-03","Validated","101_1_13",7
"0101007-04","Validated","100_1_1",21
"0101007-04","Validated","101_1_13",10
"0101007-05","Validated","100_1_1",18
"0101007-05","Validated","101_1_13",8
"0101007-06","Validated","100_1_1",14
"0101007-06","Validated","101_1_13",2
"0101008-01","Validated","100_1_1",240
"0101008-01","Validated","101_1_13",351
"0101008-02","Validated","100_1_1",259
"0101008-02","Validated","101_1_13",291
"0101008-03","Validated","100_1_1",115
"0101008-03","Validated","101_1_13",159
"0101008-04","Validated","100_1_1",18
"0101008-04","Validated","101_1_13",7
"0101008-05","Validated","100_1_1",30
"0101008-05","Validated","101_1_13",10
"0101008-06","Validated","100_1_1",20
"0101008-06","Validated","101_1_13",19
"0101009-01","Validated","100_1_1",49
"0101009-01","Validated","101_1_13",25
"0101009-02","Validated","100_1_1",43
"0101009-02","Validated","101_1_13",20
"0101009-03","Validated","100_1_1",13
"0101009-03","Validated","101_1_13",7
"0101009-04","Validated","100_1_1",12
"0101009-04","Validated","101_1_13",10
"0101010-01","Validated","100_1_1",112
"0101010-01","Validated","101_1_13",82
"0101010-02","Validated","100_1_1",108
"0101010-02","Validated","101_1_13",73
"0101010-03","Validated","100_1_1",80
"0101010-03","Validated","101_1_13",51
"0101010-04","Validated","100_1_1",21
"0101010-04","Validated","101_1_13",19
"0101010-05","Recounted","100_1_1",13
"0101010-05","Recounted","101_1_13",5
"0101011-01","Validated","100_1_1",80
"0101011-01","Validated","101_1_13",59
"0101011-02","Validated","100_1_1",48
"0101011-02","Validated","101_1_13",27
"0101011-03","Validated","100_1_1",48
"0101011-03","Validated","101_1_13",12
"0101012-01","Validated","100_1_1",149
"0101012-01","Validated","101_1_13",97
"0101012-02","Validated","100_1_1",63
"0101012-02","Validated","101_1_13",60
"0101013-01","Validated","100_1_1",103
"0101013-01","Validated","101_1_13",45
"0101013-02","Validated","100_1_1",155
"0101013-02","Validated","101_1_13",61
"0101013-03","Validated","100_1_1",190
"0101013-03","Validated","101_1_13",98
"0101013-04","Validated","100_1_1",125
"0101013-04","Validated","101_1_13",37
"0101013-05","Validated","100_1_1",166
"0101013-05","Validated","101_1_13",34
"0101014-01","Validated","100_1_1",420
"0101014-01","Validated","101_1_13",54
"0101014-02","Validated","100_1_1",181
"0101014-02","Validated","101_1_13",14
"0101015-01","Validated","100_1_1",70
"0101015-01","Validated","101_1_13",65
"0101015-02","Validated","100_1_1",68
"0101015-02","Validated","101_1_13",60
"0101015-03","Validated","100_1_1",18
"0101015-03","Validated","101_1_13",8
"0101016-01","Validated","100_1_1",139
"0101016-01","Validated","101_1_13",75
"0101016-02","Validated","100_1_1",57
"0101016-02","Validated","101_1_13",47
"0101016-03","Validated","100_1_1",48
"0101016-03","Validated","101_1_13",41
"0101016-04","Validated","100_1_1",33
"0101016-04","Validated","101_1_13",19
"0101016-05","Validated","100_1_1",33
"0101016-05","Validated","101_1_13",15
"0101017-01","Validated","100_1_1",254
"0101017-01","Validated","101_1_13",84
"0101017-02","Validated","100_1_1",200
"0101017-02","Validated","101_1_13",46
"0101017-03","Validated","100_1_1",366
"0101017-03","Validated","101_1_13",94
"0101018-01","Validated","100_1_1",82
"0101018-01","Validated","101_1_13",32
"0101018-02","Validated","100_1_1",67
"0101018-02","Validated","101_1_13",32
"0101018-03","Validated","100_1_1",53
"0101018-03","Validated","101_1_13",19
"0101019-01","Recounted","100_1_1",167
"0101019-01","Recounted","101_1_13",90
"0101019-02","Validated","100_1_1",179
"0101019-02","Validated","101_1_13",83
"0101019-03","Validated","100_1_1",72
"0101019-03","Validated","101_1_13",23
"0101019-04","Validated","100_1_1",80
"0101019-04","Validated","101_1_13",32
"0101019-05","Validated","100_1_1",69
"0101019-05","Validated","101_1_13",30
"0101020-01","Validated","100_1_1",85
"0101020-01","Validated","101_1_13",53
"0101020-02","Validated","100_1_1",125
"0101020-02","Validated","101_1_13",69
"0101020-03","Validated","100_1_1",44
"0101020-03","Validated","101_1_13",25
"0101021-01","Validated","100_1_1",89
"0101021-01","Validated","101_1_13",102
"0101021-02","Validated","100_1_1",96
"0101021-02","Validated","101_1_13",100
"0101021-03","Validated","100_1_1",39
"0101021-03","Validated","101_1_13",37
"0101021-04","Validated","100_1_1",52
"0101021-04","Validated","101_1_13",32
"0101021-05","Validated","100_1_1",2
"0101021-05","Validated","101_1_13",2
"0101021-06","Validated","100_1_1",12
"0101021-06","Validated","101_1_13",5
"0101021-07","Validated","100_1_1",23
"0101021-07","Validated","101_1_13",3
"0101021-08","Recounted","100_1_1",27
"0101021-08","Recounted","101_1_13",12
"0101022-01","Validated","100_1_1",99
"0101022-01","Validated","101_1_13",29
"0101022-02","Validated","100_1_1",67
"0101022-02","Validated","101_1_13",19
"0101022-03","Validated","100_1_1",27
"0101022-03","Validated","101_1_13",20
"0101022-04","Validated","100_1_1",50
"0101022-04","Validated","101_1_13",13
"0101022-05","Validated","100_1_1",18
"0101022-05","Validated","101_1_13",3
"0101022-06","Validated","100_1_1",19
"0101022-06","Validated","101_1_13",8
"0101022-07","Validated","100_1_1",51
"0101022-07","Validated","101_1_13",8
"0101022-08","Validated","100_1_1",40
"0101022-08","Validated","101_1_13",18
"0101023-01","Validated","100_1_1",167
"0101023-01","Validated","101_1_13",83
"0101023-02","Validated","100_1_1",125
"0101023-02","Validated","101_1_13",63
"0101023-03","Validated","100_1_1",127
"0101023-03","Validated","101_1_13",42
"0101023-04","Validated","100_1_1",93
"0101023-04","Validated","101_1_13",40
"0101023-05","Validated","100_1_1",75
"0101023-05","Validated","101_1_13",34
"0101023-06","Validated","100_1_1",49
"0101023-06","Validated","101_1_13",17
"0101024-01","Validated","100_1_1",275
"0101024-01","Validated","101_1_13",73
"0101024-02","Validated","100_1_1",280
"0101024-02","Validated","101_1_13",87
"0101024-03","Validated","100_1_1",85
"0101024-03","Validated","101_1_13",54
"0101024-04","Validated","100_1_1",97
"0101024-04","Validated","101_1_13",37
"0101024-05","Validated","100_1_1",80
"0101024-05","Validated","101_1_13",27
"0101024-06","Validated","100_1_1",115
"0101024-06","Validated","101_1_13",30
"0101025-01","Validated","100_1_1",367
"0101025-01","Validated","101_1_13",89
"0101025-02","Validated","100_1_1",239
"0101025-02","Validated","101_1_13",77
"0101025-03","Validated","100_1_1",351
"0101025-03","Validated","101_1_13",133
"0101025-04","Recounted","100_1_1",443
"0101025-04","Recounted","101_1_13",143
"0101025-05","Validated","100_1_1",224
"0101025-05","Validated","101_1_13",69
"0101025-06","Validated","100_1_1",329
"0101025-06","Validated","101_1_13",76
"0101025-07","Validated","100_1_1",279
"0101025-07","Validated","101_1_13",83
"0101026-01","Recounted","100_1_1",410
"0101026-01","Recounted","101_1_13",59
"0101026-02","Validated","100_1_1",292
"0101026-02","Validated","101_1_13",39
"0101027-01","Validated","100_1_1",421
"0101027-01","Validated","101_1_13",135
"0101027-02","Recounted","100_1_1",252
"0101027-02","Recounted","101_1_13",88
"0101028-01","Validated","100_1_1",283
"0101028-01","Validated","101_1_13",202
"0101028-02","Validated","100_1_1",183
"0101028-02","Validated","101_1_13",127
"0101028-03","Validated","100_1_1",155
"0101028-03","Validated","101_1_13",93
"0101028-04","Validated","100_1_1",183
"0101028-04","Validated","101_1_13",115
"0101028-05","Validated","100_1_1",23
"0101028-05","Validated","101_1_13",7
"0101028-06","Validated","100_1_1",9
"0101028-06","Validated","101_1_13",22
"0101028-07","Recounted","100_1_1",23
"0101028-07","Recounted","101_1_13",13
"0101029-01","Validated","100_1_1",36
"0101029-01","Validated","101_1_13",33
"0101029-02","Validated","100_1_1",37
"0101029-02","Validated","101_1_13",41
"0101029-03","Recounted","100_1_1",15
"0101029-03","Recounted","101_1_13",10
"0101029-04","Validated","100_1_1",14
"0101029-04","Validated","101_1_13",11
"0101029-05","Validated","100_1_1",9
"0101029-05","Validated","101_1_13",5
"0101030-01","Recounted","100_1_1",475
"0101030-01","Recounted","101_1_13",62
"0101030-02","Validated","100_1_1",386
"0101030-02","Validated","101_1_13",47
"0101030-03","Validated","100_1_1",526
"0101030-03","Validated","101_1_13",59
"0101032-01","Validated","100_1_1",238
"0101032-01","Validated","101_1_13",213
"0101032-02","Validated","100_1_1",196
"0101032-02","Validated","101_1_13",194
"0101032-03","Validated","100_1_1",138
"0101032-03","Validated","101_1_13",163
"0101032-04","Validated","100_1_1",74
"0101032-04","Validated","101_1_13",90
"0101032-05","Validated","100_1_1",40
"0101032-05","Validated","101_1_13",47
"0101032-06","Validated","100_1_1",33
"0101032-06","Validated","101_1_13",53
"0101032-07","Validated","100_1_1",54
"0101032-07","Validated","101_1_13",42
"0101033-01","Validated","100_1_1",270
"0101033-01","Validated","101_1_13",312
"0101033-02","Validated","100_1_1",37
"0101033-02","Validated","101_1_13",45
"0101033-03","Validated","100_1_1",37
"0101033-03","Validated","101_1_13",79
"0101033-04","Validated","100_1_1",18
"0101033-04","Validated","101_1_13",54
"0101033-05","Validated","100_1_1",47
"0101033-05","Validated","101_1_13",82
"0101033-06","Validated","100_1_1",272
"0101033-06","Validated","101_1_13",308
"0101033-07","Validated","100_1_1",61
"0101033-07","Validated","101_1_13",72
"0101033-08","Invalidated","100_1_1",268
"0101033-08","Invalidated","101_1_13",303
"0101033-09","Validated","100_1_1",248
"0101033-09","Validated","101_1_13",342
"0101034-01","Validated","100_1_1",182
"0101034-01","Validated","101_1_13",201
"0101034-02","Validated","100_1_1",107
"0101034-02","Validated","101_1_13",117
"0101034-03","Validated","100_1_1",92
"0101034-03","Validated","101_1_13",93
"0101034-04","Validated","100_1_1",54
"0101034-04","Validated","101_1_13",53
"0101034-05","Validated","100_1_1",26
"0101034-05","Validated","101_1_13",34
"0101034-06","Validated","100_1_1",43
"0101034-06","Validated","101_1_13",39
"0101034-07","Validated","100_1_1",24
"0101034-07","Validated","101_1_13",29
"0101034-08","Validated","100_1_1",73
"0101034-08","Validated","101_1_13",74
"0101035-01","Validated","100_1_1",273
"0101035-01","Validated","101_1_13",174
"0101035-02","Validated","100_1_1",135
"0101035-02","Validated","101_1_13",77
"0101035-03","Validated","100_1_1",81
"0101035-03","Validated","101_1_13",53
"0101035-04","Validated","100_1_1",65
"0101035-04","Validated","101_1_13",45
"0101035-05","Validated","100_1_1",72
"0101035-05","Validated","101_1_13",32
"0101035-06","Validated","100_1_1",26
"0101035-06","Validated","101_1_13",27
"0101035-07","Validated","100_1_1",62
"0101035-07","Validated","101_1_13",27
"0101035-08","Validated","100_1_1",69
"0101035-08","Validated","101_1_13",43
"0101035-09","Recounted","100_1_1",107
"0101035-09","Recounted","101_1_13",61
"0101036-01","Validated","100_1_1",251
"0101036-01","Validated","101_1_13",167
"0101036-02","Validated","100_1_1",232
"0101036-02","Validated","101_1_13",137
"0101036-03","Validated","100_1_1",201
"0101036-03","Validated","101_1_13",102
"0101036-04","Recounted","100_1_1",173
"0101036-04","Recounted","101_1_13",129
"0101036-05","Validated","100_1_1",149
"0101036-05","Validated","101_1_13",58
"0101036-06","Validated","100_1_1",94
"0101036-06","Validated","101_1_13",69
"0101036-07","Validated","100_1_1",167
"0101036-07","Validated","101_1_13",118
"0101036-08","Validated","100_1_1",163
"0101036-08","Validated","101_1_13",89
"0101037-01","Validated","100_1_1",138
"0101037-01","Validated","101_1_13",135
"0101037-02","Recounted","100_1_1",88
"0101037-02","Recounted","101_1_13",113
"0101037-03","Validated","100_1_1",99
"0101037-03","Validated","101_1_13",149
"0101037-04","Validated","100_1_1",45
"0101037-04","Validated","101_1_13",46
"0101037-05","Validated","100_1_1",22
"0101037-05","Validated","101_1_13",34
"0101037-06","Validated","100_1_1",38
"0101037-06","Validated","101_1_13",47
"0101038-01","Validated","100_1_1",49
"0101038-01","Validated","101_1_13",67
"0101038-02","Validated","100_1_1",77
"0101038-02","Validated","101_1_13",108
"0101038-03","Validated","100_1_1",228
"0101038-03","Validated","101_1_13",178
"0101038-04","Recounted","100_1_1",53
"0101038-04","Recounted","101_1_13",51
"0101038-05","Validated","100_1_1",33
"0101038-05","Validated","101_1_13",44
"0101039-01","Validated","100_1_1",312
"0101039-01","Validated","101_1_13",277
"0101039-02","Validated","100_1_1",211
"0101039-02","Validated","101_1_13",186
"0101039-03","Validated","100_1_1",243
"0101039-03","Validated","101_1_13",218
"0101039-04","Validated","100_1_1",142
"0101039-04","Validated","101_1_13",94
"0101039-05","Validated","100_1_1",112
"0101039-05","Validated","101_1_13",98
"0101040-01","Validated","100_1_1",150
"0101040-01","Validated","101_1_13",146
"0101040-02","Validated","100_1_1",133
"0101040-02","Validated","101_1_13",137
"0101040-03","Validated","100_1_1",97
"0101040-03","Validated","101_1_13",146
"0101040-04","Validated","100_1_1",58
"0101040-04","Validated","101_1_13",63
"0101040-05","Validated","100_1_1",87
"0101040-05","Validated","101_1_13",112
"0101041-01","Validated","100_1_1",86
"0101041-01","Validated","101_1_13",59
"0101041-02","Validated","100_1_1",48
"0101041-02","Validated","101_1_13",46
"0101041-03","Validated","100_1_1",55
"0101041-03","Validated","101_1_13",29
"0101041-04","Validated","100_1_1",57
"0101041-04","Validated","101_1_13",35
"0101041-05","Validated","100_1_1",56
"0101041-05","Validated","101_1_13",40
"0101042-01","Validated","100_1_1",241
"0101042-01","Validated","101_1_13",321
"0101042-02","Validated","100_1_1",109
"0101042-02","Validated","101_1_13",161
"0101042-03","Validated","100_1_1",48
"0101042-03","Validated","101_1_13",84
"0101043-01","Validated","100_1_1",139
"0101043-01","Validated","101_1_13",132
"0101043-02","Validated","100_1_1",108
"0101043-02","Validated","101_1_13",115
"0101043-03","Validated","100_1_1",120
"0101043-03","Validated","101_1_13",129
"0101044-01","Validated","100_1_1",152
"0101044-01","Validated","101_1_13",198
"0101044-02","Validated","100_1_1",135
"0101044-02","Validated","101_1_13",181
"0101044-03","Validated","100_1_1",107
"0101044-03","Validated","101_1_13",124
"0101044-04","Validated","100_1_1",134
"0101044-04","Validated","101_1_13",126
"0101044-05","Validated","100_1_1",112
"0101044-05","Validated","101_1_13",189
"0101045-01","Validated","100_1_1",220
"0101045-01","Validated","101_1_13",186
"0101045-02","Validated","100_1_1",165
"0101045-02","Validated","101_1_13",124
"0101045-03","Validated","100_1_1",92
"0101045-03","Validated","101_1_13",85
"0101045-04","Validated","100_1_1",89
"0101045-04","Validated","101_1_13",126
"0101045-05","Validated","100_1_1",61
"0101045-05","Validated","101_1_13",67
"0101046-01","Validated","100_1_1",45
"0101046-01","Validated","101_1_13",47
"0101046-02","Validated","100_1_1",25
"0101046-02","Validated","101_1_13",22
"0101046-03","Validated","100_1_1",39
"0101046-03","Validated","101_1_13",37
"0101046-04","Validated","100_1_1",1
"0101046-04","Validated","101_1_13",16
"0101046-05","Validated","100_1_1",20
"0101046-05","Validated","101_1_13",10
"0101046-06","Validated","100_1_1",0
"0101046-06","Validated","101_1_13",37
"0101047-01","Validated","100_1_1",180
"0101047-01","Validated","101_1_13",173
"0101047-02","Validated","100_1_1",160
"0101047-02","Validated","101_1_13",130
"0101047-03","Validated","100_1_1",82
"0101047-03","Validated","101_1_13",88
"0101047-04","Validated","100_1_1",54
"0101047-04","Validated","101_1_13",81
"0101047-05","Validated","100_1_1",54
"0101047-05","Validated","101_1_13",82
"0101048-01","Recounted","100_1_1",283
"0101048-01","Recounted","101_1_13",158
"0101048-02","Recounted","100_1_1",208
"0101048-02","Recounted","101_1_13",118
"0101048-03","Validated","100_1_1",196
"0101048-03","Validated","101_1_13",109
"0101048-04","Validated","100_1_1",112
"0101048-04","Validated","101_1_13",41
"0101048-05","Validated","100_1_1",107
"0101048-05","Validated","101_1_13",57
"0101048-06","Recounted","100_1_1",117
"0101048-06","Recounted","101_1_13",53
"0101049-01","Validated","100_1_1",323
"0101049-01","Validated","101_1_13",267
"0101049-02","Validated","100_1_1",324
"0101049-02","Validated","101_1_13",268
"0101049-03","Validated","100_1_1",4
"0101049-03","Validated","101_1_13",6
"0101049-04","Validated","100_1_1",1
"0101049-04","Validated","101_1_13",11
"0101049-05","Validated","100_1_1",6
"0101049-05","Validated","101_1_13",7
"0101049-06","Validated","100_1_1",4
"0101049-06","Validated","101_1_13",2
"0101049-07","Validated","100_1_1",11
"0101049-07","Validated","101_1_13",9
"0101050-01","Validated","100_1_1",256
"0101050-01","Validated","101_1_13",313
"0101050-02","Validated","100_1_1",233
"0101050-02","Validated","101_1_13",278
"0101050-03","Validated","100_1_1",278
"0101050-03","Validated","101_1_13",281
"0101050-04","Validated","100_1_1",69
"0101050-04","Validated","101_1_13",213
"0101050-05","Validated","100_1_1",61
"0101050-05","Validated","101_1_13",143
"0101050-06","Validated","100_1_1",64
"0101050-06","Validated","101_1_13",114
"0101050-07","Validated","100_1_1",39
"0101050-07","Validated","101_1_13",79
"0101050-08","Validated","100_1_1",43
"0101050-08","Validated","101_1_13",83
"0101050-09","Validated","100_1_1",61
"0101050-09","Validated","101_1_13",133
"0101051-01","Validated","100_1_1",122
"0101051-01","Validated","101_1_13",373
"0101051-02","Validated","100_1_1",131
"0101051-02","Validated","101_1_13",366
"0101051-03","Validated","100_1_1",156
"0101051-03","Validated","101_1_13",428
