"province_code","province_name_eng","province_name_dari","province_name_pashto"
1,"Badakhshan","بدخشان","بدخشان"
2,"Badghis","بادغيس","بادغيس"
3,"Baghlan","بغلان","بغلان"
4,"Balkh","بلخ","بلخ"
5,"Bamyan","باميان","باميان"
6,"Daikondi","دایکندی","دایکندی"
7,"Farah","فراه","فراه"
8,"Faryab","فارياب","فارياب"
9,"Ghazni","غزنی","غزنی"
10,"Ghor","غور","غور"
11,"Helmand","هلمند","هلمند"
12,"Herat","هرات","هرات"
13,"Jozjan","جوزجان","جوزجان"
14,"Kabul","کابل","کابل"
15,"Kandahar","کندهار","کندهار"
16,"Kapisa","کاپيسا","کاپيسا"
17,"Khost","خوست","خوست"
18,"Kunarha","کنرها","کنرها"
19,"Kunduz","کندز","کندز"
20,"Laghman","لغمان","لغمان"
21,"Logar","لوگر","لوگر"
22,"Nangerhar","ننگرهار","ننگرهار"
23,"Neemroz","نيمروز","نيمروز"
24,"Nooristan","نورستان","نورستان"
25,"Paktia","پکتيکا","پکتيکا"
26,"Paktika","پکتيا","پکتيا"
27,"Panjsher","پنجشیر","پنجشیر"
28,"Parwan","پروان","پروان"
29,"Samangan","سمنگان","سمنگان"
30,"Sar-i-Pul","سرپل","سرپل"
31,"Takhar","تخار","تخار"
32,"Urozgan","ارزگان","ارزگان"
33,"Wardak","وردک","وردک"
34,"Zabul","زابل","زابل"
35,"Out-of-Country - Iran","خارج ازکشور - ايران","له ملک نه بهر-ايران"
36,"Out-of-Country - Pakistan","خارج ازکشور - پاکستان","له ملک نه بهر = پاکستان"
