"election_date","results_date","election_type","results_status","province_code","province_name_eng","ballot_position","candidate_name_eng","party_name_eng_transliterated","candidate_gender","final_winner","votes"
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",3,"Hamayon Shah Asifi","Independent","M","NO",1090
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",4,"Mir Mohammad Mahfouz Nedaee","Independent","M","NO",908
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",5,"Haji Mohammad Mohaqiq","Independent","M","NO",15411
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",6,"Syed Ishaq Gilani","Nuhzat-e-Hambastagee Mili Afghanistan","M","NO",2442
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",7,"Abdul Satar Serat","Independent","M","NO",1565
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",8,"Abdul Hafiz Mansoor","Independent","M","NO",2416
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",9,"Ghulam Farooq Nijrabi","Hezb-e-Istiqlal-e-Afghanistan","M","NO",608
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",10,"Ahmad Shah Ahmadzai","Independent","M","NO",911
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",11,"Abdul Hasseb Aryan","Independent","M","NO",501
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",12,"Wakil Mangal","Independent","M","NO",570
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",13,"Abdul Hadi Khalilzai","Independent","M","NO",1138
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",14,"Mohammad Ebrahim Rashid","Independent","M","NO",923
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",15,"Yonous Qanooni","Hezb-e-Nuhzhat-e-Mili Afghanistan","M","NO",82408
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",16,"Massooda Jalal","Independent","F","NO",5060
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",17,"Syed Abdul Hadi Dabir","Independent","M","NO",967
