"pc_code","ps_code","ps_type","prelim_first_round_results_reporting","final_first_round_results_reporting","prelim_run_off_results_reporting","final_run_off_results_reporting","post_audit_status","results_barcode"
"0101001","0101001-01","M","YES","YES","YES","YES","Validated","R17435"
"0101001","0101001-02","M","YES","YES","YES","YES","Recounted","12075"
"0101001","0101001-03","M","YES","YES","YES","YES","Validated","R17438"
"0101001","0101001-04","F","YES","YES","YES","YES","Validated","R17436"
"0101001","0101001-05","F","YES","YES","YES","YES","Validated","R17425"
"0101002","0101002-01","M","YES","YES","YES","YES","Validated","R17446"
"0101002","0101002-02","M","YES","YES","YES","YES","Validated","R17459"
"0101002","0101002-03","M","YES","YES","YES","YES","Validated","R17471"
"0101002","0101002-04","F","YES","YES","YES","YES","Validated","R17458"
"0101002","0101002-05","F","YES","YES","YES","YES","Validated","R17447"
"0101003","0101003-01","M","YES","YES","YES","YES","Validated","R17467"
"0101003","0101003-02","M","YES","YES","YES","YES","Recounted","28347"
"0101003","0101003-03","F","YES","YES","YES","YES","Validated","R17427"
"0101004","0101004-01","M","YES","YES","YES","YES","Validated","R17472"
"0101004","0101004-02","M","YES","YES","YES","YES","Validated","R17433"
"0101004","0101004-03","M","YES","YES","YES","YES","Validated","R17465"
"0101004","0101004-04","F","YES","YES","YES","YES","Recounted","14350"
"0101004","0101004-05","F","YES","YES","YES","YES","Validated","R17462"
"0101005","0101005-01","M","YES","YES","YES","YES","Validated","R17434"
"0101005","0101005-02","M","YES","YES","YES","YES","Validated","R17429"
"0101005","0101005-03","F","YES","YES","YES","YES","Validated","R17461"
"0101005","0101005-04","F","YES","YES","YES","YES","Validated","R17430"
"0101006","0101006-01","M","YES","YES","YES","YES","Validated","R17428"
"0101006","0101006-02","M","YES","YES","YES","YES","Validated","R17464"
"0101006","0101006-03","M","YES","YES","YES","YES","Recounted","11164"
"0101006","0101006-04","F","YES","YES","YES","YES","Validated","R17466"
"0101006","0101006-05","F","YES","YES","YES","YES","Validated","R17431"
"0101007","0101007-01","M","YES","YES","YES","YES","Validated","R17481"
"0101007","0101007-02","M","YES","YES","YES","YES","Validated","R17457"
"0101007","0101007-03","M","YES","YES","YES","YES","Validated","R17482"
"0101007","0101007-04","F","YES","YES","YES","YES","Validated","R17480"
"0101007","0101007-05","F","YES","YES","YES","YES","Validated","R17442"
"0101008","0101008-01","M","YES","YES","YES","YES","Validated","R17441"
"0101008","0101008-02","M","YES","YES","YES","YES","Validated","R17449"
"0101008","0101008-03","M","YES","YES","YES","YES","Validated","R17453"
"0101008","0101008-04","F","YES","YES","YES","YES","Validated","R17456"
"0101008","0101008-05","F","YES","YES","YES","YES","Validated","R17439"
"0101008","0101008-06","F","YES","YES","YES","YES","Validated","R17454"
"0101009","0101009-01","M","YES","YES","YES","YES","Validated","R17445"
"0101009","0101009-02","M","YES","YES","YES","YES","Validated","R17443"
"0101009","0101009-03","F","YES","YES","YES","YES","Validated","R17448"
"0101009","0101009-04","F","YES","YES","YES","YES","Validated","R17491"
"0101010","0101010-01","M","YES","YES","YES","YES","Validated","R17477"
"0101010","0101010-02","M","YES","YES","YES","YES","Validated","R17489"
"0101010","0101010-03","M","YES","YES","YES","YES","Validated","R17450"
"0101010","0101010-04","F","YES","YES","YES","YES","Validated","R17444"
"0101010","0101010-05","F","YES","YES","YES","YES","Recounted","10719"
"0101011","0101011-01","M","YES","YES","YES","YES","Validated","R17488"
"0101011","0101011-02","M","YES","YES","YES","YES","Validated","R17451"
"0101011","0101011-03","F","YES","YES","YES","YES","Validated","R17484"
"0101012","0101012-01","M","YES","YES","YES","YES","Validated","R17492"
"0101012","0101012-02","F","YES","YES","YES","YES","Validated","R17485"
"0101013","0101013-01","M","YES","YES","YES","YES","Validated","R17505"
"0101013","0101013-02","M","YES","YES","YES","YES","Validated","R17504"
"0101013","0101013-03","M","YES","YES","YES","YES","Validated","R17483"
"0101013","0101013-04","F","YES","YES","YES","YES","Validated","R17501"
"0101013","0101013-05","F","YES","YES","YES","YES","Validated","R17493"
"0101014","0101014-01","M","YES","YES","YES","YES","Validated","R17503"
"0101014","0101014-02","F","YES","YES","YES","YES","Validated","R17511"
"0101015","0101015-01","M","YES","YES","YES","YES","Validated","R17512"
"0101015","0101015-02","M","YES","YES","YES","YES","Validated","R17440"
"0101015","0101015-03","F","YES","YES","YES","YES","Validated","R17455"
"0101016","0101016-01","M","YES","YES","YES","YES","Validated","R17486"
"0101016","0101016-02","M","YES","YES","YES","YES","Validated","R17487"
"0101016","0101016-03","M","YES","YES","YES","YES","Validated","R17500"
"0101016","0101016-04","F","YES","YES","YES","YES","Validated","R17490"
"0101016","0101016-05","F","YES","YES","YES","YES","Validated","R17502"
"0101017","0101017-01","M","YES","YES","YES","YES","Validated","R17475"
"0101017","0101017-02","M","YES","YES","YES","YES","Validated","R17506"
"0101017","0101017-03","F","YES","YES","YES","YES","Validated","R17508"
"0101018","0101018-01","M","YES","YES","YES","YES","Validated","R17499"
"0101018","0101018-02","M","YES","YES","YES","YES","Validated","R17494"
"0101018","0101018-03","F","YES","YES","YES","YES","Validated","R17495"
"0101019","0101019-01","M","YES","YES","YES","YES","Recounted","17381"
"0101019","0101019-02","M","YES","YES","YES","YES","Validated","R17496"
"0101019","0101019-03","F","YES","YES","YES","YES","Validated","R17510"
"0101019","0101019-04","F","YES","YES","YES","YES","Validated","R17498"
"0101020","0101020-01","M","YES","YES","YES","YES","Validated","R17517"
"0101020","0101020-02","F","YES","YES","YES","YES","Validated","R17516"
"0101021","0101021-01","M","YES","YES","YES","YES","Validated","R17515"
"0101021","0101021-02","M","YES","YES","YES","YES","Validated","R17528"
"0101021","0101021-03","M","YES","YES","YES","YES","Validated","R17532"
"0101021","0101021-04","M","YES","YES","YES","YES","Validated","R17497"
"0101021","0101021-05","F","YES","YES","YES","YES","Validated","R17513"
"0101021","0101021-06","F","YES","YES","YES","YES","Validated","R17529"
"0101021","0101021-07","F","YES","YES","YES","YES","Validated","R17531"
"0101022","0101022-01","M","YES","YES","YES","YES","Validated","R17545"
"0101022","0101022-02","M","YES","YES","YES","YES","Validated","R17530"
"0101022","0101022-03","M","YES","YES","YES","YES","Validated","R17556"
"0101022","0101022-04","M","YES","YES","YES","YES","Validated","R17549"
"0101022","0101022-05","F","YES","YES","YES","YES","Validated","R17546"
"0101022","0101022-06","F","YES","YES","YES","YES","Validated","R17547"
"0101022","0101022-07","F","YES","YES","YES","YES","Validated","R17555"
"0101023","0101023-01","M","YES","YES","YES","YES","Validated","R17533"
"0101023","0101023-02","M","NO","NO","YES","YES","Validated","R17519"
"0101023","0101023-03","M","YES","YES","YES","YES","Validated","R17534"
"0101023","0101023-04","F","YES","YES","YES","YES","Validated","R17527"
"0101023","0101023-05","F","YES","YES","YES","YES","Validated","R17522"
"0101024","0101024-01","M","YES","YES","YES","YES","Validated","R17552"
"0101024","0101024-02","M","YES","YES","YES","YES","Validated","R17541"
"0101024","0101024-03","M","YES","YES","YES","YES","Validated","R17551"
"0101024","0101024-04","F","YES","YES","YES","YES","Validated","R17553"
"0101024","0101024-05","F","YES","YES","YES","YES","Validated","R17597"
"0101025","0101025-01","M","YES","YES","YES","YES","Validated","R17542"
"0101025","0101025-02","M","NO","YES","YES","YES","Validated","R17564"
"0101025","0101025-03","M","YES","YES","YES","YES","Validated","R17563"
"0101025","0101025-04","M","YES","YES","YES","YES","Recounted","11200"
"0101025","0101025-05","F","YES","YES","YES","YES","Validated","R17585"
"0101025","0101025-06","F","YES","YES","YES","YES","Validated","R17540"
"0101025","0101025-07","F","YES","YES","YES","YES","Validated","R17561"
"0101026","0101026-01","M","YES","YES","YES","YES","Recounted","14208"
"0101026","0101026-02","F","YES","YES","YES","YES","Validated","R17520"
"0101027","0101027-01","M","YES","YES","YES","YES","Validated","R17600"
"0101027","0101027-02","F","YES","YES","YES","YES","Recounted","17394"
"0101028","0101028-01","M","YES","YES","YES","YES","Validated","R17599"
"0101028","0101028-02","M","YES","YES","YES","YES","Validated","R17607"
"0101028","0101028-03","M","YES","YES","YES","YES","Validated","R17640"
"0101028","0101028-04","M","YES","YES","YES","YES","Validated","R17598"
"0101028","0101028-05","F","YES","YES","YES","YES","Validated","R17568"
"0101028","0101028-06","F","YES","YES","YES","YES","Validated","R17476"
"0101028","0101028-07","F","YES","YES","YES","YES","Recounted","28356"
"0101029","0101029-01","M","YES","YES","YES","YES","Validated","R17567"
"0101029","0101029-02","M","YES","YES","YES","YES","Validated","R17606"
"0101029","0101029-03","M","YES","YES","YES","YES","Recounted","26899"
"0101029","0101029-04","F","YES","YES","YES","YES","Validated","R17557"
"0101029","0101029-05","F","YES","YES","YES","YES","Validated","R17559"
"0101030","0101030-01","M","YES","YES","YES","YES","Recounted","12407"
"0101030","0101030-02","M","YES","YES","YES","YES","Validated","R17526"
"0101030","0101030-03","F","YES","YES","YES","YES","Validated","R17574"
"0101031","0101031-01","M","YES","YES","NO","NO",NA,NA
"0101031","0101031-02","M","NO","NO","NO","NO",NA,NA
"0101031","0101031-03","F","NO","NO","NO","NO",NA,NA
"0101031","0101031-04","F","NO","NO","NO","NO",NA,NA
"0101032","0101032-01","M","YES","YES","YES","YES","Validated","R17591"
"0101032","0101032-02","M","YES","YES","YES","YES","Validated","R17572"
"0101032","0101032-03","M","NO","NO","YES","YES","Validated","R17570"
"0101032","0101032-04","F","YES","YES","YES","YES","Validated","R17577"
"0101032","0101032-05","F","YES","YES","YES","YES","Validated","R17576"
"0101032","0101032-06","F","YES","YES","YES","YES","Validated","R17575"
"0101033","0101033-01","M","YES","YES","YES","YES","Validated","R17594"
"0101033","0101033-02","M","YES","YES","YES","YES","Validated",NA
"0101033","0101033-03","M","YES","YES","YES","YES","Validated","R17593"
"0101033","0101033-04","M","YES","YES","YES","YES","Validated","R17590"
"0101033","0101033-05","F","NO","NO","YES","YES","Validated","R17543"
"0101033","0101033-06","F","YES","YES","YES","YES","Validated","R17569"
"0101033","0101033-07","F","YES","YES","YES","YES","Validated","R24021"
"0101034","0101034-01","M","YES","YES","YES","YES","Validated","R17584"
"0101034","0101034-02","M","YES","YES","YES","YES","Validated","R17539"
"0101034","0101034-03","M","YES","YES","YES","YES","Validated","R17586"
"0101034","0101034-04","M","YES","YES","YES","YES","Validated","R17583"
"0101034","0101034-05","F","YES","YES","YES","YES","Validated","R17538"
"0101034","0101034-06","F","YES","YES","YES","YES","Validated","R17535"
"0101034","0101034-07","F","YES","YES","YES","YES","Validated","R17595"
"0101035","0101035-01","M","YES","YES","YES","YES","Validated","R17580"
"0101035","0101035-02","M","YES","YES","YES","YES","Validated","R17581"
"0101035","0101035-03","M","YES","YES","YES","YES","Validated","R17536"
"0101035","0101035-04","M","YES","YES","YES","YES","Validated","R17605"
"0101035","0101035-05","F","YES","YES","YES","YES","Validated","R17589"
"0101035","0101035-06","F","YES","YES","YES","YES","Validated","R17587"
"0101035","0101035-07","F","YES","YES","YES","YES","Validated","R17604"
"0101035","0101035-08","F","YES","YES","YES","YES","Validated","R17566"
"0101036","0101036-01","M","YES","YES","YES","YES","Validated","R17611"
"0101036","0101036-02","M","YES","YES","YES","YES","Validated","R17621"
"0101036","0101036-03","M","YES","YES","YES","YES","Validated","R17610"
"0101036","0101036-04","M","YES","YES","YES","YES","Recounted","26342"
"0101036","0101036-05","F","YES","YES","YES","YES","Validated","R17602"
"0101036","0101036-06","F","YES","YES","YES","YES","Validated","R17622"
"0101036","0101036-07","F","YES","YES","YES","YES","Validated","R17603"
"0101037","0101037-01","M","YES","YES","YES","YES","Validated","R17588"
"0101037","0101037-02","M","YES","YES","YES","YES","Recounted","14418"
"0101037","0101037-03","M","YES","YES","YES","YES","Validated","R17612"
"0101037","0101037-04","F","YES","YES","YES","YES","Validated","R17615"
"0101037","0101037-05","F","YES","YES","YES","YES","Validated","R17616"
"0101038","0101038-01","M","YES","YES","YES","YES","Validated","R17544"
"0101038","0101038-02","M","YES","YES","YES","YES","Validated","R17618"
"0101038","0101038-03","M","YES","YES","YES","YES","Validated","R17617"
"0101038","0101038-04","F","YES","YES","YES","YES","Recounted","28303"
"0101038","0101038-05","F","YES","YES","YES","YES","Validated","R17619"
"0101039","0101039-01","M","YES","YES","YES","YES","Validated","R17636"
"0101039","0101039-02","M","YES","YES","YES","YES","Validated","R17642"
"0101039","0101039-03","M","YES","YES","YES","YES","Validated","R17633"
"0101039","0101039-04","F","YES","YES","YES","YES","Validated","R17635"
"0101039","0101039-05","F","YES","YES","YES","YES","Validated","R17634"
"0101040","0101040-01","M","YES","YES","YES","YES","Validated","R17609"
"0101040","0101040-02","M","YES","YES","YES","YES","Validated","R17641"
"0101040","0101040-03","M","YES","YES","YES","YES","Validated","R17643"
"0101040","0101040-04","F","YES","YES","YES","YES","Validated","R17644"
"0101040","0101040-05","F","YES","YES","YES","YES","Validated","R17631"
"0101041","0101041-01","M","YES","YES","YES","YES","Validated","R17630"
"0101041","0101041-02","M","YES","YES","YES","YES","Validated","R17629"
"0101041","0101041-03","F","YES","YES","YES","YES","Validated","R17565"
"0101041","0101041-04","F","YES","YES","YES","YES","Validated","R17639"
"0101041","0101041-05","F","YES","YES","YES","YES","Validated","R17632"
"0101042","0101042-01","M","YES","YES","YES","YES","Validated","R17628"
"0101042","0101042-02","F","YES","YES","YES","YES","Validated","R17627"
"0101043","0101043-01","M","YES","YES","YES","YES","Validated","R17624"
"0101043","0101043-02","M","YES","YES","YES","YES","Validated","R17625"
"0101043","0101043-03","F","YES","YES","YES","YES","Validated","R17626"
"0101044","0101044-01","M","YES","YES","YES","YES","Validated","R17637"
"0101044","0101044-02","M","YES","YES","YES","YES","Validated","R17651"
"0101044","0101044-03","M","YES","YES","YES","YES","Validated","R17638"
"0101044","0101044-04","F","YES","YES","YES","YES","Validated","R17623"
"0101044","0101044-05","F","YES","YES","YES","YES","Validated","R17652"
"0101045","0101045-01","M","YES","YES","YES","YES","Validated","R17648"
"0101045","0101045-02","M","YES","YES","YES","YES","Validated","R17650"
"0101045","0101045-03","M","YES","YES","YES","YES","Validated","R17649"
"0101045","0101045-04","F","YES","YES","YES","YES","Validated","R17647"
"0101045","0101045-05","F","YES","YES","YES","YES","Validated","R17646"
"0101046","0101046-01","M","YES","YES","YES","YES","Validated","R17660"
"0101046","0101046-02","M","YES","YES","YES","YES","Validated","R17658"
"0101046","0101046-03","M","YES","YES","YES","YES","Validated","R17654"
"0101046","0101046-04","F","YES","YES","YES","YES","Validated","R17657"
"0101046","0101046-05","F","YES","YES","YES","YES","Validated","R17653"
"0101046","0101046-06","F","YES","YES","YES","YES","Validated","R17659"
"0101047","0101047-01","M","YES","YES","YES","YES","Validated","R17665"
"0101047","0101047-02","M","YES","YES","YES","YES","Validated","R17655"
"0101047","0101047-03","M","YES","YES","YES","YES","Validated","R17666"
"0101047","0101047-04","F","YES","YES","YES","YES","Validated","R17645"
"0101047","0101047-05","F","YES","YES","YES","YES","Validated","R17656"
"0101048","0101048-01","M","YES","YES","YES","YES","Recounted","21945"
"0101048","0101048-02","M","YES","YES","YES","YES","Recounted","23797"
"0101048","0101048-03","M","YES","YES","YES","YES","Validated","R17661"
"0101048","0101048-04","F","YES","YES","YES","YES","Validated","R17688"
"0101048","0101048-05","F","YES","YES","YES","YES","Validated","R17662"
"0101049","0101049-01","M","YES","YES","YES","YES","Validated","R17681"
"0101049","0101049-02","M","YES","YES","YES","YES","Validated","R17682"
"0101049","0101049-03","F","YES","YES","YES","YES","Validated","R17684"
"0101049","0101049-04","F","YES","YES","YES","YES","Validated","R17680"
"0101049","0101049-05","F","YES","YES","YES","YES","Validated","R17679"
"0101049","0101049-06","F","YES","YES","YES","YES","Validated","R17683"
"0101050","0101050-01","M","YES","YES","YES","YES","Validated","R17670"
"0101050","0101050-02","M","YES","YES","YES","YES","Validated","R17672"
"0101050","0101050-03","M","YES","YES","YES","YES","Validated","M0100"
"0101050","0101050-04","F","YES","YES","YES","YES","Validated","R17669"
"0101050","0101050-05","F","YES","YES","YES","YES","Validated","R17676"
"0101050","0101050-06","F","YES","YES","YES","YES","Validated","R17668"
"0101050","0101050-07","F","YES","YES","YES","YES","Validated","R17673"
"0101050","0101050-08","F","YES","YES","YES","YES","Validated","R17671"
"0101051","0101051-01","M","YES","YES","YES","YES","Validated","R17677"
"0101051","0101051-02","M","YES","YES","YES","YES","Validated","R17667"
"0101051","0101051-03","M","YES","YES","YES","YES","Validated","R17678"
"0101051","0101051-04","F","YES","YES","YES","YES","Recounted","20044"
"0101051","0101051-05","F","YES","YES","YES","YES","Validated","R17697"
"0101052","0101052-01","M","YES","YES","YES","YES","Validated","R17693"
"0101052","0101052-02","M","YES","YES","YES","YES","Validated","R17694"
"0101052","0101052-03","F","YES","YES","YES","YES","Validated","R17696"
"0101052","0101052-04","F","YES","YES","YES","YES","Validated","R17692"
"0101053","0101053-01","M","YES","YES","YES","YES","Validated","R17690"
"0101053","0101053-02","M","YES","YES","YES","YES","Validated","R17691"
"0101053","0101053-03","M","YES","YES","YES","YES","Validated","R17706"
"0101053","0101053-04","M","YES","YES","YES","YES","Validated","R17705"
"0101053","0101053-05","F","YES","YES","YES","YES","Validated","R17704"
"0101053","0101053-06","F","YES","YES","YES","YES","Invalidated",NA
"0101053","0101053-07","F","YES","YES","YES","YES","Validated","R17707"
"0101053","0101053-08","F","YES","YES","YES","YES","Validated","R17689"
"0101054","0101054-01","M","NO","NO","YES","YES","Validated","R17712"
"0101054","0101054-02","M","YES","YES","YES","YES","Validated","R17686"
"0101054","0101054-03","M","YES","YES","YES","YES","Recounted","17392"
"0101054","0101054-04","M","YES","YES","YES","YES","Validated","R17701"
"0101054","0101054-05","F","YES","YES","YES","YES","Validated","R17710"
"0101054","0101054-06","F","YES","YES","YES","YES","Validated","R17709"
"0101054","0101054-07","F","YES","YES","YES","YES","Validated","R17724"
"0101054","0101054-08","F","YES","YES","YES","YES","Validated","R17702"
"0101055","0101055-01","M","YES","YES","YES","YES","Validated","R17715"
"0101055","0101055-02","M","YES","YES","YES","YES","Validated","R17717"
"0101055","0101055-03","M","YES","YES","YES","YES","Validated","R17711"
"0101055","0101055-04","F","YES","YES","YES","YES","Validated","R17716"
"0101055","0101055-05","F","YES","YES","YES","YES","Validated","R17722"
"0101055","0101055-06","F","YES","YES","YES","YES","Validated","R17718"
"0101056","0101056-01","M","YES","YES","YES","YES","Validated","R17723"
"0101056","0101056-02","M","NO","NO","YES","YES","Validated","R17729"
"0101056","0101056-03","M","YES","YES","YES","YES","Validated","R17727"
"0101056","0101056-04","F","YES","YES","YES","YES","Validated","R17728"
"0101056","0101056-05","F","YES","YES","YES","YES","Validated","R17732"
"0101056","0101056-06","F","YES","YES","YES","YES","Validated","R17730"
"0101057","0101057-01","M","YES","YES","YES","YES","Validated","R17720"
"0101057","0101057-02","M","YES","YES","YES","YES","Validated","R17731"
"0101057","0101057-03","M","YES","YES","YES","YES","Validated","R17714"
"0101057","0101057-04","M","YES","YES","YES","YES","Validated","R17719"
"0101057","0101057-05","F","YES","YES","YES","YES","Validated","R17726"
"0101057","0101057-06","F","YES","YES","YES","YES","Validated","R17713"
"0101057","0101057-07","F","YES","YES","YES","YES","Validated","R17725"
"0101058","0101058-01","M","YES","YES","YES","YES","Validated","R17735"
"0101058","0101058-02","M","YES","YES","YES","YES","Validated","R17737"
"0101058","0101058-03","M","YES","YES","YES","YES","Validated","R17734"
"0101058","0101058-04","M","YES","YES","YES","YES","Validated","R17739"
"0101058","0101058-05","F","YES","YES","YES","YES","Validated","R17736"
"0101058","0101058-06","F","YES","YES","YES","YES","Validated","R17738"
"0101058","0101058-07","F","YES","YES","YES","YES","Validated","R17740"
"0101059","0101059-01","M","YES","YES","YES","YES","Validated","R17746"
"0101059","0101059-02","M","YES","YES","YES","YES","Validated","R17753"
"0101059","0101059-03","M","YES","YES","YES","YES","Validated","R17754"
"0101059","0101059-04","F","YES","YES","YES","YES","Recounted","28804"
"0101059","0101059-05","F","YES","YES","YES","YES","Validated","R17743"
"0101059","0101059-06","F","YES","YES","YES","YES","Validated","R17744"
"0101060","0101060-01","M","YES","YES","YES","YES","Validated","R17747"
"0101060","0101060-02","M","YES","YES","YES","YES","Validated","R17748"
"0101060","0101060-03","M","YES","YES","YES","YES","Validated","R17776"
"0101060","0101060-04","F","YES","YES","YES","YES","Validated","R17752"
"0101060","0101060-05","F","YES","YES","YES","YES","Validated","R17742"
"0101060","0101060-06","F","YES","YES","YES","YES","Validated","R17741"
"0101060","0101060-07","F","YES","YES","YES","YES","Validated","R17775"
"0101060","0101060-08","F","YES","YES","YES","YES","Validated","R17751"
"0101061","0101061-01","M","YES","YES","YES","YES","Validated","R17769"
"0101061","0101061-02","M","YES","YES","YES","YES","Validated","R17772"
"0101061","0101061-03","F","YES","YES","YES","YES","Validated","R17771"
"0101061","0101061-04","F","YES","YES","YES","YES","Validated","R17770"
"0101062","0101062-01","M","YES","YES","YES","YES","Validated","R17773"
"0101062","0101062-02","M","YES","YES","YES","YES","Validated","R17762"
"0101062","0101062-03","M","YES","YES","YES","YES","Validated","R17733"
"0101062","0101062-04","M","YES","YES","YES","YES","Recounted","17380"
"0101062","0101062-05","M","YES","YES","YES","YES","Validated","R17749"
"0101062","0101062-06","F","YES","YES","YES","YES","Recounted","17390"
"0101062","0101062-07","F","YES","YES","YES","YES","Validated","R17750"
"0101062","0101062-08","F","NO","NO","YES","YES","Validated","R17761"
"0101062","0101062-09","F","YES","YES","YES","YES","Validated","R17764"
"0101063","0101063-01","M","YES","YES","YES","YES","Validated","R17765"
"0101063","0101063-02","M","YES","YES","YES","YES","Validated","R17757"
"0101063","0101063-03","M","YES","YES","YES","YES","Validated","R17758"
"0101063","0101063-04","M","YES","YES","YES","YES","Validated","R17756"
"0101063","0101063-05","F","YES","YES","YES","YES","Validated","R17755"
"0101063","0101063-06","F","YES","YES","YES","YES","Validated","R17759"
"0101063","0101063-07","F","YES","YES","YES","YES","Validated","R17760"
"0101064","0101064-01","M","YES","YES","YES","YES","Validated","R17788"
"0101064","0101064-02","M","YES","YES","YES","YES","Recounted","17393"
"0101064","0101064-03","M","YES","YES","YES","YES","Validated","R17782"
"0101064","0101064-04","M","YES","YES","YES","YES","Validated","R17768"
"0101064","0101064-05","F","YES","YES","YES","YES","Validated","R17766"
"0101064","0101064-06","F","YES","YES","YES","YES","Validated","R17798"
"0101064","0101064-07","F","YES","YES","YES","YES","Validated","R17781"
"0101065","0101065-01","M","YES","YES","YES","YES","Validated","R17789"
"0101065","0101065-02","M","YES","YES","YES","YES","Validated","R17797"
"0101065","0101065-03","M","YES","YES","YES","YES","Validated","R17790"
"0101065","0101065-04","M","YES","YES","YES","YES","Validated","R17791"
"0101065","0101065-05","F","YES","YES","YES","YES","Validated","R17787"
"0101065","0101065-06","F","YES","YES","YES","YES","Validated","R17780"
"0101065","0101065-07","F","YES","YES","YES","YES","Validated","R17786"
"0101066","0101066-01","M","YES","YES","YES","YES","Validated","R17792"
"0101066","0101066-02","M","YES","YES","YES","YES","Validated","R17793"
"0101066","0101066-03","M","YES","YES","YES","YES","Validated","R17796"
"0101066","0101066-04","F","YES","YES","YES","YES","Validated","R17795"
"0101066","0101066-05","F","YES","YES","YES","YES","Validated","R17779"
"0101067","0101067-01","M","YES","YES","YES","YES","Validated","R17785"
"0101067","0101067-02","M","YES","YES","YES","YES","Validated","R17819"
"0101067","0101067-03","F","YES","YES","YES","YES","Validated","R17794"
"0101067","0101067-04","F","YES","YES","YES","YES","Invalidated",NA
"0101068","0101068-01","M","YES","YES","YES","YES","Validated","R17777"
"0101068","0101068-02","M","YES","YES","YES","YES","Recounted","16866"
"0101068","0101068-03","F","YES","YES","YES","YES","Validated","R17778"
"0101068","0101068-04","F","YES","YES","YES","YES","Validated","R17783"
"0101069","0101069-01","M","YES","YES","YES","YES","Validated","R17807"
"0101069","0101069-02","M","YES","YES","YES","YES","Validated","R17809"
"0101069","0101069-03","F","YES","YES","YES","YES","Validated","R17808"
"0101070","0101070-01","M","YES","YES","YES","YES","Validated","R17817"
"0101070","0101070-02","M","YES","YES","YES","YES","Recounted","21936"
"0101070","0101070-03","M","YES","YES","YES","YES","Recounted","21931"
"0101070","0101070-04","F","YES","YES","YES","YES","Validated","R17814"
"0101070","0101070-05","F","YES","YES","YES","YES","Validated","R17816"
"0101070","0101070-06","F","YES","YES","YES","YES","Validated","R17810"
"0101071","0101071-01","M","YES","YES","YES","YES","Validated","R17805"
"0101071","0101071-02","M","YES","YES","YES","YES","Validated","R17806"
"0101071","0101071-03","F","YES","YES","YES","YES","Validated","R17804"
"0101072","0101072-01","M","YES","YES","YES","YES","Validated","R17803"
"0101072","0101072-02","M","YES","YES","YES","YES","Validated","R17800"
"0101072","0101072-03","F","NO","NO","YES","YES","Recounted","16191"
"0101073","0101073-01","M","YES","YES","YES","YES","Validated","R17828"
"0101073","0101073-02","M","YES","YES","YES","YES","Recounted","16579"
"0101073","0101073-03","M","YES","YES","YES","YES","Recounted","33655"
"0101073","0101073-04","F","YES","YES","YES","YES","Validated","R17826"
"0101073","0101073-05","F","YES","YES","YES","YES","Validated","R17825"
"0101073","0101073-06","F","YES","YES","YES","YES","Recounted","16578"
"0101074","0101074-01","M","YES","YES","YES","YES","Validated","R17842"
"0101074","0101074-02","M","YES","YES","YES","YES","Recounted","16190"
"0101074","0101074-03","M","YES","YES","YES","YES","Validated","R17839"
"0101074","0101074-04","M","YES","YES","YES","YES","Validated","R17836"
"0101074","0101074-05","F","YES","YES","YES","YES","Validated","R17840"
"0101074","0101074-06","F","YES","YES","YES","YES","Validated","R17835"
"0101074","0101074-07","F","YES","YES","YES","YES","Validated","R17841"
"0101075","0101075-01","M","YES","YES","YES","YES","Recounted","16581"
"0101075","0101075-02","M","NO","YES","YES","YES","Recounted","16580"
"0101075","0101075-03","M","YES","YES","YES","YES","Validated","R17830"
"0101075","0101075-04","F","YES","YES","YES","YES","Validated","R17834"
"0101076","0101076-01","M","YES","YES","YES","YES","Validated","R17858"
"0101076","0101076-02","F","YES","YES","YES","YES","Validated","R17860"
"0101077","0101077-01","M","YES","YES","YES","YES","Validated","R17821"
"0101077","0101077-02","M","YES","YES","YES","YES","Validated","R17862"
"0101077","0101077-03","M","YES","YES","YES","YES","Validated","R17861"
"0101077","0101077-04","F","YES","YES","YES","YES","Validated","R17832"
"0101077","0101077-05","F","YES","YES","YES","YES","Recounted","16188"
"0101077","0101077-06","F","YES","YES","YES","YES","Validated","R17815"
"0101078","0101078-01","M","YES","YES","YES","YES","Validated","R17854"
"0101078","0101078-02","M","YES","YES","YES","YES","Validated","R17855"
"0101078","0101078-03","M","NO","NO","YES","YES","Validated","R17843"
"0101078","0101078-04","F","YES","YES","YES","YES","Validated","R17863"
"0101078","0101078-05","F","YES","YES","YES","YES","Validated","R17853"
"0101078","0101078-06","F","YES","YES","YES","YES","Validated","R17844"
"0101079","0101079-01","M","YES","YES","YES","YES","Validated","R17864"
"0101079","0101079-02","M","YES","YES","YES","YES","Validated","R17845"
"0101079","0101079-03","F","YES","YES","YES","YES","Validated","R17846"
"0101080","0101080-01","M","YES","YES","YES","YES","Validated","R17851"
"0101080","0101080-02","M","YES","YES","YES","YES","Validated","R17852"
"0101080","0101080-03","F","YES","YES","YES","YES","Validated","R17848"
"0101081","0101081-01","M","YES","YES","YES","YES","Validated","R17847"
"0101081","0101081-02","M","YES","YES","YES","YES","Validated","R17875"
"0101081","0101081-03","F","YES","YES","YES","YES","Validated","R17849"
"0101082","0101082-01","M","YES","YES","YES","YES","Validated","R17868"
"0101082","0101082-02","M","YES","YES","YES","YES","Validated","R17870"
"0101082","0101082-03","M","YES","YES","YES","YES","Validated","R17876"
"0101082","0101082-04","F","YES","YES","YES","YES","Validated","R17865"
