"province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_location_eng","pc_name_dari","pc_location_dari","planned_2014","ps_planned_count","ps_male","ps_fem","prelim_first_round_results_reporting","final_first_round_results_reporting","prelim_run_off_results_reporting","final_run_off_results_reporting","lat","lon"
"01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES","0101011","Bibi Sedeqa Mosque","Chendawol","مسجد بي بي صديقه","جنداول","YES",3,2,1,"YES","YES","YES","YES",34.5124781000001,69.1744511
"01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES","0101012","Sar-e-Gardana Mosque","Sar-E-Gardana","مسجد سر گردنه","سر كردنه","YES",2,1,1,"YES","YES","YES","YES",34.5047250700001,69.1883642600001
"01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES","0101013","Takya Khana-e-Umomi","Chendawol","تکيه خانه عمومي","جنداول","YES",5,3,2,"YES","YES","YES","YES",34.5108701,69.1751191100001
"01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES","0101014","Khwaja Safa Mosque","Balajoie Ashuqan-O-Arifan","مسجد خواجه صفا","بالا جوى عاشقان و عارفان","YES",2,1,1,"YES","YES","YES","YES",34.507042,69.178974
"01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES","0101015","Baghban Kucha Mosque","Baghban Kucha","مسجد باغبان کوچه","با غبان كوجه","YES",3,2,1,"YES","YES","YES","YES",34.5142959800001,69.17436746
"01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES","0101016","Ansori Balkhi School","Bagh-E-Ali Mardan","مکتب عنصری بلخی","باغ علي مردان","YES",5,3,2,"YES","YES","YES","YES",34.5255500000001,69.18972
"01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES","0101017","Imam-e-Baqir Mosque","Hazara Ha Village","مسجد امام باقر","قريه هزاره ها","YES",3,2,1,"YES","YES","YES","YES",34.51050534,69.16803187
"01","KABUL","کابل","0101","KABUL","كابل","0101-01","KABUL NAHIA 01","كابل - ناحيه 01","YES","0101018","Bala Qala Mosque","Bala Qala Ashuqan-O-Arifan","مسجد بالا قلعه","مسجد بالا قلعه عاشقان وعارفان","YES",3,2,1,"YES","YES","YES","YES",34.5075400000001,69.17562
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101019","Abdullah Ibn Masood Mosque","Bagh-E-Bala","مسجد عبدالله بن مسعود","باغ بالا","YES",4,2,2,"YES","YES","YES","YES",34.53320897,69.13249395
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101020","Ranga Mosque","Deh Afghanan","مسجد رنگه","ده افغانان","YES",2,1,1,"YES","YES","YES","YES",34.51999583,69.17273524
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101021","Ansari High School","Joy Sher","ليسه انصاري","جوي شير","YES",7,4,3,"YES","YES","YES","YES",34.51573382,69.1698551200001
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101022","Parsa Primary School","Joy Sher","مکتب ابتدائيه پارسا","جوي شير","YES",7,4,3,"YES","YES","YES","YES",34.5335,69.1707
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101023","Qari Abdullah School","Joy Sher, Deh Afghanan","مکتب قاري عبدالله","جوى شير ده افغانان","YES",5,3,2,"YES","YES","YES","YES",34.51561099,69.1669005000001
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101024","Haji Mir Ahmad Mosque","Baharistan Cinema","مسجد حاجي مير احمد","سشنما بهارستان","YES",5,3,2,"YES","YES","YES","YES",34.53128825,69.1455856900001
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101025","Zabihullah Shaheed High School","Kart-E-Ariana","لیسه عالی ذبیح الله شهید","كارته أريانا","YES",7,4,3,"YES","YES","YES","YES",34.5276512100001,69.1521250700001
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101026","Maaz Ibn Jabal Mosque","Kart-E-Parwan","مسجد معاذ ابن جبل","كارته برواز","YES",2,1,1,"YES","YES","YES","YES",34.52858527,69.1401800700001
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101027","Omar Farooq Mosque","Kart-E-Parwan","مسجد عمر فاروق","كارته برواز","YES",2,1,1,"YES","YES","YES","YES",34.5308908100001,69.1405393000001
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101028","Istiqlal High School","Istiqlal High School","ليسه استقلال","لبسه استقلال","YES",7,4,3,"YES","YES","YES","YES",34.5229245900001,69.17595515
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101029","Shah-e- Du Shamshera High School","Shah-E-Du Shamshera","لیسه شاه دو شمشیره","شاه دو شمشدره","YES",5,3,2,"YES","YES","YES","YES",34.51685277,69.17189444
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101030","Naieb Salar Mosque","Qul-E-Aab Chakan","مسجد نایب سالار","قول أب جكان","YES",3,2,1,"YES","YES","YES","YES",34.52592819,69.1615586200001
"01","KABUL","کابل","0101","KABUL","كابل","0101-02","KABUL NAHIA 02","كابل - ناحيه 02","YES","0101031","Office Of Administrative Affairs (Oaa)","Murad Khani","رياست اداره امور","مراد خانى","YES",4,2,2,"YES","YES","NO","NO",34.5229410200001,69.1828319
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101032","Sofi Islam School","Kabul University Last Bus Station","مکتب صوفي اسلام","ايستكاه آخر يوهنتون","YES",6,3,3,"YES","YES","YES","YES",34.51713683,69.1258102400001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101033","Mahmood Hotaki High School","Deh Bori","ليسه محمود هوتکي","ده بوري","YES",7,4,3,"YES","YES","YES","YES",34.5114602900001,69.12347369
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101034","Sayed Jamaluddin Secondary School","Kart-E-Chahar","مکتب متوسطه سيد جمال الدين","كارته جهار","YES",7,4,3,"YES","YES","YES","YES",34.50811323,69.13980015
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101035","Jamal Menah 13th Number Secondary School","Jamal Menah","مکتب متوسطه نمبر١٣ جمال مينه","جمال مينه","YES",8,4,4,"YES","YES","YES","YES",34.51583333,69.14361111
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101036","Jamal Menah 13th Number Secondary School","Kart-E-Sakhi","مکتب متوسطه نمبر١٢ جمال مينه","كارته سخى","YES",7,4,3,"YES","YES","YES","YES",34.5223006300001,69.1400783400001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101037","Hanzala Mosque","Dehmazang","مسجد حنظله","دهمزنك","YES",5,3,2,"YES","YES","YES","YES",34.5139686200001,69.1536807400001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101038","Sayed Jamalluddin Teacher Training School","Sarai Ghazni","مکتب تربيه معلم سيد جمال الدين","سراي غزني","YES",5,3,2,"YES","YES","YES","YES",34.51087045,69.1320396300001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101039","Amir Dust Mohammad Khan School","Dehmazang","مکتب امير دوست محمد خان","دهمزنك","YES",5,3,2,"YES","YES","YES","YES",34.51050182,69.1577510400001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101040","Amir Hamza Secondary School","Naw Abad, Dehmazang","مکتب متوسطه امير حمزه","نو آباد دهمزنك","YES",5,3,2,"YES","YES","YES","YES",34.5125100000001,69.15076
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101041","Guzargah Girls Secondary School","Hesa-E-Duwom","مکتب متوسطه نسوان گذرگاه","حصه دوم","YES",5,2,3,"YES","YES","YES","YES",34.5013888800001,69.1538888800001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101042","Sang Kashan Mosque","Silo Road","مسجد سنگ کشان","سركة يسطو","YES",2,1,1,"YES","YES","YES","YES",34.5196229100001,69.1225412900001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101043","Mohammadia Mosque","First Road","مسجد محمدیه","سركت اول","YES",3,2,1,"YES","YES","YES","YES",34.5137,69.14723
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101044","Karte Mamorin Mosque","Kart-E-Mamorin","مسجد کارته مامورين","كارته مامورين","YES",5,3,2,"YES","YES","YES","YES",34.53038389,69.1231979500001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101045","Law Faculty","Kabul University","پوهنځي حقوق","يوهنتون كابل","YES",5,3,2,"YES","YES","YES","YES",34.5180270000002,69.13283364
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101046","Ministry of Higher Education","Kart-E-Chahar","وزارت تحصيلات عالي","كارته جهار","YES",6,3,3,"YES","YES","YES","YES",34.5122178800001,69.1376699400001
"01","KABUL","کابل","0101","KABUL","كابل","0101-03","KABUL NAHIA 03","كابل - ناحيه 03","YES","0101047","Rabia Balkhi High School","Kart-E-Chahar","ليسه رابعه بلخي","كارته جهار","YES",5,3,2,"YES","YES","YES","YES",34.5085943300001,69.14718442
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101048","Ghazi Mohammad Ayub First Number School","Bagh-E-Bala","مکتب نمبر ۱ غازی محمد ایوب","باغ بالا","YES",5,3,2,"YES","YES","YES","YES",34.5366,69.137
