pc_code,candidate_name_eng,ps_number_1,ps_number_2,ps_number_3,ps_number_4,ps_number_5,ps_number_6,ps_number_7,ps_number_8,ps_number_9,ps_number_10,ps_count
701005,Hidayat Amin Arsala,0,,,,,,,,,,1
701005,Gul Ahmmad Yama ,0,,,,,,,,,,1
901007,Haji Rahim Jan Shinzad,0,0,0,,,,,,,,3
901007,Mohammad Sarwar Ahmadzai,0,0,0,,,,,,,,3
901007,Eng. Moin‐ul‐din Ulfati,0,0,0,,,,,,,,3
901007,Dr. Habib Mangal,0,0,1,,,,,,,,3
901007,Zabih‐U‐llah Ghazi Noristani,0,0,0,,,,,,,,3
901007,Sayed Jalal Karim,0,0,0,,,,,,,,3
901007,Mirwais Yasini,0,0,0,,,,,,,,3
901007,Bismillah Shir,0,0,0,,,,,,,,3
901007,Bashir Ahmad Bizhan,0,0,0,,,,,,,,3
901007,Motasim Billah Mazhabi,0,0,0,,,,,,,,3
901007,Ashraf Ghani Ahmadzai,0,0,37,,,,,,,,3
901007,Abdul Latif Pedram,0,0,0,,,,,,,,3
901007,Shahnawaz Tanai,0,0,1,,,,,,,,3
901007,Mulla Abdul Salam Rakity,0,0,0,,,,,,,,3
901007,Zia‐ul‐haq Hafizi,0,0,0,,,,,,,,3
901007,Mohammad Akbar Oria,0,0,0,,,,,,,,3
901007,Sangin Mohammad Rahmani,0,0,0,,,,,,,,3
901007,Mahbob‐U‐lah Koshani,0,0,0,,,,,,,,3
901007,Abdul Hasib Arian,0,0,0,,,,,,,,3
901007,Mulla Ghulam Mohammad Rigi,0,0,0,,,,,,,,3
901007,Ramazan Bashardost,0,0,0,,,,,,,,3
901007,Abdul Majid Samim,0,0,0,,,,,,,,3
901007,Mrs. Shahla Ata,0,0,1,,,,,,,,3
901007,Dr. Ghulam Faroq Nijrabi,0,0,0,,,,,,,,3
901007,Alhaj Abdul Ghafor Zori,0,0,0,,,,,,,,3
901007,Mohammad Hashim Tawfiqi,0,0,0,,,,,,,,3
901007,Hamed Karzai,0,0,160,,,,,,,,3
901007,Dr. Abdullah Abdullah,0,0,0,,,,,,,,3
901007,Dr. Frozan Fana,0,0,0,,,,,,,,3
901007,Abdul Jabar Sabit,0,0,0,,,,,,,,3
901007,Hidayat Amin Arsala,0,0,0,,,,,,,,3
901007,Gul Ahmmad Yama ,0,0,0,,,,,,,,3
1005131,Haji Rahim Jan Shinzad,2,2,1,0,,,,,,,4
1005131,Mohammad Sarwar Ahmadzai,2,2,2,0,,,,,,,4
1005131,Eng. Moin‐ul‐din Ulfati,0,0,0,0,,,,,,,4
1005131,Dr. Habib Mangal,0,2,1,1,,,,,,,4
1005131,Zabih‐U‐llah Ghazi Noristani,0,0,0,6,,,,,,,4
1005131,Sayed Jalal Karim,16,6,9,5,,,,,,,4
1005131,Mirwais Yasini,8,4,10,4,,,,,,,4
1005131,Bismillah Shir,0,0,0,0,,,,,,,4
1005131,Bashir Ahmad Bizhan,0,0,0,0,,,,,,,4
1005131,Motasim Billah Mazhabi,0,0,0,0,,,,,,,4
1005131,Ashraf Ghani Ahmadzai,36,22,27,20,,,,,,,4
1005131,Abdul Latif Pedram,0,0,0,0,,,,,,,4
1005131,Shahnawaz Tanai,13,12,14,15,,,,,,,4
1005131,Mulla Abdul Salam Rakity,2,2,3,0,,,,,,,4
1005131,Zia‐ul‐haq Hafizi,0,0,0,0,,,,,,,4
1005131,Mohammad Akbar Oria,0,0,0,0,,,,,,,4
1005131,Sangin Mohammad Rahmani,0,0,0,0,,,,,,,4
1005131,Mahbob‐U‐lah Koshani,0,0,0,0,,,,,,,4
1005131,Abdul Hasib Arian,0,1,0,0,,,,,,,4
1005131,Mulla Ghulam Mohammad Rigi,0,0,0,0,,,,,,,4
1005131,Ramazan Bashardost,4,8,12,8,,,,,,,4
1005131,Abdul Majid Samim,0,0,0,1,,,,,,,4
1005131,Mrs. Shahla Ata,0,0,3,0,,,,,,,4
1005131,Dr. Ghulam Faroq Nijrabi,0,0,0,0,,,,,,,4
1005131,Alhaj Abdul Ghafor Zori,0,0,0,0,,,,,,,4
1005131,Mohammad Hashim Tawfiqi,0,0,0,0,,,,,,,4
1005131,Hamed Karzai,239,302,239,322,,,,,,,4
1005131,Dr. Abdullah Abdullah,9,2,3,23,,,,,,,4
1005131,Dr. Frozan Fana,1,0,1,1,,,,,,,4
1005131,Abdul Jabar Sabit,1,0,1,0,,,,,,,4
1005131,Hidayat Amin Arsala,0,0,0,0,,,,,,,4
1005131,Gul Ahmmad Yama ,1,0,0,0,,,,,,,4
1012310,Haji Rahim Jan Shinzad,0,0,0,,,,,,,,3
1012310,Mohammad Sarwar Ahmadzai,0,0,0,,,,,,,,3
1012310,Eng. Moin‐ul‐din Ulfati,0,0,0,,,,,,,,3
1012310,Dr. Habib Mangal,0,0,2,,,,,,,,3
1012310,Zabih‐U‐llah Ghazi Noristani,0,0,0,,,,,,,,3
1012310,Sayed Jalal Karim,0,0,0,,,,,,,,3
1012310,Mirwais Yasini,0,1,0,,,,,,,,3
1012310,Bismillah Shir,0,0,0,,,,,,,,3
1012310,Bashir Ahmad Bizhan,0,0,0,,,,,,,,3
1012310,Motasim Billah Mazhabi,0,0,0,,,,,,,,3
1012310,Ashraf Ghani Ahmadzai,5,24,12,,,,,,,,3
1012310,Abdul Latif Pedram,0,0,0,,,,,,,,3
1012310,Shahnawaz Tanai,0,0,0,,,,,,,,3
1012310,Mulla Abdul Salam Rakity,1,0,0,,,,,,,,3
1012310,Zia‐ul‐haq Hafizi,0,0,0,,,,,,,,3
1012310,Mohammad Akbar Oria,0,0,0,,,,,,,,3
1012310,Sangin Mohammad Rahmani,0,0,0,,,,,,,,3
1012310,Mahbob‐U‐lah Koshani,0,0,0,,,,,,,,3
1012310,Abdul Hasib Arian,0,0,0,,,,,,,,3
1012310,Mulla Ghulam Mohammad Rigi,0,0,0,,,,,,,,3
1012310,Ramazan Bashardost,0,0,0,,,,,,,,3
1012310,Abdul Majid Samim,0,0,0,,,,,,,,3
1012310,Mrs. Shahla Ata,0,0,0,,,,,,,,3
1012310,Dr. Ghulam Faroq Nijrabi,0,0,0,,,,,,,,3
1012310,Alhaj Abdul Ghafor Zori,0,0,0,,,,,,,,3
1012310,Mohammad Hashim Tawfiqi,0,0,0,,,,,,,,3
1012310,Hamed Karzai,105,59,58,,,,,,,,3
1012310,Dr. Abdullah Abdullah,29,16,13,,,,,,,,3
1012310,Dr. Frozan Fana,0,0,0,,,,,,,,3
1012310,Abdul Jabar Sabit,0,0,0,,,,,,,,3
1012310,Hidayat Amin Arsala,0,0,0,,,,,,,,3
1012310,Gul Ahmmad Yama ,0,0,0,,,,,,,,3
1016397,Haji Rahim Jan Shinzad,NA,0,,,,,,,,,2
1016397,Mohammad Sarwar Ahmadzai,NA,1,,,,,,,,,2
1016397,Eng. Moin‐ul‐din Ulfati,NA,0,,,,,,,,,2
1016397,Dr. Habib Mangal,NA,0,,,,,,,,,2
1016397,Zabih‐U‐llah Ghazi Noristani,NA,0,,,,,,,,,2
1016397,Sayed Jalal Karim,NA,0,,,,,,,,,2
1016397,Mirwais Yasini,NA,0,,,,,,,,,2
1016397,Bismillah Shir,NA,0,,,,,,,,,2
1016397,Bashir Ahmad Bizhan,NA,0,,,,,,,,,2
1016397,Motasim Billah Mazhabi,NA,0,,,,,,,,,2
1016397,Ashraf Ghani Ahmadzai,NA,0,,,,,,,,,2
1016397,Abdul Latif Pedram,NA,0,,,,,,,,,2
1016397,Shahnawaz Tanai,NA,0,,,,,,,,,2
1016397,Mulla Abdul Salam Rakity,NA,0,,,,,,,,,2
1016397,Zia‐ul‐haq Hafizi,NA,0,,,,,,,,,2
1016397,Mohammad Akbar Oria,NA,0,,,,,,,,,2
1016397,Sangin Mohammad Rahmani,NA,0,,,,,,,,,2
1016397,Mahbob‐U‐lah Koshani,NA,0,,,,,,,,,2
1016397,Abdul Hasib Arian,NA,0,,,,,,,,,2
1016397,Mulla Ghulam Mohammad Rigi,NA,0,,,,,,,,,2
1016397,Ramazan Bashardost,NA,0,,,,,,,,,2
1016397,Abdul Majid Samim,NA,0,,,,,,,,,2
1016397,Mrs. Shahla Ata,NA,0,,,,,,,,,2
1016397,Dr. Ghulam Faroq Nijrabi,NA,0,,,,,,,,,2
1016397,Alhaj Abdul Ghafor Zori,NA,0,,,,,,,,,2
1016397,Mohammad Hashim Tawfiqi,NA,0,,,,,,,,,2
1016397,Hamed Karzai,NA,94,,,,,,,,,2
1016397,Dr. Abdullah Abdullah,NA,0,,,,,,,,,2
1016397,Dr. Frozan Fana,NA,0,,,,,,,,,2
1016397,Abdul Jabar Sabit,NA,0,,,,,,,,,2
1016397,Hidayat Amin Arsala,NA,0,,,,,,,,,2
1016397,Gul Ahmmad Yama ,NA,0,,,,,,,,,2
1103020,Haji Rahim Jan Shinzad,NA,NA,0,0,,,,,,,4
1103020,Mohammad Sarwar Ahmadzai,NA,NA,0,0,,,,,,,4
1103020,Eng. Moin‐ul‐din Ulfati,NA,NA,0,0,,,,,,,4
1103020,Dr. Habib Mangal,NA,NA,0,2,,,,,,,4
1103020,Zabih‐U‐llah Ghazi Noristani,NA,NA,0,2,,,,,,,4
1103020,Sayed Jalal Karim,NA,NA,2,0,,,,,,,4
1103020,Mirwais Yasini,NA,NA,1,2,,,,,,,4
1103020,Bismillah Shir,NA,NA,0,0,,,,,,,4
1103020,Bashir Ahmad Bizhan,NA,NA,0,0,,,,,,,4
1103020,Motasim Billah Mazhabi,NA,NA,0,0,,,,,,,4
1103020,Ashraf Ghani Ahmadzai,NA,NA,12,0,,,,,,,4
1103020,Abdul Latif Pedram,NA,NA,0,0,,,,,,,4
1103020,Shahnawaz Tanai,NA,NA,0,0,,,,,,,4
1103020,Mulla Abdul Salam Rakity,NA,NA,2,0,,,,,,,4
1103020,Zia‐ul‐haq Hafizi,NA,NA,0,0,,,,,,,4
1103020,Mohammad Akbar Oria,NA,NA,0,150,,,,,,,4
1103020,Sangin Mohammad Rahmani,NA,NA,0,0,,,,,,,4
1103020,Mahbob‐U‐lah Koshani,NA,NA,0,0,,,,,,,4
1103020,Abdul Hasib Arian,NA,NA,0,0,,,,,,,4
1103020,Mulla Ghulam Mohammad Rigi,NA,NA,0,0,,,,,,,4
1103020,Ramazan Bashardost,NA,NA,2,0,,,,,,,4
1103020,Abdul Majid Samim,NA,NA,0,0,,,,,,,4
1103020,Mrs. Shahla Ata,NA,NA,3,0,,,,,,,4
1103020,Dr. Ghulam Faroq Nijrabi,NA,NA,0,0,,,,,,,4
1103020,Alhaj Abdul Ghafor Zori,NA,NA,0,0,,,,,,,4
1103020,Mohammad Hashim Tawfiqi,NA,NA,0,0,,,,,,,4
1103020,Hamed Karzai,NA,NA,412,322,,,,,,,4
1103020,Dr. Abdullah Abdullah,NA,NA,84,10,,,,,,,4
1103020,Dr. Frozan Fana,NA,NA,8,0,,,,,,,4
1103020,Abdul Jabar Sabit,NA,NA,0,0,,,,,,,4
1103020,Hidayat Amin Arsala,NA,NA,0,0,,,,,,,4
1103020,Gul Ahmmad Yama ,NA,NA,0,0,,,,,,,4
1202049,Haji Rahim Jan Shinzad,0,0,0,0,,,,,,,4
1202049,Mohammad Sarwar Ahmadzai,6,2,0,0,,,,,,,4
1202049,Eng. Moin‐ul‐din Ulfati,2,0,0,0,,,,,,,4
1202049,Dr. Habib Mangal,0,0,0,0,,,,,,,4
1202049,Zabih‐U‐llah Ghazi Noristani,0,0,0,1,,,,,,,4
1202049,Sayed Jalal Karim,3,5,0,0,,,,,,,4
1202049,Mirwais Yasini,11,3,7,54,,,,,,,4
1202049,Bismillah Shir,0,1,0,0,,,,,,,4
1202049,Bashir Ahmad Bizhan,0,0,0,0,,,,,,,4
1202049,Motasim Billah Mazhabi,0,0,0,0,,,,,,,4
1202049,Ashraf Ghani Ahmadzai,53,16,3,21,,,,,,,4
1202049,Abdul Latif Pedram,0,0,0,0,,,,,,,4
1202049,Shahnawaz Tanai,3,3,2,0,,,,,,,4
1202049,Mulla Abdul Salam Rakity,2,5,0,0,,,,,,,4
1202049,Zia‐ul‐haq Hafizi,0,0,0,0,,,,,,,4
1202049,Mohammad Akbar Oria,0,0,1,0,,,,,,,4
1202049,Sangin Mohammad Rahmani,0,0,0,0,,,,,,,4
1202049,Mahbob‐U‐lah Koshani,0,0,0,0,,,,,,,4
1202049,Abdul Hasib Arian,0,0,0,0,,,,,,,4
1202049,Mulla Ghulam Mohammad Rigi,0,0,0,0,,,,,,,4
1202049,Ramazan Bashardost,3,3,0,1,,,,,,,4
