Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"Achakzayee street,ashiqan,arifan high school","کوچه اچيکزي, ليسه عاشقان و عارفان",0101001,"3,800",7,4,3,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"shor bazar ,mulah muhammad masque","شور بازار, مسجد ملا محمد",0101002,"2,400",4,2,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"maiwand avenue, majid e Akhir Jadah","جاده ميوند, مسجد آخر جاده",0101003,"1,500",3,2,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"sedokan chindawal,ashiqan arefan sacandry school","سه دوکان چنداول, مکتب متوسطه عاشقان و عارفان",0101004,"3,800",7,5,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"cotton sellin street,cotton selling street masque","کوچه پخته فروشي, مسجد پخته فروشي",0101005,"2,000",4,2,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"Baihaqi High School , Saraji Area Ahangari Street.",ليسه بيھقی، ساحه سراجی، کوچه آھنگری,0101006,"1,500",3,2,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"babay khodi,mastory ghoori,sacandry school","باباي خودي, مکتب متوسطه مستوري غوري",0101007,"4,300",8,5,3,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"eid gah,eid gah masque","عيد گاه, مسجد عيد گاه",0101008,"4,800",8,6,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"bagh qazi,baghqazi fateha khana","باغ قاضي, فاتحه خانه باغ قاضي",0101009,"2,400",4,2,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"pol bagh amomi,aayesha dorani high school","پل باغ عمومي, ليسه عايشه دراني",0101010,"3,800",7,5,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"Takya khana , Chendawel",تکيه خانه، چنداول,0101011,"1,500",3,2,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"sar gardana,sargardana masque","سر گردنه, مسجد سر گردنه",0101012,600,2,1,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),Jafaria Masjid located in chandawal,مسجد جعفريه ، چنداول,0101013,"3,800",7,5,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"bala joy aahiqan arefan,khwaja safa masque","بالا جوي عاشقان و عارفان, مسجد خواجه صفا",0101014,"1,000",2,1,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"baghban kocha,baghban kocha masque","باغبان کوچه, مسجد باغبان کوچه",0101015,"1,500",3,2,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),Ansuri Balkhi.,انصاری بلخی,0101016,"1,500",3,2,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),Imam Baqer Masjid located in Hazaraha Area.,مسجد امام باقر ، ساحه ھزاره ھا,0101017,"1,500",3,2,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (1),کابل ناحيه (1),"bala qalaguzar,balaqala masque","بالا قلعه گذر, مسجد بالا قلعه",0101018,"1,500",3,2,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"bagh bala, abdullah ibni masood masque","باغ بالا, مسجد عبدالله لابن مسعود",0101019,"2,000",4,2,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"deh afghanan,rangha masque","ده افغانان, مسجد رنگه",0101020,"1,000",2,1,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"joy shir ,ansaary high school","جوي شير, ليسه انصاري",0101021,"4,300",8,6,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"joy shir ,parsa primary school","جوي شير, مکتب ابتدايه پارسا",0101022,"4,300",8,5,3,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"joy shir deh afghanan,qari abdullah school","جوي شير ده افغانان, مکتب قاري عبدالله",0101023,"3,500",7,4,3,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"karti parwan cinema baharistan,mir ahmad masque","کارته پروان سينما بھارستان, مسجد حاجي مير احمد",0101024,"3,500",7,5,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"karti ariana,karti ariana sacandry school","کارته آريانا, مکتب متوسطه کارته آريانا",0101025,"6,700",12,8,4,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"karti parwan,maaz bini jabal masque","کارته پروان, مسجد معاذ ابن جبل",0101026,"1,000",2,1,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"karti parwan,omar farooq masque","کارته پروان, مسجد عمر فاروق",0101027,"1,000",2,1,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"istiqlal high school,istiqlal high school","ليسه استقلال, ليسه استقلال",0101028,"6,500",13,10,3,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"shahdoshamshira,shahdoshamshira high school","شاه دوشمشيره, ليسه شاه دو شمشيره",0101029,"2,500",5,3,2,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"tol abcakan,nayebsalar masque","تول آپچکان, مسجد نايب سالار",0101030,"1,000",2,1,1,0,
Kabul,کابل,PROVINCIAL CENTER (KABUL) Nahia (2),کابل ناحيه (2),"marad khani,directrite of department afaire","مراد خاني, ريا ست اداره امور",0101031,"1,000",2,1,1,0,
