"province_code","province_name_eng","district_sub_code","district_or_subdivision_name_eng","vr_total_final_19","vr_total_prelim_19","vr_total_final_18","vr_2019_net_change","vr_2019_pct_change","vr_2018_2019_net_change","vr_2018_2019_pct_change"
"01","KABUL","0101-01","KABUL CITY NAHIA 01",21440,20490,20456,950,0.0463640800390434,984,0.0481032459913962
"01","KABUL","0101-02","KABUL CITY NAHIA 02",34181,32569,32461,1612,0.0494949184807639,1720,0.0529866609161763
"01","KABUL","0101-03","KABUL CITY NAHIA 03",41305,40013,39868,1292,0.0322895059105791,1437,0.0360439450185613
"01","KABUL","0101-04","KABUL CITY NAHIA 04",53716,51324,52541,2392,0.0466058763931104,1175,0.0223634875620944
"01","KABUL","0101-05","KABUL CITY NAHIA 05",80208,78096,78401,2112,0.0270436385986478,1807,0.0230481754059259
"01","KABUL","0101-06","KABUL CITY NAHIA 06",75823,72155,72559,3668,0.0508350079689557,3264,0.0449840819195413
"01","KABUL","0101-07","KABUL CITY NAHIA 07",76666,73544,73461,3122,0.0424507777656913,3205,0.0436285920420359
"01","KABUL","0101-08","KABUL CITY NAHIA 08",94772,91619,91427,3153,0.0344142590510702,3345,0.0365865663316088
"01","KABUL","0101-09","KABUL CITY NAHIA 09",56640,54625,54604,2015,0.0368878718535469,2036,0.0372866456669841
"01","KABUL","0101-10","KABUL CITY NAHIA 10",68143,64863,64723,3280,0.050568120500131,3420,0.0528405667228033
"01","KABUL","0101-11","KABUL CITY NAHIA 11",81571,80644,80107,927,0.0114949655275036,1464,0.0182755564432571
"01","KABUL","0101-12","KABUL CITY NAHIA 12",98473,94580,94836,3893,0.0411609219708184,3637,0.038350415454047
"01","KABUL","0101-13","KABUL CITY NAHIA 13",136800,129809,130277,6991,0.0538560500427551,6523,0.050070234960891
"01","KABUL","0101-14","KABUL CITY NAHIA 14",8238,7952,7832,286,0.0359657947686117,406,0.0518386108273749
"01","KABUL","0101-15","KABUL CITY NAHIA 15",74102,71898,72088,2204,0.0306545383738073,2014,0.0279380756852736
"01","KABUL","0101-16","KABUL CITY NAHIA 16",44138,42912,42900,1226,0.0285700969425802,1238,0.0288578088578089
"01","KABUL","0101-17","KABUL CITY NAHIA 17",56287,55158,55145,1129,0.0204684723884115,1142,0.0207090398041527
"01","KABUL","0101-18","KABUL CITY NAHIA 18",14715,12975,13012,1740,0.134104046242775,1703,0.130879188441439
"01","KABUL","0101-19","KABUL CITY NAHIA 19",13603,12412,12357,1191,0.0959555269094425,1246,0.100833535647811
"01","KABUL","0101-21","KABUL CITY NAHIA 21",65103,64503,64535,600,0.00930189293521232,568,0.00880142558301697
"01","KABUL","0101-22","KABUL CITY NAHIA 22",7368,6967,6953,401,0.0575570546863786,415,0.059686466273551
"01","KABUL","0102","PAGHMAN",60545,57867,58124,2678,0.0462785352618937,2421,0.0416523295024431
"01","KABUL","0103","CHAHARASYAB",35880,34958,34963,922,0.026374506550718,917,0.0262277264536796
"01","KABUL","0104","BAGRAMI",87785,83949,84149,3836,0.0456944097011281,3636,0.0432090696264959
"01","KABUL","0105","DEHSABZ",43744,42778,42927,966,0.0225817008742812,817,0.0190323106669462
"01","KABUL","0106","SHAKARDARA",41788,41167,41259,621,0.0150848980979911,529,0.0128214450180567
"01","KABUL","0107","MOSAHI",28636,25074,25076,3562,0.142059503868549,3560,0.141968416015313
"01","KABUL","0108","MIRBACHAKOT",22792,22479,22573,313,0.0139241069442591,219,0.00970185619988482
"01","KABUL","0109","KHAKEJABAR",18417,17257,17269,1160,0.0672190994958567,1148,0.0664775030401297
"01","KABUL","0110","KALAKAN",14327,13935,13962,392,0.0281306063867958,365,0.026142386477582
"01","KABUL","0111","GULDARA",8645,8446,8468,199,0.0235614492067251,177,0.0209022201228153
"01","KABUL","0112","FARZA",10750,10402,10413,348,0.0334551047875409,337,0.0323633919139537
"01","KABUL","0113","ISTALIF",12835,12176,12227,659,0.054122864651774,608,0.0497260161936697
"01","KABUL","0114","QARABAGH",47825,46793,46876,1032,0.0220545808133695,949,0.0202449014421026
"01","KABUL","0115","SUROBI",59080,55808,57021,3272,0.0586295871559633,2059,0.0361095035162484
"02","KAPISA","0201","MAHMODRAQI",30174,29799,29650,375,0.0125843149098963,524,0.017672849915683
"02","KAPISA","0202","HISSA-E-DUWUMI KOHISTAN",23118,22853,22889,265,0.0115958517481293,229,0.0100048058019136
"02","KAPISA","0203","KOHBAND",21529,20698,20779,831,0.0401488066479853,750,0.0360941335001684
"02","KAPISA","0204","HESE  AWAL KOHESTAN",29551,28500,28644,1051,0.0368771929824561,907,0.0316645719871526
"02","KAPISA","0205","NEJRAB",33268,32540,32647,728,0.0223724646588814,621,0.0190216558948755
"02","KAPISA","0206","TAGAB",19665,19026,19034,639,0.0335856196783349,631,0.0331512031102238
