"pc_code_18","2018_IEC_district_code","pc_name_eng_18","pc_name_dari_18","assessment_status","planned_2018","2019_matched_to_2014_IEC_district_code","matched_by"
"1007204","1007"," Qulbatu Boys High School","لیسه ذکور قلبتو","Relocated","YES","1007",NA
"1008205","1008"," Sabz Darah Girls High School","لیسه نسوان سبز دره","Relocated","YES","1005",NA
"1008210","1008"," Menbar Sheneah Sarzawlej","منبر شینیه سرذولیج","New","YES","1005",NA
"1008212","1008"," Menbar Elbobak","منبر ایلبوبک","Old","YES","1005",NA
"1008214","1008"," Qalla e Gheshar Girls School","مکتب نسوان قلعه غشار","New","YES","1005",NA
"1008215","1008"," Darah e Mazar Girls School","مکتب نسوان دره مزار","Relocated","YES","1005",NA
"1008216","1008"," Menbar Zer Dakhmag","منبر زیردخمه","Relocated","YES","1005",NA
"1008217","1008"," Menbar Payeen Du Aabi Shah Qadam","منبر پایین دوآبی شاه قدم","New","YES","1005",NA
"1008218","1008"," Menbar Dahan Murghi","منبر دهن مرغی","New","YES","1005",NA
"1101007","1101"," Shah Mir Sahib High School","لیسه شامیر صا حب","Relocated","NO","1101",NA
"1101010","1101"," Utaq Shah Welayat Jame Mosque","مسجید جامع اتاق شا ولایت","Relocated","NO","1101",NA
"1101015","1101"," Hazrat Omer Farooq Mosque","مسجد حضرت فاروق","New","NO","1101",NA
"1101019","1101"," Ba Ba Adam Safiullah Primary School","مکتب ابتدائیه باباآدم صفی الله","New","NO","1101",NA
"1101030","1101"," Ali La La Sahib High School","لیسه علی لا لا صا حب","Relocated","NO","1101",NA
"1101032","1101"," Al Zahra Mosque","مسجدالزهرا","New","NO","1101",NA
"1101033","1101"," Tawheedabad Boys and Girls High School","لیسه ذکورواناث توحیداباد","New","NO","1101",NA
"1101035","1101"," Hazrat Mohammad Mustafa Mosque","مسجید حضرت محمد مصطفی","Relocated","NO","1101",NA
"1101039","1101"," Abu Rehan Alberouni School","مکتب ابو ریحان البیرونی","Relocated","NO","1101",NA
"1101044","1101"," Hazrat Mohammad Mustafa Mosque","مسجد حضرت محمد مصطفی","New","NO","1101",NA
"1101045","1101"," Chahardah Masoum Qalla e Kolokhak Mosque","مسجدچهارده معصوم قلعه کلوخک","New","NO","1101",NA
"1101047","1101"," Khtimul Anbya Mosque","مسجد خاتم الانبیا","New","NO","1101",NA
"1101049","1101"," Shahrak Mahajereen (Refugees Township)clinic","کلینیک شهرک مهاجرین","New","NO","1101",NA
"1101050","1101"," Mohamadia Mosque","مسجد محمدیه","New","NO","1101",NA
"1101051","1101"," Khatimul Mursaleen Mosque","مسجد ختم المرسلین","New","NO","1101",NA
"1101052","1101"," Qamar bine Hashim Mosque","مسجدقمربنی هاشم","New","NO","1101",NA
"1102056","1102"," Syah Gul Mosque","مسجد سیاگل","New","NO","1102",NA
"1102057","1102"," Madu Khil Mosque","مسجد مدو خیل","Not Assessed","NO","1102",NA
"1102058","1102"," Toor Gul Private house, Madu Khil village","خانه شخصی تورگل قریه مدوخیل","Not Assessed","NO","1102",NA
"1102060","1102"," Qalla e Surkh Mosque","مسجد قلعه سرخ","New","NO","1102",NA
"1102062","1102"," Peerakah Mosque","مسجد پیرکه","New","NO","1102",NA
"1102063","1102"," Deh Eisa Mosque","مسجد ده عیسی","Not Assessed","NO","1102",NA
"1103066","1103"," Gadul Sadat village Mosque","مسجد قریه گدول سادات","New","NO","1103",NA
"1103068","1103"," Turmi Boys High School","لیسه‌‌ذکور‌طورمی","Old","NO","1103",NA
"1103070","1103"," Dawlat Khan School","مکتب دولت خان","New","NO","1103",NA
"1104073","1104"," Hassan Khil village Mosque","مسجد قریه حسن خیل","Not Assessed","NO","1104",NA
"1104075","1104"," Godali Shamsher Mosque","مسجد گودلی شمشیر","Old","NO","1104",NA
"1104076","1104"," Qalla e Mohammad Khan Mosque","مسجد قلعه محمد خان","Old","NO","1104",NA
"1104077","1104"," Surkhak village School","مکتب قریه سورخک","Not Assessed","NO","1104",NA
"1105079","1105"," Ali Qalla School","مکتب علی قلعه","Not Assessed","NO","1105",NA
"1105086","1105"," Shetam School","مکتب شتم","New","NO","1105",NA
"1105087","1105"," Imam Sayed Haji High School","لیسه امام سید حاجی","Relocated","NO","1105",NA
"1105089","1105"," Deh Yak District Health Clinic","کلنیک صحی ولسوالی ده یک","New","NO","1105",NA
"1105090","1105"," Tasang High School","لیسه عالی تاسنگ","Old","NO","1105",NA
"1105091","1105"," Khushk Mosque","مسجد خشک","New","NO","1105",NA
"1105092","1105","Pechak School","مکتب پچک","New","NO","1105",NA
"1105093","1105"," Lughbad School","مکتب لغباد","Old","NO","1105",NA
"1106095","1106"," Sarab Ulya School","مکتب سراب علیا","Relocated","NO","1106",NA
"1106096","1106"," Shaki High School","لیسه شاکي","Not Assessed","NO","1106",NA
"1106097","1106"," Bi Bi Samia School","مکتب بی بی سمیه","New","NO","1106",NA
"1106102","1106"," Shaheed Abasi Turgan School","مکتب شهید عباسی ترگان","Old","NO","1106",NA
"1106106","1106"," Qyaq High School","لیسه قیاق","Old","NO","1106",NA
"1106107","1106"," Mohmand boys and girs School","مکتب مختلط مهمند","Relocated","NO","1106",NA
"1106111","1106"," Bi Bi Maryam School","مکتب بی بی مریم","New","NO","1106",NA
"1106112","1106"," Shaheed Kareem School","مکتب شهید کریم","Relocated","NO","1106",NA
"1107117","1107"," Atta Mohammad Mosque, Joi Chahar village","مسجد عطامحمد قریه جوی چهار","Not Assessed","NO","1107",NA
"1107118","1107"," Joi Chahar village Mosque","مسجد قریه جوی چهار","Not Assessed","NO","1107",NA
"1107127","1107"," Chahrdihiwal village Mosque","مسجد قریه چهاردیوال","New","NO","1107",NA
"1107128","1107"," Abdulwal village Mosque","مسجد قریه عبدالوال","Old","NO","1107",NA
"1107134","1107"," Ansari School","مکتب انصاری","New","NO","1107",NA
"1107135","1107"," Daleel village Mosque","مسجد قریه دلیل","New","NO","1107",NA
"1107137","1107"," Bakhshi village Mosque","مکتب قریه بخشی","Not Assessed","NO","1107",NA
"1107138","1107"," Bakhshi village Mosque","مسجد قریه بخشی","Not Assessed","NO","1107",NA
"1107141","1107"," Ma’ash community hall","صالون اجتماعی معاش","New","NO","1107",NA
"1107142","1107"," Sultan Shahabuddin Andarr School","مکتب سلطان شهاب الدین اندر","Old","NO","1107",NA
"1107151","1107"," Yaqoub village Mosque","مسجد قریه یعقوب","Not Assessed","NO","1107",NA
"1107155","1107"," Mullah Nooh Baba Mosque","مسجد ملانوح بابا","New","NO","1107",NA
"1107156","1107"," Abu Qalla village Mosque","مسجد قریه آبو قلعه","New","NO","1107",NA
"1108157","1108"," Zahid Khil village Mosque","مسجد قریه زاهدخیل","Not Assessed","NO","1108",NA
"1108158","1108"," Kotal Mosque","مسجد کوتل","Not Assessed","NO","1108",NA
"1108159","1108"," Qalla Sabz village Mosque","د قلعه سبز د کلی مسجد","Not Assessed","NO","1108",NA
"1108160","1108"," Kala e Sabzi Mosque","مسجد کلا سبزی","Not Assessed","NO","1108",NA
"1108161","1108"," Noor Khan Khil Mosque","مسجد دور خان خیل","Not Assessed","NO","1108",NA
"1108162","1108"," Azamwal village Mosque","د عظموالو د کلی مسجد","Not Assessed","NO","1108",NA
"1108163","1108"," Azam wal Mosque","مسجد عظم وال","Not Assessed","NO","1108",NA
"1109166","1109"," Gul Jeena Mosque","مسجد گل جینا","Old","NO","1109",NA
"1109167","1109"," Hasan Khan Mosque","مسجد مسجد حسن خان","Old","NO","1109",NA
"1109168","1109"," Hussain Khil village Mosque","مسجد قریه حسین خیل","Old","NO","1109",NA
"1109169","1109"," Hasan Khan village Mosque","د حسن خان د کلی مسجد","Old","NO","1109",NA
"1109171","1109"," Ilyas Nawdah Mosque","مسجد الیاس نوده","Old","NO","1109",NA
"1109173","1109"," Bi Bi Khadija Kubra High School","لیسه بی بی خدیجه کبری","New","NO","1109",NA
"1110186","1110"," Sang Laku Mosque","مسجد سنگ لاکو","New","NO","1110",NA
"1110187","1110"," Imam Baqer Madrassah","مدرسه امام باقیر","Old","NO","1110",NA
"1110188","1110"," Dahan Bareekak Mosque","مسجد دهن باریکک","New","NO","1110",NA
"1110192","1110"," Shaheed Rajab Ali Secondary School","مکتب متوسطه شهید رجب علی","New","NO","1110",NA
"1110200","1110"," Gerd Bed Qalandar School","مکتب گرد بید قلندر","New","NO","1110",NA
"1111211","1111"," Masjid Kohnah Mosque of Gameshak","مسجد کهنه گامیشک","Old","NO","1111",NA
"1111213","1111"," Askar Kot Clinic","کلینیک عسکرکوت","Old","NO","1111",NA
"1111217","1111"," Bazar Lewanai Mosque","مسجد بازار لیونی","New","NO","1111",NA
"1111220","1111"," Malouk School","مکتب ملوک","Old","NO","1111",NA
"1111221","1111"," Boljakheel Mosque","مسجدبولجخیل","Old","NO","1111",NA
"1111222","1111"," Shobar Mosque","مسجد شوبار","New","NO","1111",NA
"1111228","1111"," Sayed Ghulam Agha School","مکتب سیدغلام اغا","New","NO","1111",NA
"1111229","1111"," Moshaki School","مکتب موشکی","New","NO","1111",NA
"1111232","1111"," Masjid Payeen Gungi village Mosque","مسجد پایین قریه گنگی","Not Assessed","NO","1111",NA
"1111233","1111"," Masjid Naw Mosque, Marbulagh village","مسجد نو قریه ماربولاغ","Not Assessed","NO","1111",NA
"1111235","1111"," Mirwaez village Mosque","مسجد قریه میر واعظ","Not Assessed","NO","1111",NA
"1111239","1111"," Akhund Khil Sher School","مکتب اخندخیل شیر","Not Assessed","NO","1111",NA
"1111240","1111"," Sher village Mosque","مسجد قریه شیر","Not Assessed","NO","1111",NA
"1111245","1111"," Irmah Mosque","مسجد ایرمه","Relocated","NO","1111",NA
"1111246","1111"," Qayem Aale Mohammad Mosque","مسجید قایم آل محمد","Old","NO","1111",NA
"1111249","1111"," Beddarah Mosque","مسجد بیدره","New","NO","1111",NA
"1112256","1112"," Desi village High School","لیسه قریه دیسی","Not Assessed","NO","1112",NA
"1112257","1112"," Melanai village Primary School","مکتب ابتدائیه قریه میلنی","Not Assessed","NO","1112",NA
"1112258","1112"," Mazar village Mosque","مسجد قریه مزار","Not Assessed","NO","1112",NA
"1112259","1112"," Khati village School","مکتب قریه خاطی","Not Assessed","NO","1112",NA
"1112260","1112"," Shahal village School","مکتب قریه شهال","Not Assessed","NO","1112",NA
"1112261","1112"," Shaheed Abdul Matin High School","لیسه شهید عبد المتین","Not Assessed","NO","1112",NA
"1112262","1112"," Musa Khil village Mosque","مسجد قریه موسی خیل","Not Assessed","NO","1112",NA
"1112263","1112"," Serajul Madares School","مکتب سراج المدارس","Not Assessed","NO","1112",NA
"1112265","1112"," Sulaiman Qalla Mosque","مسجد سلیمان قلعه","Not Assessed","NO","1112",NA
"1112266","1112"," Shaheed Mohammad Naeem School, Ahad village","مکتب شهید محمد نعیم  قریه احد","Not Assessed","NO","1112",NA
"1112267","1112"," Azmat village Mosque","مسجد قریه عظمت","Not Assessed","NO","1112",NA
"1112268","1112"," Azmat village Primary School","مکتب ابتدائیه قریه عظمت","Not Assessed","NO","1112",NA
"1112269","1112"," Malik Bine Qais School, Idrees Khil village","مکتب مالک بن قیس قریه ادریس خیل","Not Assessed","NO","1112",NA
"1112270","1112"," Nakhil village Mosque","مسجد قریه ناخیل","Not Assessed","NO","1112",NA
"1112271","1112"," Qalla Shukoor Mosque","مسجد قلعه شکور","Not Assessed","NO","1112",NA
"1112272","1112"," Qalla E Shukoor Secondary School","مکتب متوسطه قلعه شکور","Not Assessed","NO","1112",NA
"1112273","1112"," Zegai Village School","مکتب قریه زیګی","Not Assessed","NO","1112",NA
"1112274","1112"," Zeegi village Mosque","مسجد قریه زیګی","Not Assessed","NO","1112",NA
"1113276","1113"," Chori School","مکتب چوری","Old","NO","1113",NA
"1113281","1113"," Asadullah Mosque","مسجد اسدالله","Relocated","NO","1113",NA
"1114289","1114"," Zainabia High School, Chob Badrah Zar","لیسه زینبیه چوب بدره زار","New","NO","1114",NA
"1114292","1114"," Salehi Zeerak School","مکتب صالحی زیرک","Old","NO","1114",NA
"1114293","1114"," Tamqul Loman High School","لیسه تمقول لومان","New","NO","1114",NA
"1114295","1114"," Samar Jaghori High School","لیسه سمر جاغوری","New","NO","1114",NA
"1114300","1114"," Hujat Ibne Al Hasan High School","لیسه حجت ا بن الحسن","Relocated","NO","1114",NA
"1114302","1114"," Sar Talah Sayed Ahmad School","مکتب سرتاله سید احمد","New","NO","1114",NA
"1114303","1114"," Hayatullah Mudares School","مکتب حیات الله مدرس","Old","NO","1114",NA
"1114306","1114"," Sabz Chob Secondary School","مکتب متوسطه سبزچوب","New","NO","1114",NA
"1114310","1114"," Chal Mamdak Primary School","مکتب ابتداییه چال ممدک","New","NO","1114",NA
"1114311","1114"," Myangah Secondary School","مکتب متوسطه میانگه","New","NO","1114",NA
"1114318","1114"," Shams Aab Burdah Secondary School","مکتب متوسطه شمس آب برده","New","NO","1114",NA
"1114321","1114"," Alberouni Pedgah High School","لیسه مختلط البیرونی پیدگه","Relocated","NO","1114",NA
"1114323","1114"," Shuhadai Haicha High School","لیسه شهدای هیچه","Relocated","NO","1114",NA
"1114325","1114"," Imam Ali High School","لیسه امام علی","New","NO","1114",NA
"1115327","1115"," Bahauddin Mosque","مسجدبهاوالدین","New","NO","1115",NA
"1115329","1115"," Momin Abad Madrassah","مدرسه مومن اباد","New","NO","1115",NA
"1115331","1115"," Nawai Khoni Mosque","مسجد نوی خونی","New","NO","1115",NA
"1115332","1115"," Jumjumah Mosque","مسجد جمجمه","New","NO","1115",NA
"1115333","1115"," Abu Qalla Mosque","مسجدابوقلعه","New","NO","1115",NA
"1115335","1115"," Ahmad Khil village Mosque","مسجد قریه احمد خیل","Old","NO","1115",NA
"1115337","1115"," Mullah Khil Mosque","مسجدملاخیل","New","NO","1115",NA
"1115343","1115"," Largah School","مکتب لرگه","Old","NO","1115",NA
"1116351","1116"," Qash Qachngtu village Mosque","مسجد قریه قاش قچنگتو","New","NO","1116",NA
"1116357","1116"," Sarwar Deh Secondary School","مکتب متوسط سرورده","Relocated","NO","1116",NA
"1116358","1116"," Geeru Sarwar Deh Mosque","مسجدگیروی سرورده","New","NO","1116",NA
"1116361","1116"," Godal Secondary School","مکتب متوسطه مختلط گودال","New","NO","1116",NA
"1116365","1116"," Bala Sar Qab Joi Secondary School","مکتب متوسطه بالا سر قاب جوی","New","NO","1116",NA
"1116369","1116"," Nawah Pashaye High School","مکتب لیسه ناوه پشی","Relocated","NO","1116",NA
"1117377","1117"," Balaheer village Mosque","مسجد قریه بلاهیر","Not Assessed","NO","1117",NA
"1117378","1117"," Hotak Khil village Mosque","مسجد قریه هوتک خیل","Not Assessed","NO","1117",NA
"1117379","1117"," Hotak village Mosque","مسجد قریه هوتک","Not Assessed","NO","1117",NA
"1117380","1117"," Hasan Kalai village Mosque","مسجد قریه حسن کلی","New","NO","1117",NA
"1117383","1117"," Mati village Mosque","مسجد قریه متی","New","NO","1117",NA
"1118389","1118"," Usman Khil village secondary School","مکتب متوسطه قریه عثمان خیل","Not Assessed","NO","1118",NA
"1118390","1118"," Gameshak village High School","لیسه قریه گامیشک","Not Assessed","NO","1118",NA
"1118392","1118"," Adeen Khil Secondary School","مکتب متوسطه ادین خیل","Not Assessed","NO","1118",NA
"1118393","1118"," Dungah village Mosque","مسجد قریه دونگه","Not Assessed","NO","1118",NA
"1118394","1118"," Langar Khil Secondary School","متوسطه لنګر خیل","Not Assessed","NO","1118",NA
"1118395","1118"," PeeroKhil Primary School","مکتب ابتدائیه پیروخیل","Not Assessed","NO","1118",NA
"1118396","1118"," Chaqmaq village School","مکتب قریه چقمق","Not Assessed","NO","1118",NA
"1119397","1119"," Kala Khan village School","مکتب قریه کلاخان","Not Assessed","NO",NA,NA
"1119398","1119"," Mata Khil village School","مکتب قریه متاخیل","Not Assessed","NO",NA,NA
"1119399","1119"," Qalla Qandeel Mosque","مسجد قلعه کندیل","Not Assessed","NO",NA,NA
"1119400","1119"," Veterinary Clinic","کلینیک وترنری","Not Assessed","NO",NA,NA
"1119401","1119"," Health Clinic","کلینیک صحی","Old","NO",NA,NA
"1119402","1119"," Iktyar Khil village Mosque","مسجد قریه اختیار خیل","Not Assessed","NO",NA,NA
"1119403","1119"," Malik Din village Mosque","مسجد قریه ملک دین","Not Assessed","NO",NA,NA
"1119404","1119"," Malik DinKhil village Mosque","مکتب قریه ملک دین خیل","Not Assessed","NO",NA,NA
"1119405","1119"," Kochanai Nawah village Mosque","مسجد قریه کوچنی ناوه","Not Assessed","NO",NA,NA
"1119406","1119"," Kochanai Nawah village School","مکتب کوچنی ناوه","Not Assessed","NO",NA,NA
"1201003","1201"," Mohammad Khil High School (New name)","محمد خیل علی لیسه نوی نوم","Old","YES","1201",NA
"1201005","1201"," Hazrat Bilal High School","د حضرت بلال لیسه","Relocated","YES","1201",NA
"1201006","1201"," Rafiq School","درفیق ښوونځی","New","YES","1201",NA
"1201008","1201"," Bi Bi Zainab School","د بي بي زینب ښوونځی","New","YES","1201",NA
"1201009","1201"," Eisa Ba Ba School","عسی بابا ښوونځی","New","YES","1201",NA
"1201012","1201"," Badria School","بدریه ښوونځی","Relocated","YES","1201",NA
"1201015","1201"," Salai Ibahimzo School","څلي ابراهیم زو ښوونځی","Old","YES","1201",NA
"1201016","1201"," Mohammad Ali Jalali School","محمد علی جلالی ښوونځی","Relocated","YES","1201",NA
"1202018","1202"," Chamrrai School","چامړی ښوونځی","Relocated","YES","1202",NA
"1202020","1202"," Qalla Saidu High School (New name)","نوی نوم قلعه سیدو لیسه ده","Old","YES","1202",NA
"1202021","1202"," Folad Khil High School","فولادخیل عالی لیسه","Relocated","YES","1202",NA
"1202022","1202"," Lagahro High School","لغړو لیسه","Relocated","YES","1202",NA
"1202023","1202"," Maryanni Mosque","جومات مریاڼی","Relocated","YES","1202",NA
"1202024","1202"," Shorkachi Mosque","شورکچی جومات","New","YES","1202",NA
"1202025","1202"," Koti Khil School","مکتب کوتی خیل","Relocated","YES","1202",NA
"1202026","1202"," Ibrahimzai Mosque","ابراهیمزی جومات","Relocated","YES","1202",NA
"1203027","1203"," Baran Mosque","باران مسجد","Relocated","YES","1203",NA
"1203028","1203"," Aryana School","اریانا ښوونځی","Relocated","YES","1203",NA
"1203029","1203"," Khoshal Ba Ba High School","خوشحال بابا لیسه","Relocated","YES","1203",NA
"1203030","1203"," Yousuf Khil Central High School","یوسف خیل مرکزي لیسه","New","YES","1203",NA
"1203031","1203"," Abdullah Baba School","عبدالله بابا شوونځى","Relocated","YES","1203",NA
"1203032","1203"," Barat Khil Girls School","د برات خیل د اناثو ښوونځی","New","YES","1203",NA
"1203033","1203"," Saidu Khil Mosque","سیدو خیلو جومات","Relocated","YES","1203",NA
"1203034","1203"," Mest Bazar School","د میست بازار ښوونځی","Relocated","YES","1203",NA
"1204035","1204"," Noor Mohammad Mosque","مسجد نور محمد","Relocated","YES","1204",NA
"1204036","1204"," Yahya Khil High School","یحی حیل مرکزی لیسه","Relocated","YES","1204",NA
"1204037","1204"," Wahdat Primary School","وحدت ابتدایه ښوونځی","Relocated","YES","1204",NA
"1204039","1204"," Nizamuddin Secondary School","نظام الدین متوسطه ښوونځی","Relocated","YES","1204",NA
"1204040","1204"," Ghaeb Khilo High School","د غیب خیلو لیسه","Relocated","YES","1204",NA
"1204041","1204"," Zanku Mosque","د زانکو مسجد","Relocated","YES","1204",NA
"1204042","1204"," Atalano Primary School","اتلانو ابتدایه ښوونځی","Relocated","YES","1204",NA
"1204043","1204"," Shaheed Shah Mahmoud Secondary School","د شهید شامحمود متوسطه","New","YES","1204",NA
"1205046","1205"," Galaruddin School","ګلرالدین مکتب","Relocated","YES","1205",NA
"1205051","1205"," District Administrator Office, Second building","ولسوالی مقام دوهم تعمیر","Relocated","YES","1205",NA
"1205052","1205"," Sultani High School","لیسه سلطانی","Relocated","YES","1205",NA
"1205053","1205"," Parraw School","ښوونځی پړاو","Relocated","YES","1205",NA
"1206055","1206"," Zwakah High School","زواکه عالی لیسه","Relocated","YES","1206",NA
"1206056","1206"," Genawah Primary School","ګیناوه ابتدایی ښونځی","New","YES","1206",NA
"1207060","1207"," Shah Gul Kala, Preliminary School","شاه ګل کلا ابتدائیه ښوونځی","Relocated","YES","1207",NA
"1207062","1207"," Hasani High School","حسني لیسه","Relocated","YES","1207",NA
"1207063","1207"," Bi Bi Fatima School","بی بی فاطمه ښوونځی","Relocated","YES","1207",NA
"1207064","1207"," Bi Bi Ayesh School","بی بی عائشه ښوونځی","Relocated","YES","1207",NA
"1207065","1207"," Sadatu Mosque","سعاداتو جومات","Relocated","YES","1207",NA
"1207067","1207"," Hashimiah High School","هاشمیه لیسه","Relocated","YES","1207",NA
"1207069","1207"," Haji Gul Baran Mosque","حاجی ګل بران جومات","Relocated","YES","1207",NA
"1207070","1207"," Kewol Ba Ba School","کیول بابا ښوونځی","Relocated","YES","1207",NA
"1207072","1207"," Shaheed Abdul Hakim Khan School","شهیدعبدالحکیم خان ښوونځی","Relocated","YES","1207",NA
"1207073","1207"," Bi Bi Zahra High School","بی بی زهرا لیسه","Relocated","YES","1207",NA
"1207074","1207"," Bazar Hospital","بازار روغتون","Relocated","YES","1207",NA
"1208077","1208"," Gula Jan Madrassah","ګلاجان مدرسه","New","NO","1208",NA
"1208081","1208"," MirKozi","میرکوزی","New","NO","1208",NA
"1208082","1208"," Nematabad Clinic","کلینیک نعمت اباد","New","NO","1208",NA
"1208083","1208"," Malik Gul Khan Mosque","ملک خان ګل مسجد","New","NO","1208",NA
"1208084","1208"," Mohammad Hasan Mosque","محمدحسن مسجد","New","NO","1208",NA
"1208085","1208"," Mach Faqeer Mosque","مچ فقیر مسجد","New","YES","1208",NA
"1208088","1208"," Soor Daag","سورډاګ","New","YES","1208",NA
"1209103","1209"," Sheen Kalai Mosque","شین کلی مسجد","Relocated","NO","1209",NA
"1209105","1209"," Noorani Boys Primary School","ذکور نورانی ابتدایه مکتب","Relocated","YES","1209",NA
"1209106","1209"," Guldad Mosque","مسجد ګلداد","Relocated","YES","1209",NA
"1209107","1209"," Chambaran Girls Primary School","د چمبرانو د انجونو ابتدایه ښوونځی","Relocated","YES","1209",NA
"1209108","1209"," Shaheed Abdul Rahman Primary School","ابتدایه شهیدعبدالرحمن شوونزی","Relocated","YES","1209",NA
"1209111","1209"," Shahturo Primary School","شاتورو ابتدایه مکتب","Relocated","YES","1209",NA
"1209112","1209"," Hasthi Itehad Secondary School","دهستی اتحادمتوسطه","Relocated","YES","1209",NA
"1209113","1209"," Hasthi Primary School","هستی ابتدایه","Relocated","YES","1209",NA
"1210114","1210"," Reyazul Uloom Secondary School no.2","ریاض العلوم دوم متوسطه ښوونځی","Relocated","YES","1210",NA
"1210116","1210"," Ahmadya Secondary School","احمدیه متوسطه ښوونځۍ","Relocated","YES","1210",NA
"1210117","1210"," Mohammad Amin Mosque","محمد امین جومات","New","YES","1210",NA
"1210119","1210"," Reyazul Uloom Primary School no. 1","ریاض العلوم اول ابتدایه ښوونځی","Relocated","YES","1210",NA
"1210120","1210"," Tawoos Khil Mosque","طاوسخیلو جومات","New","YES","1210",NA
"1210122","1210"," Zami Secondary School","زامي متوسطه ښوونځۍ","New","YES","1210",NA
"1210123","1210"," Nawai Qalla High School","نوی قلعه لیسه","Relocated","YES","1210",NA
"1210124","1210"," Zarra Qalla High School","زړه قلعه لیسه","Relocated","YES","1210",NA
"1210126","1210"," Khani Qalla High School","خانی قلعه لېسه","Relocated","YES","1210",NA
"1211139","1211"," Faqeeran village Mosque","فقيران کلي جومات","New","YES","1211",NA
"1211141","1211"," Sarhadi Zadran village School","سرحدی ځدراڼ کلی ښوونځی","Relocated","YES","1211",NA
"1211142","1211"," Dahane Secondary School","د دهنې منځنی ښوونځی","New","YES","1211",NA
"1211146","1211"," Gulaki village Mosque","دګلکي دکلي جومات","New","YES","1211",NA
"1211148","1211"," Chambarano Mosque","د چمبرانو جماعت","Relocated","YES","1211",NA
"1211153","1211"," Malakano Secondary School","ملکانو منځنی ښوونځی","Relocated","YES","1211",NA
"1212155","1212"," Warzhana Ziaul Uloom High School","د ورژانه ضیاءالعلوم لیسه","Relocated","YES","1212",NA
"1214170","1214"," Lowargai Primary School","لوارگی ابتدایی مکتب","Relocated","YES","1214",NA
"1214171","1214"," Fakhr e Afghan School","فخری افغان مکتب","New","YES","1214",NA
"1214172","1214"," Khandan Mosque","مسجد خاندان","Relocated","YES","1214",NA
"1214173","1214"," Noorabad School","ښوونځی نور آباد","Relocated","YES","1214",NA
"1214175","1214"," Farouqia School","فاروقیه ښوونځی","Not Assessed","YES","1214",NA
"1214178","1214"," Mahmoudia Madrassah","محمودیه مدرسه","Relocated","YES","1214",NA
"1214179","1214"," District Mosque","د ولسوالی جومات","Old","YES","1214",NA
"1217211","1217"," Apsar Kot Mosque","اپسر کوت جومات","Old","YES","1217",NA
"1217212","1217"," Haji Adam Kala Mosque","حاجی آدم کلا جومات","Relocated","YES","1217",NA
"1217213","1217"," Khezar Khil center School","خضرخیل مرکزی ښوونځی","Relocated","YES","1217",NA
"1217216","1217"," Haji Mohammad Naeem Mosque","حاجی محمد نعیم جومات","Relocated","YES","1217",NA
"1217218","1217"," Noorani High School","نورانی لیسه","Relocated","YES","1217",NA
"1219232","1219"," Sarwar Khan Cheenah Mosque","سرور خان چینه جومات","Relocated","YES","1219",NA
"1219233","1219"," Kochka Mosque","کوڅکه جومات","Relocated","YES","1219",NA
"1219234","1219"," Amarkhil Karez Mosque","آمرخیل کاریز جومات","New","YES","1219",NA
"1219235","1219"," Bozah Mosque","بوزه جومات","New","YES","1219",NA
"1219236","1219"," Saduzai Mosque","سدوزائ جومات","New","YES","1219",NA
"1219237","1219"," Peshaki Mosque","پشکی جومات","New","YES","1219",NA
"1301001","1301"," Terai Bagh Shah High School","تیری باغ شاه عالی لیسه","New","YES","1301",NA
"1301003","1301"," Sayed Hasan High School","لیسه عالی سیدحسن","Relocated","YES","1301",NA
"1301004","1301"," Shashgar High School","ششگر عالی لیسه","New","YES","1301",NA
"1301005","1301"," Paktia University","پکتیا پوهنتون","New","YES","1301",NA
"1301007","1301"," Ba Ba Sadeq High School","لیسه عالی بابا صادق","New","YES","1301",NA
"1301011","1301"," Dadgul Mosque","داد گل جومات","Relocated","YES","1301",NA
"1301012","1301"," Banozai High School","د بنوزی لیسه","Old","YES","1301",NA
"1301015","1301"," Khwaja Ali Mahlan High School","لیسه خواجه علی مهلن","Old","YES","1301",NA
"1301017","1301"," Nazar Gul Mosque","د نظر گل جومات","Relocated","YES","1301",NA
"1301018","1301"," Zarbati Mosque","زربتی جومات","Relocated","YES","1301",NA
"1301022","1301"," Tandano School","د ټنډانو مكتب","Old","YES","1301",NA
"1301198","1301","Deh Bashi High School","لیسه ده با رس",NA,"YES","1301",NA
"1301199","1301","Shah Qambar High School","لیسه شاه قمي",NA,"YES","1301",NA
"1302024","1302"," Khwaja Khil Mosque","خواجه خیل مسجد","Relocated","YES","1302",NA
"1302025","1302"," Haji Daleel Mosque","مسجد حاجی دلیل","New","YES","1302",NA
"1302027","1302"," Feroz Khil High School","فیروزخیلو عالی لیسه","New","YES","1302",NA
"1302030","1302"," Hassan Kala High School","حسن کلا لیسه","New","YES","1302",NA
"1302036","1302"," Mansour Khil Secondary School","متوسطه منصور خیل","Relocated","YES","1302",NA
"1303039","1303"," Nawai Madrassah","نوی مدرسه","Old","NO","1303",NA
"1303040","1303"," Saleh Khil Madrassah","صالح خیل مدرسه","Relocated","NO","1303",NA
"1303041","1303"," Babul Khil village Mosque","بابل خیل د کلی مسجد","Old","NO","1303",NA
"1303042","1303"," Menjawar Rouhani Ba Ba Mosque","منیجور روحانی بابا مسجد","Relocated","NO","1303",NA
