"pc_code_18","2018_IEC_district_code","pc_name_eng_18","pc_name_dari_18","assessment_status","planned_2018","2019_matched_to_2014_IEC_district_code","matched_by"
"0101262","0101","Nawabad (Zan Abad) Secondary School","متوسطه نوآباد (زن آباد)","Relocated","YES","0101",NA
"0101263","0101","Shahrak Mahdia High School","لیسه شهرک مهدیه","Relocated","YES","0101",NA
"0101267","0101","Zainab Kubra Girls High School","لیسه نسوان زینب کبرا","Relocated","YES","0101",NA
"0101276","0101","Imam Khumaini Mosque","مسجد امام خمینی","Old","YES","0101",NA
"0101281","0101","Nawabad Doghabad High School","لیسه نو آباد دوغ آباد","Relocated","YES","0101",NA
"0101284","0101","Shahrak e Safa Boys High School","لیسه ذکور شهرک صفا","Relocated","YES","0101",NA
"0101303","0101","Hazrat Hamza Mosque","مسجد حضرت حمزه","Relocated","YES","0101",NA
"0101304","0101","Shiekh Zahid High School","لیسه شیخ زاهد","Relocated","YES","0101",NA
"0101337","0101","Alokhil Secondary School","مکتب متوسطه آلوخیل","Old","YES","0101",NA
"0101345","0101","Lamia Shaheed High School","لیسه لامعه شهید","Old","YES","0101",NA
"0101347","0101","Nawabad Newly established Primary School","مکتب ابتدائیه جدیدالتاسیس نو آباد","Old","YES","0101",NA
"0101348","0101","Qari Nek Mohammad High School","لیسه قاری نیک محمد","Old","YES","0101",NA
"0101350","0101","Shahrak Zakereen High School","لیسه شهرک ذاکرین","New","YES","0101",NA
"0101352","0101","Pamir Girls High School","لیسه نسوان پامیر","New","YES","0101",NA
"0101354","0101","AbuBakar Sedique Jame Mosque","مسجد جامع ابوبکر صدیق","New","YES","0101",NA
"0101355","0101","Shahrak Wahdat Girls High School","لیسه نسوان شهرک وحدت","New","YES","0101",NA
"0101356","0101","Burhanuddin Rabani High School","لیسه برهان الدین ربانی","Relocated","YES","0101",NA
"0101357","0101","Hazrat Ali Jame Mosque","مسجدجامع حضرت علی","New","YES","0101",NA
"0101358","0101","Wazeer Gul Mosque","مسجد وزیر ګل","Old","YES","0101",NA
"0101359","0101","Nawabad Primary School","ابتدایه نواباد","New","YES","0101",NA
"0101362","0101","Sulh High School","لیسه صلح","Old","YES","0101",NA
"0101364","0101","Haji Zafran Secondary School","حاجی زعفران منحنی شوونحی","Relocated","YES","0101",NA
"0101365","0101","Haji Sardar Mosque","مسجد حاجی سردار","New","YES","0101",NA
"0101370","0101","75 Beds Hospital","شفاخانه 75 بستر","New","YES","0101",NA
"0101371","0101","Ahmad Jan Mosque","مسجد احمد جان","Old","YES","0101",NA
"0101374","0101","Janat Gul Primary School No. 1","ابتدائیه نمبر اول جنت گل","Relocated","YES","0101",NA
"0101554","0101","Shahrak Arya School","مکتب شهرک آریا",NA,"YES","0101",NA
"0101555","0101","Emam Abo Hanifa Mosque","مسجد جامع امام ابوحنیفه",NA,"YES","0101",NA
"0101556","0101","Safid Mosque","مسجد سفید",NA,"YES","0101",NA
"0101559","0101","Nahia Office","دف یي ناحیه",NA,"YES","0101",NA
"0102298","0102","Qalla e Babu Training Center","مرکز آموزشی قلعه بابو","Relocated","YES","0102",NA
"0102299","0102","Ibrahim Khil High School","لیسه ابراهیم خیل","Relocated","YES","0102",NA
"0102378","0102","Al Taqwa High School","لیسه التقوا","Relocated","YES","0102",NA
"0102380","0102","Pashayee Boys High School","لیسه ذکور پشه ئی","Relocated","YES","0102",NA
"0102383","0102","Murghgeeran clinic","کلینیک مرغگیران","Relocated","YES","0102",NA
"0102387","0102","Sufi Ashqari High School","لیسه صوفی عشقری","New","YES","0102",NA
"0102394","0102","Alfalah Secondary School","متوسطه الفلاح","New","YES","0102",NA
"0102395","0102","Qalla e Malik High School","لیسه قلعه ملک","Relocated","YES","0102",NA
"0103399","0103","Nawniaz Girls Primary School","مکتب ابتدائیه نسوان نو نیاز","Relocated","YES","0103",NA
"0103405","0103","Khairabad Jame Mosque","مسجد جامع خیرآباد","Old","YES","0103",NA
"0103411","0103","Lalandar clinic","کلینیک للندر","Relocated","YES","0103",NA
"0104413","0104","Wyearr Ahmadzai High School","لیسه ویار احمدزی","Relocated","YES","0104",NA
"0104414","0104","Imam Abu Haneefa Mosque","مسجد امام ابو حنیفه","Relocated","YES","0104",NA
"0104420","0104","Qalla e Noman High School","لیسه قلعه نعمان","New","YES","0104",NA
"0104557","0104","Hazrat Belal White Mosque","م س ج د س ف ی د ح یصر ت ب لا ل",NA,"YES","0104",NA
"0104558","0104","Shahid Shamali School","مکتب شهید شمالی",NA,"YES","0104",NA
