"province_code","province_name_eng","district_code","district_name_eng","district_name_dari","district_name_pashto","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","district_or_subdivision_name_pashto","provincial_capital","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto","planned_2018","prelim_ps_count","final_ps_count","prelim_results_reporting","final_results_reporting","pc_change_initial_final_plan","assessment_status","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-01","KABUL CITY NAHIA 01","كابل ناحیه 01","كابل ناحیه 01","YES","0101013","Bala Qilla Mosque","مسجد بالا قلعه","مسجد بالا قلعه","Masjid e Bala Qilla Asheqan wa Arefan","مسجد بالا قلعه عاشقان وعارفان","مسجد بالا قلعه عاشقان وعارفان","YES",3,4,"YES","YES","no change","Old",1110,65,12,0,4,0,0,39,10,1045,818,227,0,0,818,227,1045
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-01","KABUL CITY NAHIA 01","كابل ناحیه 01","كابل ناحیه 01","YES","0101014","Mahjooba High School","لیسه محجوبه","لیسه محجوبه","Chindawal","چنداول","چنداول","YES",2,2,"YES","YES","no change","Relocated",817,38,23,0,2,0,0,11,2,773,484,289,6,0,490,289,779
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-01","KABUL CITY NAHIA 01","كابل ناحیه 01","كابل ناحیه 01","YES","0101015","Takya Khanahh Jafarya","تکیه خانه جعفریه","تکیه خانه جعفریه","Chindawal","چنداول","چنداول","YES",6,8,"YES","YES","no change","Relocated",3318,138,33,0,17,0,0,64,24,3178,2281,897,2,0,2283,897,3180
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-01","KABUL CITY NAHIA 01","كابل ناحیه 01","كابل ناحیه 01","YES","0101016","Imam Baqer Mosque","مسجد امام باقر","مسجد امام باقر","Hazaraha ha village","قريه هزاره ها","قريه هزاره ها","YES",4,4,"YES","YES","no change","Old",1710,63,28,0,7,0,0,14,14,1647,1025,622,0,0,1025,622,1647
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101017","Qari Abdullah School","مکتب قاري عبدالله","مکتب قاري عبدالله","Joi Sheer Deh Afghanan ","جوي شير ده افغانان","جوي شير ده افغانان","YES",2,2,"YES","YES","no change","Old",570,22,11,0,2,0,0,4,5,548,341,207,0,0,341,207,548
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101018","Hazrat Nabawi Jame Mosque","مسجد جامع حضرت نبوی","مسجد جامع حضرت نبوی","Joi Sheer  ","جوي شير","جوي شير","YES",4,6,"YES","YES","no change","Relocated",2128,47,9,0,7,0,0,18,13,2073,1494,579,4,4,1501,580,2081
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101019","Ansari High School","لیسه انصاری","لیسه انصاری","Joi Sheer","جوی شیر","جوی شیر","YES",NA,NA,"NO","NO","no change","Relocated",3752,238,16,0,26,0,0,71,125,3512,2424,1088,1,1,2425,1089,3514
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101020","Ranga Mosque","مسجد رنگه","مسجد رنگه","Deh Afghanan","ده افغانان","ده افغانان","YES",2,2,"YES","YES","no change","Old",1252,72,17,0,7,0,0,23,25,1179,944,235,0,1,945,235,1180
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101021","Trade technical Institute (Institute Maslaki Teja)","انستیتیوت مسلکی تجارت","انستیتیوت مسلکی تجارت","Shah E Do Shamsherah","شاه دو شمشیره","شاه دو شمشیره","YES",2,2,"YES","YES","no change","Relocated",1764,63,9,0,6,0,0,33,15,1698,1463,235,3,0,1466,235,1701
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101022","Zyarat Abul Fazal","زیارت ابوالفضل","زیارت ابوالفضل","Murad Khani","مرادخانی","مرادخانی","YES",3,4,"YES","YES","no change","Old",1134,57,14,0,10,0,0,22,11,1061,976,85,14,2,992,85,1077
