pc_code_18,pc_code_14,site_2018,site_2014,matched,matched_by,center_status,dropped_from_14,code_change,merger,pc_name_eng_18,pc_name_dari_18,iec_2018_assessment_report_status,pc_name_eng_14,pc_name_dari_14,lat_14,lon_14,coord_14_18_discrepancy_in_meters
0101075,0101075,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,NO,NA,Imam Hussain Mosque,مسجد امام حسین,Old,Imam-e-Hussain Mosque,مسجد امام حسین,34.5177785300001,69.1017138300001,1017.60957470354
0101076,0101087,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Speen Kalai Girls High School,لیسه نسوان سپین کلی,Old,Spin Kalai Girls High School,لیسه نسوان سپین کلی,34.51863114,69.1167856700001,13.2213237555768
0101077,0101086,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Hazrat Shamsul Mashaikh High School,لیسه حضرت شمس المشایخ,Old,Hazrat Shamsul Mashayakh High School,لیسه حضرت شمس المشایخ,34.5242060000001,69.112452,291.298426872206
0101078,0101091,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Prof. Rasoul Amin High School,لیسه پروفیسور رسول امین,Old,Professor Rasool Amin High School,لیسه پروفیسور رسول امین,34.5287508800001,69.1175937,52.497087891058
0101079,0101077,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Polytechnic Mosque,مسجد پولي تخنيک,Old,Poly Technique Mosque,مسجد پولي تخنيک,34.5323580800001,69.1164708100001,19.8206205263396
0101080,0101071,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Jaghori ha Mosque,مسجد جاغوري ها,Old,Jaghori ha Mosque,مسجد جاغوري ها,34.5382787700001,69.10594347,667.818400775436
0101081,0101072,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Sahib Zaman Mosque,مسجد صاحب زمان,Old,Sahib-e- Zaman Mosque,مسجد صاحب زمان,34.5298093100001,69.1104124700001,12.0335634467953
0101082,0101074,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Abu Zar Ghafari High School,ليسه ابوذر غفاري,Relocated,Abu Zar Ghafari High School,ليسه ابوذر غفاري,34.5348655600001,69.0823137500001,6.38079570831498
0101083,0101076,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Ayub Saber Mosque,مسجد ايوب صابر,Old,Ayub Saber Mosque,مسجد ايوب صابر,34.53045618,69.07425211,22.5931465135764
0101084,0101082,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Deh e Araban School,مکتب ده عربان,Old,Deh Araban School,مکتب ده عربان,34.5423095600001,69.0600108900001,37.7369984821475
