"province_code","province_name_eng","district_sub_code","district_or_subdivision_name_eng","pc_code","pc_name_eng","pc_name_dari","planned_18","prelim_results_18","prelim_votes_18","final_results_18","final_votes_18","missing_vr_19","new_vr_19","vr_prelim_total_18","vr_final_total_18","vr_male_18","vr_fem_18","vr_kuchi_18","vr_sikh_18","vr_prelim_total_19","vr_male_19","vr_fem_19","vr_kuchi_19","vr_sikh_19","vr_total_change","vr_total_pct_change","vr_male_change","vr_male_pct_change","vr_fem_change","vr_fem_pct_change","vr_kuchi_change","vr_kuchi_pct_change","vr_sikh_change","vr_sikh_pct_change"
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101011","Aasheqan wa Arefan Secondary School","مکتب متوسطه عاشقان و عارفان","YES","YES",736,"YES",287,"OK","NO CHANGE",1788,1727,1172,555,0,0,1729,1175,554,0,0,2,0.00115807759119861,3,0.00255972696245734,-1,-0.0018018018018018,0,NA,0,NA
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101012","Sar e Karez Mosque","مسجد سر کاریز","YES","YES",377,"YES",153,"OK","NO CHANGE",732,703,499,204,0,0,708,503,205,0,0,5,0.00711237553342817,4,0.00801603206412826,1,0.00490196078431373,0,NA,0,NA
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101013","Bala Qilla Mosque","مسجد بالا قلعه","YES","YES",342,"YES",297,"OK","NO CHANGE",1110,1045,818,227,0,0,1057,830,227,0,0,12,0.0114832535885167,12,0.0146699266503667,0,0,0,NA,0,NA
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101014","Mahjooba High School","لیسه محجوبه","YES","YES",453,"YES",212,"OK","NO CHANGE",817,779,484,289,6,0,782,487,288,6,1,3,0.00385109114249037,3,0.00619834710743802,-1,-0.00346020761245675,0,0,1,Inf
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101015","Takya Khanahh Jafarya","تکیه خانه جعفریه","YES","YES",1263,"YES",971,"OK","NO CHANGE",3318,3180,2281,897,2,0,3190,2282,906,2,0,10,0.00314465408805031,1,0.000438404208680403,9,0.0100334448160535,0,0,0,NA
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101016","Imam Baqer Mosque","مسجد امام باقر","YES","YES",1063,"YES",473,"OK","NO CHANGE",1710,1647,1025,622,0,0,1647,1025,622,0,0,0,0,0,0,0,0,0,NA,0,NA
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101017","Qari Abdullah School","مکتب قاري عبدالله","YES","YES",270,"YES",29,"OK","NO CHANGE",570,548,341,207,0,0,545,338,207,0,0,-3,-0.00547445255474453,-3,-0.00879765395894428,0,0,0,NA,0,NA
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101018","Hazrat Nabawi Jame Mosque","مسجد جامع حضرت نبوی","YES","YES",1177,"YES",964,"OK","NO CHANGE",2128,2081,1494,579,4,4,2084,1497,579,4,4,3,0.00144161460836136,3,0.00200803212851406,0,0,0,0,0,0
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101019","Ansari High School","لیسه انصاری","YES","NO",NA,"NO",NA,"OK","NO CHANGE",3752,3514,2424,1088,1,1,3533,2439,1092,1,1,19,0.00540694365395561,15,0.00618811881188119,4,0.00367647058823529,0,0,0,0
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101020","Ranga Mosque","مسجد رنگه","YES","YES",589,"YES",430,"OK","NO CHANGE",1252,1180,944,235,0,1,1182,946,235,0,1,2,0.00169491525423729,2,0.00211864406779661,0,0,0,NA,0,0
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101021","Trade technical Institute (Institute Maslaki Teja)","انستیتیوت مسلکی تجارت","YES","YES",509,"YES",577,"OK","NO CHANGE",1764,1701,1463,235,3,0,1712,1472,237,3,0,11,0.00646678424456202,9,0.00615174299384826,2,0.00851063829787234,0,0,0,NA
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101022","Zyarat Abul Fazal","زیارت ابوالفضل","YES","YES",785,"YES",506,"OK","NO CHANGE",1134,1077,976,85,14,2,1088,987,85,14,2,11,0.010213556174559,11,0.0112704918032787,0,0,0,0,0,0
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101023","Isteqlal High School","ليسه استقلال","YES","YES",86,"YES",86,"OK","NO CHANGE",2334,2263,1951,304,8,0,2272,1960,303,8,1,9,0.00397702165267344,9,0.00461301896463352,-1,-0.00328947368421053,0,0,1,Inf
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101024","Nayeb Salar Mosque","مسجد نایب سالار","YES","YES",1263,"NO",0,"OK","NO CHANGE",3480,3336,2504,828,4,0,3342,2508,826,4,4,6,0.00179856115107914,4,0.00159744408945687,-2,-0.00241545893719807,0,0,4,Inf
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101025","Imam Azam Mosque","مسجد امام اعظم","YES","YES",750,"YES",379,"OK","NO CHANGE",1414,1297,754,542,1,0,1326,776,549,1,0,29,0.0223592906707787,22,0.0291777188328912,7,0.0129151291512915,0,0,0,NA
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101026","Zabihullah Shaheed High School","لیسه عالی ذبیح الله شهید","YES","YES",926,"YES",695,"OK","NO CHANGE",3798,3672,2778,891,3,0,3671,2777,890,3,1,-1,-0.000272331154684096,-1,-0.000359971202303816,-1,-0.00112233445566779,0,0,1,Inf
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101027","Sa'ad bin Abi Waqas Mosque","مسجد سعد بن ابی وقاص","YES","NO",NA,"NO",NA,"OK","NO CHANGE",1110,1042,673,369,0,0,989,621,368,0,0,-53,-0.0508637236084453,-52,-0.0772659732540862,-1,-0.002710027100271,0,NA,0,NA
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101028","Wazeer Mohammad Akbar Khan Secondary School","مکتب متوسطه وزير محمد اکبر خان","YES","YES",587,"YES",507,"OK","NO CHANGE",1584,1515,1052,462,1,0,1523,1058,463,1,1,8,0.00528052805280528,6,0.00570342205323194,1,0.00216450216450216,0,0,1,Inf
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101029","Naderia High School","ليسه نادريه","YES","YES",985,"YES",43,"OK","NO CHANGE",3780,3655,3002,620,29,4,3675,3020,621,29,5,20,0.00547195622435021,18,0.00599600266489007,1,0.00161290322580645,0,0,1,0.25
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101030","Omer Farooq Mosque","مسجد عمر فاروق","YES","NO",0,"YES",395,"OK","NO CHANGE",2825,2680,2022,657,1,0,2706,2044,661,1,0,26,0.00970149253731343,22,0.0108803165182987,4,0.0060882800608828,0,0,0,NA
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101031","Ma'az ibne Jabal Mosque","مسجد معاذ ابن جبل","YES","YES",171,"YES",171,"OK","NO CHANGE",936,906,622,283,1,0,910,625,284,1,0,4,0.00441501103752759,3,0.00482315112540193,1,0.00353356890459364,0,0,0,NA
"01","Kabul","0101-02","KABUL CITY NAHIA 02","0101032","Abdullah bin Masoud Mosque","مسجد عبدالله بن مسعود","YES","YES",711,"YES",451,"OK","NO CHANGE",2177,1994,1620,369,5,0,2011,1635,370,5,1,17,0.00852557673019057,15,0.00925925925925926,1,0.002710027100271,0,0,1,Inf
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101033","Sayed Jamaluddin Experimental Secondary School","مکتب متوسطه تجربوی سید جمال الدین","YES","YES",479,"YES",209,"OK","NO CHANGE",1122,1083,705,378,0,0,1089,707,381,0,1,6,0.00554016620498615,2,0.00283687943262411,3,0.00793650793650794,0,NA,1,Inf
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101034","Afghan Technology Institute","انستیتوت تکنالوژی افغان","YES","YES",339,"YES",281,"OK","NO CHANGE",1920,1817,1545,272,0,0,1823,1550,273,0,0,6,0.00330214639515685,5,0.00323624595469256,1,0.00367647058823529,0,NA,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101035","Sayed Jamaluddin Secondary School","مکتب متوسطه سید جمال الدین","YES","YES",1371,"YES",960,"OK","NO CHANGE",3334,3183,2209,973,1,0,3190,2216,972,1,1,7,0.00219918316054037,7,0.003168854685378,-1,-0.00102774922918808,0,0,1,Inf
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101036","Raabia Balkhi High School","لیسه رابعه بلخی","YES","YES",241,"YES",434,"OK","NO CHANGE",2886,2790,1694,1093,3,0,2792,1693,1096,3,0,2,0.000716845878136201,-1,-0.000590318772136954,3,0.00274473924977127,0,0,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101037","Amir Dost Mohammad Khan School","مکتب امير دوست محمد خان","YES","YES",1252,"YES",660,"OK","NO CHANGE",2238,2133,1617,513,3,0,2140,1624,513,3,0,7,0.00328176277543366,7,0.00432900432900433,0,0,0,0,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101038","Hanzalla Mosque","مسجد حنظله","YES","YES",616,"YES",160,"OK","NO CHANGE",1074,995,665,330,0,0,999,667,332,0,0,4,0.00402010050251256,2,0.00300751879699248,2,0.00606060606060606,0,NA,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101039","Amir Hamza Secondary School","مکتب متوسطه امير حمزه","YES","YES",1292,"YES",1048,"OK","NO CHANGE",2358,2232,1669,563,0,0,2249,1686,559,0,4,17,0.00761648745519713,17,0.0101857399640503,-4,-0.00710479573712256,0,NA,4,Inf
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101040","Mohammadia Mosque","مسجد محمدیه","YES","YES",1128,"YES",211,"OK","NO CHANGE",1885,1788,1255,532,1,0,1806,1272,533,1,0,18,0.0100671140939597,17,0.0135458167330677,1,0.0018796992481203,0,0,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101041","Jamal Mena, no. 13 Secondary School","مکتب متوسطه نمبر١٣ جمال مينه","YES","YES",982,"YES",544,"OK","NO CHANGE",2228,2106,1116,990,0,0,2120,1130,990,0,0,14,0.00664767331433998,14,0.0125448028673835,0,0,0,NA,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101042","Jamal Mena, no. 12 Preliminary School","مکتب ابتدایه نمبر 12 جمال مینه","YES","YES",1629,"YES",1282,"OK","NO CHANGE",4344,4179,2821,1358,0,0,4176,2819,1355,0,2,-3,-0.000717875089734386,-2,-0.000708968450903935,-3,-0.00220913107511046,0,NA,2,Inf
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101043","Legal Faculty (Pohanzai Huqooq)","پوهنځي حقوق","YES","YES",2148,"YES",1034,"OK","NO CHANGE",3252,3145,2320,821,4,0,3161,2335,822,4,0,16,0.00508744038155803,15,0.00646551724137931,1,0.00121802679658952,0,0,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101044","Durkhanai High School","لیسه درخانی","YES","YES",1608,"YES",990,"OK","NO CHANGE",3030,2917,1828,1087,2,0,2935,1846,1087,2,0,18,0.00617072334590333,18,0.00984682713347921,0,0,0,0,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101045","Sang Kashan Mosque","مسجد سنگ کشان","YES","YES",580,"YES",190,"OK","NO CHANGE",1164,1130,959,171,0,0,1139,968,171,0,0,9,0.0079646017699115,9,0.00938477580813347,0,0,0,NA,0,NA
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101046","Sufi Islam School","مکتب صوفی اسلام","YES","YES",2582,"YES",1647,"OK","NO CHANGE",5562,5366,3455,1903,8,0,5374,3456,1909,8,1,8,0.00149086843086098,1,0.000289435600578871,6,0.00315291644771414,0,0,1,Inf
"01","Kabul","0101-03","KABUL CITY NAHIA 03","0101047","Mahmood Hotaki High School","لیسه محمود هوتکی","YES","YES",2065,"YES",1348,"OK","NO CHANGE",5254,5004,4146,841,17,0,5020,4162,840,17,1,16,0.00319744204636291,16,0.00385914134105162,-1,-0.00118906064209275,0,0,1,Inf
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101048","Ghazi Mohammad Ayub School no.1","مکتب نمبر ۱ غازی محمد ایوب","YES","YES",1183,"YES",429,"OK","NO CHANGE",2206,2134,1303,702,9,120,2141,1290,700,9,142,7,0.00328022492970947,-13,-0.00997697620874904,-2,-0.00284900284900285,0,0,22,0.183333333333333
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101049","Raabia High School","ليسه رابيا","YES","YES",1723,"YES",557,"OK","NO CHANGE",3240,3184,1907,1263,13,1,3189,1911,1264,13,1,5,0.00157035175879397,4,0.00209753539590981,1,0.000791765637371338,0,0,0,0
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101050","Haji Ghulam Dastagir Mosque","مسجد حاجي غلام دستگير","YES","YES",806,"YES",792,"OK","NO CHANGE",2376,2327,1732,593,2,0,2334,1739,593,2,0,7,0.0030081650193382,7,0.00404157043879908,0,0,0,0,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101051","Imam Reza e Ghareeb Mosque","مسجد امام رضاي غريب","YES","YES",677,"YES",451,"OK","NO CHANGE",1374,1326,803,518,5,0,1330,805,519,5,1,4,0.00301659125188537,2,0.0024906600249066,1,0.00193050193050193,0,0,1,Inf
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101052","Mohammad Alam Faizzad High School","لیسه محمد اعلم فیض زاد","YES","YES",1288,"YES",530,"OK","NO CHANGE",2070,2025,1447,576,2,0,2032,1452,578,2,0,7,0.00345679012345679,5,0.00345542501727713,2,0.00347222222222222,0,0,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101053","Jamhoriat High School","لیسه جمهویت","YES","YES",404,"YES",203,"OK","NO CHANGE",906,879,656,222,1,0,879,656,222,1,0,0,0,0,0,0,0,0,0,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101054","Malalai Girls High School","لیسه نسوان ملالی","YES","YES",578,"YES",277,"OK","NO CHANGE",1974,1923,1626,294,2,1,1925,1628,294,2,1,2,0.00104004160166407,2,0.001230012300123,0,0,0,0,0,0
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101055","Khwaja Abdullah Ansari Mosque","مسجد خواجه عبدالله انصاري","YES","YES",528,"NO",0,"OK","NO CHANGE",954,913,797,113,3,0,918,802,113,3,0,5,0.00547645125958379,5,0.00627352572145546,0,0,0,0,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101056","Khwaja Ali Mowafaq Mosque","مسجد خواجه علي موفق","YES","YES",1134,"YES",356,"OK","NO CHANGE",2436,2383,2106,275,2,0,2382,2105,275,2,0,-1,-0.000419639110365086,-1,-0.000474833808167142,0,0,0,0,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101057","Haji Mohammad Dad Mosque","مسجد حاجي محمد داد","YES","YES",1719,"YES",1076,"OK","NO CHANGE",3647,3544,2463,1075,6,0,3558,2476,1075,6,1,14,0.00395033860045147,13,0.00527811611855461,0,0,0,0,1,Inf
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101058","Naser Khesraw Balkhi Secondary School","مکتب متوسطه ناصر خسرو بلخي","YES","YES",969,"YES",685,"OK","NO CHANGE",1794,1732,1243,460,29,0,1738,1248,461,29,0,6,0.00346420323325635,5,0.00402252614641995,1,0.00217391304347826,0,0,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101059","Ismaelia Jamat Khana","جماعت خانه اسماعيليه","YES","YES",4338,"YES",2634,"OK","NO CHANGE",7529,7348,4625,2719,4,0,7211,4630,2577,4,0,-137,-0.018644529123571,5,0.00108108108108108,-142,-0.0522250827510114,0,0,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101060","Ustad Misbah High School","لیسه استاد مصباح","YES","YES",1569,"YES",1275,"OK","NO CHANGE",3683,3578,2288,1207,83,0,3219,2295,859,65,0,-359,-0.100335382895472,7,0.00305944055944056,-348,-0.288318144159072,-18,-0.216867469879518,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101061","Malika Suraya Girls School","مکتب نسوان ملکه ثریا","YES","YES",2782,"YES",1181,"OK","NO CHANGE",7794,7554,4242,3274,38,0,7580,4257,3285,38,0,26,0.00344188509398994,15,0.00353606789250354,11,0.00335980452046426,0,0,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101062","Tajwar Sultana Girls School","ليسه نسوان تاجور سلطانه","YES","YES",1794,"YES",932,"OK","NO CHANGE",5604,5359,3248,1996,115,0,4814,2692,2006,116,0,-545,-0.101698077999627,-556,-0.171182266009852,10,0.00501002004008016,1,0.00869565217391304,0,NA
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101063","Mohammad Sediq Farhang School","مکتب محمد صدیق  فرهنگ","YES","YES",1195,"NO",0,"OK","NO CHANGE",3336,3235,2193,999,43,0,3235,2194,995,43,3,0,0,1,0.000455996352029184,-4,-0.004004004004004,0,0,3,Inf
"01","Kabul","0101-04","KABUL CITY NAHIA 04","0101064","Deh Keepak Girls School","لیسه نسوان ده کیپک","YES","YES",964,"YES",651,"OK","NO CHANGE",3200,3097,2010,1086,1,0,2839,2025,813,1,0,-258,-0.0833064255731353,15,0.00746268656716418,-273,-0.251381215469613,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101065","Fazel Baig Secondary School","مکتب متوسطه فاضل بيک","YES","YES",1288,"YES",635,"OK","NO CHANGE",3330,3161,2412,731,18,0,3197,2448,731,17,1,36,0.0113888010123379,36,0.0149253731343284,0,0,-1,-0.0555555555555556,1,Inf
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101066","Shuhadai Fazel Baig Mosque","مسجد شهدای فاضل بیک","YES","YES",783,"YES",1015,"OK","NO CHANGE",1794,1703,1341,362,0,0,1722,1360,362,0,0,19,0.0111567821491486,19,0.0141685309470544,0,0,0,NA,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101067","Hazrat Usman Mosque","مسجد حضرت عثمان","YES","YES",1203,"YES",339,"OK","NO CHANGE",2808,2700,2161,528,11,0,2726,2185,530,11,0,26,0.00962962962962963,24,0.011105969458584,2,0.00378787878787879,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101068","Itefaq Mosque","مسجد اتفاق","YES","YES",631,"NO",0,"OK","NO CHANGE",2226,2058,1596,388,74,0,1722,1263,391,68,0,-336,-0.163265306122449,-333,-0.208646616541353,3,0.0077319587628866,-6,-0.0810810810810811,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101069","Haji Yaqoub Jame Mosque","مسجد جامع حاجی یعقوب","YES","YES",1500,"YES",984,"OK","NO CHANGE",2238,2172,1573,569,30,0,2191,1586,573,30,2,19,0.00874769797421731,13,0.00826446280991736,4,0.0070298769771529,0,0,2,Inf
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101070","Naheed Shaheed High School","ليسه ناهيد شهيد","YES","YES",1521,"YES",742,"OK","NO CHANGE",3846,3674,2072,1578,24,0,3696,2086,1586,24,0,22,0.00598802395209581,14,0.00675675675675676,8,0.00506970849176172,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101071","Mohammad Ismael Hasanzai High School","لیسه محمد اسماعیل حسن زی","YES","YES",1400,"YES",523,"OK","NO CHANGE",3408,3256,2271,979,6,0,3269,2286,977,6,0,13,0.00399262899262899,15,0.00660501981505945,-2,-0.00204290091930541,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101072","Mir Ghulam Mohammad Ghubar High School","لیسه میرغلام محمد غبار","YES","YES",900,"NO",0,"OK","NO CHANGE",2364,2199,1811,376,12,0,2239,1849,378,12,0,40,0.0181900864029104,38,0.0209828823854224,2,0.00531914893617021,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101073","Mohammadi Darulhefaz Mosque","مسجد محمدي دارالحفاظ","YES","YES",1182,"YES",888,"OK","NO CHANGE",2778,2597,2075,517,5,0,2602,2082,515,5,0,5,0.00192529842125529,7,0.00337349397590361,-2,-0.00386847195357834,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101074","Wardaki ha Mosque","مسجد وردکيها","YES","YES",1772,"YES",1399,"OK","NO CHANGE",3882,3706,2724,964,18,0,3730,2736,975,19,0,24,0.00647598488936859,12,0.00440528634361234,11,0.0114107883817427,1,0.0555555555555556,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101075","Imam Hussain Mosque","مسجد امام حسین","YES","YES",732,"YES",439,"OK","NO CHANGE",1572,1476,957,475,44,0,1486,964,477,45,0,10,0.00677506775067751,7,0.00731452455590387,2,0.00421052631578947,1,0.0227272727272727,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101076","Speen Kalai Girls High School","لیسه نسوان سپین کلی","YES","YES",1365,"YES",536,"OK","NO CHANGE",3000,2920,1825,1089,6,0,2913,1819,1086,6,2,-7,-0.0023972602739726,-6,-0.00328767123287671,-3,-0.00275482093663912,0,0,2,Inf
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101077","Hazrat Shamsul Mashaikh High School","لیسه حضرت شمس المشایخ","YES","YES",1655,"YES",962,"OK","NO CHANGE",3138,3016,2174,817,25,0,2992,2151,816,25,0,-24,-0.00795755968169761,-23,-0.0105795768169273,-1,-0.00122399020807834,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101078","Prof. Rasoul Amin High School","لیسه پروفیسور رسول امین","YES","YES",632,"YES",559,"OK","NO CHANGE",1980,1870,1284,584,2,0,1880,1294,584,2,0,10,0.0053475935828877,10,0.00778816199376947,0,0,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101079","Polytechnic Mosque","مسجد پولي تخنيک","YES","YES",1269,"YES",1015,"OK","NO CHANGE",2244,2110,1803,305,1,1,2137,1829,305,1,2,27,0.0127962085308057,26,0.014420410427066,0,0,0,0,1,1
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101080","Jaghori ha Mosque","مسجد جاغوري ها","YES","YES",1189,"YES",1001,"OK","NO CHANGE",3330,3073,1754,1316,3,0,3126,1803,1320,3,0,53,0.017246989912138,49,0.0279361459521095,4,0.00303951367781155,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101081","Sahib Zaman Mosque","مسجد صاحب زمان","YES","YES",1700,"YES",1375,"OK","NO CHANGE",3569,3391,2086,1304,1,0,3408,2090,1316,1,1,17,0.00501327042170451,4,0.00191754554170662,12,0.00920245398773006,0,0,1,Inf
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101082","Abu Zar Ghafari High School","ليسه ابوذر غفاري","YES","YES",2280,"YES",1105,"OK","NO CHANGE",6234,5978,3805,2157,16,0,5995,3826,2153,16,0,17,0.00284376045500167,21,0.00551905387647832,-4,-0.00185442744552619,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101083","Ayub Saber Mosque","مسجد ايوب صابر","YES","YES",1756,"YES",1458,"OK","NO CHANGE",6846,6486,4638,1619,228,1,6481,4631,1619,228,3,-5,-0.000770891150169596,-7,-0.00150927123760241,0,0,0,0,2,2
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101084","Deh e Araban School","مکتب ده عربان","YES","YES",1613,"YES",1187,"OK","NO CHANGE",2874,2785,1643,1135,7,0,2786,1641,1138,7,0,1,0.000359066427289048,-2,-0.00121728545343883,3,0.0026431718061674,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101085","Shah e Awlya Mosque","مسجد شاه اوليا","YES","YES",604,"YES",358,"OK","NO CHANGE",1110,1056,704,344,8,0,1062,710,344,8,0,6,0.00568181818181818,6,0.00852272727272727,0,0,0,0,0,NA
"01","Kabul","0101-05","KABUL CITY NAHIA 05","0101086","Hazrat Bilal Mosque","مسجد حضرت بلال","YES","YES",887,"YES",7,"OK","NO CHANGE",2778,2602,2164,384,54,0,2227,2176,0,51,0,-375,-0.144119907763259,12,0.0055452865064695,-384,-1,-3,-0.0555555555555556,0,NA
