"province_code","province_name_eng","district_sub_code","district_or_subdivision_name_eng","pc_code","pc_name_eng","pc_name_dari","planned_18","prelim_results_18","prelim_votes_18","final_results_18","final_votes_18","missing_vr_19","new_vr_19","vr_prelim_total_18","vr_final_total_18","vr_male_18","vr_fem_18","vr_kuchi_18","vr_sikh_18","vr_prelim_total_19","vr_male_19","vr_fem_19","vr_kuchi_19","vr_sikh_19","vr_total_change","vr_total_pct_change","vr_male_change","vr_male_pct_change","vr_fem_change","vr_fem_pct_change","vr_kuchi_change","vr_kuchi_pct_change","vr_sikh_change","vr_sikh_pct_change"
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101001","Sar e Gardana Mosque","مسجد سر گردنه","YES","YES",251,"YES",194,"OK","NO CHANGE",462,431,333,97,0,1,433,335,97,0,1,2,0.00464037122969838,2,0.00600600600600601,0,0,0,NA,0,0
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101002","Derakht e Shing Mosque","مسجد درخت شنگ","YES","YES",400,"YES",313,"OK","NO CHANGE",828,800,568,231,1,0,803,571,231,1,0,3,0.00375,3,0.00528169014084507,0,0,0,0,0,NA
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101003","Mullah Mahmood Mosque","مسجد ملا محمود","YES","YES",1086,"YES",880,"OK","NO CHANGE",2292,2219,1566,538,5,110,2226,1565,535,5,121,7,0.00315457413249211,-1,-0.000638569604086846,-3,-0.00557620817843866,0,0,11,0.1
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101004","Daqiqi Balkhi Secondary School","مکتب متوسطه دقیقی بلخی","YES","YES",518,"YES",422,"OK","NO CHANGE",1283,1254,930,321,3,0,1251,927,321,3,0,-3,-0.00239234449760766,-3,-0.0032258064516129,0,0,0,0,0,NA
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101005","Aakhir e Jada Mosque","مسجد آخر جاده","YES","YES",208,"YES",297,"OK","NO CHANGE",771,736,731,0,5,0,711,706,0,5,0,-25,-0.0339673913043478,-25,-0.0341997264021888,0,NA,0,0,0,NA
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101006","Eidgah Mosque","مسجد عيد گاه","YES","YES",454,"YES",210,"OK","NO CHANGE",1020,992,708,278,6,0,1000,716,278,6,0,8,0.00806451612903226,8,0.0112994350282486,0,0,0,0,0,NA
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101007","Ansuri Balkhi School","مکتب عنصری بلخی","YES","YES",492,"YES",292,"OK","NO CHANGE",1224,1184,1011,165,8,0,1185,1011,165,8,1,1,0.000844594594594595,0,0,0,0,0,0,1,Inf
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101008","Aayesha Durani High School","ليسه عايشه دراني","YES","YES",796,"YES",476,"OK","NO CHANGE",1890,1835,1541,288,6,0,1837,1542,288,6,1,2,0.00108991825613079,1,0.000648929266709929,0,0,0,0,1,Inf
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101009","Mastoori Ghoori Secondary School","مکتب متوسطه مستوری غوری","YES","YES",476,"YES",312,"OK","NO CHANGE",1392,1354,1174,177,2,1,1355,1174,178,2,1,1,0.000738552437223043,0,0,1,0.00564971751412429,0,0,0,0
"01","Kabul","0101-01","KABUL CITY NAHIA 01","0101010","Aasheqan wa Arefan High School","ليسه عاشقان و عارفان","YES","YES",287,"YES",35,"OK","NO CHANGE",600,570,499,71,0,0,576,505,71,0,0,6,0.0105263157894737,6,0.0120240480961924,0,0,0,NA,0,NA
