"election_date","results_date","election_type","results_status","province_code","province_name_eng","province_name_dari","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","party_name_dari","past_winner","final_winner","male_ps_votes","fem_ps_votes","kuchi_ps_votes","votes"
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",983418,35,"Hamed Karzai","حامد کرزی","M","مستقل","YES","YES",138895,58196,4879,201970
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",1004871,37,"Dr. Abdullah Abdullah","داکتر عبد الله عبدالله","M","مستقل","NO","NO",93264,29414,569,123247
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",6371180,38,"Dr. Frozan Fana","داکتر فروزان فنا","F","مستقل","NO","NO",578,211,14,803
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",5109208,39,"Abdul Jabar Sabit","عبدالجبار ثابت","M","مستقل","NO","NO",311,73,8,392
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",11348474,40,"Hidayat Amin Arsala","هدایت امین ارسلا","M","مستقل","NO","NO",81,30,0,111
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",1,"KABUL","کابل",7849401,41,"Gul Ahmmad Yama","گل احمد یما","M","مستقل","NO","NO",68,74,2,144
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",1095147,1,"Haji Rahim Jan Shinzad","الحاج رحیم جان شیرزاد فی سبیل الله","M","مستقل","NO","NO",23,28,0,51
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",4,7,0,11
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",4657143,4,"Eng. Moin-ul-din Ulfati","انجنیر معین الدین الفتی","M","مستقل","NO","NO",13,1,0,14
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6350379,5,"Dr. Habib Mangal","داکتر حبیب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",21,3,0,24
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبیح الله غازی نورستانی","M","مستقل","NO","NO",8,2,1,11
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",7770491,7,"Sayed Jalal Karim","سید جلال کریم","M","مستقل","NO","NO",169,32,52,253
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6359075,8,"Mirwais Yasini","میرویس یاسینی","M","مستقل","NO","NO",25,9,2,36
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",3907996,9,"Bismillah Shir","بسم الله شیر","M","مستقل","NO","NO",11,3,1,15
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",2287256,10,"Bashir Ahmad Bizhan","بشیر احمد بیژن","M","مستقل","NO","NO",10,6,0,16
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",8894180,11,"Motasim Billah Mazhabi","معتصم بالله مذهبی","M","مستقل","NO","NO",73,13,6,92
