"results_date","results_status","election_type","province_code","province_name_eng","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","withdrawn","invalidated","past_winners","prelim_winner","votes"
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-01","KABUL CITY NAHIA 01","كابل ناحیه 01","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",57
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",116
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",385
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",223
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-05","KABUL CITY NAHIA 05","كابل ناحیه 05","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",624
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-06","KABUL CITY NAHIA 06","كابل ناحیه 06","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",1334
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-07","KABUL CITY NAHIA 07","كابل ناحیه 07","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",328
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-08","KABUL CITY NAHIA 08","كابل ناحیه 08","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",112
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-09","KABUL CITY NAHIA 09","كابل ناحیه 09","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",207
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-10","KABUL CITY NAHIA 10","كابل ناحیه 10","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",470
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-11","KABUL CITY NAHIA 11","كابل ناحیه 11","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",196
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-12","KABUL CITY NAHIA 12","كابل ناحیه 12","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",62
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-13","KABUL CITY NAHIA 13","كابل ناحیه 13","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",4057
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-14","KABUL CITY NAHIA 14","كابل ناحیه 14","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",22
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-15","KABUL CITY NAHIA 15","كابل ناحیه 15","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",243
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-16","KABUL CITY NAHIA 16","كابل ناحیه 16","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",127
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-17","KABUL CITY NAHIA 17","كابل ناحیه 17","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",94
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-18","KABUL CITY NAHIA 18","كابل ناحیه 18","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",71
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-19","KABUL CITY NAHIA 19","كابل ناحیه 19","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",10
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-21","KABUL CITY NAHIA 21","كابل ناحیه 21","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",3
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-22","KABUL CITY NAHIA 22","كابل ناحیه 22","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",5
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-01","KABUL CITY NAHIA 01","كابل ناحیه 01","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",132
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",73
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",108
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",119
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-05","KABUL CITY NAHIA 05","كابل ناحیه 05","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",251
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-06","KABUL CITY NAHIA 06","كابل ناحیه 06","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",558
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-07","KABUL CITY NAHIA 07","كابل ناحیه 07","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",333
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-08","KABUL CITY NAHIA 08","كابل ناحیه 08","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",273
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-09","KABUL CITY NAHIA 09","كابل ناحیه 09","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",156
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-10","KABUL CITY NAHIA 10","كابل ناحیه 10","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",415
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-11","KABUL CITY NAHIA 11","كابل ناحیه 11","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",169
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-12","KABUL CITY NAHIA 12","كابل ناحیه 12","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",100
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-13","KABUL CITY NAHIA 13","كابل ناحیه 13","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",1298
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-14","KABUL CITY NAHIA 14","كابل ناحیه 14","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",29
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-15","KABUL CITY NAHIA 15","كابل ناحیه 15","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",204
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-16","KABUL CITY NAHIA 16","كابل ناحیه 16","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",192
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-17","KABUL CITY NAHIA 17","كابل ناحیه 17","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",77
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-18","KABUL CITY NAHIA 18","كابل ناحیه 18","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",24
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-19","KABUL CITY NAHIA 19","كابل ناحیه 19","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",7
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-21","KABUL CITY NAHIA 21","كابل ناحیه 21","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",24
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-22","KABUL CITY NAHIA 22","كابل ناحیه 22","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",3
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-01","KABUL CITY NAHIA 01","كابل ناحیه 01","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",16
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",34
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",58
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",81
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-05","KABUL CITY NAHIA 05","كابل ناحیه 05","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",89
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-06","KABUL CITY NAHIA 06","كابل ناحیه 06","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",146
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-07","KABUL CITY NAHIA 07","كابل ناحیه 07","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",115
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-08","KABUL CITY NAHIA 08","كابل ناحیه 08","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",55
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-09","KABUL CITY NAHIA 09","كابل ناحیه 09","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",67
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-10","KABUL CITY NAHIA 10","كابل ناحیه 10","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",147
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-11","KABUL CITY NAHIA 11","كابل ناحیه 11","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",95
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-12","KABUL CITY NAHIA 12","كابل ناحیه 12","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",22
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-13","KABUL CITY NAHIA 13","كابل ناحیه 13","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",225
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-14","KABUL CITY NAHIA 14","كابل ناحیه 14","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",3
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-15","KABUL CITY NAHIA 15","كابل ناحیه 15","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",76
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-16","KABUL CITY NAHIA 16","كابل ناحیه 16","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",47
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-17","KABUL CITY NAHIA 17","كابل ناحیه 17","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",40
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-18","KABUL CITY NAHIA 18","كابل ناحیه 18","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",4
2019-12-22,"PRELIMINARY","PRESIDENTIAL","01","KABUL","0101","KABUL CITY","كابل","0101-19","KABUL CITY NAHIA 19","كابل ناحیه 19","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",4
