"results_date","results_status","election_type","province_code","province_name_eng","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","withdrawn","invalidated","past_winners","final_winner","votes"
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",9056
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",5032
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",1458
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",602
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",86
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",617
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",166619
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",141881
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",1962
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",14904
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",1934
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",215
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",4571
2019-02-18,"FINAL","PRESIDENTIAL","01","KABUL","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",145
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",56
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",121
