5,2,3,كوجه اجكزى,ليسه عاشقان و عارفان,كابل-ناحيه 01,كابل,101001
5,2,3,شور بازار,مسجد ملا محمود,كابل - ناحيه 01,كابل,101002
3,1,2,جاده ميوند,مسجد اخر جاده,كابل - ناحيه 01,كابل,101003
5,2,3,سه دوكان جنداول,مكتب متوسطه عاشقان و عارفان,كابل-ناحيه 01,كابل,101004
4,2,2,كوجه بخته فروشي,A ا؛ ؛ ١٩ ١ ;١ ه نروش,كابل - ناحيه 01,كابل,101005
5,2,3,"سراجى، كوجه آهنكرى",مكتب متوسطه دقيقى بلخى,كابل - ناحيه 01,كابل,101006
5,2,3,باباي خودي,مكتب متوسطه مستورى غورى,كابل - ناحيه 01,كابل,101007
6,3,3,عيد كاه,ئ؛ ؛١٩ لم١ ١ >,كابل - ناحيه 01,كابل,101008
4,2,2,باغ قاضي,فاتحه خانه باغ قاضى,كابل - ناحيه 01,كابل,101009
5,2,3,يل باغ عمومي,ليسه عايشه درانى,كابل - ناحيه 01,كابل,101010
3,1,2,جنداول,مسجد بى بى صديعه,كابل - ناحيه 01,كابل,101011
2,1,1,سر كردنه,مسحد سر كردنه,كابل-ناحيه 01,كابل,101012
5,2,3,جنداول,تكيه خانه عمومى,كابل-ناحيه 01,كابل,101013
2,1,1,بالا جوى عاشقان و عارفان,مسجد خواجه صغا,كابل - ناحيه 01,كابل,101014
3,1,2,با غبان كوجه,مسجد باغبان كوجه,كابل - ناحيه 01,كابل,101015
5,2,3,باغ علي مردان,مكتب عنصرى بلخى,كابل-ناحيه 01,كابل,101016
3,1,2,قريه هزاره ها,مسجد امام باقر,كابل-ناحيه 01,كابل,101017
3,1,2,مسجد بالا قلعه عاشقان وعارفان,مسجد بالا قلعه,كابل - ناحيه 01,كابل,101018
4,2,2,باغ بالا,مسجد عبدالير بن مسعود,كابل - ناحيه 02,كابل,101019
2,1,1,ده افغانان,مسحد رنكه,كابل - ناحيه 02,كابل,101020
7,3,4,جوي شير,ليسه انصارى,كابل - ناحيه 02,كابل,101021
٦,3,4,جوي شير,مكتب ابتدائيه يارسا,كابل - ناحيه 02,كابل,101022
5,2,3,جوى شير ده افغانان,مكتب قارى عبدابير,كابل - ناحيه 02,كابل,101023
5,2,3,سشنما بهارستان,مسحد حاحى مبر احمد,كابل - ناحيه 02,كابل,101024
7,3,4,كارته أريانا,ليسه عالى نبيح الير شهيد,كابل - ناحيه 02,كابل,101025
2,1,1,كارته برواز,مسجد معاذ ابن جبل,كابل - ناحيه 02,كابل,101026
2,1,1,كارته برواز,مسجد عمر فاروق,كابل - ناحيه 02,كابل,101027
7,3,4,لبسه استقلال,لعسه استقلال,كابل - ناحيه 02,كابل,101028
5,2,3,شاه دو شمشدره,لفننه شاه دو شمشدره,كابل - ناحيه 02,كابل,101029
3,1,2,قول أب جكان,مسجد نايب سالار,كابل - ناحيه 02,كابل,101030
4,2,2,مراد خانى,رياست اداره امور,كابل - ناحيه 02,كابل,101031
6,3,3,ايستكاه آخر يوهنتون,مكتب صوفى اسلام,كابل - ناحيه 03,كابل,101032
