"ballot_position","candidate_name_eng","votes","pct"
"1","Dr.Abdullah Abdullah",2973706,"44.94%"
"2","Mohammad Daoud Sultanzoy",30737,"0.46%"
"5","Dr.Mohammad Ashraf Ghani Ahmadzai",2082417,"31.47%"
"7","Zalmai Rassoul",759540,"11.48%"
"8","Eng- Qutbuddin Hilal",180859,"2.73%"
"9","Mohd. Shafiq Gul Agha Sherzai",106673,"1.61%"
"10","Prof-Abdo Rabe Rasool Sayyaf",468340,"7.08%"
"11","Hedayat Amin Arsala",15394,"0.23%"
"Total Votes:","Total Votes:",6617666,"6617666"
